"category","condition","z_score","overall_z_score"
"growthPhase","exponential",-14.7481206633269,-3.42425989866516
"growthPhase","late_stationary",-2.46728499992898,-3.42425989866516
"growthPhase","stationary",-0.10124746254666,-3.42425989866516
"carbonSource","gluconate",-0.14995333871509,0.137545141406117
"carbonSource","glucose",1.49753180080535,0.137545141406117
"carbonSource","glycerol",-1.59859648810442,0.137545141406117
"carbonSource","lactate",-2.22140460460805,0.137545141406117
"Mg_mM_Levels","baseMg",-2.15939856160881,-0.766465660195192
"Mg_mM_Levels","highMg",-1.14935896948104,-0.766465660195192
"Mg_mM_Levels","lowMg",0.984395876424159,-0.766465660195192
"Na_mM_Levels","baseNa",-1.38859713303535,-0.175936396207278
"Na_mM_Levels","highNa",1.43086384454428,-0.175936396207278
"batchNumber","10",-1.83294435367692,-0.161503205398939
"batchNumber","11",-0.331456604242914,-0.161503205398939
"batchNumber","12",-0.162068528390436,-0.161503205398939
"batchNumber","13",1.42834738442241,-0.161503205398939
"batchNumber","14",1.18827382607435,-0.161503205398939
"batchNumber","15",0.276735733993747,-0.161503205398939
"batchNumber","16",-2.53288700745891,-0.161503205398939
"batchNumber","17",0.609399128246906,-0.161503205398939
"batchNumber","18",0.659632865793727,-0.161503205398939
"batchNumber","19",0.631308516707859,-0.161503205398939
"batchNumber","20",0.628592911363224,-0.161503205398939
"batchNumber","21",0.586303882230862,-0.161503205398939
"batchNumber","22",-0.966619417991335,-0.161503205398939
"batchNumber","23",-0.870305070442601,-0.161503205398939
"batchNumber","24",-0.595544534734383,-0.161503205398939
"batchNumber","25",1.31121664948063,-0.161503205398939
"batchNumber","26",-0.660845029591508,-0.161503205398939
"batchNumber","27",0.672721874056286,-0.161503205398939
"batchNumber","7",-0.950743506717972,-0.161503205398939
"batchNumber","8",-0.286228738691463,-0.161503205398939
"batchNumber","9",-1.31278321870659,-0.161503205398939
