,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469602329412727,0.0477635834133145,0.829074392964429,0.0576107329072505,0.954058700250514,NA,thrL,ECB_00001,b0001,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
2,YP_003043231.1,182.898722036479,0.217748212570506,0.489107690299287,0.445194824962299,0.656178966251007,0.889071500904862,thrA,ECB_00002,b0002,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
3,YP_003043232.1,41.9621076184805,-0.0932245830347853,0.542700007841466,-0.171779218145908,0.863611104167123,0.96088222107599,thrB,ECB_00003,b0003,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
4,YP_003043233.1,178.921538549459,0.174980825194305,0.547484904378611,0.319608492937182,0.749265135393605,0.929031924634556,thrC,ECB_00004,b0004,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
5,YP_003043234.1,0.15122134955216,-0.1701187867952,0.950527030967566,-0.17897311833629,0.857958809331387,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
6,YP_003043235.1,27.0289230626919,-0.00743609364039616,0.459292601388986,-0.0161903188031073,0.98708255892876,0.99872367897825,yaaA,ECB_00006,b0006,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
7,YP_003043236.1,0.0984377045983535,-0.032246950987933,0.879414298531297,-0.036668668046208,0.970749191111022,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
8,YP_003043237.1,145.403055904449,0.101384427703115,0.523163594273162,0.193791060411934,0.846339487079711,0.957928958152741,talB,ECB_00008,b0008,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
9,YP_003043238.1,8.86515360498028,-0.340966812980882,0.536988587071335,-0.634961005112735,0.525453847782693,0.796540259692271,mogA,ECB_00009,b0009,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
10,YP_003043239.1,0.0379747773232496,0,0.829015919173978,0,1,NA,yaaH,ECB_00010,b0010,0,protein,Sta,Mg_mM_Levels,highMg,baseMg
11,YP_003043242.1,0.461288573595087,-0.850621741258857,0.980298193708064,-0.867717340211865,0.385549090754582,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
12,YP_003043243.1,564.910001082785,0.199821342943641,0.493533824310123,0.40487871975737,0.685566661327126,0.902242989114461,dnaK,ECB_00014,b0014,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
13,YP_003043244.1,54.5280383354972,-0.231919802965248,0.501635485670088,-0.462327346430542,0.643846591827247,0.881035498497253,dnaJ,ECB_00015,b0015,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
14,YP_003043245.1,1.65526621901174,-1.93469963105486,0.972140240405095,-1.99014458063032,0.0465750111065912,0.261681585414025,insL-1,ECB_00016,b0016,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
15,YP_003043246.1,0.0846188867323091,-0.0257582949878783,0.829137999443062,-0.0310663544611155,0.97521662196143,NA,mokC,ECB_00017,b0018,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Sta,Mg_mM_Levels,highMg,baseMg
17,YP_003043248.1,0.120858740878878,-0.023505932331537,0.858970691730697,-0.0273652320828037,0.978168428635947,NA,nhaA,ECB_00018,b0019,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
18,YP_003043249.1,0.941684254827683,-0.839802290908834,0.972487368513648,-0.86356113004572,0.387829024686982,0.690853473812301,nhaR,ECB_00019,b0020,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
19,YP_003043250.1,0.43054600563908,-0.166859411609242,0.986961155648677,-0.16906380829099,0.865746451896699,NA,cirA,ECB_00020,b2155,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
20,YP_003043251.1,0.413631177081074,-0.620047632632735,0.982279785045883,-0.631233220994945,0.527888043278229,NA,yehB,ECB_00021,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
21,YP_003043252.1,1.15028634592556,-1.63247899254195,0.936712284371207,-1.74277525743969,0.0813728798985014,0.318771954715728,yjcF,ECB_00022,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
22,YP_003043253.1,1.04433731411894,-1.70317368907868,0.964719501582645,-1.76545999773467,0.0774864875240342,0.312214429700076,insA-1,ECB_00023,b0022,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
23,YP_003043254.1,0.414086344902107,-0.664566680288171,0.98700372675129,-0.673317295848095,0.500745451593765,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
24,YP_003043255.1,0.340065697955044,-0.550131993338124,0.986022813685788,-0.557930288936938,0.576891987614855,NA,talA,ECB_00025,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
25,YP_003043256.1,0.567479738439909,-1.00127975046822,0.984523688443814,-1.01701946049758,0.309144171848383,NA,elfG,ECB_00026,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
26,YP_003043257.1,58.5844955001369,0.172448418057999,0.521445025907445,0.330712557393554,0.740861616130428,0.925634556226024,rpsT,ECB_00027,b0023,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
27,YP_003043258.1,0.0591226416862088,0.0119100933737374,0.829103173643079,0.0143650317021517,0.988538757169908,NA,yaaY,ECB_00028,b0024,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
28,YP_003043259.1,14.1640835158074,-0.376056708630079,0.501202267595314,-0.750309272211273,0.453068459478645,0.750807364725384,ribF,ECB_00029,b0025,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
29,YP_003043260.1,178.511710792806,0.123147540188547,0.484419894911666,0.25421652058903,0.799328288181347,0.951961901580544,ileS,ECB_00030,b0026,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
30,YP_003043261.1,0.140525780195661,-0.132272282596564,0.917858242412734,-0.144109707234165,0.885413839473541,NA,lspA,ECB_00031,b0027,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
31,YP_003043262.1,7.78852050249634,-0.307502330736552,0.584604496791635,-0.52600062507927,0.598887772668079,0.857086093014656,fkpB,ECB_00032,b0028,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
32,YP_003043263.1,9.93395657419997,-0.550426413306759,0.529578409455578,-1.03936717109108,0.298634005933359,0.603499169641215,ispH,ECB_00033,b0029,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
33,YP_003043264.1,5.60512318686036,-1.34467851157631,0.716479782059744,-1.87678500530833,0.0605475664110217,0.282990504005862,rihC,ECB_00034,b0030,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
