"gene_Type","gene_ID","MURI_016","MURI_017","MURI_018","MURI_019","MURI_020","MURI_021","MURI_022","MURI_023","MURI_024","MURI_025","MURI_026","MURI_027","MURI_028","MURI_029","MURI_030","MURI_031","MURI_032","MURI_033","MURI_034","MURI_035","MURI_036","MURI_037","MURI_038","MURI_039","MURI_040","MURI_041","MURI_042","MURI_043","MURI_044","MURI_045","MURI_046","MURI_047","MURI_048","MURI_049","MURI_050","MURI_052","MURI_053","MURI_054","MURI_055","MURI_056","MURI_057","MURI_058","MURI_061","MURI_064","MURI_065","MURI_066","MURI_067","MURI_068","MURI_069","MURI_070","MURI_071","MURI_072","MURI_073","MURI_074","MURI_075","MURI_076","MURI_077","MURI_079","MURI_080","MURI_081","MURI_082","MURI_084","MURI_085","MURI_086","MURI_087","MURI_088","MURI_089","MURI_090","MURI_091","MURI_092","MURI_093","MURI_094","MURI_095","MURI_096","MURI_097","MURI_098","MURI_099","MURI_100","MURI_101","MURI_102","MURI_103","MURI_104","MURI_105","MURI_106","MURI_107","MURI_108","MURI_109","MURI_110","MURI_111","MURI_112","MURI_113","MURI_114","MURI_115","MURI_116","MURI_117","MURI_118","MURI_119","MURI_120","MURI_121","MURI_122","MURI_123","MURI_124","MURI_125","MURI_126","MURI_127","MURI_128","MURI_129","MURI_130","MURI_131","MURI_132","MURI_133","MURI_134","MURI_135","MURI_136","MURI_137","MURI_138","MURI_139","MURI_140","MURI_141","MURI_142","MURI_143","MURI_144","MURI_145","MURI_146","MURI_147","MURI_148","MURI_149","MURI_150","MURI_151","MURI_152","MURI_153","MURI_154","MURI_155","MURI_156","MURI_157","MURI_158","MURI_159","MURI_160","MURI_161","MURI_162","MURI_163","MURI_164","MURI_165","MURI_166","MURI_167","MURI_168","MURI_169","MURI_170","MURI_171"
"rRNA","ECB_r00001",744,312,144,1712,526,1114,1104,1518,2333,361,226,812,565,12810,160979,1173,13579,6731,6790,15668,4938,739,3460,3490,3382,5694,43102,334,537,425,394,1244,11873,87,4057,306,324,81,53,263,192,155,296,114,306,1040,71,605,364,219,120,79,321,121,131,186,463,57,87,2052,846,670,1046,648,105,7612,95,132,260,246,70,167,124,160,407,3415,5042,405020,366157,734310,620542,1207,6086,5438,333,241,394,222,318,434,365,373,233,392,614,160,278,246,254,257,312,159,253,432,1004,312,245,151,142,185,317,174,30,50,137,50,25,191,229,16,72,132,199,157,323,135,27,23,55,117,50,68,103,90,26,70,191,260,29,54,73,722,94,67,367,467,764,222,475
"rRNA","ECB_r00002",2206,818,646,6161,1093,2623,2873,4482,4625,531,335,1076,3001,21390,104392,2480,33876,12335,13581,32718,10221,1422,7014,7113,6683,16091,88654,538,889,574,804,2564,27476,163,7965,467,543,156,98,468,423,296,529,179,613,1833,217,1840,601,441,172,150,529,146,224,409,479,82,144,3987,1417,1057,1497,1057,168,9636,126,176,470,421,91,269,205,229,615,4411,6135,201904,285696,389713,363875,2640,10040,26683,627,463,804,261,549,577,507,768,249,333,383,227,391,391,354,358,578,259,378,637,1663,493,361,291,249,320,558,254,95,87,265,86,60,263,372,25,106,203,340,233,704,109,62,48,85,154,116,131,186,124,42,135,263,273,57,109,111,1263,175,104,793,810,1049,368,686
"rRNA","ECB_r00003",30,22,0,11,29,72,69,39,67,17,18,38,15,20,66,101,878,500,549,1116,340,53,249,201,238,360,2527,19,51,21,37,100,25,13,228,32,70,29,9,33,44,12,24,9,14,52,2,48,8,8,7,7,15,4,5,8,21,3,2,116,39,50,55,67,12,740,1,9,16,6,6,6,7,5,31,20,43,12086,22691,44730,30571,195,297,8,12,9,18,5,22,21,17,23,11,15,19,6,9,8,15,19,13,11,8,26,33,20,17,1,11,3,7,6,5,1,7,0,1,21,57,1,4,5,28,126,47,3,1,0,2,3,0,2,6,3,1,3,11,11,1,1,2,11,5,4,58,57,26,7,11
"rRNA","ECB_r00004",46,21,3,12,43,94,101,49,80,27,8,78,40,38,94,127,1054,709,830,1771,523,93,377,355,374,487,4159,27,68,21,53,114,44,12,338,24,74,30,4,43,39,21,39,13,12,70,6,75,14,9,7,13,26,6,6,19,25,5,10,151,61,54,86,80,20,1132,11,16,24,15,1,11,9,12,36,21,61,22908,38628,83647,59910,274,400,17,12,10,22,13,20,32,32,24,5,20,26,10,16,15,15,25,14,17,14,58,46,29,22,3,14,2,11,11,3,4,10,3,1,29,63,3,6,4,25,225,62,3,3,2,9,6,3,1,7,7,1,11,6,13,2,5,4,20,6,2,112,78,39,10,16
"rRNA","ECB_r00005",2935,1060,889,8428,1441,3283,3599,5658,6478,764,468,1588,3921,31438,156270,3663,40610,16771,20877,50306,16154,2397,10926,11216,10549,22721,137513,757,1259,1030,1150,3960,39833,260,11184,670,786,223,138,594,546,365,677,312,807,2531,216,2150,804,577,277,191,707,196,288,500,697,92,178,4962,1949,1441,2064,1519,250,15615,201,281,688,606,160,404,262,301,949,6358,8808,329219,455965,676144,648230,3772,14037,41685,879,675,1248,423,766,714,777,1186,365,498,534,265,562,626,582,561,832,420,572,926,2576,746,497,500,391,607,915,450,343,177,421,149,118,453,523,37,153,288,490,368,1067,190,93,63,117,231,188,172,304,205,71,218,340,387,86,138,155,1795,219,158,1197,1259,1557,594,1215
"rRNA","ECB_r00006",922,403,214,2277,567,1430,1351,1820,3200,498,319,1171,875,17360,219054,1560,16174,8654,9471,22865,7429,1241,5320,5043,4877,7696,62735,488,695,787,536,1858,15955,96,5293,425,532,97,56,384,281,276,357,163,382,1474,96,775,427,263,176,119,423,152,148,292,595,68,115,2836,1060,881,1406,869,175,11577,144,167,385,320,88,208,160,212,595,4562,6683,595142,526950,1139713,990546,1705,8123,7713,367,343,589,309,398,520,508,570,337,517,679,215,387,340,433,353,406,231,352,628,1485,468,308,326,229,323,449,270,140,88,225,74,58,200,330,17,94,139,300,202,416,153,42,34,65,147,73,72,130,92,41,99,227,314,33,95,88,971,121,96,519,639,1068,271,797
"rRNA","ECB_r00007",106,75,0,33,91,238,218,160,122,56,106,157,91,117,274,443,1947,497,1237,2680,799,136,645,611,612,631,6134,88,130,62,73,179,108,22,544,115,148,60,30,121,124,55,124,36,91,162,12,85,53,88,49,48,52,15,34,49,167,17,34,300,288,182,158,159,38,1040,14,40,43,51,23,50,28,54,96,92,203,9674,26503,46722,37255,318,315,84,69,49,76,102,172,197,129,111,64,86,162,49,92,82,96,48,45,61,52,131,148,58,64,12,26,8,38,15,10,10,31,6,1,26,73,5,12,24,43,100,48,13,8,9,17,40,11,24,32,27,3,23,41,57,7,19,21,74,28,30,189,206,217,70,75
"rRNA","ECB_r00008",37,37,1,11,34,85,65,39,64,10,12,41,21,19,50,78,938,307,530,1068,289,53,212,202,199,355,2312,19,46,22,36,73,23,2,206,21,73,26,2,31,17,17,31,10,15,38,4,65,13,18,9,12,17,0,6,14,21,1,6,113,38,44,61,60,21,759,4,18,12,13,4,8,6,11,25,18,52,12438,20898,48207,31449,176,201,22,10,15,15,7,19,15,16,24,7,14,24,6,12,15,14,5,6,13,11,40,38,17,15,0,9,2,6,5,2,3,5,1,1,15,27,3,8,5,19,134,45,6,3,2,7,1,5,2,9,3,1,5,10,6,3,3,2,16,5,0,57,70,34,5,9
"rRNA","ECB_r00009",2691,943,838,7287,1322,2933,3227,5289,6171,697,427,1406,3585,25016,112644,3211,35847,15033,18421,44423,14378,2052,9811,9820,8971,18837,120818,711,1072,950,1000,3339,30434,254,10048,588,744,243,118,606,474,372,658,263,618,2276,224,2105,717,579,306,180,704,197,282,454,628,84,182,4923,1807,1428,1883,1372,233,12501,176,269,624,552,146,380,267,325,895,5130,7149,240272,374085,561811,516521,3449,12520,32033,782,597,1163,384,704,610,680,1091,311,462,518,236,541,562,469,498,733,374,494,855,2169,691,459,532,396,525,839,422,272,139,427,128,99,434,551,20,149,280,461,307,896,192,88,66,112,195,161,148,284,184,61,200,304,344,66,112,124,1593,214,174,1070,1060,1421,504,1084
"rRNA","ECB_r00010",1034,515,251,2412,723,1682,1594,10459,3390,476,304,1207,864,17226,222988,1817,18541,9060,10110,24516,7962,1230,5379,5377,5266,8526,65883,474,740,835,625,1971,15916,117,5663,446,533,106,70,360,275,264,360,174,389,1543,77,847,469,298,189,122,493,163,171,289,598,76,139,2965,1144,904,1432,898,156,11624,161,152,398,285,82,226,162,210,551,4702,6819,609457,542136,1200194,1030457,1843,8327,7642,396,366,563,308,367,537,542,571,334,502,722,229,387,383,441,385,422,213,353,639,1514,478,376,330,198,343,429,269,164,80,236,85,60,225,369,17,96,192,286,226,443,179,50,40,63,127,88,99,164,109,34,106,239,321,43,103,81,936,137,85,512,668,1104,298,766
