gene_id	count
CONTAMINANT_A2A4G1	2.78
CONTAMINANT_A2A5Y0	0.58
CONTAMINANT_A2AB72	4
CONTAMINANT_A2I7N0	NA
CONTAMINANT_A2I7N1	NA
CONTAMINANT_A2I7N3	NA
CONTAMINANT_A2VCT4	3
CONTAMINANT_A3EZ79	NA
CONTAMINANT_A3EZ82	1
CONTAMINANT_ENSEMBL:ENSBTAP00000001528	1
CONTAMINANT_ENSEMBL:ENSBTAP00000006074	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000007350	0.5
CONTAMINANT_ENSEMBL:ENSBTAP00000013050	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000014147	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000016046	1
CONTAMINANT_ENSEMBL:ENSBTAP00000016242	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000018229	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000018574	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000023055	2
CONTAMINANT_ENSEMBL:ENSBTAP00000023402	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000024146	1
CONTAMINANT_ENSEMBL:ENSBTAP00000024462	1
CONTAMINANT_ENSEMBL:ENSBTAP00000024466	1
CONTAMINANT_ENSEMBL:ENSBTAP00000025008	2
CONTAMINANT_ENSEMBL:ENSBTAP00000031360	3
CONTAMINANT_ENSEMBL:ENSBTAP00000031900	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000032840	1
CONTAMINANT_ENSEMBL:ENSBTAP00000037665	NA
CONTAMINANT_ENSEMBL:ENSBTAP00000038253	11.47
CONTAMINANT_ENSEMBL:ENSP00000377550	2.29
CONTAMINANT_H-INV:HIT000015463	0.09
CONTAMINANT_H-INV:HIT000016045	0.18
CONTAMINANT_H-INV:HIT000292931	0.5
CONTAMINANT_O43790	0.5
CONTAMINANT_O76009	1.08
CONTAMINANT_O76011	0.08
CONTAMINANT_O76013	1.5
CONTAMINANT_O76014	NA
CONTAMINANT_O76015	NA
CONTAMINANT_O95678	1.65
CONTAMINANT_P00735	1
CONTAMINANT_P00761	4
CONTAMINANT_P00766	NA
CONTAMINANT_P00978	NA
CONTAMINANT_P01030	0.5
CONTAMINANT_P01044-1	1
CONTAMINANT_P01045-1	NA
CONTAMINANT_P01966	NA
