"#ProtID"	"Unweighted"	"Weighted"	"Unique"
"YP_003043231.1"	195	"195.00"	195
"YP_003043232.1"	36	"36.00"	36
"YP_003043233.1"	145	"145.00"	145
"YP_003043235.1"	28	"28.00"	28
"YP_003043237.1"	133	"130.00"	127
"YP_003043238.1"	7	"7.00"	7
"YP_003043243.1"	478	"478.00"	478
"YP_003043244.1"	54	"54.00"	54
"YP_003043253.1"	6	"0.21"	0
"YP_003043257.1"	33	"33.00"	33
"YP_003043259.1"	27	"27.00"	27
"YP_003043260.1"	177	"177.00"	177
"YP_003043262.1"	9	"9.00"	9
"YP_003043263.1"	25	"25.00"	25
"YP_003043264.1"	11	"11.00"	11
"YP_003043265.1"	36	"36.00"	36
"YP_003043266.1"	123	"123.00"	123
"YP_003043267.1"	198	"198.00"	198
"YP_003043271.1"	1	"1.00"	1
"YP_003043279.1"	1	"1.00"	1
"YP_003043280.1"	1	"1.00"	1
"YP_003043281.1"	17	"17.00"	17
"YP_003043282.1"	10	"10.00"	10
"YP_003043283.1"	6	"6.00"	6
"YP_003043284.1"	16	"16.00"	16
"YP_003043285.1"	15	"15.00"	15
"YP_003043286.1"	90	"90.00"	90
"YP_003043287.1"	73	"73.00"	73
"YP_003043288.1"	13	"12.00"	11
"YP_003043290.1"	17	"17.00"	17
"YP_003043295.1"	2	"2.00"	2
"YP_003043296.1"	1	"1.00"	1
"YP_003043302.1"	85	"85.00"	85
"YP_003043303.1"	91	"89.18"	89
"YP_003043304.1"	115	"114.00"	113
"YP_003043305.1"	226	"226.00"	226
"YP_003043308.1"	73	"73.00"	73
"YP_003043309.1"	14	"14.00"	14
"YP_003043310.1"	33	"33.00"	33
"YP_003043311.1"	8	"8.00"	8
"YP_003043312.1"	16	"16.00"	16
"YP_003043314.1"	10	"10.00"	10
"YP_003043315.1"	42	"42.00"	42
"YP_003043316.1"	10	"10.00"	10
"YP_003043318.1"	22	"22.00"	22
"YP_003043320.1"	21	"21.00"	21
"YP_003043321.1"	34	"32.40"	32
"YP_003043322.1"	25	"25.00"	25
"YP_003043323.1"	7	"7.00"	7
"YP_003043324.1"	36	"36.00"	36
"YP_003043325.1"	126	"126.00"	126
"YP_003043326.1"	8	"8.00"	8
"YP_003043328.1"	179	"179.00"	179
"YP_003043329.1"	5	"5.00"	5
"YP_003043330.1"	8	"8.00"	8
"YP_003043331.1"	14	"14.00"	14
"YP_003043332.1"	7	"7.00"	7
"YP_003043333.1"	16	"16.00"	16
"YP_003043337.1"	10	"10.00"	10
"YP_003043338.1"	6	"6.00"	6
"YP_003043339.1"	2	"2.00"	2
"YP_003043340.1"	2	"2.00"	2
"YP_003043341.1"	5	"5.00"	5
"YP_003043342.1"	292	"292.00"	292
"YP_003043343.1"	125	"125.00"	125
"YP_003043344.1"	221	"221.00"	221
"YP_003043346.1"	282	"282.00"	282
"YP_003043348.1"	23	"23.00"	23
"YP_003043349.1"	16	"16.00"	16
"YP_003043350.1"	2	"2.00"	2
"YP_003043351.1"	18	"18.00"	18
"YP_003043352.1"	25	"25.00"	25
"YP_003043353.1"	35	"35.00"	35
"YP_003043354.1"	39	"39.00"	39
"YP_003043355.1"	24	"23.00"	22
"YP_003043359.1"	30	"30.00"	30
"YP_003043361.1"	57	"57.00"	57
"YP_003043362.1"	29	"29.00"	29
"YP_003043366.1"	1	"1.00"	1
"YP_003043367.1"	1	"1.00"	1
"YP_003043370.1"	9	"9.00"	9
"YP_003043371.1"	35	"34.50"	34
"YP_003043373.1"	44	"44.00"	44
"YP_003043374.1"	6	"6.00"	6
"YP_003043375.1"	6	"6.00"	6
"YP_003043376.1"	6	"6.00"	6
"YP_003043377.1"	60	"60.00"	60
"YP_003043378.1"	78	"78.00"	78
"YP_003043379.1"	4	"4.00"	4
"YP_003043380.1"	1	"1.00"	1
"YP_003043382.1"	52	"52.00"	52
"YP_003043384.1"	22	"22.00"	22
"YP_003043386.1"	6	"6.00"	6
"YP_003043387.1"	32	"32.00"	32
"YP_003043389.1"	166	"166.00"	166
"YP_003043391.1"	30	"29.00"	28
"YP_003043393.1"	84	"84.00"	84
"YP_003043394.1"	5	"5.00"	5
"YP_003043395.1"	25	"25.00"	25
"YP_003043396.1"	173	"173.00"	173
"YP_003043397.1"	222	"222.00"	222
"YP_003043398.1"	20	"20.00"	20
"YP_003043399.1"	58	"58.00"	58
"YP_003043400.1"	4	"4.00"	4
"YP_003043401.1"	4	"4.00"	4
"YP_003043403.1"	26	"26.00"	26
"YP_003043404.1"	158	"158.00"	158
"YP_003043405.1"	77	"77.00"	77
"YP_003043406.1"	20	"20.00"	20
"YP_003043407.1"	28	"28.00"	28
"YP_003043408.1"	17	"17.00"	17
"YP_003043409.1"	11	"11.00"	11
"YP_003043410.1"	7	"7.00"	7
"YP_003043411.1"	23	"23.00"	23
"YP_003043412.1"	78	"78.00"	78
"YP_003043413.1"	1	"1.00"	1
"YP_003043414.1"	3	"3.00"	3
"YP_003043415.1"	11	"11.00"	11
"YP_003043416.1"	13	"13.00"	13
"YP_003043417.1"	7	"7.00"	7
"YP_003043418.1"	8	"8.00"	8
"YP_003043422.1"	174	"174.00"	174
"YP_003043423.1"	2	"2.00"	2
"YP_003043424.1"	11	"11.00"	11
"YP_003043425.1"	219	"219.00"	219
"YP_003043426.1"	6	"6.00"	6
"YP_003043427.1"	55	"55.00"	55
"YP_003043428.1"	5	"5.00"	5
"YP_003043429.1"	3	"3.00"	3
"YP_003043430.1"	7	"7.00"	7
"YP_003043431.1"	3	"3.00"	3
"YP_003043434.1"	16	"15.50"	15
"YP_003043435.1"	9	"9.00"	9
"YP_003043436.1"	3	"3.00"	3
"YP_003043439.1"	6	"0.21"	0
"YP_003043443.1"	4	"4.00"	4
"YP_003043444.1"	1	"1.00"	1
"YP_003043445.1"	44	"44.00"	44
"YP_003043446.1"	32	"32.00"	32
"YP_003043447.1"	2	"2.00"	2
"YP_003043450.1"	4	"4.00"	4
"YP_003043451.1"	1	"1.00"	1
"YP_003043459.1"	87	"87.00"	87
"YP_003043460.1"	16	"16.00"	16
"YP_003043461.1"	19	"19.00"	19
"YP_003043462.1"	17	"17.00"	17
"YP_003043463.1"	6	"0.21"	0
"YP_003043465.1"	2	"0.67"	0
"YP_003043466.1"	50	"50.00"	50
"YP_003043467.1"	60	"60.00"	60
"YP_003043473.1"	5	"5.00"	5
"YP_003043477.1"	1	"1.00"	1
"YP_003043483.1"	1	"1.00"	1
"YP_003043491.1"	6	"6.00"	6
"YP_003043494.1"	4	"4.00"	4
"YP_003043495.1"	12	"12.00"	12
"YP_003043497.1"	2	"2.00"	2
"YP_003043506.1"	5	"5.00"	5
"YP_003043507.1"	20	"20.00"	20
"YP_003043511.1"	18	"18.00"	18
"YP_003043515.1"	1	"1.00"	1
"YP_003043518.1"	55	"55.00"	55
"YP_003043519.1"	1	"1.00"	1
"YP_003043523.1"	1	"1.00"	1
"YP_003043526.1"	7	"7.00"	7
"YP_003043527.1"	8	"8.00"	8
"YP_003043535.1"	8	"8.00"	8
"YP_003043537.1"	12	"12.00"	12
"YP_003043538.1"	2	"2.00"	2
"YP_003043541.1"	6	"0.21"	0
"YP_003043542.1"	6	"6.00"	6
"YP_003043543.1"	2	"2.00"	2
"YP_003043545.1"	10	"10.00"	10
"YP_003043546.1"	37	"37.00"	37
"YP_003043548.1"	2	"2.00"	2
"YP_003043550.1"	11	"11.00"	11
"YP_003043552.1"	2	"2.00"	2
"YP_003043555.1"	17	"17.00"	17
"YP_003043556.1"	8	"8.00"	8
"YP_003043560.1"	22	"22.00"	22
"YP_003043561.1"	3	"3.00"	3
"YP_003043562.1"	13	"13.00"	13
"YP_003043564.1"	3	"3.00"	3
"YP_003043568.1"	6	"0.21"	0
