gene_id,Sample 91 EXP a_R1,Sample 91 EXP b_R1,Sample 92 stationary a_R1,Sample 92 stationary b_R!,Sample 93 EXP a_R2,Sample 93 EXP b_R2,Sample 94 stationary a_R2,Sample 94 stationary b_R2,Sample 95 EXP b_R3,Sample 95 EXP a_R3,Sample 96 stationary a_R3,Sample 96 stationary b_R3
#total count:56870,,,,,,,,,,,,
#total count:57649,,,,,,,,,,,,
#total count:57931,,,,,,,,,,,,
#total count:61507,,,,,,,,,,,,
#total count:61901,,,,,,,,,,,,
#total count:61917,,,,,,,,,,,,
#total count:62649,,,,,,,,,,,,
#total count:62994,,,,,,,,,,,,
#total count:63734,,,,,,,,,,,,
#total count:64404,,,,,,,,,,,,
#total count:64532,,,,,,,,,,,,
#total count:64633,,,,,,,,,,,,
CONTAMINANT_A2A4G1,0.68,1.35,1,2.57,1.67,2.86,0.78,1.32,2.78,1.78,0.17,0.43
CONTAMINANT_A2A5Y0,0.5,0.08,,,,,0.08,0.08,0.58,0.08,0.08,1
CONTAMINANT_A2AB72,2,1,1,,,,3,1,4,,1,1
CONTAMINANT_A2I7N0,,,,,,,,0.33,,,,
CONTAMINANT_A2I7N1,,,,,,1,,0.33,,,,
CONTAMINANT_A2I7N3,,,1,,,,,,,,,
CONTAMINANT_A2VCT4,1,,,1,,1,,,3,,1,1
CONTAMINANT_A3EZ79,,,1.5,,1.5,,,1,,,,
CONTAMINANT_A3EZ82,,,0.5,,0.5,,,,1,1,,
CONTAMINANT_ENSEMBL:ENSBTAP00000001528,,2,,,1,1,2,2,1,3,1,1
CONTAMINANT_ENSEMBL:ENSBTAP00000006074,4,,,1,,1,,,,2,2,
CONTAMINANT_ENSEMBL:ENSBTAP00000007350,0.5,,,,,1,2.5,,0.5,1.5,2.5,
CONTAMINANT_ENSEMBL:ENSBTAP00000013050,1,,,,2,,,3,,2,,
CONTAMINANT_ENSEMBL:ENSBTAP00000014147,,1,,,,,,,,,,
CONTAMINANT_ENSEMBL:ENSBTAP00000016046,,1,,1,,,1,2,1,1,,
