gene_id,Sample34_t5_R1,Sample35_t7_R1,Sample36_t8_R1,Sample37_t10_R1,Sample38_t14_R1,Sample39_t24_R1,Sample40_t48_R1,Sample41_t168_R1,Sample42_t336_R1,Sample43_t5_R2,Sample44_t7_R2,Sample45_t8_R2,Sample46_t10_R2,Sample47_t14_R2,Sample48_t24_R2,Sample49_t48_R2,Sample50_t168_R2,Sample51_t336_R2,Sample53_t7_R2,Sample54_t8_R3,Sample55_t10_R3,Sample56_t14_R3,Sample58_t48_R3,Sample59_t168_R3,Sample60_t336_R3
CONTAMINANT_A2A4G1,8,11,2,4,,1,2,,2,4,2,,5,,,10,,8,10,16,13,7,4,6,2
CONTAMINANT_ENSEMBL:ENSBTAP00000001528,1,1,2,1,2,1,1,1,2,5,2,1,,1,,,,,3,,1,2,,,
CONTAMINANT_ENSEMBL:ENSBTAP00000007350,1,,3,1,,,1,,1,12,,,3,2,,1,1,,1,1,3,3,3,1,
CONTAMINANT_ENSEMBL:ENSBTAP00000016242,1,,1,,,1,,,1,2,1,2,,,,,,,,,2,1,,,
CONTAMINANT_ENSEMBL:ENSBTAP00000024146,1,,,2,,1,,,1,6,,,,,,,,,6,3,5,4,,3,
CONTAMINANT_ENSEMBL:ENSBTAP00000038253,54,37,39,29,13,10,18,8,25,62,29,29,1,2,1,16,1,17,22,36,39,21,12,19,13
CONTAMINANT_ENSEMBL:ENSP00000377550,9,3,13,6,4,4,,4,5,,4,5,2,2,2,7,2,5,9,12,12,5,5,6,
CONTAMINANT_H-INV:HIT000292931,1,,,,,,1,,,12,,1,,,,,,,5,3,2,,,,
CONTAMINANT_O76013,2,,5,2,2,,,,,3,4,6,,,,3,,1,1,3,,,2,2,
CONTAMINANT_O76014,1,,1,,,,,,,5,,3,,,,1,,,,6,3,3,2,2,
CONTAMINANT_O76015,1,,1,,,,,,,5,,1,,,,1,,,1,4,1,3,3,2,
CONTAMINANT_O95678,20,11,5,4,1,1,,4,1,10,7,3,,,,,1,2,5,9,13,4,6,3,3
CONTAMINANT_P00761,6,6,6,4,7,3,3,23,67,177,79,61,2,,2,4,1,4,2,5,2,2,2,2,
CONTAMINANT_P01030,1,,3,,,,1,,1,13,,,3,,,1,1,,1,,3,4,,,2
CONTAMINANT_P02533,12,11,9,7,2,3,2,5,2,7,3,2,4,,,10,,9,16,26,20,8,5,14,3
CONTAMINANT_P02535-1,25,19,12,11,4,2,,,7,14,9,7,6,2,2,18,4,15,27,36,26,14,17,22,14
CONTAMINANT_P02538,24,14,4,4,1,,2,2,2,9,7,10,,,,7,,6,9,25,22,8,6,10,5
CONTAMINANT_P02666,1,1,,,,,,,,,,,,,,,,,,,,,,,
CONTAMINANT_P04258,1,2,,2,,1,4,1,4,28,1,1,,1,2,,,1,7,7,2,6,,,
CONTAMINANT_P04259,10,7,3,2,1,,,2,2,12,6,6,,,,7,,5,9,22,17,8,6,10,5
CONTAMINANT_P04264,88,60,62,52,30,19,33,18,44,111,69,68,4,5,1,42,5,69,98,112,134,63,54,81,60
CONTAMINANT_P05787,6,4,2,2,2,,1,,,8,4,3,,,,,,3,6,12,10,4,4,2,3
CONTAMINANT_P07744,20,11,3,4,1,,,,1,4,5,5,1,,,,,2,4,8,11,2,6,1,
CONTAMINANT_P08727,9,11,3,4,,1,2,,2,1,2,,3,,,1,,2,7,9,9,3,4,4,2
CONTAMINANT_P08729,7,4,2,2,1,1,,,,7,4,3,,,1,,,2,4,6,8,6,6,3,1
CONTAMINANT_P08730-1,5,3,8,6,2,2,,,5,2,4,6,4,3,2,7,3,7,14,16,16,5,7,5,
CONTAMINANT_P08779,12,11,6,5,2,3,2,4,3,11,3,2,4,,1,10,,8,14,21,14,6,5,15,2
CONTAMINANT_P12035,20,14,5,7,2,,,1,1,12,8,4,1,,,,,3,5,11,18,3,4,3,2
CONTAMINANT_P13645,58,39,24,27,19,8,8,8,17,44,22,26,15,7,6,40,9,62,77,101,97,39,60,60,56
CONTAMINANT_P13646-1,9,3,12,6,6,4,,4,5,2,4,5,2,2,2,6,2,5,9,10,13,4,3,4,
CONTAMINANT_P13647,10,9,3,2,1,4,1,2,,9,6,3,,,,5,1,5,9,25,23,8,6,7,5
CONTAMINANT_P19001,8,11,2,6,1,1,2,,2,7,3,3,5,5,3,1,1,2,7,7,5,,4,6,2
CONTAMINANT_P19012,12,11,5,4,2,3,2,4,2,1,2,3,2,,,1,,2,6,12,9,3,4,7,2
CONTAMINANT_P19013,17,10,5,4,1,2,2,,2,10,5,4,,,1,2,,,7,7,4,2,,,
CONTAMINANT_P20930,1,,3,2,,5,,4,3,19,1,6,1,1,1,,2,,13,12,9,5,,2,
CONTAMINANT_P21752,1,,,1,,,,,,,,,,,,,,,,,,,,,
CONTAMINANT_P35527,26,18,16,13,2,5,4,3,13,46,13,18,3,4,1,24,,31,39,59,61,29,36,48,31
CONTAMINANT_P35908,77,57,35,37,19,7,13,14,35,47,40,29,5,2,3,9,2,17,64,69,82,40,40,35,40
CONTAMINANT_P48668,10,7,3,2,1,,1,2,2,13,6,8,,,,7,,6,9,23,17,8,6,10,5
CONTAMINANT_P50446,6,4,3,3,3,,,2,1,20,12,7,,,,4,,7,7,14,9,7,7,4,6
CONTAMINANT_Q01546,23,16,5,10,1,,,1,2,11,7,3,,1,1,,,3,5,9,19,3,5,3,4
CONTAMINANT_Q04695,8,11,4,6,,1,2,2,2,3,2,1,2,,,1,,3,8,15,10,7,5,5,2
CONTAMINANT_Q148H6,6,3,2,2,,,,1,2,3,2,5,2,,1,6,,6,6,15,10,9,2,4,1
CONTAMINANT_Q14CN4-1,6,4,2,2,,,,2,1,10,5,2,,,,4,,1,4,5,9,4,4,1,
CONTAMINANT_Q28107,1,2,2,,2,,,2,2,9,2,2,,,1,,1,,8,2,6,2,1,1,
CONTAMINANT_Q29RQ1,1,,,,,1,,2,,10,,,,,,,,,5,8,2,3,,,
CONTAMINANT_Q2M2I5,3,,,1,,1,,,,7,,,,1,,1,,1,4,7,2,2,2,4,
CONTAMINANT_Q2YDI2,2,,,,2,,,,,,,,,,,1,,,,3,1,1,,,
CONTAMINANT_Q32MB2,6,4,2,3,1,1,,1,1,3,5,5,,,,,,,2,6,10,2,4,1,
CONTAMINANT_Q3KNV1,7,4,2,2,,1,,1,,5,4,3,,,1,,,2,3,7,8,4,4,2,
CONTAMINANT_Q3SY84,6,4,2,2,,1,,1,1,6,4,4,,,,4,,1,3,6,8,3,4,1,
CONTAMINANT_Q3TTY5,6,4,3,3,1,3,1,,,17,4,7,,,,3,,5,11,22,23,14,8,10,7
CONTAMINANT_Q5XKE5,21,14,5,7,1,,1,4,1,4,9,4,,,,,,2,6,8,22,5,6,6,3
CONTAMINANT_Q5XQN5,6,6,2,2,3,1,1,2,,20,11,6,,1,,4,1,8,8,23,22,8,6,4,6
CONTAMINANT_Q6IFU6,3,2,5,6,,,2,,1,5,2,4,,,,,,,,,1,4,,,
CONTAMINANT_Q6IFX2,12,11,9,7,2,3,2,4,2,4,3,1,,,,1,,2,4,13,5,2,2,8,2
CONTAMINANT_Q6IFZ6,54,37,22,20,4,5,11,4,22,33,17,13,,,,4,1,7,11,17,22,12,8,7,7
CONTAMINANT_Q6IME9,7,4,2,2,,,,1,1,5,4,2,,,,,,2,3,5,8,4,4,1,
CONTAMINANT_Q6ISB0,9,7,2,5,1,,,,,6,4,2,,,,,,4,2,4,9,3,4,1,
CONTAMINANT_Q6KB66-1,1,,,1,,,,,,8,,2,,,,,,,1,2,,,,,1
CONTAMINANT_Q6NXH9,55,39,22,20,3,6,13,2,23,32,17,14,,1,,4,,5,7,14,21,7,6,8,4
CONTAMINANT_Q7RTS7,6,4,2,4,1,2,,1,1,2,6,3,1,,,4,,2,3,9,7,3,4,1,
CONTAMINANT_Q7RTT2,20,11,3,4,,,,,1,5,5,3,,,,,,,3,6,12,2,4,1,
CONTAMINANT_Q7Z3Y7,5,3,2,2,,,,1,2,8,2,5,2,,1,6,,6,6,15,13,9,2,4,1
CONTAMINANT_Q7Z3Y8,10,5,10,8,2,2,,,7,3,6,8,3,2,2,11,2,12,12,13,13,9,3,4,1
CONTAMINANT_Q7Z3Z0,5,2,2,2,,,,1,2,3,2,4,,1,,5,,6,4,8,5,6,,2,1
CONTAMINANT_Q7Z794,54,37,22,20,3,5,10,2,24,27,17,13,,,,5,,6,8,13,19,8,6,6,6
CONTAMINANT_Q86YZ3,1,2,2,2,6,,4,3,1,12,6,3,,,,,,,10,6,12,6,,4,
CONTAMINANT_Q8BGZ7,20,12,3,4,3,,,3,1,17,12,6,,,,4,,6,5,13,16,5,6,3,4
CONTAMINANT_Q8N1N4-2,20,11,3,4,,,,,1,5,5,3,,,,,,,3,6,12,2,4,1,
CONTAMINANT_Q8VED5,20,11,3,5,,,2,2,1,9,7,3,,,,,,5,7,11,17,8,7,5,5
CONTAMINANT_Q922U2,6,7,2,2,3,,,4,,15,11,5,,,,4,1,8,8,15,18,8,6,5,6
CONTAMINANT_Q9DCV7,7,5,4,4,,3,1,,3,9,6,2,,,1,,,2,3,6,10,4,4,1,
CONTAMINANT_Q9H552,17,10,1,2,,,,,1,9,1,1,,,,,,1,2,3,6,1,,1,
CONTAMINANT_Q9NSB2,9,7,2,5,1,,,,,6,4,2,,,,,,4,2,4,9,3,4,1,
CONTAMINANT_Q9QWL7,8,12,4,5,,1,2,2,2,5,2,1,2,2,,1,,2,8,15,12,5,6,5,3
CONTAMINANT_Q9R0H5,54,38,22,21,2,6,10,2,22,28,18,14,,,,8,,6,9,17,22,10,6,6,4
YP_003043231.1,54,90,71,83,22,57,59,52,79,290,91,118,82,82,80,,82,93,175,147,161,154,161,200,175
YP_003043232.1,2,6,18,17,7,9,23,3,3,48,22,43,25,34,31,,17,22,17,10,21,19,30,28,7
