"""gene_id",sample16_t3,sample17_t4,sample18_t5,sample19_t6,sample20_t8,sample21_t24,sample22_t48,sample23_t168,sample24_336,sample25_t3,sample26_t4,sample27_t5,sample28_t6,sample29_t8,sample30_t24,sample31_t48,sample32_t168,sample33_336,sample97_t3,sample98_t4,sample99_t5,sample100_t6,sample101_t8,sample102_t24,sample103_t48,sample104_t168,"sample105_336"""
"""YP_003044966.1",0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0.5,0,0.5,0,0.5,"0"""
"""YP_003043986.1",87,101,104,133,140,132,127,130,128,104,135,119,143,168,169,139,112,123,67,64,55,73.5,73,89.5,56.5,55.5,"39.5"""
"""YP_003045405.1",2,4,5,5,6,3,4,5,6,8,8,5,4,3,0,0,2,2,2.5,1,4,2,2,1,2.5,2,"0"""
"""YP_003044440.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"0"""
"""YP_003043527.1",2,4,0,0,7,5,6,5,5,0,3,3,0,8,7,8,6,0,0,0,0.5,0.5,7,4.5,0,0,"0"""
"""YP_003045246.1",6,3,3,1,0,0,3,2,0,0,1,1,1,1,0,2,4,0,6,4.5,10.5,7.5,7,11,4,6.5,"7"""
"""YP_003045867.1",1,0,1,1,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,"0"""
"""YP_003045188.1",0,0,1,1,1,1,0,2,0,1,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,"0"""
"""YP_003044265.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,"0"""
"""YP_003043980.1",9,13,11,7,13,26,13,15,20,12,16,8,10,14,18,18,17,22,4,6.5,5.5,5.5,5,7.5,5,15,"10"""
"""YP_003043822.1",126,131,108,112,116,104,72,39,17,105,134,112,123,128,130,79,42,26,70.5,76,69,86,88.5,80.5,61.5,35,"23.5"""
"""YP_003046796.1",185,209,211,258,278,293,288,304,364,152,184,212,254,307,284,282,256,270,94,100.5,101,135,172,154,122.5,189.5,"132"""
