gene_id,Sample85_0,Sample85_1,Sample86_0,Sample86_1,Sample87_0,Sample87_1,Sample88_0,Sample88_1,Sample89_0,Sample89_1,Sample90_0,Sample90_1
YP_003043231.1,126,130,97,102,124,137,118,114,121,124,113,111
YP_003043232.1,34,30,30,30,37,30,30,35,33,35,30,36
YP_003043233.1,115,107,85,85,109,104,103,106,99,94,115,108
YP_003043235.1,21,18,19,16,23,19,22,16,18,18,19,20
YP_003043237.1,124,130,91,91,132,112,138,125,127,120,135,125
YP_003043238.1,9,9,9,9,5,5,10,10,9,6,6,9
YP_003043243.1,309,323,298,297,324,312,384,386,284,270,380,390
YP_003043244.1,40,32,51,52,45,51,51,60,53,49,50,48
YP_003043249.1,1,,,,,,,,,,,
YP_003043253.1,16,14,6,6,13,17,6,5,8,10,4,2
YP_003043257.1,34,38,31,32,37,36,36,32,37,37,37,37
YP_003043259.1,20,20,14,18,20,22,16,20,18,17,14,15
YP_003043260.1,186,183,143,129,176,163,148,146,154,140,148,163
YP_003043262.1,8,8,6,5,13,10,18,12,5,6,11,14
YP_003043263.1,17,20,4,6,15,16,10,15,16,17,12,12
YP_003043264.1,11,13,11,12,10,9,12,11,17,17,13,13
YP_003043265.1,32,25,17,17,28,29,27,22,24,26,27,25
YP_003043266.1,66,59,48,49,59,66,62,61,56,55,69,62
YP_003043267.1,185,180,146,152,178,162,155,152,180,155,168,155
YP_003043270.1,1,,1,,,,1,,1,1,1,2
YP_003043271.1,2,2,,2,,2,,,2,2,,
YP_003043280.1,3,1,,2,,2,3,,1,1,2,1
YP_003043281.1,17,16,12,12,17,16,19,21,11,10,19,22
YP_003043282.1,9,10,3,,10,5,6,5,5,3,5,3
YP_003043284.1,8,11,5,4,7,10,5,5,10,9,4,7
YP_003043285.1,15,14,11,13,15,15,16,13,15,14,10,10
YP_003043286.1,86,81,99,93,84,62,76,70,79,80,80,76
YP_003043287.1,72,73,72,73,66,73,87,74,65,67,91,91
YP_003043288.1,8,4,13,12,1,3,3,4,8,9,5,6
YP_003043290.1,15,10,7,6,15,13,12,11,14,13,18,14
YP_003043295.1,3,6,,,6,4,2,,4,3,4,2
YP_003043296.1,1,,,,3,2,,,2,2,,
YP_003043299.1,5,2,,1,3,,6,5,1,,1,3
YP_003043300.1,1,1,,,1,1,,,,,,
YP_003043302.1,61,58,46,45,59,52,53,55,44,46,49,48
YP_003043303.1,105,100,105,93,104,98,115,113,94,99,112,103
YP_003043304.1,73,64,64,66,68,71,83,94,61,64,70,86
YP_003043305.1,116,114,90,87,122,115,111,118,97,89,107,97
YP_003043308.1,50,53,33,35,43,41,41,44,37,31,36,42
YP_003043309.1,22,18,15,17,24,18,16,13,18,16,14,17
YP_003043310.1,27,26,27,26,25,23,32,35,28,24,26,29
YP_003043311.1,2,4,6,6,3,3,9,8,3,3,7,9
YP_003043312.1,20,21,19,16,23,26,22,23,17,15,23,22
YP_003043313.1,9,7,,,7,9,2,,4,2,,1
YP_003043314.1,11,12,,,10,8,,2,6,7,,
YP_003043315.1,34,34,20,19,33,34,27,23,36,36,25,26
YP_003043316.1,13,11,9,9,14,13,12,11,13,13,14,12
YP_003043318.1,28,32,20,18,32,26,29,25,24,23,22,22
YP_003043320.1,11,13,11,8,10,14,7,7,14,12,8,8
YP_003043321.1,25,26,23,20,28,26,23,22,28,33,17,17
YP_003043322.1,20,24,16,15,19,22,18,20,19,21,23,18
YP_003043323.1,5,6,,,4,4,,,4,2,1,
YP_003043324.1,18,17,14,14,13,11,16,18,14,14,15,14
YP_003043325.1,108,102,54,60,98,89,76,77,89,92,72,74
YP_003043326.1,5,,5,5,7,4,9,11,7,5,9,7
YP_003043328.1,141,137,99,86,139,144,144,131,138,136,139,129
YP_003043329.1,4,2,1,,3,3,,1,3,3,,1
YP_003043330.1,16,14,15,14,11,13,24,23,12,10,19,18
YP_003043331.1,7,7,6,6,6,6,10,11,6,6,8,6
YP_003043333.1,14,15,10,9,15,13,11,13,15,12,13,12
YP_003043337.1,9,8,4,8,12,11,13,12,7,4,8,11
YP_003043340.1,1,2,2,2,2,2,,,2,2,,
YP_003043341.1,18,21,20,18,21,17,16,15,17,17,11,13
YP_003043342.1,372,361,281,288,374,334,374,368,327,328,362,348
YP_003043343.1,180,178,157,156,179,169,206,207,178,176,198,186
YP_003043344.1,202,194,161,170,204,206,208,213,183,197,218,207
YP_003043346.1,260,251,203,181,260,238,261,246,249,223,230,233
YP_003043348.1,33,32,4,6,29,34,13,12,20,16,14,8
YP_003043349.1,15,14,12,11,19,16,11,10,20,23,7,12
YP_003043350.1,3,2,,,2,2,3,3,2,3,3,
YP_003043351.1,13,14,6,3,14,13,17,16,14,10,14,14
YP_003043352.1,3,3,25,27,4,4,20,23,5,7,17,20
YP_003043353.1,38,40,23,22,34,34,38,38,26,29,30,28
YP_003043354.1,46,46,32,30,47,49,42,42,45,41,41,40
YP_003043355.1,17,20,8,7,12,15,8,11,21,16,14,9
YP_003043359.1,26,27,16,15,21,19,14,18,27,27,12,12
YP_003043361.1,38,35,29,31,34,29,30,32,35,30,41,41
YP_003043362.1,22,25,19,19,23,26,26,23,25,26,17,17
YP_003043370.1,1,,,,,,2,2,,,1,
YP_003043371.1,30,28,7,8,27,28,5,5,20,27,10,8
YP_003043373.1,43,46,48,46,52,46,67,70,46,35,66,70
YP_003043374.1,2,2,,,1,2,1,3,1,,2,2
YP_003043375.1,4,2,3,3,6,5,2,2,6,4,3,3
YP_003043376.1,7,7,4,10,9,7,4,4,5,9,1,1
YP_003043377.1,37,41,41,39,37,41,32,33,35,45,39,36
YP_003043378.1,28,27,25,31,26,31,30,35,30,40,37,42
YP_003043379.1,6,2,2,1,9,7,1,,4,4,4,1
YP_003043382.1,50,52,53,54,51,45,45,49,49,50,46,40
YP_003043384.1,19,17,20,15,20,21,23,18,19,15,25,25
YP_003043386.1,3,5,5,5,6,5,4,2,4,5,,1
YP_003043387.1,16,17,10,10,20,14,22,22,13,14,21,22
