,sample_130,sample_131,sample_132,sample_134,sample_136,sample_137,sample_138,sample_140,sample_107,sample_108,sample_112,sample_113,sample_114,sample_116,sample_118,sample_119,sample_120,sample_122,sample_124,sample_125,sample_126,sample_128
YP_003043231.1,83,106,125,135,95,89,65,127,210,214,198,191,181,142,230,225,226,227,188,201,188,161
YP_003043232.1,21.5,34.5,24.5,34.5,16,31,23,25.5,32.5,32.5,32,33,24,27,28,25.5,27,31,29.5,26,24,20
YP_003043233.1,76,144,105,140,73,91,74,91,175,169,156,150,138,140,164,153,154,161,144,151,132,117
YP_003043235.1,4,10,4,23,5,12,6,21,28,27,28,28,17,34,20,21,19,21,8,20,11,31
YP_003043236.1,,1,,,,,,,,,,,,,,,,,,,,
YP_003043237.1,75,110.5,76.5,121,67,81,74,96,115,113,137,119.5,108,132.5,109.5,121.5,116.5,127.5,108,120,106,103.5
YP_003043238.1,5,3,4,5,4,3,,7,12,4,6,6,7,6,4,4,5,2,3,5,2,5
YP_003043239.1,,,,,,,,,,,,,,,,,,,1,,,
YP_003043242.1,,,1,,,,,,,,,,,,,,,,,,,
YP_003043243.1,219,300,254,511,209,283,213,289,585,548,588,551,447,558,447,431,467,500,402,462,438,415
YP_003043244.1,15,37,39,34,17,20,20,20,30,28,41,38,31,38,44,38,39,38,43,45,43,44
YP_003043245.1,0.4,0.2,0.2,,,0.2,0.4,,,,,,,,0.4,0.2,0.2,0.2,,,0.4,
YP_003043248.1,,,,,,,,,,,,,,,,,,1,,,,
YP_003043249.1,,,,,,,,2,,,,,,,,1,,,,,,
YP_003043250.1,,,,,,,,2,,,,,,,,,,,,,,
YP_003043252.1,,,,,,,,,,,,,,,,,,,,,1,
YP_003043253.1,0.04,0.22,0.07,0.04,,,,,0.07,0.07,0.04,,,,0.04,,0.04,,,,,
YP_003043254.1,,,,,,0.05,0.04,,,,0.04,,,,0.05,,,,,,,
YP_003043256.1,1,,,,,,,,,,,,,,,,,,,,,
YP_003043257.1,44,81,38,66,15,42,45,26,45,52,32,32,33,33,45,46,43,89,33,38,34,31
YP_003043259.1,1,9,4,11,3,9,5,7,8,6,11,10,5,11,12,13,12,12,10,11,11,12
YP_003043260.1,69,87,82,181,57,80,68,132,179,170,166,178,149,198,181,166,175,195,146,184,162,174
YP_003043262.1,4,3,3,3,2,1,4,4,10,8,7,7,5,8,4,5,7,6,5,8,4,4
YP_003043263.1,4,4,4,8,3,2,1,7,12,15,8,8,5,6,11,9,7,8,6.5,8,5,4
YP_003043264.1,,2,,,,,,,,,3,3,2,7,,,,,,,,2
YP_003043265.1,16,24,14,73,7,16,15,67,45,35,52,65,47,58,33,29,34,37,21,47,32,39
YP_003043266.1,36,66,47,101,29,35,40,74,90,89,73,80,73,100,79,76,83,88,69,84,59,75
YP_003043267.1,110,135,128,249,76,123,106,199,237,246,186,198,175,222,224,215,235,265,192,216,169,247
YP_003043268.1,,,,,,,,,,,,,1,,,,,,,,,
YP_003043269.1,,,1,,,1,,,,1,,,,,,,,,,,,
YP_003043270.1,,,,,,,,,,,,,,,,,,,,,,1
YP_003043271.1,,1,1,,,,,,,,,,,,,,,,,,,
YP_003043272.1,,,,,1,,,,,,,,,,,,,,,,,
YP_003043273.1,1,,,,,,,,,,,,,,,,,,,,,
YP_003043274.1,,,,,,1,,,,,,,,,,,,,,,,
YP_003043275.1,,,3,1,,,1,,,,,,1,,,,,,,,,
YP_003043276.1,1,,,,,,,,,,,,,,,,,,,,,
YP_003043278.1,,,,2,,,,,,,,,,,,,,,,,,
YP_003043279.1,,,,,,,,,,,2,2,2,,,,,,2,,,1
YP_003043280.1,,1,,,,1,1,2,,2,,1,,,,,,,,,,
YP_003043281.1,2,5,,,,,,3,9,6,8,6,8,4,5,4,5,4,5,7,2,
YP_003043282.1,,,5,2,,,,2,5,4,4,2,,2,,1,,3,,,,7
YP_003043283.1,,,1,2,,,2,6,2,2,2,4,2,4,,,1,,,,2,2
YP_003043284.1,,4,1,8,1,3,1,4,11,20,13,10,11,12,8,8,12,13,8,12,4,5
YP_003043285.1,2,2,2,8,7,1,5,9,9,10,17,9,6,14,11,6,5,9,5,6,8,10
YP_003043286.1,35,46,38,67,26,42,43,33,69,76,70,74,70,54,67,66,68,67,60,64,73,72
YP_003043287.1,15,28,27,30,16,21,21,23,60,41,52,38,62,38,66,54,65,64,53,57,55,38
YP_003043288.1,3,,,1,,2,2,3,8,8,12.5,11,8,8,6,3,1,2,2,4.5,2,2.5
YP_003043289.1,2,,,,1,,,,,2,,,,,,,,,,,,
YP_003043290.1,9,9,9,18,4,5,8,9,32,25,25,19,16,21,24,19,26,21,11,27,10,15
YP_003043291.1,3,,,,4,,1,2,1,,,1,,,,,,1,1,,,1
YP_003043292.1,,,,1,,,,,,,,,,,,,,,,,,
YP_003043293.1,,,,,,,,1,,,2,2,,2,,,,,,1,,
YP_003043294.1,1,,,,1,2,,,,1,,,,,2,,1,,1,,,
YP_003043296.1,,,,,,,,,,,,,,1,1,,,1,,1,,
YP_003043297.1,,,,,1,,1,,,,,,,,,,1,,,,,
YP_003043298.1,,,1,,1,,,,,,,,,,,,,,,,,
YP_003043299.1,,,1,,,,,,,,,,,2,,,,1,,,,
YP_003043300.1,,,,,,,,,,,,1,,,,,,,,,,
YP_003043301.1,,,,,,,1,,,,,,,,,,,,,,,
YP_003043302.1,70,66,48,71,26,38,30,42,82,76,45,50,42,22,84,72,63,59,57,65,34,34
YP_003043303.1,82,113,109,127,58,92,68,85,157,158,90,123,104,68,143,140,125,128,123,142,92,72
YP_003043304.1,34,63.5,53,48,29,38,35,25,86,90,92,90,59.5,57,87,82,77,57,74,89,63,43
YP_003043305.1,29,63,55,83,54,66,48,33,154,131,94,92,68,29,150,140,139,129,121,161,127,56
YP_003043307.1,,,,,,,,,,,1,,,,,,,,,,,
YP_003043308.1,9,18,26,49,19,29,33,31,74,68,56,60,74,75,60,50,58,61,54,69,47,50
YP_003043309.1,8,13,11,18,5,13,9,14,16,25,24,20,10,17,21,21,21,16,17,15,13,15
YP_003043310.1,,,3,2,2,,,2,4,8,17,12,14,7,5,7,7,5,6,4,4,4
YP_003043311.1,,3,2,4,,3,3,7,5,4,9,8,4,11,3,3,3,6,4,7,8,15
YP_003043312.1,5,8,5,28,6,8,6,32,28,22,37,34,24,41,19,14,23,19,18,30,22,28
YP_003043313.1,,,,,,,,1,1,1,,,,,2,,2,3,1,,,
YP_003043314.1,1,1,,21,,1,1,3,8,7,,,,1,14,7,15,16,,,,1
YP_003043315.1,2,19,5,46,2,7,10,34,42,31,43,49,29,66,44,31,39,43,30,37,22,56
YP_003043316.1,2,5,5,16,1,2,2,17,11,11,12,11,10,18,8,6,7,6,7,10,6,11
YP_003043317.1,,,,,,,,,2,1,,,2,2,,,,1,,,,
YP_003043318.1,7,10,12,28,4,9,6,28,19,12,26,31,15,47,30,30,24,32,23,21,25,35
YP_003043319.1,,1,,,3,,,,,,,,,,1,,,2,,,,
YP_003043320.1,4,5,1,11,,4,4,18,18,14,16,22,12,22,19,15,16,17,15,16,20,16
YP_003043321.1,4.2,15,13.6,38,4.4,13.2,6,33.6,22,19,18.8,21,13.2,33.6,30.6,27.2,23.8,31.6,17.8,25.8,15.8,22.8
YP_003043322.1,7,16,14,34,4,11,11,30,25,18,28,25,18,33,23,17,21,23,20,19,18,22
YP_003043323.1,2,1,1,4,,,,1,1,2,,,,,3,,4,4,,1,,
YP_003043324.1,3,13,5,29,1,6,2,29,18,14,14,23,15,22,25,14,18,22,12,20,19,24
YP_003043325.1,62,72,76,137,52,53,51,102,113,125,82,100,90,110,109,109,119,126,90,102,89,88
YP_003043326.1,1,2,,16,1,2,1,10,3,4,16,16,5,10,8,5,3,2,4,4,3,4
YP_003043327.1,,,,,,,,,,1,,,,,,,1,,,,,
YP_003043328.1,60,87,90,157,41,68,58,108,175,162,146,163,142,172,155,167,174,182,117,156,165,155
YP_003043329.1,,,,,,,,,4,2,2,2,,,4,2,4,3,,2,1,
YP_003043330.1,4,8,9,7,3,5,4,,7,7,7,2,2,,6,8,5,7,4,5,4,2
YP_003043331.1,2,2,2,3,2,3,3,10,22,20,26,15,12,23,10,9,13,14,6,7,6,6
YP_003043332.1,,1,,2,,4,,3,1,,5,6,,5,1,,,,,,,
YP_003043333.1,11,14,12,22,9,9,11,18,11,13,14,9,6,18,12,14,20,17,12,16,18,29
YP_003043334.1,,,1,,,,,,,,,,,,,,,,,,,
YP_003043335.1,,,1,2,,,1,,,,,1,,,,1,,2,,,,1
YP_003043336.1,,,,,,,,,,,1,,,,,,,,,,,
YP_003043337.1,,1,,7,,,,2,20,26,23,20,13,17,18,16,12,19,10,16,10,8
YP_003043338.1,1,,,2,,,,,2,,,3,,4,,,,,,,1,
YP_003043339.1,1,,,1,,,,,,,4,4,6,5,6,4,1,8,4,9,3,5
YP_003043340.1,,,2,6,,,1,5,6,2,2,4,4,2,9,7,8,8,5,5,10,8
YP_003043341.1,2,7,1,3,1,1,1,,3,2,10,9,4,9,3,1,3,4,,,2,3
YP_003043342.1,145,309,207,504,112,140,141,309,293,313,330,405,338,472,264,264,302,317,248,268,249,286
YP_003043343.1,113,138,107,193,59,104,89,157,126,158,151,173,172,199,124,120,132,150,113,120,128,153
YP_003043344.1,105,165,108,212,82,120,125,191,193,195,229,261,180,251,209,208,206,214,185,213,176,185
YP_003043345.1,,,,,1,,,,,,,,,,,,,,,,,
YP_003043346.1,132,153,134,155,61,66,46,126,231,233,194,193,174,164,225,197,179,193,205,210.5,147,174
YP_003043347.1,,,,,,,,,,,4,4,4,2,,,,,2,6,4,4
YP_003043348.1,15,23,21,21,10,11,8,12,42,34,21,18,12,24,30,28,29,25,15,22,22,18
YP_003043349.1,4,4,4,14,2,3,5,5,35,24,29,29,23,23,19,23,22,18,18,22,14,20
YP_003043350.1,,,1,5,,,,1,2,2,1,,,,,,,2,1,,,
YP_003043351.1,2,,1,15,1,,1,5,7,9,21,4,5,6,27,20,21,18,17,26,16,3
YP_003043352.1,6,14,9,55,5,15,24,37,39,46,38,32,43,69,33,27,34,38,27,31,38,57
YP_003043353.1,8,25,22,27,6,11,11,17,38,41,43,43,29,39,34,25,23,32,28,36,23,25
YP_003043354.1,26,45,40,67,27,42,49,35,61,59,55,56,52,70,54,49,56,58,41,51,43,55
YP_003043355.1,,3,2,5,,1,2,12,9,12,13,8,9,11,11,14,13,17,12,11,11,18
YP_003043358.1,,,,,,,1,2,,,,,,,,,,,,,,
YP_003043359.1,10,19,20,40,8,21,14,10,32,29,17,17,15,10,27,26,25,30,14,15,10,8
YP_003043361.1,15,21,12,34,13,14,18,49,24,26,45,45,21,45,36,47,34,39,35,38,36,40
YP_003043362.1,2,14,4,10,7,10,9,10,25,22,31,27,22,27,12,14,16,14,15,16,7,10
YP_003043363.1,,,,,,,1,,2,1,,,,1,,,,,,,,
YP_003043364.1,,,,,,,,,,,,,,,,,,,,,1,
YP_003043366.1,3,,1,,2,1,,1,,,1,,,,,,,,,,,
YP_003043367.1,,,,,,,,,3,2,3,1,4,,,1,3,,,2,,
YP_003043370.1,,2,,4,,1,,,2,3,2,4,3,2,1,,3,1,2,1,,
YP_003043371.1,10,23,19,29,4,4,8,1,35,30,15,22,3,9,39,39,37,30,12,26,11,13
YP_003043372.1,,,,,,2,,1,,,,,,,,,,1,,,,
YP_003043373.1,21,23,27,65,13,34,30,26,46,42,67,54,49,51,37,37,29,34,34,48,50,30
YP_003043374.1,1,,,1,1,,1,,4,2,2,3,3,5,2,,3,4,5,4,,3
YP_003043375.1,,,,,,,,,1,,3,2,,3,2,,,1,,,,
YP_003043376.1,2,2,2,5,2,,,1,2,,3,1,,1,4,2,4,7,3,3,1,1
YP_003043377.1,10,21,8,32,4,19,16,25,30,35,47,40,28,49,24,29,28,28,21,29,40,29
YP_003043378.1,16,40,47,68,58,65,47,47,38,49,58,63,41,65,39,56,71,90,28,35,74,38
YP_003043379.1,,1,1,22,,3,,15,,,4,7,,16,,,5,13,,,9,14
YP_003043380.1,,,,1,,,,,,,,2,,9,,,1,4,,,,
YP_003043381.1,,,,1,,,,,,,,,,,,,,,,,,
YP_003043382.1,44,43,28,38,45,50,29,48,57,43,52,51,46,48,68,58,41,42,55,47,43,51
YP_003043383.1,,,,1,,,,,,,,,,,,,,,,,,
YP_003043384.1,8,20,16,17,7,19,8,6,14,23,12,10,10,9,14,11,11,11,9,8,8,9
YP_003043386.1,,,,,,,,1,1,2,,1,,1,,,,,,,,
YP_003043387.1,8,3,10,10,5,4,11,20,25,22,20,19,20,23,23,17,20,22,19,25,18,22
YP_003043388.1,,,1,,1,,,1,,,2,,,2,,1,1,,,,,
YP_003043389.1,63,76,77,105,70,83,72,72,102,106,122,115,115,105,90,90,92,106,76,87,91,96
YP_003043390.1,5,3,3,1,4,3,6,1,2,4,2,2,3,2,,,3,1,,2,2,4
YP_003043391.1,17,23,12,48.5,10,30,33.5,46,17,12.5,29,42.5,29.5,38,17.5,15,22,17,26,33,20,26.5
YP_003043392.1,,,,,,,,,,,,,,,,,,,,,1,
YP_003043393.1,97,77,100,126,69,68,69,116,110,105,108,127,92,128,102,105,119,124,113,112,118,132
YP_003043394.1,,,,7,2,1,1,3,1,,3,,1,13,1,2,2,3,2,2,4,9
YP_003043395.1,16,39,37,48,23,28,31,53,47,44,43,56,33,43,50,47,45,55,29,42,36,46
YP_003043396.1,163,189,189,204,118,141,96,137,210,171,190,202,144,178,195,202,222,248,173,210,151,149
YP_003043397.1,99,120,113,242,74,98,80,132,257,246,247,268,173,210,174,177,205,219,153,210,140,144
YP_003043398.1,4,6,12,10,6,9,10,11,13,14,8,10,13,11,16,13,16,15,13,11,16,14
YP_003043399.1,41,58,40,57,38,51,36,46,40,39,45,55,44,50,39,39,46,48,48,46,33,31
YP_003043400.1,2,2,1,2,1,,2,4,5,4,7,8,5,12,3,1,1,5,,1,,2
YP_003043401.1,,,,,,,,,4,2,,,,1,,,2,1,,,,
YP_003043403.1,7,10,9,10,1,5,2,7,16,12,5,2,1,7,12,16,12,11,,1,,1
YP_003043404.1,38,95,92,152,50,95,76,100,128,164,130,123,129,136,117,133,142,156,117,127,133,116
YP_003043405.1,28,31,39,25,29,37,36,22,73,60,54,57,61,24,57,58,54,66,25,48,76,39
YP_003043406.1,5,6,1,5,1,6,1,6,13,2,5,6,7,4,10,8,11,13,7,11,6,9
YP_003043407.1,6,24,14,26,14,17,15,21,31,29,29,29,25,30,39,34,33,29,29,28,35,34
YP_003043408.1,6,12,7,8,7,6,4,6,11,8,8,8,6,7,12,13,10,12,13,9,12,14
YP_003043409.1,,7,,11,,4,,6,8,2,6,4,2,3,7,4,8,8,2,5,3,4
YP_003043410.1,,,,3,,,,2,4,3,3,4,,1,2,4,6,4,2,,2,3
YP_003043411.1,2,1,1,16,,1,,,11,9,3,8,3,6,10,6,3,6,,3,5,11
