gene_id,Sample 84 stationary 300mM,Sample 83 stationary 200mM,Sample 82 stationary 100mM,Sample 81 stationary 5mM,Sample 80 exp 300mM,Sample 79 exp 200mM,Sample 78 exp 100mM,Sample 77 exp 5mM,Sample 76 stationary 300mM,Sample 75 stationary 200mM,Sample 74 stationary 100mM,Sample 73 stationary 5mM,Sample 72 exp 300mM,Sample 71 exp 200mM,Sample 70 exp 100mM,Sample 69 exp 5mM
YP_003044966.1,10.5,15,,14,18.33333333,19,30.5,17.5,5,6.5,6.5,2,7,4.5,11.33333333,5.333333333
YP_003043986.1,53.5,82.5,,76,76.33333333,93,55.5,62,50.5,45.5,45.5,18.5,83,51.5,71.66666667,70.66666667
YP_003044937.1,8,6.5,,11.5,8,8.5,11.5,14.5,7.5,4.5,4,1.5,2.5,4,8,4.666666667
CONTAMINANT_O4,25,25,,17,21.33333333,26,28,20,18.5,13,14.5,5.5,8.5,12.5,9.333333333,10
YP_003045157.1,12.5,26.5,,17,19.66666667,16,26.5,10.5,13,5.5,11.5,4,6.5,5.5,14.33333333,13.33333333
YP_003044440.1,5.5,4.5,,6.5,7,7,9.5,7.5,3.5,2.5,6,2.5,1.5,1,5,3.333333333
YP_003043527.1,15.5,20.5,,17.5,11.66666667,8,24,11.5,14.5,14.5,22,4,12,19.5,17.66666667,21
YP_003046614.1,18,18,,12.5,14,12,19,13,13.5,7.5,6.5,3,8,10.5,5.666666667,12
YP_003045246.1,6,11,,8,8,8.5,13.5,8,10,7,13,5.5,5.5,5,9.666666667,7
YP_003045867.1,3.5,8.5,,3.5,7.666666667,5,12.5,4.5,2.5,1,7,4,3.5,3.5,4,1.666666667
YP_003045188.1,23.5,25,,17.5,28,31.5,40,16,15,14,18.5,7,10,7.5,18.66666667,18
YP_003044265.1,1,1.5,,3,1,0.5,2.5,1.5,2,0,0.5,0,0,0,0,0
YP_003047334.1,2.5,2,,2,3,5,3,2.5,5.5,1,4.5,0,0,3.5,1.333333333,2.333333333
YP_003043980.1,34,25,,33,31.66666667,23.5,40,22.5,30,20,19,13,28.5,21,29,31.33333333
YP_003043394.1,35,26.5,,40.5,30,44,57,32,21.5,16.5,30,6.5,12.5,20,20,24
YP_003046796.1,150.5,166,,191.5,114.3333333,128.5,91,151,126,120,131,60,115,108,81,107.3333333
YP_003044442.1,3,1.5,,3.5,1.666666667,4,1.5,7,3,0,1.5,0,0,0.5,2,1
YP_003043744.1,25,12,,8.5,10.66666667,11,19.5,10.5,24.5,11.5,5,3.5,4,9,6,4.666666667
YP_003043289.1,6.5,7,,8,4.666666667,6.5,14,9.5,4,3.5,9.5,3,4.5,2,5.333333333,6.333333333
YP_003045699.1,19,24,,18.5,24.66666667,26,48.5,19.5,23,17,22.5,3,12.5,20,13,19.66666667
YP_003045186.1,2.5,0,,2,2.333333333,3.5,5,2,1.5,0,0.5,0,1.5,1.5,2.333333333,2.666666667
CONTAMINANT_O9,40.5,47.5,,50,61.33333333,53.5,80.5,53.5,37.5,33.5,41.5,21,34,27.5,38.33333333,33.33333333
YP_003045405.1,20,15,,10.5,9.333333333,13.5,13,10.5,15.5,13,10.5,11.5,9,8.5,10.33333333,9.666666667
YP_003043982.1,30.5,36,,40,36,44.5,56,47.5,22.5,23.5,29.5,11.5,19.5,23,25,29.66666667
YP_003043820.1,12.5,15,,15,15.33333333,12.5,12.5,16.5,10.5,4,8.5,4.5,4.5,7.5,11.66666667,7.333333333
YP_003046794.1,189.5,204,,254,234.3333333,266.5,233,260,149.5,171,165,98.5,204.5,211,270.6666667,253.3333333
YP_003044444.1,9.5,8,,9.5,7.333333333,14.5,13,8.5,12.5,15,12,2.5,4.5,9,4.666666667,8.333333333
YP_003044873.1,1.5,1.5,,1,5.333333333,2.5,3.5,0.5,4,3,1.5,1,1,1.5,0,2.333333333
YP_003045938.1,5,4.5,,6,9.333333333,10.5,13.5,12,2,1.5,5.5,1,4,1,12.66666667,6.666666667
YP_003043287.1,109.5,85,,102,81.66666667,107.5,85,88,109,80,103.5,55,84.5,78.5,59.66666667,86.33333333
YP_003045147.1,25,24.5,,15.5,24.66666667,25.5,30.5,22,25,16.5,21.5,3,14,10,11.66666667,17.33333333
YP_003045268.1,20.5,42.5,,18,43.66666667,47.5,84.5,19,14,11.5,21,11,15.5,12.5,55.33333333,35.66666667
YP_003044849.1,25,21.5,,16.5,23.66666667,20.5,29.5,5.5,20.5,17,17,4.5,24,15,15.33333333,18.66666667
YP_003046792.1,262,282.5,,362.5,320,353.5,284,345.5,205.5,186,193.5,141,235,194,407.6666667,247
YP_003044730.1,13,9,,9,10.66666667,11,18,13.5,10,4.5,7.5,1.5,7,7,9.333333333,8.333333333
YP_003043350.1,3,6.5,,3.5,5.333333333,2.5,3,4,2,3.5,6,1.5,3,3.5,1,4.666666667
YP_003045054.1,39.5,17.5,,19,38.33333333,25,40.5,19.5,35.5,21,21.5,9.5,19.5,11.5,20.66666667,16.66666667
YP_003043802.1,7.5,8.5,,1,7.666666667,5,16,1.5,3,2,4.5,1.5,6,2,4.666666667,6.666666667
YP_003045622.1,1,2,,1.5,2,1.5,1.5,1,2,1,1.5,1,0,2,0.666666667,1
YP_003046922.1,6,7,,10,6.666666667,13.5,17.5,8,6,2.5,4,2.5,7.5,8.5,8,7.333333333
YP_003045941.1,46.5,33.5,,38,28.66666667,27.5,24.5,19.5,54,31.5,39,22,30,25,19.66666667,25
YP_003043535.1,11.5,9,,15,6,10,11,14.5,8,9,14.5,6,11,9,11.33333333,9.333333333
YP_003046581.1,4,6,,3.5,4.666666667,2,10.5,3.5,8.5,2.5,3.5,1.5,3.5,2.5,2.333333333,3
YP_003045689.1,10,12.5,,7,7.666666667,9,12.5,8,6.5,1,2.5,2,9,4,5.333333333,6.333333333
YP_003044355.1,11,12.5,,14.5,16.33333333,24.5,18.5,14.5,12.5,7,17.5,4.5,8,5.5,10.33333333,11.66666667
YP_003045258.1,5,11,,8.5,7,9.5,13.5,9.5,7.5,4,2.5,5,7,2.5,3,3.666666667
YP_003044958.1,25.5,18.5,,15,10,11.5,10.5,11,13,9,15.5,7,14.5,7,6.333333333,8.666666667
YP_003045149.1,10,9.5,,12,15,18,24.5,13.5,12,11,16,4.5,7,6,9,8.333333333
YP_003046958.1,2.5,4,,6,8,9.5,9,4,2.5,1.5,3,2.5,4.5,3.5,7,5
YP_003045262.1,7.5,6.5,,8,9.666666667,11.5,17,11,9.5,4.5,10,3.5,6.5,2.5,5.333333333,5.666666667
YP_003046479.1,18.5,21.5,,26,25.66666667,26,39,19,19,14.5,20.5,3,12,12.5,24.66666667,18.33333333
YP_003046091.1,19,9.5,,18.5,19.66666667,15,17.5,15,12,3.5,7.5,6.5,12,2,9,12
YP_003046231.1,62.5,54,,64.5,47.33333333,61,37.5,66,50.5,44,46.5,28.5,37.5,44.5,28.66666667,27
YP_003047004.1,16.5,15,,5,10,14.5,14.5,2,11.5,8,8.5,3.5,12,11,3,7
YP_003045153.1,21.5,25.5,,16,21.66666667,24.5,39.5,15,16,6,17.5,3.5,9.5,11.5,17,19
YP_003044357.1,5,1,,2,8,3.5,10,1,2,2,2.5,0.5,0,3.5,2.333333333,3
YP_003045928.1,47,54,,32.5,60,59,60,38,58,50,46,16.5,63,51.5,41,40.66666667
YP_003043523.1,13,5.5,,13,6.333333333,5,7.5,12,10,3.5,6.5,4.5,4.5,3,2.666666667,4.666666667
YP_003045419.1,7.5,5.5,,12,7,10,8,7.5,10.5,2.5,11,2,3,3,4.333333333,5.333333333
YP_003044859.1,11,12.5,,14.5,8,10,17,15,9,6.5,8,9,9.5,9,7.666666667,7.666666667
YP_003046278.1,78.5,51,,50.5,55.33333333,48,44.5,39.5,60,43,49.5,43.5,56,43.5,33.33333333,39.66666667
YP_003047006.1,27,27.5,,25.5,18,21,43,18.5,19.5,9.5,22,3,14,9,11.33333333,15.33333333
YP_003045155.1,7.5,11.5,,9.5,12.33333333,20.5,16,9.5,6.5,0.5,8,2,7,5.5,15.66666667,14
YP_003046211.1,5.5,11.5,,4,10,6,9.5,8,7.5,4,4,2,7,4,5.666666667,4.333333333
YP_003043521.1,10,8,,7.5,8,12,22,5,6,4,5,5,4,5.5,7,9
YP_003045861.1,8.5,6,,7,6.666666667,6.5,10.5,4.5,2,2,5.5,0,4.5,4.5,4,4.333333333
YP_003044267.1,6,8,,14.5,9.666666667,7,9,12,1.5,4,2.5,2.5,2.5,3,3,4
YP_003043822.1,100.5,105.5,,112,83.33333333,102.5,103.5,101,89.5,56,73.5,47,76.5,58.5,79,76.66666667
YP_003046274.1,75,69.5,,61,74,73,71,59,53.5,43,48,25,62,46,71.66666667,65.66666667
YP_003043692.1,13.5,20,,15.5,21.33333333,18.5,25.5,17.5,23,12.5,17.5,4.5,12,9,16,20.33333333
YP_003044698.1,15.5,8.5,,13,10.33333333,9,11,12.5,7.5,8,8,4,4,2.5,5.333333333,6.333333333
YP_003045159.1,13,8,,17,16.33333333,20.5,21.5,19,7,5,8.5,0,4.5,4,13,12
YP_003043966.1,10.5,8.5,,8,11.33333333,7.5,22.5,11.5,9,4.5,8.5,3,8.5,4,10,9.333333333
YP_003045926.1,32.5,25.5,,17,29,26,41.5,19.5,26,25.5,23,10,17.5,16,20.66666667,21.33333333
YP_003044337.1,1.5,0.5,,1,0.666666667,0,3,1,2,0.5,1.5,0.5,0,2,0,1
YP_003047348.1,23.5,18.5,,19,25.33333333,21,22,15,16,12.5,24,7,8.5,12,11.66666667,15.33333333
YP_003046276.1,73.5,72,,96.5,75.33333333,86,81.5,105,56.5,52,57.5,41.5,65,63.5,52.66666667,68
YP_003045409.1,7,11,,13.5,16.33333333,14.5,22.5,12,13,6.5,9,5.5,7,5,8.333333333,6.666666667
YP_003046485.1,66.5,92.5,,92,22.66666667,17,35.5,11,86.5,69.5,88.5,50.5,43.5,48.5,44.33333333,49
YP_003045256.1,63,81.5,,83.5,83.33333333,78.5,62.5,84.5,63,50,49.5,28,62.5,61,69,73.33333333
YP_003044096.1,9.5,28.5,,33,23,34,33,30,17.5,19,37.5,5.5,20.5,16.5,16.66666667,21.66666667
YP_003045179.1,10.5,6.5,,5.5,7.333333333,6.5,9,6.5,5.5,2,8,2,2.5,3,3.333333333,3.333333333
YP_003044335.1,8.5,6.5,,9.5,4.666666667,4,12,7.5,3,5,7,1.5,4.5,4,2,4.333333333
YP_003047346.1,11.5,8.5,,5.5,11.66666667,4,8,6.5,6.5,0,6,6.5,3,3.5,4,3
YP_003047038.1,4.5,8.5,,6,4.333333333,6.5,7.5,10,5,2.5,7,5,1,1,4.666666667,1.333333333
YP_003044349.1,13.5,8,,9.5,11.33333333,15,13.5,8,7.5,3.5,6,1,10,4.5,8.333333333,7
YP_003043531.1,9,10,,6.5,10.33333333,11.5,18,5,9.5,6,10,0.5,5,6,4.666666667,9.666666667
YP_003044736.1,7.5,8,,15,23.33333333,11,16.5,16.5,9.5,7,15,12.5,11,6.5,7.333333333,7.333333333
YP_003046252.1,38,27.5,,25,40.33333333,31.5,27,23,31,20.5,17,8,34.5,24.5,27.33333333,26
