gene_ID	count
ECB_00001	82
ECB_00002	483
ECB_00003	132
ECB_00004	114
ECB_00005	14
ECB_00006	18
ECB_00007	1
ECB_00008	386
ECB_00009	28
ECB_00010	22
ECB_00011	0
ECB_00012	0
ECB_00013	0
ECB_00014	982
ECB_00015	54
ECB_00016	17
ECB_00017	0
ECB_00018	16
ECB_00019	10
ECB_00020	2
ECB_00021	2
ECB_00022	0
ECB_00023	1
ECB_00024	3
ECB_00025	0
ECB_00026	3
ECB_00027	1370
ECB_00028	1
ECB_00029	145
ECB_00030	897
ECB_00031	87
ECB_00032	25
ECB_00033	196
ECB_00034	4
ECB_00035	38
ECB_00036	246
ECB_00037	557
ECB_00038	1
ECB_00039	0
ECB_00040	1
ECB_00041	1
ECB_00042	0
ECB_00043	7
ECB_00044	0
ECB_00045	0
ECB_00046	0
ECB_00047	0
ECB_00048	0
ECB_00049	0
ECB_00050	5
ECB_00051	13
ECB_00052	37
ECB_00053	20
ECB_00054	10
ECB_00055	60
ECB_00056	78
ECB_00057	327
ECB_00058	462
ECB_00059	15
ECB_00060	28
ECB_00061	174
ECB_00062	8
ECB_00063	1
ECB_00064	0
ECB_00065	0
ECB_00066	4
ECB_00067	17
ECB_00068	3
ECB_00069	2
ECB_00070	8
ECB_00071	21
ECB_00072	29
ECB_00073	99
ECB_00074	91
ECB_00075	160
ECB_00076	165
ECB_00077	226
ECB_00078	2
ECB_00079	108
ECB_00080	66
ECB_00081	157
ECB_00082	68
ECB_00083	105
ECB_00084	56
ECB_00085	371
ECB_00086	224
ECB_00087	70
ECB_00088	93
ECB_00089	109
ECB_00090	44
ECB_00091	74
ECB_00092	133
ECB_00093	126
ECB_00094	55
ECB_00095	258
ECB_00096	410
ECB_00097	1389
ECB_00098	39
ECB_00099	707
ECB_00100	4
ECB_00101	7
ECB_00102	19
ECB_00103	9
ECB_00104	161
ECB_00105	3
ECB_00106	2
ECB_00107	0
ECB_00108	77
ECB_00109	26
ECB_00110	14
ECB_00111	357
ECB_00112	65
ECB_00113	2788
ECB_00114	1047
ECB_00115	1036
ECB_00116	3
ECB_00117	1074
ECB_00118	22
ECB_00119	59
ECB_00120	68
ECB_00121	60
ECB_00122	31
ECB_00123	191
ECB_00124	211
ECB_00125	160
ECB_00126	42
ECB_00127	45
ECB_00128	13
ECB_00129	18
ECB_00130	81
ECB_00131	3
ECB_00132	105
ECB_00133	39
ECB_00134	12
ECB_00135	0
ECB_00136	1
ECB_00137	0
ECB_00138	0
ECB_00139	0
ECB_00140	2
ECB_00141	7
