sampleNum,dataSet,experiment,growthTime_hr,harvestDate,cellTotal,cellsPerTube,batchNumber,carbonSource,Mg_mM,Na_mM,growthPhase,Mg_mM_Levels,Na_mM_Levels,uniqueCondition,uniqueCondition02,doublingTimeMinutes,doublingTimeMinutes.95m,doublingTimeMinutes_95p,rSquared,sizeFactor
16,MURI_016,glucose_time_course,3,2/13/13,1.1e+10,2.2e+09,8,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,2.42614767418597
17,MURI_017,glucose_time_course,4,2/13/13,1.38e+10,2.76e+09,8,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,3.02230672818875
18,MURI_018,glucose_time_course,5,2/13/13,2.48e+08,49600000,8,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,1.01105341696254
19,MURI_019,glucose_time_course,6,2/13/13,5.8e+08,1.16e+08,8,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,2.38990413339604
20,MURI_020,glucose_time_course,8,2/13/13,7.88e+08,1.58e+08,8,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,1.09109034720783
21,MURI_021,glucose_time_course,24,2/14/13,7.76e+08,1.55e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.420336907365365
22,MURI_022,glucose_time_course,48,2/15/13,7.04e+08,1.41e+08,8,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.395412600983625
23,MURI_023,glucose_time_course,168,2/20/13,6.16e+08,1.23e+08,8,glucose,0.8,5,late_stationary,baseMg,baseNa,unique_condition_17,unique_condition_08,53.67995457,49.10029844,59.20179166,0.98493046,0.834916410176463
24,MURI_024,glucose_time_course,336,2/27/13,5.84e+08,1.17e+08,8,glucose,0.8,5,late_stationary,baseMg,baseNa,unique_condition_17,unique_condition_08,53.67995457,49.10029844,59.20179166,0.98493046,1.93402879779798
25,MURI_025,glucose_time_course,3,2/20/13,1.4e+10,2.8e+09,9,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,3.77925806156376
26,MURI_026,glucose_time_course,4,2/20/13,1.74e+10,3.48e+09,9,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,5.20858256279816
27,MURI_027,glucose_time_course,5,2/20/13,2.44e+08,48800000,9,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,5.23577237196798
28,MURI_028,glucose_time_course,6,2/20/13,4.88e+08,97600000,9,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,3.78936304088814
30,MURI_030,glucose_time_course,24,2/21/13,7.8e+08,1.56e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.720592005036274
31,MURI_031,glucose_time_course,48,2/22/13,6.96e+08,1.39e+08,9,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,53.67995457,49.10029844,59.20179166,0.98493046,0.631490842969887
32,MURI_032,glucose_time_course,168,2/27/13,6.28e+08,1.26e+08,9,glucose,0.8,5,late_stationary,baseMg,baseNa,unique_condition_17,unique_condition_08,53.67995457,49.10029844,59.20179166,0.98493046,3.99707314682764
33,MURI_033,glucose_time_course,336,3/6/13,5.72e+08,1.14e+08,9,glucose,0.8,5,late_stationary,baseMg,baseNa,unique_condition_17,unique_condition_08,53.67995457,49.10029844,59.20179166,0.98493046,3.77891432190877
34,MURI_034,glycerol_time_course,5,7/17/13,1.9e+08,1.9e+07,10,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,2.50512315474923
35,MURI_035,glycerol_time_course,7,7/17/13,2.4e+08,2.4e+07,10,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,2.71013912459782
36,MURI_036,glycerol_time_course,8,7/17/13,1.82e+08,18200000,10,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,2.85119522839988
37,MURI_037,glycerol_time_course,10,7/17/13,1.87e+08,18700000,10,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,2.81906230535017
38,MURI_038,glycerol_time_course,14,7/17/13,2.47e+08,24700000,10,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,1.23317776037875
39,MURI_039,glycerol_time_course,24,7/18/13,2.2e+08,2.2e+07,10,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.483786201488285
40,MURI_040,glycerol_time_course,48,7/19/13,1.94e+08,19400000,10,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.923303599133663
41,MURI_041,glycerol_time_course,168,7/24/13,1.68e+08,16800000,10,glycerol,0.8,5,late_stationary,baseMg,baseNa,unique_condition_18,unique_condition_09,84.09256028,74.28728971,96.87985071,0.978655127,6.02414290719359
42,MURI_042,glycerol_time_course,336,7/31/13,1.43e+08,14300000,10,glycerol,0.8,5,late_stationary,baseMg,baseNa,unique_condition_18,unique_condition_09,84.09256028,74.28728971,96.87985071,0.978655127,1.28601976207062
43,MURI_043,glycerol_time_course,5,2013-08-06,2.4e+08,2.4e+07,11,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,1.73099137300285
44,MURI_044,glycerol_time_course,7,2013-08-06,2.75e+08,27500000,11,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,2.10876937644283
45,MURI_045,glycerol_time_course,8,2013-08-06,1.82e+08,18200000,11,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,1.16195244842609
46,MURI_046,glycerol_time_course,10,2013-08-06,1.97e+08,19700000,11,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,0.738895093822658
47,MURI_047,glycerol_time_course,14,2013-08-06,2.36e+08,23600000,11,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,0.308261601531168
48,MURI_048,glycerol_time_course,24,2013-08-07,1.88e+08,18800000,11,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.31845996099687
49,MURI_049,glycerol_time_course,48,2013-08-08,1.76e+08,17600000,11,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.403953978599584
50,MURI_050,glycerol_time_course,168,2013-08-13,1.23e+08,12300000,11,glycerol,0.8,5,late_stationary,baseMg,baseNa,unique_condition_18,unique_condition_09,84.09256028,74.28728971,96.87985071,0.978655127,0.476397402257989
52,MURI_052,glycerol_time_course,5,2013-08-14,1.8e+08,1.8e+07,12,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,1.72128458833835
53,MURI_053,glycerol_time_course,7,2013-08-14,2.4e+08,2.4e+07,12,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,1.01841147034999
54,MURI_054,glycerol_time_course,8,2013-08-14,1.8e+08,1.8e+07,12,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,0.676345064932251
55,MURI_055,glycerol_time_course,10,2013-08-14,3.88e+08,38800000,12,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,0.607222156879557
56,MURI_056,glycerol_time_course,14,2013-08-14,4.44e+08,44400000,12,glycerol,0.8,5,exponential,baseMg,baseNa,unique_condition_15,unique_condition_06,84.09256028,74.28728971,96.87985071,0.978655127,0.403979122858729
57,MURI_057,glycerol_time_course,24,2013-08-15,3.9e+08,3.9e+07,12,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.400734414249018
58,MURI_058,glycerol_time_course,48,2013-08-16,3.68e+08,36800000,12,glycerol,0.8,5,stationary,baseMg,baseNa,unique_condition_33,unique_condition_15,84.09256028,74.28728971,96.87985071,0.978655127,0.456871590414813
59,MURI_059,glycerol_time_course,168,2013-08-21,2.88e+08,28800000,12,glycerol,0.8,5,late_stationary,baseMg,baseNa,unique_condition_18,unique_condition_09,84.09256028,74.28728971,96.87985071,0.978655127,0.739389603552781
61,MURI_061,NaCl_stress,5.5,2013-09-17,1.1e+10,1.1e+09,13,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,62.59630672,52.6876373,77.09516308,0.9256599,3.01947718344152
63,MURI_063,NaCl_stress,6,2013-09-17,9.3e+09,9.3e+08,13,glucose,0.8,200,exponential,baseMg,highNa,unique_condition_09,unique_condition_03,71.7909528,60.80324561,87.62573034,0.875937904,5.07148566629459
64,MURI_064,NaCl_stress,8,2013-09-17,2.1e+10,2.1e+09,13,glucose,0.8,300,exponential,baseMg,highNa,unique_condition_10,unique_condition_03,94.55206746,80.49309685,114.5614333,0.859135365,2.05642802119065
65,MURI_065,NaCl_stress,28,2013-09-18,6.9e+09,6.9e+08,13,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,0.359081630571703
66,MURI_066,NaCl_stress,28,2013-09-18,2.1e+10,2.1e+09,13,glucose,0.8,100,stationary,baseMg,highNa,unique_condition_26,unique_condition_12,66.03566192,57.17392907,78.14834651,0.926509335,0.352435700295591
68,MURI_068,NaCl_stress,28,2013-11-18,1.8e+10,1.8e+09,13,glucose,0.8,300,stationary,baseMg,highNa,unique_condition_28,unique_condition_12,94.55206746,80.49309685,114.5614333,0.859135365,0.311487430934828
69,MURI_069,NaCl_stress,6,2013-11-21,4.2e+10,4.2e+09,14,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,62.59630672,52.6876373,77.09516308,0.9256599,2.30375695097515
70,MURI_070,NaCl_stress,6.5,2013-11-21,4e+10,4e+09,14,glucose,0.8,100,exponential,baseMg,highNa,unique_condition_08,unique_condition_03,66.03566192,57.17392907,78.14834651,0.926509335,0.903320909948306
71,MURI_071,NaCl_stress,8,2013-11-21,4.3e+10,4.3e+09,14,glucose,0.8,200,exponential,baseMg,highNa,unique_condition_09,unique_condition_03,71.7909528,60.80324561,87.62573034,0.875937904,0.9598592781858
72,MURI_072,NaCl_stress,10,2013-11-21,4.3e+10,4.3e+09,14,glucose,0.8,300,exponential,baseMg,highNa,unique_condition_10,unique_condition_03,94.55206746,80.49309685,114.5614333,0.859135365,2.13044445799635
73,MURI_073,NaCl_stress,29,2013-11-22,4.3e+10,4.3e+09,14,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,0.435484847169503
74,MURI_074,NaCl_stress,29,2013-11-22,3.9e+10,3.9e+09,14,glucose,0.8,100,stationary,baseMg,highNa,unique_condition_26,unique_condition_12,66.03566192,57.17392907,78.14834651,0.926509335,0.213099212494603
76,MURI_076,NaCl_stress,29,2013-11-22,3.6e+10,3.6e+09,14,glucose,0.8,300,stationary,baseMg,highNa,unique_condition_28,unique_condition_12,94.55206746,80.49309685,114.5614333,0.859135365,0.472165213505879
77,MURI_077,NaCl_stress,5.5,2013-11-14,3.6e+10,3.6e+09,15,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,62.59630672,52.6876373,77.09516308,0.9256599,2.08428582453429
79,MURI_079,NaCl_stress,8,2013-11-14,3.9e+10,3.9e+09,15,glucose,0.8,200,exponential,baseMg,highNa,unique_condition_09,unique_condition_03,71.7909528,60.80324561,87.62573034,0.875937904,1.31020881507793
80,MURI_080,NaCl_stress,10,2013-11-14,4.5e+10,4.5e+09,15,glucose,0.8,300,exponential,baseMg,highNa,unique_condition_10,unique_condition_03,94.55206746,80.49309685,114.5614333,0.859135365,2.35116492738788
81,MURI_081,NaCl_stress,29,2013-11-15,4.1e+10,4.1e+09,15,glucose,0.8,5,stationary,baseMg,baseNa,unique_condition_25,unique_condition_11,62.59630672,52.6876373,77.09516308,0.9256599,0.604740921836662
82,MURI_082,NaCl_stress,29,2013-11-15,4e+10,4e+09,15,glucose,0.8,100,stationary,baseMg,highNa,unique_condition_26,unique_condition_12,66.03566192,57.17392907,78.14834651,0.926509335,0.359703870463761
83,MURI_083,NaCl_stress,29,2013-11-15,3.5e+10,3.5e+09,15,glucose,0.8,200,stationary,baseMg,highNa,unique_condition_27,unique_condition_12,71.7909528,60.80324561,87.62573034,0.875937904,0.214469882009132
85,MURI_085,lactate_growth,9,2013-10-10,6.4e+09,6.4e+08,16,lactate,0.8,5,exponential,baseMg,baseNa,unique_condition_16,unique_condition_07,100.4307315,92.47869035,109.8789863,0.96177919,8.99284424306001
86,MURI_086,lactate_growth,29,2013-10-11,1.2e+10,1.2e+09,16,lactate,0.8,5,stationary,baseMg,baseNa,unique_condition_34,unique_condition_16,100.4307315,92.47869035,109.8789863,0.96177919,2.46924513819019
87,MURI_087,lactate_growth,8,2013-10-16,4.6e+09,4.6e+08,17,lactate,0.8,5,exponential,baseMg,baseNa,unique_condition_16,unique_condition_07,100.4307315,92.47869035,109.8789863,0.96177919,2.22261411468712
88,MURI_088,lactate_growth,29,2013-10-17,1.1e+10,1.1e+09,17,lactate,0.8,5,stationary,baseMg,baseNa,unique_condition_34,unique_condition_16,100.4307315,92.47869035,109.8789863,0.96177919,0.674261944292491
89,MURI_089,lactate_growth,9,2013-10-18,NA,NA,18,lactate,0.8,5,exponential,baseMg,baseNa,unique_condition_16,unique_condition_07,100.4307315,92.47869035,109.8789863,0.96177919,2.54146314316265
90,MURI_090,lactate_growth,29,2013-10-19,NA,NA,18,lactate,0.8,5,stationary,baseMg,baseNa,unique_condition_34,unique_condition_16,100.4307315,92.47869035,109.8789863,0.96177919,0.434059707972529
91,MURI_091,gluconate_growth,6,2013-10-10,9e+09,9e+08,19,gluconate,0.8,5,exponential,baseMg,baseNa,unique_condition_01,unique_condition_01,62.72714551,59.92653397,65.80235831,0.993396867,1.009588967773
92,MURI_092,gluconate_growth,27,2013-10-11,1.7e+10,1.7e+09,19,gluconate,0.8,5,stationary,baseMg,baseNa,unique_condition_19,unique_condition_10,62.72714551,59.92653397,65.80235831,0.993396867,0.64285915909125
93,MURI_093,gluconate_growth,5,2013-10-16,8.8e+09,8.8e+08,20,gluconate,0.8,5,exponential,baseMg,baseNa,unique_condition_01,unique_condition_01,62.72714551,59.92653397,65.80235831,0.993396867,1.94349789089212
94,MURI_094,gluconate_growth,27,2013-10-17,1.7e+10,1.7e+09,20,gluconate,0.8,5,stationary,baseMg,baseNa,unique_condition_19,unique_condition_10,62.72714551,59.92653397,65.80235831,0.993396867,0.728842855934537
95,MURI_095,gluconate_growth,6,2013-10-18,NA,NA,21,gluconate,0.8,5,exponential,baseMg,baseNa,unique_condition_01,unique_condition_01,62.72714551,59.92653397,65.80235831,0.993396867,3.25563872805643
96,MURI_096,gluconate_growth,27,2013-10-19,NA,NA,21,gluconate,0.8,5,stationary,baseMg,baseNa,unique_condition_19,unique_condition_10,62.72714551,59.92653397,65.80235831,0.993396867,0.43306923109317
97,MURI_097,glucose_time_course,3,2013-11-05,2.1e+10,2.1e+09,7,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,13.3153690055378
98,MURI_098,glucose_time_course,4,2013-11-05,2.7e+10,2.7e+09,7,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,13.0518388714806
99,MURI_099,glucose_time_course,5,2013-11-05,2.7e+10,2.7e+09,7,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,9.37009526013954
100,MURI_100,glucose_time_course,6,2013-11-05,2.9e+10,2.9e+09,7,glucose,0.8,5,exponential,baseMg,baseNa,unique_condition_07,unique_condition_02,53.67995457,49.10029844,59.20179166,0.98493046,6.57163285206286
