"","uniqueCondition","medianMax","stdMax","sd_sd","numSamples","ratioValue","oddOne"
"1","glucose_0.8mMMg_5mMNa_336hr",0.991140104690585,1.76534584491807,0.598023058786131,3,2.42027491373553,"MURI_105"
"2","glucose_0.08mMMg_5mMNa_stationary",0,1.47036335333754,0.341999766252083,3,1.70705287157396,"MURI_136"
"3","glucose_0.8mMMg_5mMNa_048hr",0,1.14600342338391,0.26675386719148,3,1.69255514795761,"MURI_103"
"4","glucose_0.8mMMg_5mMNa_006hr",0,1.07247476887966,0.234302778329157,3,1.61569094507926,"MURI_100"
"5","glucose_0.8mMMg_5mMNa_024hr",0,1.11912201299543,0.24333594339163,3,1.60760268837787,"MURI_102"
"6","glucose_0.8mMMg_5mMNa_008hr",0,1.15792773465722,0.248519282717205,3,1.6064686726357,"MURI_101"
"7","glucose_8mMMg_5mMNa_stationary",0,1.36585030041067,0.283238486174883,3,1.57979679299674,"MURI_138"
"8","glucose_0.8mMMg_5mMNa_168hr",0,1.11424182753555,0.226464333381399,3,1.54687479341788,"MURI_104"
"9","glucose_0.8mMMg_5mMNa_004hr",0,1.00863061190117,0.190934773478609,3,1.49337402946544,"MURI_098"
"10","glycerol_0.8mMMg_5mMNa_168hr",0,1.3691233921709,0.238139299659064,3,1.44021219012348,"MURI_041"
"11","glucose_0.8mMMg_5mMNa_003hr",0,1.01420816159888,0.171416878008616,3,1.41520076698955,"MURI_097"
"12","glycerol_0.8mMMg_5mMNa_048hr",0,2.26151324130776,0.41667968473953,3,1.40905601656325,"MURI_049"
"13","glucose_8mMMg_5mMNa_exponential",0,1.12430447338473,0.178984970634545,3,1.38730678358078,"MURI_132"
"14","glucose_0.8mMMg_5mMNa_005hr",0,1.09325126970863,0.160317405048632,3,1.34547294182139,"MURI_099"
"15","glucose_200mMMg_5mMNa_stationary",0,0.983281204400484,0.123587285459461,3,1.28105239991296,"MURI_140"
"16","lactate_0.8mMMg_5mMNa_stationary",0,0.749638114861369,0.090980063441247,3,1.26848903122531,"MURI_086"
"17","lactate_0.8mMMg_5mMNa_exponential",0,0.62002912143406,0.0610436013368582,3,1.20678454934343,"MURI_089"
"18","glycerol_0.8mMMg_5mMNa_007hr",0.892374445081179,1.46414604383517,0.176859174593989,3,1.20676204951876,"MURI_035"
"19","glycerol_0.8mMMg_5mMNa_014hr",0.11183660029014,1.27277000283679,0.125133088479364,3,1.20550772782578,"MURI_038"
"20","glycerol_0.8mMMg_5mMNa_010hr",0.144082341436713,1.31535656078971,0.124623251446053,3,1.19659775698713,"MURI_037"
"21","gluconate_0.8mMMg_5mMNa_exponential",0,0.877154798329848,0.0833378512060475,3,1.17873530989085,"MURI_093"
"22","glycerol_0.8mMMg_5mMNa_008hr",0.0752055480866134,1.22174918959301,0.113453955285087,3,1.1187953445455,"MURI_054"
"23","gluconate_0.8mMMg_5mMNa_stationary",0,0.674922119239966,0.041130399431958,3,1.10344720567228,"MURI_092"
"24","glucose_0.8mMMg_5mMNa_stationary",1.13236800758848,1.5999481482582,0.304617968479876,5,1.07882337652317,"MURI_137"
"25","glycerol_0.8mMMg_5mMNa_336hr",0,1.36329328443607,0.0431264516250396,3,1.05481384414144,"MURI_042"
"26","glucose_0.8mMMg_5mMNa_exponential",0.988897837504087,1.57345049135104,0.383113149297624,5,1.04234850223598,"MURI_077"
"27","glucose_0.08mMMg_5mMNa_exponential",0,1.25554239990677,NA,2,NA,"MURI_118"
"28","glucose_0.8mMMg_100mMNa_exponential",0.0260129296641911,0.570053279221887,NA,2,NA,"MURI_070"
"29","glucose_0.8mMMg_200mMNa_exponential",0.069330100449067,0.589820538155592,NA,2,NA,"MURI_071"
"30","glucose_0.8mMMg_200mMNa_stationary",0.0366520486863551,0.538399214738147,NA,2,NA,"MURI_075"
"31","glucose_0.8mMMg_300mMNa_exponential",0,0.537025990274331,NA,2,NA,"MURI_072"
"32","glucose_0.8mMMg_300mMNa_stationary",0,0.474958793723826,NA,2,NA,"MURI_076"
"33","glucose_200mMMg_5mMNa_exponential",0,0.921488414196709,NA,2,NA,"MURI_122"
"34","glycerol_0.8mMMg_5mMNa_005hr",1.21107347669052,1.56945908562476,NA,2,NA,"MURI_034"
"35","glycerol_0.8mMMg_5mMNa_024hr",0,1.32940768783366,NA,2,NA,"MURI_039"
