,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1,YP_003043230.1,0.0354527676381278,0.000388072074366055,0.022107873206425,0.0175535688459292,0.985994997656248,NA,thrL,ECB_00001,b0001,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
2,YP_003043231.1,202.221889345538,-0.0280996802121697,0.0152186225724193,-1.84640101812464,0.0648339995081669,0.138948498280153,thrA,ECB_00002,b0002,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
3,YP_003043232.1,46.4648889716683,-0.0729136378702029,0.017256411757373,-4.22530702763567,2.38615224870225e-05,0.000160355408947235,thrB,ECB_00003,b0003,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
4,YP_003043233.1,205.522796064663,-0.0661181678817365,0.0178459493757601,-3.70493978715101,0.000211440954471537,0.0010439086387176,thrC,ECB_00004,b0004,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
5,YP_003043234.1,0.104908895939263,0.00345023007160955,0.0342926371945866,0.100611395152607,0.91985895058744,NA,yaaX,ECB_00005,b0005,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
6,YP_003043235.1,27.4960738131,-0.0487122568482874,0.0148222831900003,-3.28642060226934,0.00101469374777202,0.00409824237650957,yaaA,ECB_00006,b0006,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
7,YP_003043236.1,0.169528217244123,-0.000477798495110289,0.0360250091635594,-0.0132629666502236,0.989417993920481,NA,yaaJ,ECB_00007,b0007,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
8,YP_003043237.1,166.278813414347,-0.0491579075713137,0.016338447269231,-3.00872578411348,0.00262345785861305,0.00935206073851096,talB,ECB_00008,b0008,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
9,YP_003043238.1,10.2409632162318,-0.0983128375662938,0.0177689663949762,-5.53283941119332,3.15087929714602e-08,5.1888261663429e-07,mogA,ECB_00009,b0009,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
10,YP_003043239.1,0.0197378686990425,0.000747228499903559,0.0198489322059544,0.0376457782287855,0.969970108022921,NA,yaaH,ECB_00010,b0010,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
11,YP_003043242.1,0.38005127019133,-0.00286002967273779,0.0364400696922796,-0.0784858453040701,0.937441589299697,NA,yaaI,ECB_00013,b0013,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
12,YP_003043243.1,576.944645744021,-0.0431170292460522,0.0168904535763308,-2.55274549325742,0.0106877561208827,0.0309109496434154,dnaK,ECB_00014,b0014,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
13,YP_003043244.1,57.4596117684493,-0.0533661357572174,0.0160206747968136,-3.33107914829103,0.000865100013378196,0.00360253162104064,dnaJ,ECB_00015,b0015,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
14,YP_003043245.1,1.30990650945449,-0.0105391615412243,0.0362822744666988,-0.290476870486648,0.771451443021896,0.897764946104887,insL-1,ECB_00016,b0016,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
15,YP_003043246.1,0.0643536859001994,0.000473076183156836,0.0297270178011381,0.0159140141914512,0.987302989710523,NA,mokC,ECB_00017,b0018,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
16,YP_003043247.1,0.00690990078613926,0.000163662949364194,0.0198489307211812,0.00824542901898213,0.993421174034526,NA,hokC,ECB_04280,b4412,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
17,YP_003043248.1,0.159229186134404,0.00561378126517012,0.0352550216799081,0.159233521855113,0.87348489416465,NA,nhaA,ECB_00018,b0019,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
18,YP_003043249.1,0.887433010398725,-0.0410102627332996,0.0337223538753229,-1.21611506969298,0.223941090689217,0.385528465736246,nhaR,ECB_00019,b0020,-1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
19,YP_003043250.1,0.277797098507976,0.00586437131858466,0.0362261922600292,0.161882079035263,0.871398715524917,NA,cirA,ECB_00020,b2155,1,protein,ExpAllPhase,carbonSource,glucoseglycerollactategluconate
