Sample #,34,35,36,37,38,39,40,41,42,42,43,43,44,45,46,53,53,54,55,55,56
CONTAMINANT_A2A4G1,5.08,6.56,11.84,8.08,22.5,13.76,4.32,10.5,7.96,4.51,13.5,4,15.98,10.5,12.03,0.94,0.85,1.51,5.28,3.43,0.22
CONTAMINANT_A2A5Y0,1.06,4.28,4.68,1.33,5.45,0.28,2.25,6.67,3.44,0.83,4.94,2.83,2,1,5.58,,,0.28,,1,
CONTAMINANT_A2AB72,3.72,8.75,6.5,7.5,11,8,8,9,4,4,14,5,4,3.17,31,1,,0.28,1,1,
CONTAMINANT_A2I7N0,,2.58,0.5,1,5.67,0.5,1.5,1.5,0.83,1.33,6.17,1,1.17,1.17,9.5,,,0.33,,,
CONTAMINANT_A2I7N1,,0.58,0.5,1,3.17,1.5,2,6.75,2.83,0.83,10,1.5,2.17,1.67,13.58,,,,,,
CONTAMINANT_A2I7N3,3,1,3.33,3.83,4,4.5,6,2.25,2,0.5,8.33,4,2.5,3,18.42,,,0.33,,,
CONTAMINANT_A2VCT4,1.77,3,6.5,3,12.5,7,3,15,6,7,25,2.33,4,1.17,37.17,,,,1,,
CONTAMINANT_A3EZ79,,1,2,3,1,4.5,3.5,6,2.5,5.5,4,1.5,3.5,1,9,,,,,0.5,
CONTAMINANT_A3EZ82,1,14,5,7,5,5.5,5.5,18,7.5,10.5,10,1.5,5.5,4,8,,,,1,0.5,
CONTAMINANT_ENSEMBL:ENSBTAP00000001528,16,14,26,20,40,23,28,40,27,24,45,5,14,10,103,,,,3,2,
CONTAMINANT_ENSEMBL:ENSBTAP00000006074,1,5,6,3,16,8,5,19,3,3,17,3,6,1,16,,,,2,,
CONTAMINANT_ENSEMBL:ENSBTAP00000007350,10.5,16,32.5,21,21.5,16,22.5,20,8,14.5,37.5,6.83,11.5,4,71,,,,3.5,0.5,
CONTAMINANT_ENSEMBL:ENSBTAP00000011227,1,,,,,,,,1,1,2,1,,,1.67,,,,,,
CONTAMINANT_ENSEMBL:ENSBTAP00000013050,2,7,3,5,8,2,7,15,8,6,7,,2,,35,,,,2,1,
CONTAMINANT_ENSEMBL:ENSBTAP00000014147,,,1,2,2,1,3,,,,1,,,,,,,,,,
CONTAMINANT_ENSEMBL:ENSBTAP00000016046,,14,10,10,20,6,17,14,9,6,22,3,9,3,10,,,,1,,
CONTAMINANT_ENSEMBL:ENSBTAP00000016242,5,18,15,16,10,3,17,14,14,11,19,2,10,,8,,,,1,2,
CONTAMINANT_ENSEMBL:ENSBTAP00000016285,1,1,5,3,7,2,4,9,4,2,6,2,6,1,19,,,,,,
CONTAMINANT_ENSEMBL:ENSBTAP00000018229,3,5,2.5,1.5,3,2.5,5,12,4.5,5,13.5,1.5,2,1.5,14.5,,,,1.5,,
CONTAMINANT_ENSEMBL:ENSBTAP00000018574,8,3,8,6,23,9,12,6,5,5,18,4,6,3,33,,,1,1,3,
CONTAMINANT_ENSEMBL:ENSBTAP00000023055,2,2,10,11,,5,13,2,7,4,12,1,3,1,14,,,2,1,0.12,
CONTAMINANT_ENSEMBL:ENSBTAP00000023402,1,4,2,2,9,,2,12,4,,3,5,3,3,17,,,,,,
