"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-30.98","exponential","-15.49",79
"growthPhase","-30.98","stationary","-0.94",63
"growthPhase","-30.98","late_stationary","-2.90",10
"carbonSource","1.21","glucose","1.19",115
"carbonSource","1.21","glycerol","-0.48",25
"carbonSource","1.21","lactate","-1.93",6
"carbonSource","1.21","gluconate","-0.46",6
"Mg_mM_Levels","-3.21","lowMg","0.38",36
"Mg_mM_Levels","-3.21","baseMg","-2.21",92
"Mg_mM_Levels","-3.21","highMg","-0.97",24
"Na_mM_Levels","-1.89","baseNa","-1.83",136
"Na_mM_Levels","-1.89","highNa","1.15",16
"batchNumber","-1.43","7","-0.91",9
"batchNumber","-1.43","8","-0.35",9
"batchNumber","-1.43","9","-4.16",9
"batchNumber","-1.43","10","-2.09",9
"batchNumber","-1.43","11","0.73",8
"batchNumber","-1.43","12","0.60",8
"batchNumber","-1.43","13","0.71",7
"batchNumber","-1.43","14","1.36",8
"batchNumber","-1.43","15","0.34",7
"batchNumber","-1.43","16","-2.17",2
"batchNumber","-1.43","17","-0.23",2
"batchNumber","-1.43","18","0.99",2
"batchNumber","-1.43","19","-1.53",2
"batchNumber","-1.43","20","-0.23",2
"batchNumber","-1.43","21","0.97",2
"batchNumber","-1.43","22","-0.43",12
"batchNumber","-1.43","23","-0.27",12
"batchNumber","-1.43","24","0.19",12
"batchNumber","-1.43","25","0.34",10
"batchNumber","-1.43","26","0.61",10
"batchNumber","-1.43","27","0.42",10
