"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-23.99","exponential","-12.27",77
"growthPhase","-23.99","stationary","1.08",57
"growthPhase","-23.99","late_stationary","-3.04",9
"carbonSource","1.16","glucose","1.23",107
"carbonSource","1.16","glycerol","-1.08",24
"carbonSource","1.16","lactate","-1.42",6
"carbonSource","1.16","gluconate","-0.42",6
"Mg_mM_Levels","-1.46","lowMg","1.01",35
"Mg_mM_Levels","-1.46","baseMg","-0.90",85
"Mg_mM_Levels","-1.46","highMg","-2.17",23
"Na_mM_Levels","-1.54","baseNa","-1.53",132
"Na_mM_Levels","-1.54","highNa","1.36",11
"batchNumber","-2.82","7","-0.23",9
"batchNumber","-2.82","8","0.10",9
"batchNumber","-2.82","9","-1.31",8
"batchNumber","-2.82","10","-2.12",9
"batchNumber","-2.82","11","-0.02",8
"batchNumber","-2.82","12","-0.06",7
"batchNumber","-2.82","13","1.42",5
"batchNumber","-2.82","14","0.65",7
"batchNumber","-2.82","15","0.62",5
"batchNumber","-2.82","16","-2.03",2
"batchNumber","-2.82","17","0.28",2
"batchNumber","-2.82","18","0.95",2
"batchNumber","-2.82","19","-0.61",2
"batchNumber","-2.82","20","0.46",2
"batchNumber","-2.82","21","1.09",2
"batchNumber","-2.82","22","-1.62",12
"batchNumber","-2.82","23","-1.07",12
"batchNumber","-2.82","24","-0.64",10
"batchNumber","-2.82","25","1.80",10
"batchNumber","-2.82","26","-0.41",10
"batchNumber","-2.82","27","0.11",10
