"category","condition","z_score","overall_z_score"
"growthPhase","exponential",-1.40458749915316,-0.58362254988604
"growthPhase","late_stationary",0.0181854778768847,-0.58362254988604
"growthPhase","stationary",-1.95464257425797,-0.58362254988604
"carbonSource","glucose",-4.74657811357718,-1.55124154147807
"carbonSource","glycerol",-0.929620013891121,-1.55124154147807
"Mg_mM_Levels","baseMg",0.370058754697422,-0.106433582944114
"Mg_mM_Levels","highMg",-4.28454928281076,-0.106433582944114
"Mg_mM_Levels","lowMg",-1.35943479876873,-0.106433582944114
"Na_mM_Levels","baseNa",-5.1787034391916,-1.53901236889098
"Na_mM_Levels","highNa",-17.0503760004154,-1.53901236889098
"batchNumber","10",-5.76025300459017,-4.60542486334126
"batchNumber","11",-1.07362052796171,-4.60542486334126
"batchNumber","12",-5.36056158108014,-4.60542486334126
"batchNumber","14",-11.6097899147129,-4.60542486334126
"batchNumber","15",-11.1676225518811,-4.60542486334126
"batchNumber","22",-2.99893122323805,-4.60542486334126
"batchNumber","23",-4.93576541364296,-4.60542486334126
"batchNumber","24",-3.14781544440734,-4.60542486334126
"batchNumber","7",-3.20077632822693,-4.60542486334126
"batchNumber","8",-6.2401958949547,-4.60542486334126
"batchNumber","9",-6.01823708561345,-4.60542486334126
