"category","condition","z_score","overall_z_score","numVar"
"growthPhase","exponential",-0.993864389122327,-0.345970061446936,53
"growthPhase","late_stationary",-0.181111200069116,-0.345970061446936,12
"growthPhase","stationary",0.116166154676378,-0.345970061446936,36
"carbonSource","gluconate",-2.36286493772358,-0.429315446259109,6
"carbonSource","glucose",-2.32348610648389,-0.429315446259109,64
"carbonSource","glycerol",1.86254158088873,-0.429315446259109,25
"carbonSource","lactate",-2.40432380462604,-0.429315446259109,6
"Mg_mM_Levels","baseMg",-0.778958060026708,-0.0924078877472163,85
"Mg_mM_Levels","highMg",-0.282430322915685,-0.0924078877472163,11
"Mg_mM_Levels","lowMg",1.03698809078532,-0.0924078877472163,5
"Na_mM_Levels","baseNa",-0.736280802512671,-0.215991499219368,90
"Na_mM_Levels","highNa",-5.44563883485742,-0.215991499219368,11
"batchNumber","10",-2.33842924263718,-1.43020001058425,9
"batchNumber","11",-1.59460409460012,-1.43020001058425,9
"batchNumber","12",-2.47559575357128,-1.43020001058425,7
"batchNumber","14",-4.57630665980717,-1.43020001058425,8
"batchNumber","15",-4.20036227134208,-1.43020001058425,7
"batchNumber","16",-0.713133114329264,-1.43020001058425,2
"batchNumber","17",-0.642420834643213,-1.43020001058425,2
"batchNumber","18",-0.658860100907003,-1.43020001058425,2
"batchNumber","19",-0.616138219459975,-1.43020001058425,2
"batchNumber","20",-0.667950891544692,-1.43020001058425,2
"batchNumber","21",-0.681003888620706,-1.43020001058425,2
"batchNumber","22",-2.06563359581749,-1.43020001058425,6
"batchNumber","23",-2.61312569090853,-1.43020001058425,8
"batchNumber","24",-0.210408939766121,-1.43020001058425,8
"batchNumber","7",-2.39711521166903,-1.43020001058425,9
"batchNumber","8",-2.96471846783687,-1.43020001058425,9
"batchNumber","9",-3.03437210547559,-1.43020001058425,9
