"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-1.85","exponential","-1.07",53
"growthPhase","-1.85","stationary","0.11",36
"growthPhase","-1.85","late_stationary","-0.10",12
"carbonSource","-2.61","glucose","-2.38",64
"carbonSource","-2.61","glycerol","1.85",25
"carbonSource","-2.61","lactate","-2.47",6
"carbonSource","-2.61","gluconate","-2.28",6
"Mg_mM_Levels","-0.78","lowMg","1.04",5
"Mg_mM_Levels","-0.78","baseMg","-0.72",85
"Mg_mM_Levels","-0.78","highMg","-0.28",11
"Na_mM_Levels","-1.64","baseNa","-0.80",90
"Na_mM_Levels","-1.64","highNa","-5.68",11
"batchNumber","-18.53","7","-2.40",9
"batchNumber","-18.53","8","-2.90",9
"batchNumber","-18.53","9","-2.92",9
"batchNumber","-18.53","10","-2.39",9
"batchNumber","-18.53","11","-1.61",9
"batchNumber","-18.53","12","-2.47",7
"batchNumber","-18.53","14","-4.57",8
"batchNumber","-18.53","15","-4.37",7
"batchNumber","-18.53","16","-0.67",2
"batchNumber","-18.53","17","-0.63",2
"batchNumber","-18.53","18","-0.67",2
"batchNumber","-18.53","19","-0.66",2
"batchNumber","-18.53","20","-0.71",2
"batchNumber","-18.53","21","-0.65",2
"batchNumber","-18.53","22","-2.07",6
"batchNumber","-18.53","23","-2.73",8
"batchNumber","-18.53","24","-0.17",8
