"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-1.81","exponential","-1.02",53
"growthPhase","-1.81","stationary","0.12",36
"growthPhase","-1.81","late_stationary","-0.13",12
"carbonSource","-2.68","glucose","-2.43",64
"carbonSource","-2.68","glycerol","1.81",25
"carbonSource","-2.68","lactate","-2.38",6
"carbonSource","-2.68","gluconate","-2.31",6
"Mg_mM_Levels","-0.78","lowMg","1.02",5
"Mg_mM_Levels","-0.78","baseMg","-0.70",85
"Mg_mM_Levels","-0.78","highMg","-0.31",11
"Na_mM_Levels","-1.60","baseNa","-0.77",90
"Na_mM_Levels","-1.60","highNa","-5.51",11
"batchNumber","-17.97","7","-2.28",9
"batchNumber","-17.97","8","-2.97",9
"batchNumber","-17.97","9","-2.91",9
"batchNumber","-17.97","10","-2.32",9
"batchNumber","-17.97","11","-1.62",9
"batchNumber","-17.97","12","-2.39",7
"batchNumber","-17.97","14","-4.52",8
"batchNumber","-17.97","15","-4.30",7
"batchNumber","-17.97","16","-0.66",2
"batchNumber","-17.97","17","-0.63",2
"batchNumber","-17.97","18","-0.66",2
"batchNumber","-17.97","19","-0.65",2
"batchNumber","-17.97","20","-0.68",2
"batchNumber","-17.97","21","-0.66",2
"batchNumber","-17.97","22","-2.09",6
"batchNumber","-17.97","23","-2.67",8
"batchNumber","-17.97","24","-0.16",8
