"category","condition","z_score","overall_z_score"
"growthPhase","exponential",-0.551808571759212,-0.336037741741958
"growthPhase","late_stationary",-0.311224337110167,-0.336037741741958
"growthPhase","stationary",-0.538359877310791,-0.336037741741958
"carbonSource","gluconate",-2.54863014057219,-0.331801071177278
"carbonSource","glucose",-2.06924018168432,-0.331801071177278
"carbonSource","glycerol",2.06472873917313,-0.331801071177278
"carbonSource","lactate",-2.53009679358028,-0.331801071177278
"Mg_mM_Levels","baseMg",0.462244301453486,0.0378174215379748
"Mg_mM_Levels","highMg",-1.23017053915883,0.0378174215379748
"Mg_mM_Levels","lowMg",-0.186125789300232,0.0378174215379748
"Na_mM_Levels","baseNa",-1.45627656799075,-0.330313803440661
"Na_mM_Levels","highNa",-5.86632780873239,-0.330313803440661
"batchNumber","10",1.89702720446871,-1.16157822475124
"batchNumber","11",-0.352337011776316,-1.16157822475124
"batchNumber","12",-2.58615946116897,-1.16157822475124
"batchNumber","14",-4.92649165609235,-1.16157822475124
"batchNumber","15",-4.57031204639283,-1.16157822475124
"batchNumber","16",-0.64530271126637,-1.16157822475124
"batchNumber","17",-0.674440334678715,-1.16157822475124
"batchNumber","18",-0.658111567275033,-1.16157822475124
"batchNumber","19",-0.672849883921403,-1.16157822475124
"batchNumber","20",-0.688336602403643,-1.16157822475124
"batchNumber","21",-0.678777464354254,-1.16157822475124
"batchNumber","22",-1.8963367523463,-1.16157822475124
"batchNumber","23",-2.28278906314085,-1.16157822475124
"batchNumber","24",-1.11022033540802,-1.16157822475124
"batchNumber","7",-1.74380735481365,-1.16157822475124
"batchNumber","8",-2.6681315857586,-1.16157822475124
"batchNumber","9",-2.72345005063889,-1.16157822475124
