"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-5.43","exponential","-2.70",53
"growthPhase","-5.43","stationary","-0.48",36
"growthPhase","-5.43","late_stationary","0.45",12
"carbonSource","-1.98","glucose","-1.46",64
"carbonSource","-1.98","glycerol","0.77",25
"carbonSource","-1.98","lactate","-3.29",6
"carbonSource","-1.98","gluconate","-3.24",6
"Mg_mM_Levels","-0.18","lowMg","-0.56",5
"Mg_mM_Levels","-0.18","baseMg","0.05",85
"Mg_mM_Levels","-0.18","highMg","-1.84",11
"Na_mM_Levels","-3.06","baseNa","-1.90",90
"Na_mM_Levels","-3.06","highNa","-7.17",11
"batchNumber","-19.35","7","-2.20",9
"batchNumber","-19.35","8","-3.50",9
"batchNumber","-19.35","9","-3.14",9
"batchNumber","-19.35","10","0.24",9
"batchNumber","-19.35","11","0.42",9
"batchNumber","-19.35","12","-3.23",7
"batchNumber","-19.35","14","-5.75",8
"batchNumber","-19.35","15","-5.50",7
"batchNumber","-19.35","16","-1.08",2
"batchNumber","-19.35","17","-1.13",2
"batchNumber","-19.35","18","-0.97",2
"batchNumber","-19.35","19","-1.39",2
"batchNumber","-19.35","20","-0.98",2
"batchNumber","-19.35","21","-1.21",2
"batchNumber","-19.35","22","-2.51",6
"batchNumber","-19.35","23","-3.07",8
"batchNumber","-19.35","24","-1.39",8
