"Variable","Overall_Z_score","Condition","Z_score","num_elements"
"growthPhase","-1.85","exponential","-0.56",53
"growthPhase","-1.85","stationary","-0.60",36
"growthPhase","-1.85","late_stationary","-0.23",12
"carbonSource","-1.99","glucose","-1.98",64
"carbonSource","-1.99","glycerol","2.03",25
"carbonSource","-1.99","lactate","-2.56",6
"carbonSource","-1.99","gluconate","-2.43",6
"Mg_mM_Levels","0.41","lowMg","-0.17",5
"Mg_mM_Levels","0.41","baseMg","0.51",85
"Mg_mM_Levels","0.41","highMg","-1.24",11
"Na_mM_Levels","-2.21","baseNa","-1.32",90
"Na_mM_Levels","-2.21","highNa","-5.74",11
"batchNumber","-15.57","7","-1.70",9
"batchNumber","-15.57","8","-2.71",9
"batchNumber","-15.57","9","-2.68",9
"batchNumber","-15.57","10","1.83",9
"batchNumber","-15.57","11","-0.31",9
"batchNumber","-15.57","12","-2.56",7
"batchNumber","-15.57","14","-4.88",8
"batchNumber","-15.57","15","-4.48",7
"batchNumber","-15.57","16","-0.64",2
"batchNumber","-15.57","17","-0.66",2
"batchNumber","-15.57","18","-0.67",2
"batchNumber","-15.57","19","-0.69",2
"batchNumber","-15.57","20","-0.67",2
"batchNumber","-15.57","21","-0.67",2
"batchNumber","-15.57","22","-1.86",6
"batchNumber","-15.57","23","-2.22",8
"batchNumber","-15.57","24","-1.07",8
