id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,vs
ECB_00001,87.8852700282934,0.00114228432735724,0.33413618348889,0.00341861906552609,0.997272341941355,0.998521004017014,thrL,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00002,640.562992836712,-1.26258322156886,0.406810392592282,-3.10361594629727,0.00191171311260246,0.0125917295924416,thrA,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00003,259.548193850551,-1.04720387865352,0.377918975652844,-2.77097459010759,0.00558887880142497,0.0268938528790375,thrB,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00004,297.946948836334,-0.880735832627724,0.406890445423499,-2.16455275009232,0.0304219527869106,0.0916956818694951,thrC,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00005,28.5674679811304,-0.869538598878071,0.309901159215798,-2.80585784538021,0.00501828257881796,0.0250587842687399,yaaX,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00006,8.65128067306156,-0.462952564304571,0.27767093204989,-1.6672705381397,0.0954606221789912,0.210644225335639,yaaA,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00007,1.30215838620584,-0.833454570301531,0.471362167315014,-1.76818299832818,0.077030315533549,0.179291605149297,yaaJ,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00008,455.964627642985,-0.122224688283499,0.153289003575696,-0.797348051278469,0.425248920683776,0.592724448430381,talB,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00009,35.8118999509511,0.13213160947064,0.1824495959635,0.724208835721804,0.468937534890283,0.629393690015011,mogA,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00010,12.2759564445723,-1.07411178274293,0.233220166617174,-4.60556991414068,4.11337754867574e-06,0.000173946169426908,yaaH,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00011,1.74699123384106,0.00826895586125917,0.426638541709381,0.0193816428964166,0.98453665450536,0.990209731089728,yaaW,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00012,0.0612796348946404,-0.581249695509555,0.68025982760201,-0.854452478192816,0.392854329499937,NA,htgA,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00013,0.176641651270272,-1.14596279538602,0.682319025851791,-1.67951171221619,0.0930523581885069,NA,yaaI,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00014,620.784077890513,-0.449782954909373,0.24549619090026,-1.83213822283748,0.0669308299585452,0.162256557475261,dnaK,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00015,47.4553282022473,-1.18172155048192,0.261407671080634,-4.52060777557445,6.16623423396057e-06,0.000234439004538699,dnaJ,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00016,21.2086377251749,-0.847095725616416,0.329665873317906,-2.56955843530561,0.0101828216487369,0.0406466061654362,insL-1,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00017,3.00896842868254,-0.051565651853426,0.44540396611309,-0.115772772082441,0.907832630111941,0.94678905476096,mokC,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00018,52.4848369698282,-0.236530693070782,0.158089137852995,-1.4961856094802,0.134605293547186,0.271172272509256,nhaA,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00019,8.43480714845519,-0.856773274405283,0.267033668646303,-3.20848407898749,0.00133436696840728,0.00961345057914438,nhaR,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00020,0.444955817323106,-0.749418207252525,0.642240228657048,-1.16688144686855,0.243258249382954,NA,ECB_00020,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00021,0.209689396787616,0.165153022415288,0.68214038934862,0.242110018691305,0.808694915319115,NA,ECB_00021,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00022,0.15189461850316,1.61658366995313,0.681624031320656,2.37166472376418,0.0177081513147143,NA,ECB_00022,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00023,0.782170822273924,-0.68167158289909,0.538433832082686,-1.26602665412453,0.205503539733515,0.36500166169135,insA-1,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00024,5.41762909685469,-0.656046100352215,0.350769580514331,-1.87030500019488,0.0614414755885967,0.152314568276444,insB-1,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00025,0.161480616265977,1.38859269634325,0.681756556444715,2.03678671399159,0.0416714202849969,NA,ECB_00025,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00026,2.70025973716831,-0.823914790242996,0.405067931045537,-2.03401633922576,0.0419499480779924,0.116281571677127,ECB_00026,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00027,478.420322540526,-1.5006620260534,0.440904040829444,-3.40360234220194,0.00066503494604971,0.00591292771581402,rpsT,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00028,0.723686539863949,-0.0519474919103542,0.534376525104721,-0.0972114033268474,0.922558512392412,0.955400401183081,yaaY,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00029,58.650910169501,-0.972002058281274,0.286246375890828,-3.39568336981143,0.000684575015223907,0.0060019107274483,ribF,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00030,510.052166972059,-0.97050650839584,0.350772024083444,-2.76677283751959,0.0056614189172094,0.0272088218298925,ileS,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00031,123.438770820942,-0.302191312484348,0.327054007140472,-0.923979850075814,0.355496806931858,0.525850438604905,lspA,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00032,17.3863782907658,-0.670194541940072,0.397086165189558,-1.68778114347081,0.0914532486075663,0.2040560573231,fkpB,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00033,83.006401979776,-1.06694453800866,0.320578942987526,-3.32818034792191,0.00087415257087133,0.00728144440812561,ispH,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00034,13.9376722401935,0.487865890473874,0.332622575556188,1.46672513030151,0.142450843757031,0.281699004065438,rihC,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00035,39.5160342874463,-0.40589858128021,0.376543223767385,-1.07796012691218,0.281051550639629,0.44949519136034,dapB,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00036,106.197886237816,-0.961414123726514,0.451493751102967,-2.12940737580055,0.033220570754389,0.0979777201972763,carA,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00037,519.861899663712,-0.919114960988215,0.458700303717446,-2.00373741534381,0.0450981960673278,0.122089633372045,carB,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00038,3.34173474752768,0.0527276214826272,0.43594630946275,0.120949805831841,0.903730792358198,0.944049576348063,caiF,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00039,1.07672868395701,-0.458549835067255,0.5178020663419,-0.885569728036733,0.37584943009678,0.546381238982936,caiE,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00040,0.542386191177084,0.493408076226264,0.611030298421572,0.80750181701439,0.41937742809705,0.588303600014829,caiD,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00041,0.784338116321082,0.146491605169811,0.51442034323365,0.284770241100816,0.77582017279442,0.858544513985755,caiC,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00042,0.501063067258525,-0.608445145484702,0.596100499279535,-1.02070900161984,0.307392328454443,0.476923855056591,caiB,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00043,11.297899156466,-0.502144718874927,0.23417820852826,-2.14428456870841,0.0320100924889631,0.0953597790206504,caiA,-1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00044,8.62781753562783,2.40600451598788,0.519594596413986,4.63054183510196,3.64710082747467e-06,0.000168527260344918,caiT,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00045,1.1087723245079,0.0950069761979372,0.523827053647617,0.181370884791776,0.856076470428276,0.91314654908844,fixA,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00046,0.544610006013015,0.619861447703882,0.603838254488544,1.02653557156446,0.30463920545444,0.474688394051498,fixB,1,mrna,Exp,carbonSource,glucoseglycerol
ECB_00047,0.404956960714553,-0.0288643021281753,0.614115280380396,-0.0470014393882142,0.962512080332342,NA,fixC,-1,mrna,Exp,carbonSource,glucoseglycerol
