,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1685020390604,0.731854518388768,0.561413251518642,1.30359323797413,0.192372307455412,0.724130297916864,thrL,1,mrna,Sta,carbonSource,lactate,glucose
2,ECB_00002,19.0443421347219,1.06804465039546,0.718176837010203,1.48716109369633,0.136972269001837,0.657189950797026,thrA,1,mrna,Sta,carbonSource,lactate,glucose
3,ECB_00003,7.22961262413887,1.50532187112942,0.721786771467931,2.08554926556492,0.0370194711124341,0.479956482107056,thrB,1,mrna,Sta,carbonSource,lactate,glucose
4,ECB_00004,6.79295330065092,1.75084179607627,0.795045762010455,2.202189961555,0.0276518928555236,0.453718777043154,thrC,1,mrna,Sta,carbonSource,lactate,glucose
5,ECB_00005,1.25219184273585,1.28343514572577,0.74947319486762,1.71244969735371,0.086813827178981,0.57780980011107,yaaX,1,mrna,Sta,carbonSource,lactate,glucose
6,ECB_00006,1.25606523041271,-0.0319443610965141,0.792137005170331,-0.0403268132760004,0.967832577258805,0.99542881190693,yaaA,-1,mrna,Sta,carbonSource,lactate,glucose
7,ECB_00007,0.292817374780683,0.987486592692852,0.931841847253521,1.05971479559899,0.289274369621478,NA,yaaJ,1,mrna,Sta,carbonSource,lactate,glucose
8,ECB_00008,39.821681049958,0.780890927618967,0.598956979223727,1.30375127881644,0.192318399316609,0.724130297916864,talB,1,mrna,Sta,carbonSource,lactate,glucose
9,ECB_00009,6.51799363100065,-0.204481454710233,0.502386260686904,-0.407020395881545,0.68399300823933,0.914282265549556,mogA,-1,mrna,Sta,carbonSource,lactate,glucose
10,ECB_00010,2.36086976688537,0.152895644100183,0.667088256953624,0.229198524342802,0.818714619461932,0.952610025711243,yaaH,1,mrna,Sta,carbonSource,lactate,glucose
11,ECB_00011,0.623555183238697,-0.769996393813659,0.888339652473514,-0.866781519511893,0.386061729680777,NA,yaaW,-1,mrna,Sta,carbonSource,lactate,glucose
12,ECB_00012,0.0813873402055235,-0.10969354006604,0.852656308520755,-0.128649186043488,0.89763524482336,NA,htgA,-1,mrna,Sta,carbonSource,lactate,glucose
13,ECB_00013,0.069397353161651,-0.13955504831646,0.775990110722999,-0.179841271670891,0.857277181710716,NA,yaaI,-1,mrna,Sta,carbonSource,lactate,glucose
14,ECB_00014,89.3847777565513,0.638064078280063,0.667019673474573,0.956589593461798,0.3387744434491,0.797872223709432,dnaK,1,mrna,Sta,carbonSource,lactate,glucose
15,ECB_00015,4.37188056454706,0.834858028573347,0.728019553824746,1.14675220491992,0.251484047718814,0.760664925154162,dnaJ,1,mrna,Sta,carbonSource,lactate,glucose
16,ECB_00016,1.66399383901726,-0.37343734285969,0.808960486952068,-0.461626184322914,0.644349413951396,0.899061592908689,insL-1,-1,mrna,Sta,carbonSource,lactate,glucose
17,ECB_00017,0.942714136788686,0.684147212881873,0.735312703570097,0.930416691511238,0.352155379642269,0.809185478817547,mokC,1,mrna,Sta,carbonSource,lactate,glucose
18,ECB_00018,30.8859126855,-0.209992686301992,0.490049588845087,-0.428513136388682,0.668277571657003,0.910590686168046,nhaA,-1,mrna,Sta,carbonSource,lactate,glucose
19,ECB_00019,1.9641224052945,-0.393400447015208,0.717545576269958,-0.548258480053957,0.583514432344305,0.877941661322588,nhaR,-1,mrna,Sta,carbonSource,lactate,glucose
20,ECB_00020,0.337330023322164,-0.504562349860211,0.943967347108895,-0.53451250343091,0.592987001159868,NA,ECB_00020,-1,mrna,Sta,carbonSource,lactate,glucose
21,ECB_00021,0.112747446013336,-0.363404417597764,0.891905958701942,-0.407447011708111,0.683679704572766,NA,ECB_00021,-1,mrna,Sta,carbonSource,lactate,glucose
22,ECB_00022,0.085360954929338,-0.143139910046634,0.796045015097251,-0.179813838830643,0.857298718885837,NA,ECB_00022,-1,mrna,Sta,carbonSource,lactate,glucose
23,ECB_00023,0.0830957649116458,-0.190833538200878,0.895535212624688,-0.213094399316328,0.831253333023267,NA,insA-1,-1,mrna,Sta,carbonSource,lactate,glucose
24,ECB_00024,0.601476583600354,-0.207790996363622,0.894521088500056,-0.232293010231932,0.816310441005006,NA,insB-1,-1,mrna,Sta,carbonSource,lactate,glucose
25,ECB_00025,0.11878883582335,-0.0906717827547647,0.897781595036278,-0.100995368200994,0.919554137017376,NA,ECB_00025,-1,mrna,Sta,carbonSource,lactate,glucose
26,ECB_00026,0.127579472609492,0.279387958764845,0.92723921631125,0.301311629027413,0.763176874062668,NA,ECB_00026,1,mrna,Sta,carbonSource,lactate,glucose
27,ECB_00027,23.0259660728254,0.943343908034384,0.698899701410347,1.34975577487122,0.177094335067378,0.708164277377774,rpsT,1,mrna,Sta,carbonSource,lactate,glucose
28,ECB_00028,0.146247484595412,0.0465175856142179,0.928735598208813,0.0500870061446261,0.960053054336524,NA,yaaY,1,mrna,Sta,carbonSource,lactate,glucose
29,ECB_00029,3.82628397808636,0.114530287978379,0.776547090474244,0.147486597249929,0.882747957888738,0.971463788051415,ribF,1,mrna,Sta,carbonSource,lactate,glucose
30,ECB_00030,25.1816207613832,0.747854563223076,0.790981222250547,0.945477012836328,0.344415401059207,0.801035052250786,ileS,1,mrna,Sta,carbonSource,lactate,glucose
31,ECB_00031,4.48441792682788,1.48129679657998,0.852731039311785,1.73712076644412,0.0823658565801706,0.569028991994208,lspA,1,mrna,Sta,carbonSource,lactate,glucose
32,ECB_00032,0.666121041297113,0.901639175599244,0.909451187714635,0.991410190870142,0.321485326086817,NA,fkpB,1,mrna,Sta,carbonSource,lactate,glucose
33,ECB_00033,4.68839094638787,0.168237342451167,0.829396268737783,0.202843138789615,0.839257638887008,0.957226751228517,ispH,1,mrna,Sta,carbonSource,lactate,glucose
34,ECB_00034,0.390660905947924,1.02238319239613,0.930428846300933,1.09883006794209,0.271842194410244,NA,rihC,1,mrna,Sta,carbonSource,lactate,glucose
35,ECB_00035,2.4646505943806,0.509567509397827,0.792408821328685,0.643061379028316,0.520184273379011,0.859693943366784,dapB,1,mrna,Sta,carbonSource,lactate,glucose
36,ECB_00036,11.8824504611528,0.700060323019342,0.837211988247778,0.836180480984889,0.403053377492365,0.822838314361962,carA,1,mrna,Sta,carbonSource,lactate,glucose
37,ECB_00037,27.1339080947425,0.708901271096402,0.879055488941111,0.806435179592961,0.419991969273322,0.834507519833276,carB,1,mrna,Sta,carbonSource,lactate,glucose
38,ECB_00038,2.25358426307662,-0.508894318669206,0.780832272764172,-0.651733203684964,0.514573298801971,0.857043148254681,caiF,-1,mrna,Sta,carbonSource,lactate,glucose
39,ECB_00039,0.301270315706613,-0.245712988861367,0.938289517026474,-0.261873317779414,0.793419111265155,NA,caiE,-1,mrna,Sta,carbonSource,lactate,glucose
40,ECB_00040,0.0269324640649658,-0.0762749630096897,0.615344297857194,-0.123954935920104,0.901350955727411,NA,caiD,-1,mrna,Sta,carbonSource,lactate,glucose
41,ECB_00041,0.418104471567552,-0.697327702685705,0.897633653651325,-0.776851112755375,0.437246616855648,NA,caiC,-1,mrna,Sta,carbonSource,lactate,glucose
42,ECB_00042,0.395508460976371,0.363202570181541,0.900560742594377,0.403307131882309,0.686722295786398,NA,caiB,1,mrna,Sta,carbonSource,lactate,glucose
43,ECB_00043,11.1598986508643,-0.736022621250192,0.720938458280161,-1.02092295506889,0.307290942508623,0.786039330476063,caiA,-1,mrna,Sta,carbonSource,lactate,glucose
44,ECB_00044,8.48432161633579,-2.03356738058882,0.872130691351214,-2.33172321620531,0.0197152566642283,0.4289801290001,caiT,-1,mrna,Sta,carbonSource,lactate,glucose
45,ECB_00045,0.25010663165409,-0.550840461098264,0.945503453663804,-0.582589581205409,0.560169620840764,NA,fixA,-1,mrna,Sta,carbonSource,lactate,glucose
46,ECB_00046,0.0558721114054856,0.135631399825795,0.715494426755929,0.189563181422323,0.849651440978559,NA,fixB,1,mrna,Sta,carbonSource,lactate,glucose
47,ECB_00047,0.061369513135512,-0.16725411709647,0.765763568838079,-0.218414826589688,0.827105914446662,NA,fixC,-1,mrna,Sta,carbonSource,lactate,glucose
48,ECB_00048,0.0661166613096134,-0.113371134297298,0.773154698758128,-0.146634476230177,0.883420539712924,NA,fixX,-1,mrna,Sta,carbonSource,lactate,glucose
49,ECB_00049,0.0906561950589881,-0.188533813101143,0.858396797750437,-0.219634804784017,0.826155582902619,NA,yaaU,-1,mrna,Sta,carbonSource,lactate,glucose
50,ECB_00050,0.899531649381824,0.191124672800895,0.797086732750619,0.239779016445743,0.810501574940597,0.951038148805822,yabF,1,mrna,Sta,carbonSource,lactate,glucose
51,ECB_00051,1.81325000150447,0.342647898804151,0.727344042040909,0.471094666346189,0.637573133792406,0.897398146069477,kefC,1,mrna,Sta,carbonSource,lactate,glucose
52,ECB_00052,15.9409778122478,-0.467727944192657,0.659279514851896,-0.709453173738806,0.478043300211061,0.853001571318526,folA,-1,mrna,Sta,carbonSource,lactate,glucose
53,ECB_00053,1.03145281204194,1.10170436317658,0.849481162901813,1.2969144123375,0.194660637000974,0.726520300938062,apaH,1,mrna,Sta,carbonSource,lactate,glucose
54,ECB_00054,1.23170609766307,0.808376664835909,0.851625232708302,0.94921643205092,0.342510545868135,0.801035052250786,apaG,1,mrna,Sta,carbonSource,lactate,glucose
