,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1,YP_003043230.1,0.0874103459290513,-0.353539102238812,0.852691612070452,-0.414615433333946,0.678423448345045,NA,thrL,ECB_00001,b0001,-1,protein,Sta,carbonSource,glucoselactate
2,YP_003043231.1,232.12142596761,-0.102586923200129,0.418927656461358,-0.244879805899355,0.806549498279499,0.911238738458374,thrA,ECB_00002,b0002,-1,protein,Sta,carbonSource,glucoselactate
3,YP_003043232.1,62.7000115487483,0.0324333563322321,0.5202352788656,0.062343631141192,0.950289183405252,0.976792555651576,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,glucoselactate
4,YP_003043233.1,256.633546217413,-0.406582024328027,0.536321824686934,-0.758093379036664,0.448395083082491,0.680855433280048,thrC,ECB_00004,b0004,-1,protein,Sta,carbonSource,glucoselactate
5,YP_003043234.1,0.0771461918891319,-0.360828948863714,0.852936349590534,-0.423043230643102,0.672263720175174,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,glucoselactate
6,YP_003043235.1,33.0156374404254,0.229350180133853,0.466390549544786,0.491755633465788,0.622892104006366,0.806172398483632,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,glucoselactate
7,YP_003043236.1,0.123389897265348,-0.418496862580569,0.856722368719623,-0.488485976158199,0.625205656658548,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,glucoselactate
8,YP_003043237.1,196.405774990159,0.325516285494563,0.477865225912618,0.681188477091837,0.495752238248492,0.71710519260584,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,glucoselactate
9,YP_003043238.1,12.3940938255593,0.646216539720844,0.570639084167169,1.13244353156072,0.257448012112316,0.516221818503982,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,glucoselactate
10,YP_003043239.1,0,NA,NA,NA,NA,NA,yaaH,ECB_00010,b0010,NA,protein,Sta,carbonSource,glucoselactate
11,YP_003043242.1,0.303397678339989,-0.54496808010659,0.923616224798343,-0.590037361270451,0.555165601800993,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,glucoselactate
