,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1,YP_003043230.1,0.142243847443318,-0.00307318360844745,0.900255380736683,-0.00341367980042801,0.997276282881723,NA,thrL,ECB_00001,b0001,-1,protein,Sta,Na_mM_Levels,baseNahighNa
2,YP_003043231.1,234.643121605658,-1.98417065531598,0.345714615050424,-5.73933113885446,9.50512043348327e-09,4.99082190227428e-07,thrA,ECB_00002,b0002,-1,protein,Sta,Na_mM_Levels,baseNahighNa
3,YP_003043232.1,59.7799761486906,-2.64686408337176,0.471823917762733,-5.6098556765043,2.02495415422316e-08,8.86029939925644e-07,thrB,ECB_00003,b0003,-1,protein,Sta,Na_mM_Levels,baseNahighNa
4,YP_003043233.1,259.082965323052,-2.75777636590174,0.45012712185447,-6.12666118526702,8.97422894863129e-10,1.21863839999e-07,thrC,ECB_00004,b0004,-1,protein,Sta,Na_mM_Levels,baseNahighNa
5,YP_003043234.1,0.396375949847484,1.31058258677991,0.906170768495586,1.44628654150445,0.148096849021548,0.204832032675752,yaaX,ECB_00005,b0005,1,protein,Sta,Na_mM_Levels,baseNahighNa
6,YP_003043235.1,35.4955448529025,-0.852019717882342,0.379626078262437,-2.24436561835285,0.0248088867680708,0.0566033512947178,yaaA,ECB_00006,b0006,-1,protein,Sta,Na_mM_Levels,baseNahighNa
7,YP_003043236.1,0.299177711802331,0.760672627566818,0.925261270477088,0.82211657597491,0.411010552333905,0.46792701795054,yaaJ,ECB_00007,b0007,1,protein,Sta,Na_mM_Levels,baseNahighNa
8,YP_003043237.1,181.367673558953,-2.2996015184592,0.39614782092483,-5.80490765565905,6.44014880500667e-09,3.95685737192233e-07,talB,ECB_00008,b0008,-1,protein,Sta,Na_mM_Levels,baseNahighNa
9,YP_003043238.1,11.2662401557244,-1.46967312896464,0.445932747521593,-3.29572819473966,0.000981669418966232,0.00505925260527412,mogA,ECB_00009,b0009,-1,protein,Sta,Na_mM_Levels,baseNahighNa
10,YP_003043239.1,0,NA,NA,NA,NA,NA,yaaH,ECB_00010,b0010,NA,protein,Sta,Na_mM_Levels,baseNahighNa
11,YP_003043242.1,1.2560390296768,1.63175688457667,0.721384792937879,2.26197848991417,0.0236987323053328,0.0548651427503826,yaaI,ECB_00013,b0013,1,protein,Sta,Na_mM_Levels,baseNahighNa
12,YP_003043243.1,737.301952060057,-2.2065479180248,0.431942716683524,-5.1084271890652,3.24851539254079e-07,6.91494790044629e-06,dnaK,ECB_00014,b0014,-1,protein,Sta,Na_mM_Levels,baseNahighNa
13,YP_003043244.1,61.409118056463,-1.65300067631305,0.40281875362096,-4.1035842086649,4.06798289128389e-05,0.000354418509422035,dnaJ,ECB_00015,b0015,-1,protein,Sta,Na_mM_Levels,baseNahighNa
14,YP_003043245.1,4.60364071160387,2.08863887098425,0.756116466267299,2.76232427696645,0.00573914459013561,0.020564832935354,insL-1,ECB_00016,b0016,1,protein,Sta,Na_mM_Levels,baseNahighNa
15,YP_003043246.1,0.261337566609153,2.06887950820383,0.933660954326779,2.21587879263475,0.0266998043205577,0.0592359602334402,mokC,ECB_00017,b0018,1,protein,Sta,Na_mM_Levels,baseNahighNa
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Sta,Na_mM_Levels,baseNahighNa
17,YP_003043248.1,0.201110456530922,0.0173680017118642,0.914785027747268,0.0189858832239901,0.984852366936638,0.986857155469843,nhaA,ECB_00018,b0019,1,protein,Sta,Na_mM_Levels,baseNahighNa
18,YP_003043249.1,2.47635431451586,2.12880751408351,0.661509487223662,3.21810579470002,0.00129040212422015,0.00633616404635778,nhaR,ECB_00019,b0020,1,protein,Sta,Na_mM_Levels,baseNahighNa
19,YP_003043250.1,1.09342353594456,2.99623515597294,0.797086249890142,3.75898487320023,0.000170604150960582,0.00119971276157638,cirA,ECB_00020,b2155,1,protein,Sta,Na_mM_Levels,baseNahighNa
20,YP_003043251.1,1.26186273560228,1.96785188294056,0.804005602578175,2.447559913302,0.0143827210552658,0.0391966474156655,yehB,ECB_00021,,1,protein,Sta,Na_mM_Levels,baseNahighNa
21,YP_003043252.1,2.56929444018821,2.01083355311262,0.659803168311934,3.04762639781984,0.00230656498814202,0.0102404204321345,yjcF,ECB_00022,,1,protein,Sta,Na_mM_Levels,baseNahighNa
22,YP_003043253.1,0.806995422051147,0.881190984215782,0.776473637155814,1.13486272044411,0.256432841871186,0.315868793021185,insA-1,ECB_00023,b0022,1,protein,Sta,Na_mM_Levels,baseNahighNa
23,YP_003043254.1,1.26480139832896,1.22517239071653,0.739081066124954,1.65769689804148,0.0973786602499785,0.149971515081899,insB-1,ECB_00024,b0021,1,protein,Sta,Na_mM_Levels,baseNahighNa
24,YP_003043255.1,1.03894482986284,1.32845910970514,0.752104755372322,1.76632191222817,0.0773418574381706,0.126693941177835,talA,ECB_00025,,1,protein,Sta,Na_mM_Levels,baseNahighNa
25,YP_003043256.1,1.54947796020853,2.55786887246682,0.725043548508442,3.52788308747642,0.000418897128586944,0.00248810994325096,elfG,ECB_00026,,1,protein,Sta,Na_mM_Levels,baseNahighNa
26,YP_003043257.1,82.6772274635024,-2.65818362180209,0.440015383465646,-6.04111520116803,1.53052648083438e-09,1.68226346008516e-07,rpsT,ECB_00027,b0023,-1,protein,Sta,Na_mM_Levels,baseNahighNa
27,YP_003043258.1,0.182102659112506,1.79968702176689,0.933970525651589,1.92692057440606,0.0539895290105397,NA,yaaY,ECB_00028,b0024,1,protein,Sta,Na_mM_Levels,baseNahighNa
28,YP_003043259.1,16.4942061198689,-1.50846381588275,0.396363813051836,-3.80575563714612,0.000141371909921521,0.00102338709792454,ribF,ECB_00029,b0025,-1,protein,Sta,Na_mM_Levels,baseNahighNa
29,YP_003043260.1,216.091258803198,-1.51188738050177,0.352884146164136,-4.28437320558615,1.83255080608076e-05,0.000175902711647462,ileS,ECB_00030,b0026,-1,protein,Sta,Na_mM_Levels,baseNahighNa
30,YP_003043261.1,0.427519024589853,1.77629673731176,0.896291720406592,1.98182879175316,0.0474984058640734,0.089070820139391,lspA,ECB_00031,b0027,1,protein,Sta,Na_mM_Levels,baseNahighNa
31,YP_003043262.1,7.99494935684102,-1.38229816848968,0.471554755481057,-2.93136301229648,0.00337478169453033,0.0139161155110581,fkpB,ECB_00032,b0028,-1,protein,Sta,Na_mM_Levels,baseNahighNa
32,YP_003043263.1,11.7287831087054,-0.963574590539182,0.380498311495385,-2.53240175167208,0.0113284111724791,0.033069891176592,ispH,ECB_00033,b0029,-1,protein,Sta,Na_mM_Levels,baseNahighNa
33,YP_003043264.1,5.1421189389112,-0.0459672525730666,0.520694116266091,-0.0882807220920775,0.929653560667775,0.941124864244138,rihC,ECB_00034,b0030,-1,protein,Sta,Na_mM_Levels,baseNahighNa
34,YP_003043265.1,49.8007725056298,-1.60599411310688,0.328409759650681,-4.89021433106959,1.00726241177308e-06,1.652749740651e-05,dapB,ECB_00035,b0031,-1,protein,Sta,Na_mM_Levels,baseNahighNa
35,YP_003043266.1,134.347836795699,-1.32060147499322,0.436153960198194,-3.02783327793956,0.00246313939501268,0.0108378133380558,carA,ECB_00036,b0032,-1,protein,Sta,Na_mM_Levels,baseNahighNa
36,YP_003043267.1,281.470419790332,-1.08735826469464,0.336127989015831,-3.23495305427666,0.00121662732814225,0.00607234273539187,carB,ECB_00037,b0033,-1,protein,Sta,Na_mM_Levels,baseNahighNa
37,YP_003043268.1,1.68521371126651,1.79448881473792,0.749034316461691,2.39573645065393,0.0165870119798769,0.0435466646329118,caiF,ECB_00038,b0034,1,protein,Sta,Na_mM_Levels,baseNahighNa
38,YP_003043269.1,1.2195390874686,0.671590832495892,0.766754610156959,0.875887570285901,0.381091157384264,0.438811981806792,caiE,ECB_00039,b0035,1,protein,Sta,Na_mM_Levels,baseNahighNa
39,YP_003043270.1,2.28002615449261,1.7324322667287,0.744191973288027,2.32793731847762,0.0199154322825113,0.0488033430793587,caiD,ECB_00040,b0036,1,protein,Sta,Na_mM_Levels,baseNahighNa
40,YP_003043271.1,3.17351338218719,1.84706016887595,0.637201022459813,2.89870873362015,0.00374702802511719,0.0150723149774377,caiC,ECB_00041,b0037,1,protein,Sta,Na_mM_Levels,baseNahighNa
41,YP_003043272.1,4.14312552400659,1.82735383970654,0.71839134802576,2.54367462070411,0.0109693213030724,0.0322607821445101,caiA,ECB_00043,b0039,1,protein,Sta,Na_mM_Levels,baseNahighNa
42,YP_003043273.1,0.477330971956072,0.991203847326504,0.87514702821816,1.13261408125288,0.257376352693401,0.316931856443594,caiT,ECB_00044,b0040,1,protein,Sta,Na_mM_Levels,baseNahighNa
43,YP_003043274.1,2.42318382518646,2.14019892177138,0.625424683897918,3.42199305027862,0.000621639025186981,0.00345277077741373,fixA,ECB_00045,b0041,1,protein,Sta,Na_mM_Levels,baseNahighNa
44,YP_003043275.1,2.78480168464658,1.60623734716795,0.702054071056075,2.28791116438046,0.0221426950149271,0.0522143311190316,fixB,ECB_00046,b0042,1,protein,Sta,Na_mM_Levels,baseNahighNa
45,YP_003043276.1,2.71619536319514,1.9231899419583,0.595139079919082,3.23149664817809,0.0012314376818694,0.00612298180707285,fixC,ECB_00047,b0043,1,protein,Sta,Na_mM_Levels,baseNahighNa
46,YP_003043277.1,2.38338598889172,2.63087630131142,0.685050996559429,3.8404094213783,0.000122829287236351,0.000907507942095219,fixX,ECB_00048,b0044,1,protein,Sta,Na_mM_Levels,baseNahighNa
47,YP_003043278.1,0.846178783265336,1.45189297355317,0.779553408658594,1.86246760956571,0.06253720693301,0.108061220229133,yaaU,ECB_00049,b0045,1,protein,Sta,Na_mM_Levels,baseNahighNa
48,YP_003043279.1,0.521209963167659,0.714097772005456,0.903529876385384,0.79034217978739,0.429327959756327,0.485552413992078,yabF,ECB_00050,b0046,1,protein,Sta,Na_mM_Levels,baseNahighNa
49,YP_003043280.1,4.17210286141872,1.34912996020957,0.659477720922125,2.04575517475121,0.0407804642633172,0.0790711315947528,kefC,ECB_00051,b0047,1,protein,Sta,Na_mM_Levels,baseNahighNa
50,YP_003043281.1,9.35986737097582,-1.36384862283213,0.434872469855496,-3.13620363985177,0.00171150317740301,0.00796678429386885,folA,ECB_00052,b0048,-1,protein,Sta,Na_mM_Levels,baseNahighNa
51,YP_003043282.1,4.21376681598618,0.0374687494503982,0.485606685141247,0.0771586359843867,0.938497347208283,0.947398757576574,apaH,ECB_00053,b0049,1,protein,Sta,Na_mM_Levels,baseNahighNa
52,YP_003043283.1,4.65946062147617,-1.29128050667238,0.543481905598086,-2.37594019850829,0.0175042994571202,0.0449067956105142,apaG,ECB_00054,b0050,-1,protein,Sta,Na_mM_Levels,baseNahighNa
53,YP_003043284.1,15.1967336077677,-1.68831861348869,0.441470606618086,-3.82430582733959,0.000131141050812471,0.000958132575323771,ksgA,ECB_00055,b0051,-1,protein,Sta,Na_mM_Levels,baseNahighNa
54,YP_003043285.1,14.4519117705419,-1.04400814016075,0.479261343581976,-2.17836918028457,0.0293785624885165,0.0631563884570971,pdxA,ECB_00056,b0052,-1,protein,Sta,Na_mM_Levels,baseNahighNa
55,YP_003043286.1,82.6190214319654,-1.31027891802418,0.299125613466646,-4.380363496255,1.18481495932184e-05,0.000120563341338744,surA,ECB_00057,b0053,-1,protein,Sta,Na_mM_Levels,baseNahighNa
56,YP_003043287.1,111.928549527752,-1.46516298269026,0.422647067706034,-3.4666346808996,0.000527017634956271,0.00301551817916152,imp,ECB_00058,b0054,-1,protein,Sta,Na_mM_Levels,baseNahighNa
57,YP_003043288.1,19.4908848068565,-0.480542847254549,0.371639081517721,-1.29303636552991,0.195998481946013,0.254733340562178,djlA,ECB_00059,b0055,-1,protein,Sta,Na_mM_Levels,baseNahighNa
58,YP_003043289.1,1.80824944159536,0.930546293533239,0.711609073223496,1.30766502079293,0.190986952537877,0.249620517455744,rluA,ECB_00060,b0058,1,protein,Sta,Na_mM_Levels,baseNahighNa
59,YP_003043290.1,35.0276836603997,-0.398715255510271,0.309141755909016,-1.28974895137627,0.197137837424829,0.255960700223863,hepA,ECB_00061,b0059,-1,protein,Sta,Na_mM_Levels,baseNahighNa
60,YP_003043291.1,6.69714270157195,1.44143689731354,0.896229099952763,1.60833529885329,0.107761763704999,0.161540093441296,polB,ECB_00062,b0060,1,protein,Sta,Na_mM_Levels,baseNahighNa
61,YP_003043292.1,0.638047869345802,1.14783860835806,0.814541972941044,1.40918288619749,0.158781096842301,0.216285008427873,araD,ECB_00063,b0061,1,protein,Sta,Na_mM_Levels,baseNahighNa
62,YP_003043293.1,5.03203052146841,0.412222309643599,0.456657340172601,0.902695026182637,0.366687776949738,0.424461042218715,araA,ECB_00064,b0062,1,protein,Sta,Na_mM_Levels,baseNahighNa
63,YP_003043294.1,3.09442182006264,0.983885438905736,0.605446450396561,1.62505773757745,0.104150256884545,0.157565774725831,araB,ECB_00065,b0063,1,protein,Sta,Na_mM_Levels,baseNahighNa
64,YP_003043295.1,2.79157280385893,1.36434113388345,0.656312338238079,2.07879854513498,0.037635870680862,0.0746274213198562,araC,ECB_00066,b0064,1,protein,Sta,Na_mM_Levels,baseNahighNa
65,YP_003043296.1,0.443575536270256,1.48619493096434,0.868925128388236,1.71038318769889,0.0871950378546119,0.137956632812962,yabI,ECB_00067,b0065,1,protein,Sta,Na_mM_Levels,baseNahighNa
66,YP_003043297.1,3.55636436772482,1.75572071547143,0.733666730532414,2.39307664148452,0.0167077506364897,0.0436596695464476,thiQ,ECB_00068,b0066,1,protein,Sta,Na_mM_Levels,baseNahighNa
67,YP_003043298.1,0.873856181007213,0.917502995269619,0.833034270992168,1.101398858629,0.27072310197927,0.329860017201227,thiP,ECB_00069,b0067,1,protein,Sta,Na_mM_Levels,baseNahighNa
68,YP_003043299.1,2.71365677848004,0.923893554579913,0.586886067669575,1.57422983007339,0.115434325375423,0.170638278276433,tbpA,ECB_00070,b0068,1,protein,Sta,Na_mM_Levels,baseNahighNa
69,YP_003043300.1,2.70952121541385,1.83014767155465,0.666892841799088,2.74429047194064,0.00606418528878184,0.021322108631449,yabN,ECB_00071,b0069,1,protein,Sta,Na_mM_Levels,baseNahighNa
70,YP_003043301.1,0.623123929683554,1.21373023304773,0.833788154338182,1.45568179007188,0.145480606129282,0.202153361657415,setA,ECB_00072,b0070,1,protein,Sta,Na_mM_Levels,baseNahighNa
71,YP_003043302.1,105.058239083038,-2.28022527839643,0.43047079276138,-5.29704992008695,1.17688529400963e-07,3.1303034303952e-06,leuD,ECB_00073,b0071,-1,protein,Sta,Na_mM_Levels,baseNahighNa
72,YP_003043303.1,167.64041944827,-2.00535719737589,0.337685712674445,-5.93853136839464,2.87586632104237e-09,2.39991137574252e-07,leuC,ECB_00074,b0072,-1,protein,Sta,Na_mM_Levels,baseNahighNa
73,YP_003043304.1,133.675450704262,-2.24186733710945,0.421626477761873,-5.31718821125749,1.05383047541916e-07,2.90208700153892e-06,leuB,ECB_00075,b0073,-1,protein,Sta,Na_mM_Levels,baseNahighNa
74,YP_003043305.1,170.089711112927,-2.23612012398869,0.360965147746776,-6.19483664267048,5.8345510811407e-10,8.83710082982002e-08,leuA,ECB_00076,b0074,-1,protein,Sta,Na_mM_Levels,baseNahighNa
75,YP_003043306.1,0,NA,NA,NA,NA,NA,leuL,ECB_00077,b0075,NA,protein,Sta,Na_mM_Levels,baseNahighNa
76,YP_003043307.1,2.07195382156299,0.567807924887702,0.578366359417228,0.981744383369454,0.326225793920578,0.384979675294947,leuO,ECB_00078,b0076,1,protein,Sta,Na_mM_Levels,baseNahighNa
77,YP_003043308.1,82.0987131341977,-2.12502478189544,0.422664008585978,-5.0276927742315,4.96416352176073e-07,9.62998815206589e-06,ilvI,ECB_00079,b0077,-1,protein,Sta,Na_mM_Levels,baseNahighNa
78,YP_003043309.1,25.2691081655628,-1.404286077712,0.30469452390218,-4.60883267519057,4.04936045880291e-06,5.06234332913201e-05,ilvH,ECB_00080,b0078,-1,protein,Sta,Na_mM_Levels,baseNahighNa
79,YP_003043310.1,15.2719937474202,-0.688216406304116,0.407130354393412,-1.69040799556569,0.0909499264517378,0.14229670654229,fruR,ECB_00081,b0080,-1,protein,Sta,Na_mM_Levels,baseNahighNa
80,YP_003043311.1,10.1572286155771,-0.679098933424683,0.326008077990102,-2.08307394593241,0.0372444838197018,0.0740003921705276,yabB,ECB_00082,b0081,-1,protein,Sta,Na_mM_Levels,baseNahighNa
81,YP_003043312.1,37.401423816784,-1.05055376531253,0.330605945221401,-3.17766144407656,0.00148468005781599,0.00708623879227184,mraW,ECB_00083,b0082,-1,protein,Sta,Na_mM_Levels,baseNahighNa
82,YP_003043313.1,0.779563951759688,1.65777245016679,0.823825822894528,2.01228512641444,0.0441898893999039,0.0842710820614148,ftsL,ECB_00084,b0083,1,protein,Sta,Na_mM_Levels,baseNahighNa
