,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469602329412727,-0.134809938358782,0.780563445667367,-0.172708495519569,0.862880565687252,NA,thrL,ECB_00001,b0001,-1,protein,Sta,Na_mM_Levels,highNa,baseNa
2,YP_003043231.1,182.898722036479,-1.82066918100641,0.369315660573517,-4.92984559111048,8.22946350812843e-07,1.30736249822313e-05,thrA,ECB_00002,b0002,-1,protein,Sta,Na_mM_Levels,highNa,baseNa
3,YP_003043232.1,41.9621076184805,-2.44223013802752,0.399401184511423,-6.11472933164942,9.6720985314109e-10,6.37811025797756e-08,thrB,ECB_00003,b0003,-1,protein,Sta,Na_mM_Levels,highNa,baseNa
4,YP_003043233.1,178.921538549459,-2.48470489542807,0.410444462974255,-6.05369329975327,1.41562018622837e-09,8.67998693134766e-08,thrC,ECB_00004,b0004,-1,protein,Sta,Na_mM_Levels,highNa,baseNa
5,YP_003043234.1,0.15122134955216,0.650637464655052,0.981068125812213,0.663192950149509,0.507206986024114,NA,yaaX,ECB_00005,b0005,1,protein,Sta,Na_mM_Levels,highNa,baseNa
6,YP_003043235.1,27.0289230626919,-0.789136681452965,0.378969160181436,-2.08232427428965,0.0373128601170719,0.072048865253683,yaaA,ECB_00006,b0006,-1,protein,Sta,Na_mM_Levels,highNa,baseNa
7,YP_003043236.1,0.0984377045983535,0.22725049996104,0.903799173120257,0.25143915453749,0.801474598858068,NA,yaaJ,ECB_00007,b0007,1,protein,Sta,Na_mM_Levels,highNa,baseNa
8,YP_003043237.1,145.403055904449,-2.20343089837992,0.389151604692374,-5.66214008065505,1.49496704444855e-08,5.39683325352989e-07,talB,ECB_00008,b0008,-1,protein,Sta,Na_mM_Levels,highNa,baseNa
9,YP_003043238.1,8.86515360498028,-1.46714600253371,0.394123447281779,-3.72255447538691,0.000197217340626777,0.00134361521538126,mogA,ECB_00009,b0009,-1,protein,Sta,Na_mM_Levels,highNa,baseNa
10,YP_003043239.1,0.0379747773232496,-0.313417388918276,0.779151824710134,-0.402254578605236,0.687496678786853,NA,yaaH,ECB_00010,b0010,-1,protein,Sta,Na_mM_Levels,highNa,baseNa
11,YP_003043242.1,0.461288573595087,1.84687402477516,0.961311713918921,1.92120203887469,0.054706241234518,0.0959830889129721,yaaI,ECB_00013,b0013,1,protein,Sta,Na_mM_Levels,highNa,baseNa
