,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
1,YP_003043230.1,0.0560439646623759,-0.388428691017705,1.29736044534033,-0.299399208919006,0.764635465691431,NA,thrL,ECB_00001,b0001,-1,protein,Sta,carbonSource,glucoseglycerol
2,YP_003043231.1,172.188448591502,-1.27213388842831,0.583216649257411,-2.18123726414202,0.029165871930596,0.184449612087072,thrA,ECB_00002,b0002,-1,protein,Sta,carbonSource,glucoseglycerol
3,YP_003043232.1,46.0347767112484,-1.26929036919172,0.608029144540534,-2.08754856669063,0.0368385757099233,0.200667005840522,thrB,ECB_00003,b0003,-1,protein,Sta,carbonSource,glucoseglycerol
4,YP_003043233.1,199.148022189114,-1.3537632554983,0.649731885582094,-2.08357214035366,0.0371991033587999,0.200855733018272,thrC,ECB_00004,b0004,-1,protein,Sta,carbonSource,glucoseglycerol
5,YP_003043234.1,0.051117549968684,-0.398622799709663,1.29741544434098,-0.307243760237604,0.75865783939378,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,glucoseglycerol
6,YP_003043235.1,24.1524373407859,-0.940438104924318,0.591223550627703,-1.59066414713327,0.111685179714155,0.331240081637054,yaaA,ECB_00006,b0006,-1,protein,Sta,carbonSource,glucoseglycerol
7,YP_003043236.1,0.0780095626789625,-0.486958385275192,1.2982701554205,-0.37508247666486,0.70759912886727,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,glucoseglycerol
8,YP_003043237.1,141.759860892035,-0.958922695210745,0.631331537109882,-1.5188892663283,0.128790371254859,0.346794905931052,talB,ECB_00008,b0008,-1,protein,Sta,carbonSource,glucoseglycerol
9,YP_003043238.1,8.95598107001497,-0.470279633658059,0.647899507435456,-0.725852741452978,0.467929050373475,0.667363638739549,mogA,ECB_00009,b0009,-1,protein,Sta,carbonSource,glucoseglycerol
10,YP_003043239.1,0,NA,NA,NA,NA,NA,yaaH,ECB_00010,b0010,NA,protein,Sta,carbonSource,glucoseglycerol
11,YP_003043242.1,0.262550957340938,-0.242370058130622,1.37200863578812,-0.176653449408792,0.859780607685906,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,glucoseglycerol
12,YP_003043243.1,595.621238783595,-0.7386222354953,0.588560325930047,-1.25496436466071,0.209491696511864,0.426406327152101,dnaK,ECB_00014,b0014,-1,protein,Sta,carbonSource,glucoseglycerol
13,YP_003043244.1,51.6836562510391,-0.254245474112373,0.620825337063617,-0.409528186003014,0.682152086454278,0.822080719573104,dnaJ,ECB_00015,b0015,-1,protein,Sta,carbonSource,glucoseglycerol
14,YP_003043245.1,0.739964795949432,-1.0642282495361,1.35645575715721,-0.784565396933004,0.432708424887601,NA,insL-1,ECB_00016,b0016,-1,protein,Sta,carbonSource,glucoseglycerol
15,YP_003043246.1,0,NA,NA,NA,NA,NA,mokC,ECB_00017,b0018,NA,protein,Sta,carbonSource,glucoseglycerol
16,YP_003043247.1,0,NA,NA,NA,NA,NA,hokC,ECB_04280,b4412,NA,protein,Sta,carbonSource,glucoseglycerol
17,YP_003043248.1,0.0780095626789625,-0.486958385275192,1.2982701554205,-0.37508247666486,0.70759912886727,NA,nhaA,ECB_00018,b0019,-1,protein,Sta,carbonSource,glucoseglycerol
18,YP_003043249.1,0.433202004662724,-0.452571858148254,1.37113431246798,-0.330071134558397,0.741346213381027,NA,nhaR,ECB_00019,b0020,-1,protein,Sta,carbonSource,glucoseglycerol
19,YP_003043250.1,0.0340783666457893,-0.277686538305712,1.29672550682332,-0.214144425203744,0.830434432942918,NA,cirA,ECB_00020,b2155,-1,protein,Sta,carbonSource,glucoseglycerol
20,YP_003043251.1,0.136313466583157,-0.807416469415668,1.30744671554114,-0.617552103514589,0.536870625438627,NA,yehB,ECB_00021,,-1,protein,Sta,carbonSource,glucoseglycerol
