id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
YP_003043231.1,232.462445525545,-1.98806487236847,0.329386060894295,-6.03566789368926,1.58306536438951e-09,9.26658618655143e-08,thrA,ECB_00002,b0002,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043232.1,58.8627750750479,-2.64091753268437,0.457883641201869,-5.7676608095288,8.03793750597766e-09,2.9604897915275e-07,thrB,ECB_00003,b0003,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043233.1,254.66560948163,-2.75573454901593,0.433322874294188,-6.35954091623843,2.02357624417437e-10,2.32790047283128e-08,thrC,ECB_00004,b0004,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043235.1,35.0952246801235,-0.855606621581891,0.363709654512472,-2.35244407446036,0.0186504941070666,0.0425444117487573,yaaA,ECB_00006,b0006,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043236.1,0.301396037595575,0.721610462349917,0.917348614976655,0.786626207931082,0.431500712730077,0.48824968461484,yaaJ,ECB_00007,b0007,1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043237.1,179.218920929291,-2.30138058244095,0.380274725782611,-6.05188940102362,1.43156746227536e-09,8.69014470618268e-08,talB,ECB_00008,b0008,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043238.1,11.0118856491632,-1.46261093989847,0.428587259194793,-3.41263280351905,0.00064338569731351,0.00289700318103528,mogA,ECB_00009,b0009,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043242.1,1.24968201654473,1.62133349537023,0.72670104110829,2.23108734356228,0.0256753439468087,0.0531336978899236,yaaI,ECB_00013,b0013,1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043243.1,726.269356436145,-2.20279374282894,0.415557175031239,-5.30081989960431,1.15283771532245e-07,2.05380545153642e-06,dnaK,ECB_00014,b0014,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043244.1,60.4276213901347,-1.64673177735531,0.384380756588476,-4.28411607274691,1.83467118679038e-05,0.000139214170145807,dnaJ,ECB_00015,b0015,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043245.1,4.57449044084091,2.06076635253721,0.755056015476424,2.72928936436181,0.00634709824827038,0.0192467974633028,insL-1,ECB_00016,b0016,1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043249.1,2.44933721360948,2.11498282749141,0.661739493278895,3.19609581863059,0.00139300842665701,0.00558225137234923,nhaR,ECB_00019,b0020,1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043250.1,1.08241462473572,2.9662339682382,0.795759457202189,3.72755100978275,0.000193349436063128,0.00104415066130961,cirA,ECB_00020,b2155,1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043252.1,2.55469376783664,1.99378974801725,0.663110232948318,3.00672444632995,0.00264079023003613,0.00956520483321373,yjcF,ECB_00022,,1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043253.1,0.803532434011018,0.865552622281539,0.779836743005377,1.10991515858284,0.26703558775855,0.326012162634088,insA-1,ECB_00023,b0022,1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043256.1,1.53366044897071,2.54301083583907,0.72787828992823,3.49373084899923,0.000476320971623068,0.00224982729824267,elfG,ECB_00026,,1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043257.1,81.4910198133253,-2.65664617261463,0.424996477647323,-6.25098397831713,4.07874722051535e-10,3.61354956455387e-08,rpsT,ECB_00027,b0023,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043259.1,16.3338401303362,-1.51021031651969,0.38415391437597,-3.93126364200378,8.45005452217985e-05,0.000513901275022366,ribF,ECB_00029,b0025,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043260.1,213.885813052452,-1.51319317215976,0.335935780916835,-4.50441202788805,6.65569618401365e-06,5.60857894375238e-05,ileS,ECB_00030,b0026,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043262.1,7.89470473521659,-1.38439972331933,0.462448602218334,-2.99362938211611,0.00275680595202438,0.0099196596166146,fkpB,ECB_00032,b0028,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043263.1,11.631480840107,-0.966364958170473,0.372685086867124,-2.59297995069767,0.00951483172126473,0.0258620384596234,ispH,ECB_00033,b0029,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043264.1,5.00237113075033,-0.0341837605792446,0.507811484100175,-0.0673158478087928,0.946330260778669,0.95507099594596,rihC,ECB_00034,b0030,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043265.1,49.5491821974033,-1.61294058534666,0.317581191635819,-5.07882906112485,3.79768207855007e-07,5.32008112013663e-06,dapB,ECB_00035,b0031,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
YP_003043266.1,132.059018146422,-1.31751389417678,0.417492230578976,-3.15578062937761,0.00160069200335367,0.00634470179805722,carA,ECB_00036,b0032,-1,protein_wo_NA,Sta,Na_mM_Levels,baseNahighNa
