id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
YP_003043231.1,223.740555461099,-0.603374872658153,0.522676058722574,-1.15439546653965,0.248338072946931,0.428869798672348,thrA,ECB_00002,b0002,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043232.1,56.7429770626057,-1.14497048790765,0.661280889806749,-1.73144348423897,0.0833726965987406,0.22318058301799,thrB,ECB_00003,b0003,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043233.1,243.862420557253,-1.41917069847484,0.654273674074987,-2.16907810096633,0.0300767549646712,0.116192473418431,thrC,ECB_00004,b0004,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043235.1,29.0106370280165,-1.23147700714863,0.61085533520593,-2.01598796993969,0.0438012337627142,0.152732997729116,yaaA,ECB_00006,b0006,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043236.1,0.281234906415498,1.12717894392176,1.32146455604639,0.852977053954514,0.393672029088873,NA,yaaJ,ECB_00007,b0007,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043237.1,165.81420497876,-1.71055520246211,0.5951048865543,-2.87437599843341,0.00404826702030262,0.028085727943622,talB,ECB_00008,b0008,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043238.1,10.3868711393621,-0.332813488976784,0.716790044266251,-0.464310981491758,0.642424957355989,0.771294634430394,mogA,ECB_00009,b0009,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043242.1,0.456013780477136,0.623627681551143,1.36170415729256,0.457975896020679,0.646969758621663,NA,yaaI,ECB_00013,b0013,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043243.1,732.324737810867,-0.231820843280376,0.626987663445158,-0.369737487347952,0.711578097190775,0.814334523326201,dnaK,ECB_00014,b0014,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043244.1,55.7537357157764,-0.804113681380426,0.600288614183985,-1.33954511609972,0.180393277359981,0.358462359867949,dnaJ,ECB_00015,b0015,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043245.1,1.08330985960698,-0.43475727441972,1.3839061397273,-0.314152283843028,0.753405381304034,NA,insL-1,ECB_00016,b0016,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043249.1,0.582263213796536,0.0701208879694835,1.38610859846805,0.0505883074724321,0.959653580181401,NA,nhaR,ECB_00019,b0020,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043250.1,0.209838532152006,1.31267369168722,1.25245724781887,1.04807864218376,0.294602375570998,NA,cirA,ECB_00020,b2155,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043252.1,1.06366038806904,1.34226830457621,1.33825403382936,1.00299963283904,0.315861038400444,NA,yjcF,ECB_00022,,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043253.1,0.363373395730246,-0.92818051171107,1.327145638498,-0.699381051172001,0.484313926582367,NA,insA-1,ECB_00023,b0022,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043256.1,0.148520230850174,-0.577038578791485,1.20531474922513,-0.47874514035645,0.632119948422848,NA,elfG,ECB_00026,,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043257.1,86.7977135683244,0.0755395436259104,0.63336278936318,0.119267416549466,0.905063497032285,0.949582580612104,rpsT,ECB_00027,b0023,1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043259.1,15.0552913645439,-0.654378458564793,0.642540633863206,-1.0184234647238,0.308476755703146,0.485361062454361,ribF,ECB_00029,b0025,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043260.1,192.189066319389,-1.07861334626228,0.53536937584939,-2.01470871312167,0.043935178722089,0.152934085655883,ileS,ECB_00030,b0026,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043262.1,7.03211345483281,-1.15420930643399,0.817203063088204,-1.41238984356255,0.157835205319311,0.332776439808428,fkpB,ECB_00032,b0028,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
YP_003043263.1,10.5322334651903,-0.163595255461287,0.64732655143138,-0.252724463564089,0.800481142215728,0.877989436620643,ispH,ECB_00033,b0029,-1,protein_wo_NA,Sta,carbonSource,glucoseglycerol
