id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,vs
YP_003043231.1,280.886403331544,-2.05616573173984,0.267432200815384,-7.68854956684618,1.48812366341513e-14,5.36051578975253e-13,thrA,ECB_00002,b0002,-1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043232.1,66.8314657142251,-2.5671873463909,0.33609805794347,-7.63820940263419,2.20263425090233e-14,7.22023507445785e-13,thrB,ECB_00003,b0003,-1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043233.1,330.863508552304,-2.95402411545915,0.339738285951465,-8.69499917321994,3.46832311859674e-18,2.27383263655203e-15,thrC,ECB_00004,b0004,-1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043235.1,37.3578026630397,-1.41462170135584,0.261709366438603,-5.40531552464595,6.46944052005514e-08,3.63370289633346e-07,yaaA,ECB_00006,b0006,-1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043236.1,0.432103698756034,1.28535036430913,0.84748057717476,1.51667235678025,0.129349426908721,0.157214468448939,yaaJ,ECB_00007,b0007,1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043237.1,204.074212372475,-2.34222270748196,0.305185519124466,-7.67475047374944,1.65740964587771e-14,5.84192346149155e-13,talB,ECB_00008,b0008,-1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043238.1,11.5372409058487,-1.50250280319499,0.373734990364323,-4.02023584072319,5.81399087507953e-05,0.000210588531364759,mogA,ECB_00009,b0009,-1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043242.1,0.894927667795849,1.42169487270182,0.828217699924419,1.71657146766069,0.0860574994488101,0.109043866715578,yaaI,ECB_00013,b0013,1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043243.1,710.441917073688,-2.05267553230931,0.304462944862813,-6.741955193379,1.56269279364267e-11,1.89022397695966e-10,dnaK,ECB_00014,b0014,-1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043244.1,72.213092091947,-2.07515383071095,0.336287520068527,-6.17077264802478,6.79570801127461e-10,5.69727131993815e-09,dnaJ,ECB_00015,b0015,-1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043245.1,3.0757706669736,2.1891028718308,0.815235025823443,2.68524143650434,0.00724774294098351,0.0143121092533397,insL-1,ECB_00016,b0016,1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043249.1,2.15119629909923,1.25220563241112,0.594961914176671,2.10468200161008,0.0353189982233663,0.0501410464167149,nhaR,ECB_00019,b0020,1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043250.1,0.53581667892866,1.87938981217518,0.830290714845824,2.2635322527052,0.0236028987391064,0.0359527425960923,cirA,ECB_00020,b2155,1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043252.1,1.36733001126571,2.21375286823873,0.812850601194488,2.72344372383512,0.00646052213310216,0.0130781088974757,yjcF,ECB_00022,,1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043253.1,5.21763053520966,-1.16617368049293,0.697193709240892,-1.672668105056,0.0943926514506742,0.118415274188791,insA-1,ECB_00023,b0022,-1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
YP_003043256.1,1.00419085644465,2.26084833652777,0.769025729942239,2.93988646738463,0.00328332528458368,0.00776894336269146,elfG,ECB_00026,,1,protein_wo_NA,Exp,Na_mM_Levels,baseNahighNa
