,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1428298694748,0.379022420269771,0.515637641952863,0.735055762869267,0.462305534103835,0.666473755711991,thrL,1,mrna,Sta,carbonSource,glycerol,glucose
2,ECB_00002,18.8565850789338,-0.945496359696192,0.628436500881378,-1.50452171121528,0.132447087364058,0.352032091099245,thrA,-1,mrna,Sta,carbonSource,glycerol,glucose
3,ECB_00003,7.16033149296168,-0.73177310982318,0.630377976959022,-1.16084815233123,0.245703656865513,0.481113010320851,thrB,-1,mrna,Sta,carbonSource,glycerol,glucose
4,ECB_00004,6.72580820709594,-0.433061077033463,0.709500837783039,-0.610374299749439,0.541613888732032,0.7331025149668,thrC,-1,mrna,Sta,carbonSource,glycerol,glucose
5,ECB_00005,1.24864738700942,-0.0181427061412467,0.761135386531968,-0.023836371902129,0.98098312770183,0.99200365103382,yaaX,-1,mrna,Sta,carbonSource,glycerol,glucose
6,ECB_00006,1.25204958985479,0.226371975033255,0.746083710630253,0.303413640866155,0.761574651442088,0.87052164818738,yaaA,1,mrna,Sta,carbonSource,glycerol,glucose
7,ECB_00007,0.292141894424653,0.271379835959005,0.905836221517342,0.299590400022229,0.764489607691488,NA,yaaJ,1,mrna,Sta,carbonSource,glycerol,glucose
8,ECB_00008,39.6899009536366,0.537186283435868,0.541857822288125,0.991378663073406,0.321500714991663,0.555727334985589,talB,1,mrna,Sta,carbonSource,glycerol,glucose
9,ECB_00009,6.50524862726978,-0.44330267121207,0.48843641721131,-0.907595452736863,0.364091997681747,0.590964609504836,mogA,-1,mrna,Sta,carbonSource,glycerol,glucose
10,ECB_00010,2.35366320879242,-0.775095656393424,0.654839667471517,-1.18364188196821,0.236554853977999,0.469913074892109,yaaH,-1,mrna,Sta,carbonSource,glycerol,glucose
11,ECB_00013,0.069215263113572,-0.0119522426465947,0.851785690850788,-0.0140319833673849,0.988804464508659,NA,yaaI,-1,mrna,Sta,carbonSource,glycerol,glucose
12,ECB_00014,88.806503441466,-0.347656275431946,0.599151129786725,-0.580248051198198,0.561747354053077,0.752224742860915,dnaK,-1,mrna,Sta,carbonSource,glycerol,glucose
13,ECB_00015,4.33702690484307,-0.819557531631218,0.657172026247385,-1.24709740965557,0.212361782642779,0.443993497929713,dnaJ,-1,mrna,Sta,carbonSource,glycerol,glucose
14,ECB_00016,1.65341319721119,-1.01213731397128,0.695483849047575,-1.4552995232849,0.145586358569014,0.367552353897467,insL-1,-1,mrna,Sta,carbonSource,glycerol,glucose
15,ECB_00017,0.941377456397593,0.0595477942559424,0.756317585194608,0.0787338486128419,0.937244321739925,NA,mokC,1,mrna,Sta,carbonSource,glycerol,glucose
16,ECB_00018,30.8664030683216,0.44124673312774,0.443457279865284,0.995015197995586,0.319728872692477,0.555665858183893,nhaA,1,mrna,Sta,carbonSource,glycerol,glucose
17,ECB_00019,1.96084489626861,-0.830587658323458,0.656138566906033,-1.26587233279096,0.205558793228613,0.441563154711816,nhaR,-1,mrna,Sta,carbonSource,glycerol,glucose
18,ECB_00020,0.338575285565431,-0.0800786736193605,0.923462186900895,-0.0867157039619581,0.930897493483377,NA,ECB_00020,-1,mrna,Sta,carbonSource,glycerol,glucose
19,ECB_00021,0.112651174995201,-0.261949019324517,0.935541856803942,-0.279997113351404,0.77947971956243,NA,ECB_00021,-1,mrna,Sta,carbonSource,glycerol,glucose
20,ECB_00022,0.0854228640476604,-0.0602313880519169,0.86977964694084,-0.0692490198681479,0.944791404514627,NA,ECB_00022,-1,mrna,Sta,carbonSource,glycerol,glucose
21,ECB_00023,0.0826168944208389,-0.0578586928574404,0.936236893492406,-0.0617992019536983,0.950722739023339,NA,insA-1,-1,mrna,Sta,carbonSource,glycerol,glucose
22,ECB_00024,0.597693468799706,-1.45522695014127,0.829527181661329,-1.75428482913221,0.0793817139774503,NA,insB-1,-1,mrna,Sta,carbonSource,glycerol,glucose
