,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,signChange,pick_data,growthPhase,test_for,contrast,base
1,ECB_00001,14.1428298694748,1.01111364478926,0.661546506612647,1.5284090153639,0.126411017850654,0.65032254133008,thrL,1,mrna,Sta,carbonSource,lactate,glucose
2,ECB_00002,18.8565850789338,-0.0593893900076518,0.767285576938347,-0.0774019371569966,0.9383037997794,0.988833953678908,thrA,-1,mrna,Sta,carbonSource,lactate,glucose
3,ECB_00003,7.16033149296168,0.260382413589746,0.75796844297574,0.343526720673884,0.731202242320672,0.965424632140687,thrB,1,mrna,Sta,carbonSource,lactate,glucose
4,ECB_00004,6.72580820709594,0.552625748525174,0.823887163326716,0.670754167711226,0.502377149162123,0.934977108280819,thrC,1,mrna,Sta,carbonSource,lactate,glucose
5,ECB_00005,1.24864738700942,1.1140535470017,0.819469266195481,1.35948179261667,0.17399396819533,NA,yaaX,1,mrna,Sta,carbonSource,lactate,glucose
6,ECB_00006,1.25204958985479,-0.241177651055594,0.839732620266774,-0.287207672102787,0.773953312197257,NA,yaaA,-1,mrna,Sta,carbonSource,lactate,glucose
7,ECB_00007,0.292141894424653,0.593540285270677,0.908147609008563,0.653572480269648,0.513387278955744,NA,yaaJ,1,mrna,Sta,carbonSource,lactate,glucose
8,ECB_00008,39.6899009536366,0.8460719000359,0.69469216929868,1.21790907890907,0.223258525732533,0.801332751343788,talB,1,mrna,Sta,carbonSource,lactate,glucose
9,ECB_00009,6.50524862726978,0.530629231092108,0.596872877937215,0.889015485049273,0.373994757690589,0.895755727671885,mogA,1,mrna,Sta,carbonSource,lactate,glucose
10,ECB_00010,2.35366320879242,-0.206364190478268,0.749425595872404,-0.275363146941946,0.783037254499239,0.971129872667508,yaaH,-1,mrna,Sta,carbonSource,lactate,glucose
11,ECB_00013,0.069215263113572,-0.123245866136795,0.731816760812326,-0.16841082732239,0.866260090788373,NA,yaaI,-1,mrna,Sta,carbonSource,lactate,glucose
12,ECB_00014,88.806503441466,0.12023408138838,0.74844072991207,0.160646096054267,0.872372146969647,0.983195498717534,dnaK,1,mrna,Sta,carbonSource,lactate,glucose
13,ECB_00015,4.33702690484307,-0.235724465741911,0.766161827059255,-0.30766929050314,0.758333989551745,0.971129872667508,dnaJ,-1,mrna,Sta,carbonSource,lactate,glucose
14,ECB_00016,1.65341319721119,-1.71349765008974,0.796177911371729,-2.15215421781492,0.0313852101035209,0.360089132427785,insL-1,-1,mrna,Sta,carbonSource,lactate,glucose
15,ECB_00017,0.941377456397593,1.46080443770841,0.79305249360807,1.84200219970602,0.0654748281159668,NA,mokC,1,mrna,Sta,carbonSource,lactate,glucose
16,ECB_00018,30.8664030683216,-0.0684188025443637,0.589268637271899,-0.116107999334765,0.907566949143235,0.983456372915624,nhaA,-1,mrna,Sta,carbonSource,lactate,glucose
17,ECB_00019,1.96084489626861,-1.11965308102768,0.772219728762567,-1.44991514632998,0.147082183065563,0.680381384676309,nhaR,-1,mrna,Sta,carbonSource,lactate,glucose
18,ECB_00020,0.338575285565431,-0.462835289519184,0.907007191999173,-0.510288444900893,0.609849396848372,NA,ECB_00020,-1,mrna,Sta,carbonSource,lactate,glucose
19,ECB_00021,0.112651174995201,-0.356087636448816,0.828978458897722,-0.429549926933324,0.667523068253576,NA,ECB_00021,-1,mrna,Sta,carbonSource,lactate,glucose
20,ECB_00022,0.0854228640476604,-0.104967700219649,0.749819689140779,-0.139990589390806,0.888667425748174,NA,ECB_00022,-1,mrna,Sta,carbonSource,lactate,glucose
21,ECB_00023,0.0826168944208389,-0.180170422799479,0.830414357609322,-0.216964484234318,0.828236023128302,NA,insA-1,-1,mrna,Sta,carbonSource,lactate,glucose
22,ECB_00024,0.597693468799706,-1.07390201347592,0.872020756608839,-1.23150969209972,0.218132293969802,NA,insB-1,-1,mrna,Sta,carbonSource,lactate,glucose
23,ECB_00025,0.118852391884599,-0.0864071147445,0.833859645115747,-0.103623092028282,0.917468461525027,NA,ECB_00025,-1,mrna,Sta,carbonSource,lactate,glucose
24,ECB_00026,0.126446066249043,0.186144263801869,0.861484902170891,0.216073738881315,0.828930269528171,NA,ECB_00026,1,mrna,Sta,carbonSource,lactate,glucose
25,ECB_00027,22.8001507859546,-0.396074675127155,0.731967966131893,-0.541109301845849,0.588432247182158,0.946534155447368,rpsT,-1,mrna,Sta,carbonSource,lactate,glucose
26,ECB_00028,0.145498423405883,-0.0376830162498461,0.86408752532641,-0.0436101843220238,0.965215133507495,NA,yaaY,-1,mrna,Sta,carbonSource,lactate,glucose
27,ECB_00029,3.78928680124873,-1.06376474117172,0.788009864372021,-1.34993835644362,0.17703575689493,0.716810531231538,ribF,-1,mrna,Sta,carbonSource,lactate,glucose
28,ECB_00030,24.8366754375236,-0.763654161600321,0.792808261658545,-0.963226795849434,0.335433720686442,0.866140603356541,ileS,-1,mrna,Sta,carbonSource,lactate,glucose
29,ECB_00031,4.43145238949103,0.0455653905577218,0.834234289177911,0.0546194170496443,0.956441669280079,0.988833953678908,lspA,1,mrna,Sta,carbonSource,lactate,glucose
30,ECB_00032,0.657328959749413,-0.0518990525536135,0.894440612371922,-0.0580240340563081,0.953729484366804,NA,fkpB,-1,mrna,Sta,carbonSource,lactate,glucose
31,ECB_00033,4.62839609010693,-1.3216584643723,0.817894158384305,-1.615928480261,0.106109777151819,0.612578888046036,ispH,-1,mrna,Sta,carbonSource,lactate,glucose
32,ECB_00034,0.388198759173351,0.602829060973319,0.90331679493083,0.667350661867722,0.504548172942951,NA,rihC,1,mrna,Sta,carbonSource,lactate,glucose
33,ECB_00035,2.44848295552748,0.12147447389781,0.838925593676353,0.14479767313509,0.884870619433657,0.983195498717534,dapB,1,mrna,Sta,carbonSource,lactate,glucose
34,ECB_00036,11.7758505628172,-0.499051564169007,0.855239155719172,-0.583522820291541,0.559541399360395,0.94477078526123,carA,-1,mrna,Sta,carbonSource,lactate,glucose
35,ECB_00037,26.6505803621878,-0.945404906746327,0.859678106514128,-1.09971965039311,0.271454290272001,0.839502938415602,carB,-1,mrna,Sta,carbonSource,lactate,glucose
36,ECB_00038,2.25348414654781,0.955342508444515,0.832568624500314,1.14746398114376,0.251189911280638,0.831890332229332,caiF,1,mrna,Sta,carbonSource,lactate,glucose
37,ECB_00039,0.301636065496474,-0.152336896524223,0.90753188939631,-0.167858450269507,0.866694638126174,NA,caiE,-1,mrna,Sta,carbonSource,lactate,glucose
38,ECB_00040,0.0268734117950795,-0.0734183191441855,0.602140057654225,-0.121928973518559,0.902955269267935,NA,caiD,-1,mrna,Sta,carbonSource,lactate,glucose
39,ECB_00041,0.41781416996595,-0.507410289275426,0.905359803323562,-0.560451532542897,0.575171490099332,NA,caiC,-1,mrna,Sta,carbonSource,lactate,glucose
40,ECB_00043,11.1755500957849,0.250598918114359,0.790517504266758,0.317006159587574,0.751238928451297,0.971129872667508,caiA,1,mrna,Sta,carbonSource,lactate,glucose
41,ECB_00044,8.49909896286598,-2.86430973190574,0.887770441672629,-3.22640808642959,0.00125354486595471,0.0599644999393532,caiT,-1,mrna,Sta,carbonSource,lactate,glucose
42,ECB_00045,0.24969709542748,-0.590895764706704,0.903872285851737,-0.653738115390817,0.513280542440169,NA,fixA,-1,mrna,Sta,carbonSource,lactate,glucose
43,ECB_00046,0.0556747461197289,0.129539056914546,0.680984892940414,0.190223099304319,0.84913431095789,NA,fixB,1,mrna,Sta,carbonSource,lactate,glucose
