,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345170641396138,0.0359969619947014,0.723048147303938,0.0497850138043018,0.960293709125305,NA,thrL,ECB_00001,b0001,1,protein,Exp,Na_mM_Levels,highNa,baseNa
2,YP_003043231.1,216.697240562313,-1.62655348630424,0.255635461151095,-6.36278503373543,1.98127895319046e-10,4.26579023397287e-09,thrA,ECB_00002,b0002,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
3,YP_003043232.1,46.8253436262275,-1.95839739824788,0.343180388396648,-5.70661222046395,1.15246933974222e-08,1.7692909733173e-07,thrB,ECB_00003,b0003,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
4,YP_003043233.1,218.194234108105,-2.14259571385617,0.3161633827776,-6.77686231413885,1.22813824710235e-11,3.73841047458483e-10,thrC,ECB_00004,b0004,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
5,YP_003043234.1,0.0928836879676988,0.330808443696913,0.960665420833331,0.344353441398934,0.730580498481283,NA,yaaX,ECB_00005,b0005,1,protein,Exp,Na_mM_Levels,highNa,baseNa
6,YP_003043235.1,27.7100935097974,-0.998808637476214,0.326041333625309,-3.06344176172478,0.00218806789687912,0.00692299977050196,yaaA,ECB_00006,b0006,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
7,YP_003043236.1,0.225682431780626,0.78844522408159,0.992564724555591,0.794351445881383,0.426990862039096,NA,yaaJ,ECB_00007,b0007,1,protein,Exp,Na_mM_Levels,highNa,baseNa
8,YP_003043237.1,166.253703628128,-2.12787634257945,0.283222530070228,-7.5130899439809,5.77478221003882e-14,3.23662793391223e-12,talB,ECB_00008,b0008,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
9,YP_003043238.1,9.28467546095552,-1.33030518633562,0.352307008878461,-3.7759827446253,0.000159378024776464,0.000805098434171237,mogA,ECB_00009,b0009,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
10,YP_003043239.1,0.0112771630477337,-0.18171925342673,0.722248305387027,-0.251602187324417,0.801348567764641,NA,yaaH,ECB_00010,b0010,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
11,YP_003043242.1,0.375689217541884,1.59115637052557,0.974022131936075,1.63359365085761,0.102344201870095,0.140942814665876,yaaI,ECB_00013,b0013,1,protein,Exp,Na_mM_Levels,highNa,baseNa
12,YP_003043243.1,558.093342657303,-1.6902451459367,0.325216600808112,-5.19729048805228,2.02214243123877e-07,2.15677402326663e-06,dnaK,ECB_00014,b0014,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
13,YP_003043244.1,57.2474780754874,-1.82992829336978,0.323343234618144,-5.65939873624032,1.51904248909091e-08,2.22770913184366e-07,dnaJ,ECB_00015,b0015,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
14,YP_003043245.1,1.29222026764967,2.70579454312002,0.885967156339451,3.0540573922622,0.00225768885067683,0.00711141778032104,insL-1,ECB_00016,b0016,1,protein,Exp,Na_mM_Levels,highNa,baseNa
15,YP_003043246.1,0.0622749028533925,0.282278234698836,0.85833853462861,0.328865853402438,0.742257085025641,NA,mokC,ECB_00017,b0018,1,protein,Exp,Na_mM_Levels,highNa,baseNa
16,YP_003043248.1,0.21048063320053,0.518405152270591,0.996272793384837,0.520344584046413,0.602823426694285,NA,nhaA,ECB_00018,b0019,1,protein,Exp,Na_mM_Levels,highNa,baseNa
17,YP_003043249.1,0.909356943831245,2.18905161129491,0.750775397271178,2.91572102555757,0.00354867651778427,0.00990543619311956,nhaR,ECB_00019,b0020,1,protein,Exp,Na_mM_Levels,highNa,baseNa
18,YP_003043250.1,0.217480542398196,1.3274125951003,1.00163160301676,1.32525031269215,0.185088142962834,NA,cirA,ECB_00020,b2155,1,protein,Exp,Na_mM_Levels,highNa,baseNa
19,YP_003043251.1,0.370868378026222,1.83079472382155,0.951077019315837,1.92496999363789,0.054233112290299,0.0856810378062844,yehB,ECB_00021,,1,protein,Exp,Na_mM_Levels,highNa,baseNa
20,YP_003043252.1,0.751009905080239,2.1130709802873,0.861840913928518,2.45181093881389,0.014213932192803,0.0295405500722704,yjcF,ECB_00022,,1,protein,Exp,Na_mM_Levels,highNa,baseNa
21,YP_003043253.1,3.7900503774834,-0.914905300964292,0.786945085924797,-1.16260374113541,0.244990312214462,0.296355187540002,insA-1,ECB_00023,b0022,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
22,YP_003043254.1,0.55940536611518,2.05753154395068,0.951983690483253,2.16130965742304,0.0306714274213078,0.0547250177992107,insB-1,ECB_00024,b0021,1,protein,Exp,Na_mM_Levels,highNa,baseNa
23,YP_003043255.1,0.376162389652701,1.98107263264381,0.977758583253413,2.02613678527061,0.0427507694164586,0.0707370978488826,talA,ECB_00025,,1,protein,Exp,Na_mM_Levels,highNa,baseNa
24,YP_003043256.1,0.418276946553111,2.13611807964593,0.959246336832821,2.22687124008086,0.025955880457577,0.0481862323321264,elfG,ECB_00026,,1,protein,Exp,Na_mM_Levels,highNa,baseNa
25,YP_003043257.1,95.3846842742771,-2.34163075085733,0.311406613617059,-7.51952800121599,5.49743440691314e-14,3.182203424723e-12,rpsT,ECB_00027,b0023,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
26,YP_003043258.1,0.0831227691059784,0.410742352641791,0.925920945547505,0.443604126914869,0.657328821494318,NA,yaaY,ECB_00028,b0024,1,protein,Exp,Na_mM_Levels,highNa,baseNa
27,YP_003043259.1,17.8525550149046,-1.45613575421718,0.312276188968023,-4.66297401357839,3.11672122420974e-06,2.51258964444853e-05,ribF,ECB_00029,b0025,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
28,YP_003043260.1,195.668450808453,-1.37782837828658,0.30728967306147,-4.48380957472321,7.3322100191244e-06,5.38254336331149e-05,ileS,ECB_00030,b0026,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
29,YP_003043261.1,0.131333387829155,0.51468775721294,0.979969167224661,0.525208113098671,0.599438525581247,NA,lspA,ECB_00031,b0027,1,protein,Exp,Na_mM_Levels,highNa,baseNa
30,YP_003043262.1,7.51574703777284,-1.15066729174433,0.349993574921956,-3.28768118672154,0.00101016163490015,0.00375461129771834,fkpB,ECB_00032,b0028,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
31,YP_003043263.1,16.7312173547311,-1.20100161334009,0.306247374518056,-3.9216715416095,8.79368104963592e-05,0.000477699812096376,ispH,ECB_00033,b0029,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
32,YP_003043264.1,3.82079071317543,-0.13114841166386,0.566202279647533,-0.231628194336309,0.816826807060098,0.845315198044902,rihC,ECB_00034,b0030,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
33,YP_003043265.1,44.5038394165881,-1.17342934375785,0.258043437580794,-4.54741013667687,5.4310097457962e-06,4.08019051327795e-05,dapB,ECB_00035,b0031,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
34,YP_003043266.1,122.541592778946,-0.652802407757525,0.334944508236543,-1.94898674766898,0.0512970073610654,0.0820311907892458,carA,ECB_00036,b0032,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
35,YP_003043267.1,248.132562698324,-0.819563385997365,0.247237651691175,-3.31488096732565,0.000916821558423546,0.00347349455235358,carB,ECB_00037,b0033,-1,protein,Exp,Na_mM_Levels,highNa,baseNa
36,YP_003043268.1,0.755474366138298,1.89621055321651,0.836797029027571,2.26603404103868,0.023449299101472,0.0444919264520675,caiF,ECB_00038,b0034,1,protein,Exp,Na_mM_Levels,highNa,baseNa
37,YP_003043269.1,0.4534827222507,2.1185810426616,0.931041667799327,2.27549541114441,0.0228762276463494,0.0435449918163125,caiE,ECB_00039,b0035,1,protein,Exp,Na_mM_Levels,highNa,baseNa
38,YP_003043270.1,1.06053976376424,2.36944564619408,0.797113264350455,2.97253320470696,0.00295353261115078,0.00866909696589643,caiD,ECB_00040,b0036,1,protein,Exp,Na_mM_Levels,highNa,baseNa
39,YP_003043271.1,1.59868617463002,2.28807769913405,0.652018201564882,3.50922365915941,0.000449416806448549,0.00195189513354222,caiC,ECB_00041,b0037,1,protein,Exp,Na_mM_Levels,highNa,baseNa
40,YP_003043272.1,1.34807455783189,2.97094157018369,0.827255426384783,3.5913231577907,0.000329003384346255,0.00152655841015325,caiA,ECB_00043,b0039,1,protein,Exp,Na_mM_Levels,highNa,baseNa
41,YP_003043273.1,0.159277033845243,0.837953947206016,0.998367705988974,0.839323970696695,0.401287535396706,NA,caiT,ECB_00044,b0040,1,protein,Exp,Na_mM_Levels,highNa,baseNa
42,YP_003043274.1,0.748387646099689,2.38448616327759,0.908113437895313,2.62575804274408,0.0086456249612412,0.0200708098212641,fixA,ECB_00045,b0041,1,protein,Exp,Na_mM_Levels,highNa,baseNa
43,YP_003043275.1,0.838077498412547,2.50798294129603,0.843326410606861,2.97391722795836,0.00294024376410085,0.00865970638444747,fixB,ECB_00046,b0042,1,protein,Exp,Na_mM_Levels,highNa,baseNa
44,YP_003043276.1,1.14055908540702,2.75682344001831,0.777718412439549,3.54475784027114,0.000392973941860475,0.00175867045463795,fixC,ECB_00047,b0043,1,protein,Exp,Na_mM_Levels,highNa,baseNa
45,YP_003043277.1,0.488777776980271,2.3427222068062,0.981448315584527,2.38700517348276,0.0169862522396292,0.0341952432486492,fixX,ECB_00048,b0044,1,protein,Exp,Na_mM_Levels,highNa,baseNa
46,YP_003043278.1,0.275079984786183,1.57641250661092,1.00010249083013,1.57625095534201,0.114967979560485,0.155358567098382,yaaU,ECB_00049,b0045,1,protein,Exp,Na_mM_Levels,highNa,baseNa
47,YP_003043279.1,0.243577141408793,0.40320951813122,0.969435892418995,0.415921796669925,0.677467229261637,NA,yabF,ECB_00050,b0046,1,protein,Exp,Na_mM_Levels,highNa,baseNa
