,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345170641396138,-0.0824230434120324,1.11660382469957,-0.0738158347560815,0.941156927086109,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,gluconate,glucose
2,YP_003043231.1,216.697240562313,0.526117449520036,0.356645561315762,1.47518294516003,0.140163365359023,0.256946288496455,thrA,ECB_00002,b0002,1,protein,Exp,carbonSource,gluconate,glucose
3,YP_003043232.1,46.8253436262275,0.952974704304141,0.426400310504665,2.23492966779562,0.0254219664806702,0.0899260079619445,thrB,ECB_00003,b0003,1,protein,Exp,carbonSource,gluconate,glucose
4,YP_003043233.1,218.194234108105,0.471102321953068,0.441714256774002,1.06653184661437,0.286183290446543,0.415110308162865,thrC,ECB_00004,b0004,1,protein,Exp,carbonSource,gluconate,glucose
5,YP_003043234.1,0.0928836879676988,-0.0101597524298126,1.31043206548026,-0.00775297911081651,0.993814079638571,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,carbonSource,gluconate,glucose
6,YP_003043235.1,27.7100935097974,0.910798388610877,0.414694844990136,2.19630988813604,0.02806977046347,0.0953663810383509,yaaA,ECB_00006,b0006,1,protein,Exp,carbonSource,gluconate,glucose
7,YP_003043236.1,0.225682431780626,0.562075698182823,1.3682242148362,0.410806717267545,0.681214267263541,NA,yaaJ,ECB_00007,b0007,1,protein,Exp,carbonSource,gluconate,glucose
8,YP_003043237.1,166.253703628128,0.830665252383307,0.404660645357685,2.0527453359075,0.0400972826381375,0.117991184156487,talB,ECB_00008,b0008,1,protein,Exp,carbonSource,gluconate,glucose
9,YP_003043238.1,9.28467546095552,1.37091803673664,0.432886998206133,3.16691894747976,0.00154063252236278,0.0188552412111899,mogA,ECB_00009,b0009,1,protein,Exp,carbonSource,gluconate,glucose
10,YP_003043239.1,0.0112771630477337,0.000204883143469026,1.11655563558001,0.000183495687039899,0.999853591625159,NA,yaaH,ECB_00010,b0010,1,protein,Exp,carbonSource,gluconate,glucose
11,YP_003043242.1,0.375689217541884,-1.54851634900597,1.35554682683844,-1.14235548219135,0.253306287831961,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,gluconate,glucose
12,YP_003043243.1,558.093342657303,0.334743036106624,0.467502765172398,0.716023649578166,0.473976746053281,0.591509797797664,dnaK,ECB_00014,b0014,1,protein,Exp,carbonSource,gluconate,glucose
13,YP_003043244.1,57.2474780754874,0.615559647225747,0.449576747943662,1.36919814034263,0.170937347177513,0.29014897227767,dnaJ,ECB_00015,b0015,1,protein,Exp,carbonSource,gluconate,glucose
14,YP_003043245.1,1.29222026764967,-2.04713870316779,1.28743868424108,-1.59008636933613,0.11181533800067,NA,insL-1,ECB_00016,b0016,-1,protein,Exp,carbonSource,gluconate,glucose
15,YP_003043246.1,0.0622749028533925,-0.228885938098445,1.19392255332227,-0.191709200451516,0.847969998748786,NA,mokC,ECB_00017,b0018,-1,protein,Exp,carbonSource,gluconate,glucose
