,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345170641396138,-0.0616476782679317,1.01892729507945,-0.060502529047595,0.95175540165323,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,lactate,glucose
2,YP_003043231.1,216.697240562313,2.70329185281229,0.51363585617201,5.26305128493014,1.41684035278785e-07,2.05747204678546e-06,thrA,ECB_00002,b0002,1,protein,Exp,carbonSource,lactate,glucose
3,YP_003043232.1,46.8253436262275,3.51614734839154,0.617133146511553,5.69755063111931,1.21540893392227e-08,3.27577015870729e-07,thrB,ECB_00003,b0003,1,protein,Exp,carbonSource,lactate,glucose
4,YP_003043233.1,218.194234108105,3.37477117847854,0.624988110599084,5.39973660497901,6.67388105584947e-08,1.15588297636866e-06,thrC,ECB_00004,b0004,1,protein,Exp,carbonSource,lactate,glucose
5,YP_003043234.1,0.0928836879676988,-0.186551746207427,1.15182228532734,-0.161962264998554,0.871335569637007,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,carbonSource,lactate,glucose
6,YP_003043235.1,27.7100935097974,2.04003246948689,0.593521205117821,3.43716863339689,0.000587829499768333,0.00209565881980901,yaaA,ECB_00006,b0006,1,protein,Exp,carbonSource,lactate,glucose
7,YP_003043236.1,0.225682431780626,-0.524415133309463,1.23397116630121,-0.424981675124047,0.670850033328952,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,carbonSource,lactate,glucose
8,YP_003043237.1,166.253703628128,3.29624134329998,0.576886005911713,5.71385214673493,1.10446969318502e-08,3.12446230572315e-07,talB,ECB_00008,b0008,1,protein,Exp,carbonSource,lactate,glucose
9,YP_003043238.1,9.28467546095552,2.48503437906953,0.639564648074876,3.88550928596448,0.000102115589444547,0.000467428560922118,mogA,ECB_00009,b0009,1,protein,Exp,carbonSource,lactate,glucose
10,YP_003043239.1,0.0112771630477337,0.0216178389065424,1.0188412271176,0.0212180645336677,0.983071704112135,NA,yaaH,ECB_00010,b0010,1,protein,Exp,carbonSource,lactate,glucose
11,YP_003043242.1,0.375689217541884,-2.00762540540896,1.25333348665865,-1.60182858495327,0.109193520129443,0.15310585214781,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,lactate,glucose
12,YP_003043243.1,558.093342657303,2.52311707635239,0.653116211379924,3.86319774703107,0.000111912341506097,0.000508013277496199,dnaK,ECB_00014,b0014,1,protein,Exp,carbonSource,lactate,glucose
13,YP_003043244.1,57.2474780754874,2.95859197849209,0.634381021905001,4.66374603957674,3.10504541282324e-06,2.41591177732136e-05,dnaJ,ECB_00015,b0015,1,protein,Exp,carbonSource,lactate,glucose
