,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469011247692442,0.0356593469692092,0.55982892402783,0.0636968642360403,0.949211601655558,1,thrL,ECB_00001,b0001,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
2,YP_003043231.1,182.897172239726,0.165572812739692,0.55870216156276,0.296352554421061,0.76696085478511,1,thrA,ECB_00002,b0002,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
3,YP_003043232.1,41.9593050260877,-0.180546748862705,0.618623087963517,-0.291852587424529,0.770399335695828,1,thrB,ECB_00003,b0003,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
4,YP_003043233.1,178.93041930323,0.0337998270952968,0.614406927703214,0.0550121191205441,0.956128808752703,1,thrC,ECB_00004,b0004,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
5,YP_003043234.1,0.150946698062214,-0.0965968093341551,0.664150971252521,-0.145444053408494,0.884360284834718,1,yaaX,ECB_00005,b0005,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
6,YP_003043235.1,27.0244268920059,-0.608217435531619,0.551821203876619,-1.10220018958824,0.270374649591046,1,yaaA,ECB_00006,b0006,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
7,YP_003043236.1,0.0983162072795633,-0.0140550270374862,0.576631931184666,-0.0243743474431093,0.980554010020233,1,yaaJ,ECB_00007,b0007,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
8,YP_003043237.1,145.393208489599,0.00192783910279077,0.606681969425452,0.00317767660808593,0.997464585162131,1,talB,ECB_00008,b0008,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
9,YP_003043238.1,8.86323480291221,-0.316231647685292,0.62937270094983,-0.502455297485966,0.615347289740302,1,mogA,ECB_00009,b0009,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
10,YP_003043239.1,0.0380004688949245,0.172591960296484,0.559787470673437,0.308316940514678,0.757841176844976,1,yaaH,ECB_00010,b0010,1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
11,YP_003043242.1,0.460573079252133,-0.569951642058661,0.794635637854399,-0.717249032018738,0.473220449878467,1,yaaI,ECB_00013,b0013,-1,protein,Sta,Mg_mM_Levels,lowMg,baseMg
