,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469011247692442,-0.145061283431865,1.31584480360481,-0.110241939653114,0.912217501922298,NA,thrL,ECB_00001,b0001,-1,protein,Sta,carbonSource,gluconate,glucose
2,YP_003043231.1,182.897172239726,0.437974089041481,0.45189740055814,0.969189219722305,0.332450788773451,0.482751703120503,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,gluconate,glucose
3,YP_003043232.1,41.9593050260877,0.702269106237099,0.433946518291432,1.61833100770604,0.105591281679339,0.256846207189157,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,gluconate,glucose
4,YP_003043233.1,178.93041930323,0.581253745184813,0.518716966246308,1.12056050410507,0.262474984790913,0.428694736166987,thrC,ECB_00004,b0004,1,protein,Sta,carbonSource,gluconate,glucose
5,YP_003043234.1,0.150946698062214,-0.246044402772473,1.44139831118684,-0.17069841199542,0.864460911546689,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,gluconate,glucose
6,YP_003043235.1,27.0244268920059,0.723388615314203,0.460003624517054,1.57257155543866,0.115818058341791,0.270935901808015,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,gluconate,glucose
7,YP_003043236.1,0.0983162072795633,-0.318479045368419,1.36075882829592,-0.234045180340479,0.814949903705883,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,gluconate,glucose
8,YP_003043237.1,145.393208489599,0.56811589439906,0.490993825357996,1.15707339900829,0.247242373703452,0.412769220391104,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,gluconate,glucose
9,YP_003043238.1,8.86323480291221,0.789221113241008,0.453987667489409,1.73841971876784,0.0821368846558042,0.222495206415864,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,gluconate,glucose
10,YP_003043239.1,0.0380004688949245,-0.0234140097828729,1.3157071641344,-0.0177957606533799,0.985801786734104,NA,yaaH,ECB_00010,b0010,-1,protein,Sta,carbonSource,gluconate,glucose
11,YP_003043242.1,0.460573079252133,-1.01737435060175,1.39993946823735,-0.726727386208145,0.467392973370129,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,gluconate,glucose
12,YP_003043243.1,564.923448455879,0.485861465222689,0.469768148698329,1.03425799848064,0.301015566650485,0.458463488642479,dnaK,ECB_00014,b0014,1,protein,Sta,carbonSource,gluconate,glucose
13,YP_003043244.1,54.5181153081385,0.821599741499941,0.463177800468018,1.77383229651714,0.0760908942340651,0.214600697649358,dnaJ,ECB_00015,b0015,1,protein,Sta,carbonSource,gluconate,glucose
14,YP_003043245.1,1.65261313575521,-2.58580792949879,1.33337368866665,-1.93929725138386,0.0524651533950061,0.176184194936492,insL-1,ECB_00016,b0016,-1,protein,Sta,carbonSource,gluconate,glucose
15,YP_003043246.1,0.0844726330241291,-0.280941240885233,1.31598006566413,-0.213484419874896,0.830949140163557,NA,mokC,ECB_00017,b0018,-1,protein,Sta,carbonSource,gluconate,glucose
16,YP_003043248.1,0.120783174118313,-0.0842694733259694,1.32721552206634,-0.0634934356364147,0.949373586301988,NA,nhaA,ECB_00018,b0019,-1,protein,Sta,carbonSource,gluconate,glucose
17,YP_003043249.1,0.940664734489515,-2.36132587247748,1.33650327497716,-1.76679392911913,0.0772627458001549,NA,nhaR,ECB_00019,b0020,-1,protein,Sta,carbonSource,gluconate,glucose
18,YP_003043250.1,0.43007447455754,-1.46585581503564,1.44469757305383,-1.01464544716932,0.310274867176563,NA,cirA,ECB_00020,b2155,-1,protein,Sta,carbonSource,gluconate,glucose
19,YP_003043251.1,0.413005648558549,-1.34669167192469,1.46006214464156,-0.922352296350577,0.356344843888778,NA,yehB,ECB_00021,,-1,protein,Sta,carbonSource,gluconate,glucose
20,YP_003043252.1,1.14879639741987,0.881261981274751,1.09969920850663,0.801366386788154,0.422919568520933,NA,yjcF,ECB_00022,,1,protein,Sta,carbonSource,gluconate,glucose
21,YP_003043253.1,1.04267311930018,-1.02878644220122,1.24117963710936,-0.828877957261049,0.407173469599053,NA,insA-1,ECB_00023,b0022,-1,protein,Sta,carbonSource,gluconate,glucose
22,YP_003043254.1,0.413417998283813,-1.438241851009,1.4518579894275,-0.99062157696025,0.321870397677108,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,carbonSource,gluconate,glucose
23,YP_003043255.1,0.339488228686362,-1.28480234917754,1.45721135713456,-0.881685654512022,0.37794682078258,NA,talA,ECB_00025,,-1,protein,Sta,carbonSource,gluconate,glucose
24,YP_003043256.1,0.566441257842381,-0.276576968575463,1.41594570506944,-0.195330207638081,0.845134450231355,NA,elfG,ECB_00026,,-1,protein,Sta,carbonSource,gluconate,glucose
25,YP_003043257.1,58.5889092133763,0.468483654213863,0.495916817610294,0.944681925632961,0.344821287265954,0.494452096281602,rpsT,ECB_00027,b0023,1,protein,Sta,carbonSource,gluconate,glucose
26,YP_003043258.1,0.0590341309619599,-0.217033919091175,1.3159209996877,-0.164929292216389,0.868999636261344,NA,yaaY,ECB_00028,b0024,-1,protein,Sta,carbonSource,gluconate,glucose
27,YP_003043259.1,14.1610344535987,0.73342971139105,0.423619788572841,1.73133959077301,0.0833912141005495,0.223901402538215,ribF,ECB_00029,b0025,1,protein,Sta,carbonSource,gluconate,glucose
28,YP_003043260.1,178.486915887706,0.576897635849918,0.450035867591034,1.2818925721142,0.199880333984009,0.365868634496783,ileS,ECB_00030,b0026,1,protein,Sta,carbonSource,gluconate,glucose
29,YP_003043261.1,0.140302622497222,-0.528173511653254,1.40438840917174,-0.376087917134514,0.70685153677813,NA,lspA,ECB_00031,b0027,-1,protein,Sta,carbonSource,gluconate,glucose
30,YP_003043262.1,7.78527642020038,0.384960967549108,0.543798164848325,0.707911487079918,0.479000225771808,0.613797046689641,fkpB,ECB_00032,b0028,1,protein,Sta,carbonSource,gluconate,glucose
31,YP_003043263.1,9.93146478575969,0.453008277143143,0.491188972803155,0.922268825698346,0.356388370624414,0.50621788459039,ispH,ECB_00033,b0029,1,protein,Sta,carbonSource,gluconate,glucose
32,YP_003043264.1,5.60159281294427,1.23979856375728,0.658495483133571,1.88277459073443,0.0597309219142362,0.187762116755973,rihC,ECB_00034,b0030,1,protein,Sta,carbonSource,gluconate,glucose
33,YP_003043265.1,39.9101760758008,0.0876299589713741,0.420242873361204,0.208522177355415,0.834821268178013,0.895887226249096,dapB,ECB_00035,b0031,1,protein,Sta,carbonSource,gluconate,glucose
34,YP_003043266.1,99.6422844946792,0.709702421724496,0.466885010402058,1.52007968967206,0.128490948503454,0.286354953714142,carA,ECB_00036,b0032,1,protein,Sta,carbonSource,gluconate,glucose
35,YP_003043267.1,223.482428744855,0.525969041587618,0.414970376460788,1.26748575663043,0.204981653373655,0.370312299820827,carB,ECB_00037,b0033,1,protein,Sta,carbonSource,gluconate,glucose
36,YP_003043268.1,0.685278853401796,-1.30441767769651,1.307171229035,-0.997893503714487,0.318331002430057,NA,caiF,ECB_00038,b0034,-1,protein,Sta,carbonSource,gluconate,glucose
37,YP_003043269.1,0.440163868323554,-0.4717956196045,1.37643740612687,-0.342765764359801,0.731774683452975,NA,caiE,ECB_00039,b0035,-1,protein,Sta,carbonSource,gluconate,glucose
38,YP_003043270.1,1.06319284562038,0.539414151377107,1.11576421354666,0.48344815582719,0.628777562703734,NA,caiD,ECB_00040,b0036,1,protein,Sta,carbonSource,gluconate,glucose
39,YP_003043271.1,1.11376685040989,-1.7792196957031,1.30592010749572,-1.36242614344532,0.173063437797593,NA,caiC,ECB_00041,b0037,-1,protein,Sta,carbonSource,gluconate,glucose
40,YP_003043272.1,1.44529468563074,-1.68101944569375,1.30507663884759,-1.28806186215862,0.197724429776771,0.364981856641936,caiA,ECB_00043,b0039,-1,protein,Sta,carbonSource,gluconate,glucose
41,YP_003043273.1,0.221026735395859,0.438056165030793,1.45898184347696,0.300247852287759,0.763988106967368,NA,caiT,ECB_00044,b0040,1,protein,Sta,carbonSource,gluconate,glucose
42,YP_003043274.1,0.792497628866226,-2.22183500548968,1.31904424083913,-1.68442796435412,0.092098990187231,NA,fixA,ECB_00045,b0041,-1,protein,Sta,carbonSource,gluconate,glucose
43,YP_003043275.1,1.31487101877125,-0.307968287965798,1.10056974085989,-0.27982623593229,0.77961082211036,NA,fixB,ECB_00046,b0042,-1,protein,Sta,carbonSource,gluconate,glucose
44,YP_003043276.1,1.11568920648996,0.66287986044348,1.08910381656235,0.608647082457021,0.54275838950975,NA,fixC,ECB_00047,b0043,1,protein,Sta,carbonSource,gluconate,glucose
45,YP_003043277.1,0.798336050856897,-1.48500621536835,1.3977510295589,-1.06242541337064,0.288042601823717,NA,fixX,ECB_00048,b0044,-1,protein,Sta,carbonSource,gluconate,glucose
46,YP_003043278.1,0.277476860374354,-1.1375735864046,1.4601102949582,-0.77910113388877,0.435920142252504,NA,yaaU,ECB_00049,b0045,-1,protein,Sta,carbonSource,gluconate,glucose
47,YP_003043279.1,0.813201112220413,1.00557954611388,1.0880195149995,0.924229328840975,0.35536692863904,NA,yabF,ECB_00050,b0046,1,protein,Sta,carbonSource,gluconate,glucose
48,YP_003043280.1,2.00764633646497,-0.495741824484632,1.02270211591601,-0.484737262952281,0.627862730352938,0.734775368731386,kefC,ECB_00051,b0047,-1,protein,Sta,carbonSource,gluconate,glucose
49,YP_003043281.1,10.909454586206,2.11645251040001,0.60003719976143,3.52720216553489,0.000419975959593731,0.0104427730177632,folA,ECB_00052,b0048,1,protein,Sta,carbonSource,gluconate,glucose
50,YP_003043282.1,3.83157173846764,1.35571787767321,0.715706713494677,1.89423663647566,0.0581936072394092,0.184770435490877,apaH,ECB_00053,b0049,1,protein,Sta,carbonSource,gluconate,glucose
51,YP_003043283.1,3.89654759828314,1.02849057970121,0.562997719457198,1.82681127144317,0.0677281505770305,0.202725236970934,apaG,ECB_00054,b0050,1,protein,Sta,carbonSource,gluconate,glucose
52,YP_003043284.1,10.0060990419645,0.396282089754537,0.567870484278211,0.697838857144036,0.485277975499828,0.61719549412708,ksgA,ECB_00055,b0051,1,protein,Sta,carbonSource,gluconate,glucose
53,YP_003043285.1,13.0905148515751,0.730898788806921,0.498577435287057,1.46596844758148,0.142656882919452,0.30047387597235,pdxA,ECB_00056,b0052,1,protein,Sta,carbonSource,gluconate,glucose
54,YP_003043286.1,79.4464622100867,0.995297807718236,0.470054636986244,2.11740876358457,0.034225171078147,0.137379167164696,surA,ECB_00057,b0053,1,protein,Sta,carbonSource,gluconate,glucose
55,YP_003043287.1,84.843069491786,1.23565072628793,0.460307134143766,2.68440489975549,0.00726590512366129,0.0597748997719793,imp,ECB_00058,b0054,1,protein,Sta,carbonSource,gluconate,glucose
56,YP_003043288.1,11.7201164635085,1.09627130770029,0.433979414840877,2.52609057068352,0.0115339741880382,0.0752940556876947,djlA,ECB_00059,b0055,1,protein,Sta,carbonSource,gluconate,glucose
57,YP_003043289.1,0.79591618031177,-0.585470077340535,1.29271481760193,-0.452899641412495,0.650621009165279,NA,rluA,ECB_00060,b0058,-1,protein,Sta,carbonSource,gluconate,glucose
58,YP_003043290.1,21.4315202222581,0.376234219737224,0.39532215657839,0.951715489446944,0.34124129168559,0.491645168294408,hepA,ECB_00061,b0059,1,protein,Sta,carbonSource,gluconate,glucose
59,YP_003043291.1,3.03729593977001,-0.166806217414744,1.04224378439412,-0.160045298338442,0.872845391181769,0.922008043286518,polB,ECB_00062,b0060,-1,protein,Sta,carbonSource,gluconate,glucose
60,YP_003043292.1,1.65618022663888,4.6035024320359,0.954546464614667,4.82271173032342,1.4161957175527e-06,0.000156702056147206,araD,ECB_00063,b0061,1,protein,Sta,carbonSource,gluconate,glucose
61,YP_003043293.1,8.41469932457575,4.93169255944311,0.500942597897321,9.84482569488724,7.21642068179453e-23,1.59699389688113e-19,araA,ECB_00064,b0062,1,protein,Sta,carbonSource,gluconate,glucose
62,YP_003043294.1,4.05183814799533,4.04159604047857,0.730055045650183,5.53601548891309,3.09430214342943e-08,6.84769064340932e-06,araB,ECB_00065,b0063,1,protein,Sta,carbonSource,gluconate,glucose
63,YP_003043295.1,1.28800161968878,-0.867226566580758,1.19654767085966,-0.724773937303891,0.468590727254407,NA,araC,ECB_00066,b0064,-1,protein,Sta,carbonSource,gluconate,glucose
64,YP_003043296.1,0.238598313865917,-0.797492019239568,1.43778458715716,-0.554667247349201,0.579122282794046,NA,yabI,ECB_00067,b0065,-1,protein,Sta,carbonSource,gluconate,glucose
65,YP_003043297.1,1.3833936118531,-1.48549581259446,1.23453602677898,-1.20328267492546,0.228866951093447,NA,thiQ,ECB_00068,b0066,-1,protein,Sta,carbonSource,gluconate,glucose
66,YP_003043298.1,0.333631264995377,-1.2375450156764,1.45779232798282,-0.84891722361361,0.395927354177803,NA,thiP,ECB_00069,b0067,-1,protein,Sta,carbonSource,gluconate,glucose
