,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345170641396138,0.0413515322364591,1.0837125476031,0.0381572884137202,0.969562274984765,NA,thrL,ECB_00001,b0001,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
2,YP_003043231.1,216.697240562313,0.519631228031747,0.432489280175932,1.20148926655562,0.229561467580454,0.464161643253512,thrA,ECB_00002,b0002,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
3,YP_003043232.1,46.8253436262275,0.149882406960501,0.531597604392677,0.2819471075904,0.777984067526483,0.901649448302632,thrB,ECB_00003,b0003,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
4,YP_003043233.1,218.194234108105,0.535599616336995,0.529851642799103,1.01084826972985,0.31208905624707,0.560868011226864,thrC,ECB_00004,b0004,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
5,YP_003043234.1,0.0928836879676988,-0.0820200224493608,1.2283709375237,-0.0667713798363765,0.946763708127324,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
6,YP_003043235.1,27.7100935097974,0.0571465289324011,0.473672405851295,0.120645678799245,0.9039716866179,0.958043056070356,yaaA,ECB_00006,b0006,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
7,YP_003043236.1,0.225682431780626,-0.588327537535443,1.21003069828191,-0.486208770050869,0.626819153946412,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
8,YP_003043237.1,166.253703628128,0.122531971374911,0.456094071267557,0.268655040909378,0.788195152272853,0.906287108885162,talB,ECB_00008,b0008,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
9,YP_003043238.1,9.28467546095552,-0.538793987975737,0.530725872449127,-1.0152020392173,0.310009528745984,0.55865198354225,mogA,ECB_00009,b0009,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
10,YP_003043239.1,0.0112771630477337,0.0950963677454444,1.08369183170524,0.0877522234303508,0.93007361138495,NA,yaaH,ECB_00010,b0010,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
11,YP_003043242.1,0.375689217541884,-0.675853405737008,1.19993098733964,-0.563243563894819,0.573269042047069,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
12,YP_003043243.1,558.093342657303,0.615113978978841,0.483433211109394,1.27238668102107,0.203235763993755,0.428548256344659,dnaK,ECB_00014,b0014,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
13,YP_003043244.1,57.2474780754874,0.162228115435808,0.479128557669843,0.338589952193156,0.734918652954161,0.876325765040192,dnaJ,ECB_00015,b0015,1,protein,Exp,Mg_mM_Levels,highMg,baseMg
14,YP_003043245.1,1.29222026764967,-2.61989161351212,1.15370860311623,-2.27084344039357,0.0231564571748653,0.117851750092759,insL-1,ECB_00016,b0016,-1,protein,Exp,Mg_mM_Levels,highMg,baseMg
