,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345170641396138,-0.038406114377155,0.501831497713012,-0.0765318927811077,0.938995941601685,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,gluconate,glucose
2,YP_003043231.1,216.697240562313,0.354610256645332,0.4230952829618,0.838133325814812,0.401955828005008,0.572879813944369,thrA,ECB_00002,b0002,1,protein,Exp,carbonSource,gluconate,glucose
3,YP_003043232.1,46.8253436262275,0.668566432141521,0.485096961467513,1.37821195605715,0.168137856918228,0.356600070167232,thrB,ECB_00003,b0003,1,protein,Exp,carbonSource,gluconate,glucose
4,YP_003043233.1,218.194234108105,0.169182946417042,0.503078699590425,0.336295189112121,0.73664827742177,0.829162965179393,thrC,ECB_00004,b0004,1,protein,Exp,carbonSource,gluconate,glucose
5,YP_003043234.1,0.0928836879676988,-0.0078335618937003,0.657244773400839,-0.0119187891798156,0.990490407282045,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,carbonSource,gluconate,glucose
6,YP_003043235.1,27.7100935097974,0.784390827030469,0.43397007271333,1.80747677397704,0.0706879728881509,0.231489776649068,yaaA,ECB_00006,b0006,1,protein,Exp,carbonSource,gluconate,glucose
7,YP_003043236.1,0.225682431780626,0.241924232696989,0.75792764978549,0.319191723333301,0.749581132793935,NA,yaaJ,ECB_00007,b0007,1,protein,Exp,carbonSource,gluconate,glucose
8,YP_003043237.1,166.253703628128,0.629185468322723,0.454730630269295,1.3836443521522,0.166467380634514,0.355991185179625,talB,ECB_00008,b0008,1,protein,Exp,carbonSource,gluconate,glucose
9,YP_003043238.1,9.28467546095552,1.23853449901236,0.448917404188216,2.75893624853334,0.00579898466222195,0.0613262487566486,mogA,ECB_00009,b0009,1,protein,Exp,carbonSource,gluconate,glucose
10,YP_003043239.1,0.0112771630477337,-0.000393271762090242,0.501805014545553,-0.000783714292784417,0.999374686529719,NA,yaaH,ECB_00010,b0010,-1,protein,Exp,carbonSource,gluconate,glucose
11,YP_003043242.1,0.375689217541884,-0.8622585599917,0.760790854333217,-1.1333713530868,0.257058338921976,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,gluconate,glucose
12,YP_003043243.1,558.093342657303,0.141308015866044,0.492698938865784,0.286803978493117,0.774262416468566,0.859631714545157,dnaK,ECB_00014,b0014,1,protein,Exp,carbonSource,gluconate,glucose
13,YP_003043244.1,57.2474780754874,0.452894454744265,0.473149886677534,0.957190242450436,0.338471241158972,0.511349898580678,dnaJ,ECB_00015,b0015,1,protein,Exp,carbonSource,gluconate,glucose
14,YP_003043245.1,1.29222026764967,-1.17779721212963,0.78653159936645,-1.49745695287811,0.13427439852518,0.322109307575787,insL-1,ECB_00016,b0016,-1,protein,Exp,carbonSource,gluconate,glucose
15,YP_003043246.1,0.0622749028533925,-0.0996044194808116,0.559328907097477,-0.178078440461246,0.858661373419339,NA,mokC,ECB_00017,b0018,-1,protein,Exp,carbonSource,gluconate,glucose
16,YP_003043248.1,0.21048063320053,-0.101829027257983,0.752570970541924,-0.135308205131346,0.892368197983789,NA,nhaA,ECB_00018,b0019,-1,protein,Exp,carbonSource,gluconate,glucose
17,YP_003043249.1,0.909356943831245,-1.40624134880157,0.787028999543877,-1.78677196090177,0.0739743529213944,NA,nhaR,ECB_00019,b0020,-1,protein,Exp,carbonSource,gluconate,glucose
18,YP_003043250.1,0.217480542398196,-0.505808259879764,0.727252175342842,-0.695506011572005,0.486738245117392,NA,cirA,ECB_00020,b2155,-1,protein,Exp,carbonSource,gluconate,glucose
19,YP_003043251.1,0.370868378026222,-0.522155900919464,0.767788138475372,-0.680078103259488,0.496455008344375,NA,yehB,ECB_00021,,-1,protein,Exp,carbonSource,gluconate,glucose
20,YP_003043252.1,0.751009905080239,0.467770389185775,0.801246480626202,0.583803362006902,0.559352616064441,NA,yjcF,ECB_00022,,1,protein,Exp,carbonSource,gluconate,glucose
21,YP_003043253.1,3.7900503774834,-0.902615637153467,0.754785184582515,-1.19585765008453,0.231752114096602,0.417548384606505,insA-1,ECB_00023,b0022,-1,protein,Exp,carbonSource,gluconate,glucose
22,YP_003043254.1,0.55940536611518,-0.882908946560626,0.762455582014293,-1.15798082850691,0.246871860150172,NA,insB-1,ECB_00024,b0021,-1,protein,Exp,carbonSource,gluconate,glucose
23,YP_003043255.1,0.376162389652701,-0.868350197519512,0.751107391326296,-1.15609326648509,0.247643009969459,NA,talA,ECB_00025,,-1,protein,Exp,carbonSource,gluconate,glucose
24,YP_003043256.1,0.418276946553111,-0.925235695325452,0.761502710251543,-1.21501300372237,0.224361131787781,NA,elfG,ECB_00026,,-1,protein,Exp,carbonSource,gluconate,glucose
25,YP_003043257.1,95.3846842742771,0.0327319852482328,0.513293286434427,0.0637685824328706,0.949154494911245,0.97743077377254,rpsT,ECB_00027,b0023,1,protein,Exp,carbonSource,gluconate,glucose
26,YP_003043258.1,0.0831227691059784,-0.125373266649135,0.619041554542878,-0.202528030192925,0.839503947494356,NA,yaaY,ECB_00028,b0024,-1,protein,Exp,carbonSource,gluconate,glucose
27,YP_003043259.1,17.8525550149046,0.956338329283001,0.411286201940134,2.32523805751743,0.0200592343968023,0.125221527932599,ribF,ECB_00029,b0025,1,protein,Exp,carbonSource,gluconate,glucose
28,YP_003043260.1,195.668450808453,0.59085781552858,0.412982409073047,1.43070940201734,0.152513517493271,0.34094973591367,ileS,ECB_00030,b0026,1,protein,Exp,carbonSource,gluconate,glucose
29,YP_003043261.1,0.131333387829155,-0.275951892805565,0.681238207406458,-0.405074010537579,0.685423109613169,NA,lspA,ECB_00031,b0027,-1,protein,Exp,carbonSource,gluconate,glucose
30,YP_003043262.1,7.51574703777284,0.559300812899891,0.467877495620939,1.19540011677121,0.23193074007895,0.417548384606505,fkpB,ECB_00032,b0028,1,protein,Exp,carbonSource,gluconate,glucose
31,YP_003043263.1,16.7312173547311,1.25960398356442,0.380212093809138,3.31289825882478,0.000923345620613421,0.0196189766728503,ispH,ECB_00033,b0029,1,protein,Exp,carbonSource,gluconate,glucose
32,YP_003043264.1,3.82079071317543,1.28550645604965,0.694617148124665,1.85066904771971,0.0642171795714623,0.22500300739411,rihC,ECB_00034,b0030,1,protein,Exp,carbonSource,gluconate,glucose
33,YP_003043265.1,44.5038394165881,0.365628995656671,0.397147598595073,0.920637558807103,0.357239686178469,0.52764841365621,dapB,ECB_00035,b0031,1,protein,Exp,carbonSource,gluconate,glucose
34,YP_003043266.1,122.541592778946,0.567997247621633,0.44009899260902,1.2906124693774,0.196838089977053,0.384058143544107,carA,ECB_00036,b0032,1,protein,Exp,carbonSource,gluconate,glucose
35,YP_003043267.1,248.132562698324,0.397877099577332,0.345369178561821,1.15203418334596,0.249307026796759,0.437752141062392,carB,ECB_00037,b0033,1,protein,Exp,carbonSource,gluconate,glucose
36,YP_003043268.1,0.755474366138298,-0.967747576952928,0.786859589224288,-1.22988597992047,0.218739805040002,NA,caiF,ECB_00038,b0034,-1,protein,Exp,carbonSource,gluconate,glucose
37,YP_003043269.1,0.4534827222507,-0.727162854604596,0.772397472579063,-0.941436087532204,0.346481427446888,NA,caiE,ECB_00039,b0035,-1,protein,Exp,carbonSource,gluconate,glucose
38,YP_003043270.1,1.06053976376424,0.117548492883828,0.800408496850051,0.1468606259759,0.883242030788821,NA,caiD,ECB_00040,b0036,1,protein,Exp,carbonSource,gluconate,glucose
39,YP_003043271.1,1.59868617463002,-0.2529971945398,0.779722928542678,-0.324470636015101,0.745581749801117,0.836206940697039,caiC,ECB_00041,b0037,-1,protein,Exp,carbonSource,gluconate,glucose
40,YP_003043272.1,1.34807455783189,-0.980868296489781,0.793423167805817,-1.23624862026948,0.216366163044959,0.403822247532788,caiA,ECB_00043,b0039,-1,protein,Exp,carbonSource,gluconate,glucose
41,YP_003043273.1,0.159277033845243,-0.224301925464427,0.750003509208875,-0.29906783463057,0.764888287976213,NA,caiT,ECB_00044,b0040,-1,protein,Exp,carbonSource,gluconate,glucose
42,YP_003043274.1,0.748387646099689,-1.32970305986951,0.776757727752002,-1.71186331640082,0.0869218603578414,NA,fixA,ECB_00045,b0041,-1,protein,Exp,carbonSource,gluconate,glucose
43,YP_003043275.1,0.838077498412547,-0.839664301440414,0.79209549326097,-1.06005438559385,0.289119857898907,NA,fixB,ECB_00046,b0042,-1,protein,Exp,carbonSource,gluconate,glucose
44,YP_003043276.1,1.14055908540702,-0.590185941186699,0.799160891681054,-0.738507035729975,0.460206393313756,NA,fixC,ECB_00047,b0043,-1,protein,Exp,carbonSource,gluconate,glucose
45,YP_003043277.1,0.488777776980271,-0.900428838289958,0.739708390690778,-1.21727541504442,0.223499444990309,NA,fixX,ECB_00048,b0044,-1,protein,Exp,carbonSource,gluconate,glucose
46,YP_003043278.1,0.275079984786183,-0.636519413942064,0.731034270658867,-0.870710771696628,0.383912095496512,NA,yaaU,ECB_00049,b0045,-1,protein,Exp,carbonSource,gluconate,glucose
47,YP_003043279.1,0.243577141408793,-0.164763528995653,0.778381540405794,-0.211674507221428,0.832360977722529,NA,yabF,ECB_00050,b0046,-1,protein,Exp,carbonSource,gluconate,glucose
48,YP_003043280.1,1.64550969630272,0.21825784384042,0.797364078840605,0.273724199060704,0.784296579583211,0.86626444242394,kefC,ECB_00051,b0047,1,protein,Exp,carbonSource,gluconate,glucose
49,YP_003043281.1,9.18279639793519,1.82843888005334,0.502836147923961,3.63625186375789,0.000276633864248912,0.00906371524952206,folA,ECB_00052,b0048,1,protein,Exp,carbonSource,gluconate,glucose
50,YP_003043282.1,6.20013732091236,1.58599005024271,0.472874086827312,3.35393732586133,0.000796704061072451,0.0179691257173339,apaH,ECB_00053,b0049,1,protein,Exp,carbonSource,gluconate,glucose
51,YP_003043283.1,2.56253146793991,0.735134651715577,0.569917440930193,1.28989674454553,0.197086511245014,0.384219158285735,apaG,ECB_00054,b0050,1,protein,Exp,carbonSource,gluconate,glucose
52,YP_003043284.1,12.7462857678343,0.253451487705619,0.536826774982053,0.472128998621748,0.636834715020303,0.758698148141472,ksgA,ECB_00055,b0051,1,protein,Exp,carbonSource,gluconate,glucose
53,YP_003043285.1,14.3605916697491,0.826275892503067,0.44055236907183,1.87554522574442,0.0607177537646109,0.21962202671982,pdxA,ECB_00056,b0052,1,protein,Exp,carbonSource,gluconate,glucose
54,YP_003043286.1,75.0363929436894,0.886756292954089,0.417001100121329,2.12650828186324,0.0334609604057196,0.162805849369005,surA,ECB_00057,b0053,1,protein,Exp,carbonSource,gluconate,glucose
