,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0345170641396138,-0.0340212640951996,0.501864841463865,-0.067789694125543,0.945953047787033,NA,thrL,ECB_00001,b0001,-1,protein,Exp,carbonSource,lactate,glucose
2,YP_003043231.1,216.697240562313,0.00701908831115274,0.418114933595335,0.0167874614063559,0.986606172837267,0.992033475949142,thrA,ECB_00002,b0002,1,protein,Exp,carbonSource,lactate,glucose
3,YP_003043232.1,46.8253436262275,0.37160446120072,0.480597019560861,0.773214244108856,0.439395597585151,0.574559700674707,thrB,ECB_00003,b0003,1,protein,Exp,carbonSource,lactate,glucose
4,YP_003043233.1,218.194234108105,-0.21389656314825,0.498469503455573,-0.429106618690694,0.6678456358105,0.764318864954861,thrC,ECB_00004,b0004,-1,protein,Exp,carbonSource,lactate,glucose
5,YP_003043234.1,0.0928836879676988,-0.0779209849312047,0.657796449406988,-0.118457594292963,0.905705093313221,NA,yaaX,ECB_00005,b0005,-1,protein,Exp,carbonSource,lactate,glucose
6,YP_003043235.1,27.7100935097974,0.40371098639164,0.430801708976101,0.937115563796512,0.348699116413088,0.488436112912152,yaaA,ECB_00006,b0006,1,protein,Exp,carbonSource,lactate,glucose
7,YP_003043236.1,0.225682431780626,-0.238980621938548,0.758340306303562,-0.315136383958582,0.752658104464774,NA,yaaJ,ECB_00007,b0007,-1,protein,Exp,carbonSource,lactate,glucose
8,YP_003043237.1,166.253703628128,0.561320944992488,0.449345616920309,1.24919644001343,0.211593233767291,0.355600555642792,talB,ECB_00008,b0008,1,protein,Exp,carbonSource,lactate,glucose
9,YP_003043238.1,9.28467546095552,0.749326894238725,0.449845657610554,1.66574219748819,0.0957647733855333,0.215723640047165,mogA,ECB_00009,b0009,1,protein,Exp,carbonSource,lactate,glucose
10,YP_003043239.1,0.0112771630477337,0.00397623687594598,0.501838397662866,0.00792334124782776,0.993678154495333,NA,yaaH,ECB_00010,b0010,1,protein,Exp,carbonSource,lactate,glucose
11,YP_003043242.1,0.375689217541884,-0.839718016391994,0.763149203055583,-1.10033269120879,0.271187193407865,NA,yaaI,ECB_00013,b0013,-1,protein,Exp,carbonSource,lactate,glucose
12,YP_003043243.1,558.093342657303,-0.0358631788928629,0.487748194079567,-0.0735280608481606,0.941385915176658,0.96206332146049,dnaK,ECB_00014,b0014,-1,protein,Exp,carbonSource,lactate,glucose
13,YP_003043244.1,57.2474780754874,0.616369937665161,0.46688905135073,1.32016361463602,0.186780397199016,0.328502430537651,dnaJ,ECB_00015,b0015,1,protein,Exp,carbonSource,lactate,glucose
14,YP_003043245.1,1.29222026764967,-1.04032095041259,0.790241534852596,-1.31645946780897,0.188019874011923,0.329775776282735,insL-1,ECB_00016,b0016,-1,protein,Exp,carbonSource,lactate,glucose
15,YP_003043246.1,0.0622749028533925,-0.0935934701123847,0.559447404549782,-0.167296280850037,0.867136930353065,NA,mokC,ECB_00017,b0018,-1,protein,Exp,carbonSource,lactate,glucose
16,YP_003043248.1,0.21048063320053,0.235987306492393,0.754658054806001,0.312707596492902,0.754502823654674,NA,nhaA,ECB_00018,b0019,1,protein,Exp,carbonSource,lactate,glucose
17,YP_003043249.1,0.909356943831245,-1.41152350025928,0.790276798790688,-1.78611279290908,0.0740809972138256,NA,nhaR,ECB_00019,b0020,-1,protein,Exp,carbonSource,lactate,glucose
18,YP_003043250.1,0.217480542398196,-0.489121375065733,0.728713086144154,-0.671212558640638,0.502085129340153,NA,cirA,ECB_00020,b2155,-1,protein,Exp,carbonSource,lactate,glucose
19,YP_003043251.1,0.370868378026222,-0.682687793739571,0.770408330707502,-0.88613760590131,0.375543380658084,NA,yehB,ECB_00021,,-1,protein,Exp,carbonSource,lactate,glucose
20,YP_003043252.1,0.751009905080239,-0.725958418721372,0.791704818523454,-0.916955918084848,0.359165740153353,NA,yjcF,ECB_00022,,-1,protein,Exp,carbonSource,lactate,glucose
21,YP_003043253.1,3.7900503774834,2.85272881547009,0.70862311352993,4.0257349231237,5.67976435850606e-05,0.00109741155293162,insA-1,ECB_00023,b0022,1,protein,Exp,carbonSource,lactate,glucose
22,YP_003043254.1,0.55940536611518,-0.863264926784699,0.764963270971973,-1.12850506624694,0.25910667848567,NA,insB-1,ECB_00024,b0021,-1,protein,Exp,carbonSource,lactate,glucose
23,YP_003043255.1,0.376162389652701,-0.851078001871279,0.753163662571955,-1.1300040670642,0.258474510740643,NA,talA,ECB_00025,,-1,protein,Exp,carbonSource,lactate,glucose
24,YP_003043256.1,0.418276946553111,-0.902682589174923,0.763912922540138,-1.18165639373314,0.237342067360985,NA,elfG,ECB_00026,,-1,protein,Exp,carbonSource,lactate,glucose
25,YP_003043257.1,95.3846842742771,-0.321098202121694,0.509106630280188,-0.630709134440023,0.528230725372574,0.649714292787535,rpsT,ECB_00027,b0023,-1,protein,Exp,carbonSource,lactate,glucose
26,YP_003043258.1,0.0831227691059784,-0.117086605503853,0.619357276604576,-0.189045337685774,0.850057283057211,NA,yaaY,ECB_00028,b0024,-1,protein,Exp,carbonSource,lactate,glucose
27,YP_003043259.1,17.8525550149046,1.26927234977135,0.398686717017234,3.18363340335837,0.00145439078800929,0.0143354532621095,ribF,ECB_00029,b0025,1,protein,Exp,carbonSource,lactate,glucose
28,YP_003043260.1,195.668450808453,0.537215173923243,0.407525499018062,1.31823695748529,0.187424337356356,0.329241380941884,ileS,ECB_00030,b0026,1,protein,Exp,carbonSource,lactate,glucose
29,YP_003043261.1,0.131333387829155,-0.26392433377316,0.682010554641909,-0.38697983774127,0.698771134488039,NA,lspA,ECB_00031,b0027,-1,protein,Exp,carbonSource,lactate,glucose
30,YP_003043262.1,7.51574703777284,1.18089771216863,0.449268438026962,2.6284902570827,0.00857648122263789,0.0484027108354049,fkpB,ECB_00032,b0028,1,protein,Exp,carbonSource,lactate,glucose
31,YP_003043263.1,16.7312173547311,1.18416923072033,0.372291088999838,3.180761682751,0.00146888410760445,0.0143468489746557,ispH,ECB_00033,b0029,1,protein,Exp,carbonSource,lactate,glucose
32,YP_003043264.1,3.82079071317543,3.3668294030864,0.674175831218853,4.99399303146103,5.91435325800777e-07,2.1934536213394e-05,rihC,ECB_00034,b0030,1,protein,Exp,carbonSource,lactate,glucose
33,YP_003043265.1,44.5038394165881,0.0703772542081686,0.393569852215807,0.178817696050506,0.85808084980002,0.909622574415183,dapB,ECB_00035,b0031,1,protein,Exp,carbonSource,lactate,glucose
34,YP_003043266.1,122.541592778946,-0.148925262107354,0.436089170883382,-0.34150185799312,0.732725806376371,0.815237103703102,carA,ECB_00036,b0032,-1,protein,Exp,carbonSource,lactate,glucose
35,YP_003043267.1,248.132562698324,0.235683403680136,0.34035936987048,0.692454577553786,0.488651901544303,0.615772225846534,carB,ECB_00037,b0033,1,protein,Exp,carbonSource,lactate,glucose
36,YP_003043268.1,0.755474366138298,-0.685322621437406,0.793630400925808,-0.86352869123706,0.38784685159933,NA,caiF,ECB_00038,b0034,-1,protein,Exp,carbonSource,lactate,glucose
37,YP_003043269.1,0.4534827222507,-0.885599705489031,0.774340632255447,-1.14368233901083,0.252755400292644,NA,caiE,ECB_00039,b0035,-1,protein,Exp,carbonSource,lactate,glucose
38,YP_003043270.1,1.06053976376424,-0.348472945574643,0.800999040767145,-0.435047893741419,0.663527663848317,0.759716909077335,caiD,ECB_00040,b0036,-1,protein,Exp,carbonSource,lactate,glucose
39,YP_003043271.1,1.59868617463002,0.132955644562329,0.783033078347847,0.169795693488271,0.865170813849567,0.912978190779811,caiC,ECB_00041,b0037,1,protein,Exp,carbonSource,lactate,glucose
40,YP_003043272.1,1.34807455783189,-1.41739698391975,0.79104783090122,-1.79179681499784,0.0731655192081396,0.186371620908024,caiA,ECB_00043,b0039,-1,protein,Exp,carbonSource,lactate,glucose
41,YP_003043273.1,0.159277033845243,-0.356632713408891,0.75201513584406,-0.474236084368977,0.635331564164773,NA,caiT,ECB_00044,b0040,-1,protein,Exp,carbonSource,lactate,glucose
42,YP_003043274.1,0.748387646099689,-1.31892693602189,0.779983709942491,-1.69096728458488,0.0908430511562632,NA,fixA,ECB_00045,b0041,-1,protein,Exp,carbonSource,lactate,glucose
43,YP_003043275.1,0.838077498412547,-1.21642646142349,0.787177386909683,-1.54530158214906,0.12227333296311,NA,fixB,ECB_00046,b0042,-1,protein,Exp,carbonSource,lactate,glucose
44,YP_003043276.1,1.14055908540702,-1.44782037383994,0.793285459215913,-1.82509380074982,0.0679868755359013,0.178270289188616,fixC,ECB_00047,b0043,-1,protein,Exp,carbonSource,lactate,glucose
45,YP_003043277.1,0.488777776980271,-0.882646569262772,0.741490412488943,-1.19036814825429,0.233901726383377,NA,fixX,ECB_00048,b0044,-1,protein,Exp,carbonSource,lactate,glucose
46,YP_003043278.1,0.275079984786183,-0.615213844553641,0.732574430619013,-0.839797048381548,0.401022188680568,NA,yaaU,ECB_00049,b0045,-1,protein,Exp,carbonSource,lactate,glucose
47,YP_003043279.1,0.243577141408793,-0.139248033971955,0.781465455549619,-0.178188342150094,0.858575064829933,NA,yabF,ECB_00050,b0046,-1,protein,Exp,carbonSource,lactate,glucose
48,YP_003043280.1,1.64550969630272,0.11551003416096,0.801043306956067,0.14419948729101,0.88534294579711,0.925865385490317,kefC,ECB_00051,b0047,1,protein,Exp,carbonSource,lactate,glucose
49,YP_003043281.1,9.18279639793519,2.06695167616238,0.493333754102565,4.18976333764637,2.79245543611377e-05,0.000610760124873088,folA,ECB_00052,b0048,1,protein,Exp,carbonSource,lactate,glucose
50,YP_003043282.1,6.20013732091236,1.49133501918413,0.46100584776238,3.23495900631791,0.00121660196675338,0.012633624293976,apaH,ECB_00053,b0049,1,protein,Exp,carbonSource,lactate,glucose
51,YP_003043283.1,2.56253146793991,-1.3068280818767,0.69278606402182,-1.88633713889998,0.0592495376017701,0.162681938543916,apaG,ECB_00054,b0050,-1,protein,Exp,carbonSource,lactate,glucose
52,YP_003043284.1,12.7462857678343,0.251991400114742,0.531556531324563,0.474063218613485,0.635454826515155,0.73914950047831,ksgA,ECB_00055,b0051,1,protein,Exp,carbonSource,lactate,glucose
53,YP_003043285.1,14.3605916697491,1.09796296320124,0.427122902228459,2.57060194495016,0.0101521941646441,0.0542368786374202,pdxA,ECB_00056,b0052,1,protein,Exp,carbonSource,lactate,glucose
54,YP_003043286.1,75.0363929436894,0.968605487332685,0.411427464388371,2.35425578302755,0.0185598349485935,0.0798228867789089,surA,ECB_00057,b0053,1,protein,Exp,carbonSource,lactate,glucose
55,YP_003043287.1,84.330012177738,0.652968691825874,0.464158386361885,1.40677990748783,0.159492662328258,0.298131280422215,imp,ECB_00058,b0054,1,protein,Exp,carbonSource,lactate,glucose
56,YP_003043288.1,12.3215061387661,0.178714809278362,0.435491695699874,0.410374781064771,0.681531043028595,0.775472627438939,djlA,ECB_00059,b0055,1,protein,Exp,carbonSource,lactate,glucose
57,YP_003043289.1,0.982602033515127,-0.603522117085874,0.7744272373892,-0.779314166583948,0.435794671583526,0.570870173434586,rluA,ECB_00060,b0058,-1,protein,Exp,carbonSource,lactate,glucose
58,YP_003043290.1,27.4310710853494,-0.396603108996499,0.377601802062262,-1.0503210176182,0.293570545191375,0.441153682303169,hepA,ECB_00061,b0059,-1,protein,Exp,carbonSource,lactate,glucose
59,YP_003043291.1,2.43319892483101,-1.08428674480202,0.793394420957228,-1.36664276450777,0.171737306029977,0.310583580304389,polB,ECB_00062,b0060,-1,protein,Exp,carbonSource,lactate,glucose
60,YP_003043292.1,0.41790067501933,-0.63419884989946,0.796135183304086,-0.796596938810611,0.425685155844702,NA,araD,ECB_00063,b0061,-1,protein,Exp,carbonSource,lactate,glucose
61,YP_003043293.1,1.41091498198648,0.470730829987624,0.799973464272744,0.58843305560837,0.556241655714096,0.672129671404201,araA,ECB_00064,b0062,1,protein,Exp,carbonSource,lactate,glucose
62,YP_003043294.1,1.372983159043,-0.0396823335107274,0.775850662038556,-0.0511468707218237,0.959208487408279,0.974748395301456,araB,ECB_00065,b0063,-1,protein,Exp,carbonSource,lactate,glucose
