,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469011247692442,0.0480432596614087,0.826468005686424,0.0581308161124837,0.953644428180599,NA,thrL,ECB_00001,b0001,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
2,YP_003043231.1,182.897172239726,0.220505738043388,0.489034146498736,0.450900493599701,0.652061267757627,0.894404043701872,thrA,ECB_00002,b0002,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
3,YP_003043232.1,41.9593050260877,-0.0902292994812548,0.542520174486356,-0.166315104441381,0.867908979961465,0.965443966296028,thrB,ECB_00003,b0003,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
4,YP_003043233.1,178.93041930323,0.177508950966046,0.547337044466613,0.324313789392842,0.745700480974707,0.933702806025122,thrC,ECB_00004,b0004,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
5,YP_003043234.1,0.150946698062214,-0.168745613822165,0.948069359605532,-0.177988679955204,0.858731865879232,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
6,YP_003043235.1,27.0244268920059,-0.00406482768353507,0.459199355650186,-0.00885198908386887,0.992937226814829,0.998145035232392,yaaA,ECB_00006,b0006,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
7,YP_003043236.1,0.0983162072795633,-0.0316193433165378,0.876902869845028,-0.0360579767769785,0.971236130194511,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
8,YP_003043237.1,145.393208489599,0.104338274782126,0.52301245785447,0.199494817408648,0.841875696988161,0.959154017133138,talB,ECB_00008,b0008,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
9,YP_003043238.1,8.86323480291221,-0.337429959577285,0.536773076551195,-0.628626833792217,0.529593388567319,0.811360124927199,mogA,ECB_00009,b0009,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
10,YP_003043239.1,0.0380004688949245,0,0.826409564115091,0,1,NA,yaaH,ECB_00010,b0010,0,protein,Sta,Mg_mM_Levels,highMg,baseMg
11,YP_003043242.1,0.460573079252133,-0.8475516182571,0.978460003741692,-0.866209773538019,0.386375134617629,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
12,YP_003043243.1,564.923448455879,0.202504609810544,0.493455412065583,0.410380765635681,0.681526653647085,0.907071020272085,dnaK,ECB_00014,b0014,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
13,YP_003043244.1,54.5181153081385,-0.228512233206368,0.501472435349588,-0.455682540251822,0.648618279012587,0.89223080183436,dnaJ,ECB_00015,b0015,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
14,YP_003043245.1,1.65261313575521,-1.92990274404274,0.970422076617254,-1.98872510276157,0.0467315536453066,0.260281707677476,insL-1,ECB_00016,b0016,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
15,YP_003043246.1,0.0844726330241291,-0.0251567771764656,0.826531562422232,-0.0304365596187775,0.975718887993688,NA,mokC,ECB_00017,b0018,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
16,YP_003043248.1,0.120783174118313,-0.0229896907406206,0.856528472421622,-0.0268405446880509,0.978586914871442,NA,nhaA,ECB_00018,b0019,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
17,YP_003043249.1,0.940664734489515,-0.836874375007765,0.970748325207638,-0.862092010129156,0.388636887762864,NA,nhaR,ECB_00019,b0020,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
18,YP_003043250.1,0.43007447455754,-0.165414513687655,0.98486490627487,-0.167956551841526,0.866617460038864,NA,cirA,ECB_00020,b2155,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
19,YP_003043251.1,0.413005648558549,-0.617599173728427,0.980055670673368,-0.630167440696601,0.528585039262683,NA,yehB,ECB_00021,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
20,YP_003043252.1,1.14879639741987,-1.62847366944806,0.935280267176181,-1.74116115414771,0.0816553342916866,0.317768156908361,yjcF,ECB_00022,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
21,YP_003043253.1,1.04267311930018,-1.69851054520651,0.963089748125085,-1.76360567487414,0.0777983916208674,0.309970321332198,insA-1,ECB_00023,b0022,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
22,YP_003043254.1,0.413417998283813,-0.661959294748446,0.984910868583656,-0.672100710697174,0.501519584109947,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
23,YP_003043255.1,0.339488228686362,-0.547877906789899,0.983884427757724,-0.556851893711251,0.577628624820377,NA,talA,ECB_00025,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
24,YP_003043256.1,0.566441257842381,-0.997739480520827,0.982601423018676,-1.01540610174942,0.30991228565399,NA,elfG,ECB_00026,,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
25,YP_003043257.1,58.5889092133763,0.175011393851887,0.521357173028556,0.335684254299693,0.737108980775024,0.930196293468083,rpsT,ECB_00027,b0023,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
26,YP_003043258.1,0.0590341309619599,0.0123180457771808,0.826496715094184,0.0149039258743783,0.988108827876191,NA,yaaY,ECB_00028,b0024,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
27,YP_003043259.1,14.1610344535987,-0.372625982431774,0.501067734423461,-0.743663893785789,0.457079838171451,0.766031951009561,ribF,ECB_00029,b0025,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
28,YP_003043260.1,178.486915887706,0.126236577838655,0.484292287254279,0.260661962126962,0.794353202005498,0.954719377185293,ileS,ECB_00030,b0026,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
29,YP_003043261.1,0.140302622497222,-0.131155675716709,0.915332995912883,-0.143287389728483,0.886063214604664,NA,lspA,ECB_00031,b0027,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
30,YP_003043262.1,7.78527642020038,-0.30392446622053,0.584261269718518,-0.520185885959809,0.602934021625703,0.867721385645692,fkpB,ECB_00032,b0028,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
31,YP_003043263.1,9.93146478575969,-0.546894504236878,0.529374715953021,-1.03309524946298,0.301559326280711,0.619749661634486,ispH,ECB_00033,b0029,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
32,YP_003043264.1,5.60159281294427,-1.34071874465846,0.715923514341549,-1.87271226297344,0.0611081290594303,0.280143762850043,rihC,ECB_00034,b0030,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
33,YP_003043265.1,39.9101760758008,0.582440788675578,0.460261342850362,1.26545667526316,0.20570766971385,0.50495884150535,dapB,ECB_00035,b0031,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
34,YP_003043266.1,99.6422844946792,0.146245203379658,0.473214127250202,0.309046571008929,0.757286101063374,0.93775233361905,carA,ECB_00036,b0032,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
35,YP_003043267.1,223.482428744855,0.173016981428954,0.435745750034978,0.397059481165487,0.691323598443821,0.91190488957228,carB,ECB_00037,b0033,1,protein,Sta,Mg_mM_Levels,highMg,baseMg
36,YP_003043268.1,0.685278853401796,-0.918771495299889,0.960927041332577,-0.956130336415313,0.339006389898339,NA,caiF,ECB_00038,b0034,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
37,YP_003043269.1,0.440163868323554,-0.932870784155319,0.971073923136254,-0.960658876661469,0.336723714642583,NA,caiE,ECB_00039,b0035,-1,protein,Sta,Mg_mM_Levels,highMg,baseMg
