,id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_name,mRNA_ID,b.,signChange,pick_data,growthPhase,test_for,contrast,base
1,YP_003043230.1,0.0469011247692442,-0.0551113418872238,0.775939941266661,-0.0710252674933306,0.94337764571814,NA,thrL,ECB_00001,b0001,-1,protein,Sta,carbonSource,lactate,glucose
2,YP_003043231.1,182.897172239726,0.157468300270982,0.525417936871374,0.299701036490369,0.764405207925123,0.818303888698775,thrA,ECB_00002,b0002,1,protein,Sta,carbonSource,lactate,glucose
3,YP_003043232.1,41.9593050260877,0.578302814227254,0.571315157748347,1.01223082633839,0.311427700295443,0.428550943415234,thrB,ECB_00003,b0003,1,protein,Sta,carbonSource,lactate,glucose
4,YP_003043233.1,178.93041930323,0.112554204527355,0.594190130464247,0.189424560854646,0.849760076143194,0.885761598726324,thrC,ECB_00004,b0004,1,protein,Sta,carbonSource,lactate,glucose
5,YP_003043234.1,0.150946698062214,-0.266560690557971,0.929486114684686,-0.286782864581466,0.774278584170707,NA,yaaX,ECB_00005,b0005,-1,protein,Sta,carbonSource,lactate,glucose
6,YP_003043235.1,27.0244268920059,0.496091548267827,0.472297053888001,1.05038035741266,0.293543272919189,0.410270568516829,yaaA,ECB_00006,b0006,1,protein,Sta,carbonSource,lactate,glucose
7,YP_003043236.1,0.0983162072795633,-0.167515088862371,0.835770305317717,-0.200431970119698,0.841142758206804,NA,yaaJ,ECB_00007,b0007,-1,protein,Sta,carbonSource,lactate,glucose
8,YP_003043237.1,145.393208489599,0.654728892310095,0.562122874374394,1.16474337223648,0.24412288695478,0.364304534647643,talB,ECB_00008,b0008,1,protein,Sta,carbonSource,lactate,glucose
9,YP_003043238.1,8.86323480291221,1.21515436931364,0.491526403899439,2.47220568350637,0.0134282232389267,0.0747970838662674,mogA,ECB_00009,b0009,1,protein,Sta,carbonSource,lactate,glucose
10,YP_003043239.1,0.0380004688949245,0.00899644827773389,0.775866579794299,0.0115953548097394,0.990748452735971,NA,yaaH,ECB_00010,b0010,1,protein,Sta,carbonSource,lactate,glucose
11,YP_003043242.1,0.460573079252133,-0.992146597091724,1.01942935750815,-0.973237223143039,0.330435414695293,NA,yaaI,ECB_00013,b0013,-1,protein,Sta,carbonSource,lactate,glucose
12,YP_003043243.1,564.923448455879,0.319752947498978,0.54132078742483,0.590690316956247,0.554727937067334,0.645411142433824,dnaK,ECB_00014,b0014,1,protein,Sta,carbonSource,lactate,glucose
13,YP_003043244.1,54.5181153081385,1.08501073442733,0.516020887186165,2.10264886823445,0.0354964747796802,0.13055017915104,dnaJ,ECB_00015,b0015,1,protein,Sta,carbonSource,lactate,glucose
14,YP_003043245.1,1.65261313575521,-0.901504871790206,1.01928230921947,-0.884450621418656,0.376453006791039,0.490194731371036,insL-1,ECB_00016,b0016,-1,protein,Sta,carbonSource,lactate,glucose
15,YP_003043246.1,0.0844726330241291,-0.134370296497561,0.776028756814025,-0.173151181986111,0.862532595069706,NA,mokC,ECB_00017,b0018,-1,protein,Sta,carbonSource,lactate,glucose
16,YP_003043248.1,0.120783174118313,0.15693942896013,0.805874024756796,0.194744369639526,0.845593074899917,NA,nhaA,ECB_00018,b0019,1,protein,Sta,carbonSource,lactate,glucose
17,YP_003043249.1,0.940664734489515,-1.77741638725507,1.01569089569358,-1.74995797913629,0.080125564889153,0.198850749733602,nhaR,ECB_00019,b0020,-1,protein,Sta,carbonSource,lactate,glucose
18,YP_003043250.1,0.43007447455754,-0.957964376591788,1.00371265647119,-0.95442093951446,0.339870611104938,NA,cirA,ECB_00020,b2155,-1,protein,Sta,carbonSource,lactate,glucose
19,YP_003043251.1,0.413005648558549,-0.873060854905076,0.985540907579629,-0.885869727162527,0.375687730788423,NA,yehB,ECB_00021,,-1,protein,Sta,carbonSource,lactate,glucose
20,YP_003043252.1,1.14879639741987,-1.56002682401414,0.990739453756942,-1.57460855939311,0.115346825925237,0.234310351849719,yjcF,ECB_00022,,-1,protein,Sta,carbonSource,lactate,glucose
21,YP_003043253.1,1.04267311930018,3.02655658710796,0.933456076296049,3.24231280288766,0.0011856381052798,0.0144379013999017,insA-1,ECB_00023,b0022,1,protein,Sta,carbonSource,lactate,glucose
22,YP_003043254.1,0.413417998283813,-0.977484321303133,1.00630958669728,-0.971355469752849,0.331371295218482,NA,insB-1,ECB_00024,b0021,-1,protein,Sta,carbonSource,lactate,glucose
23,YP_003043255.1,0.339488228686362,-0.84279723953539,1.00094184703869,-0.8420042003727,0.399785602317235,NA,talA,ECB_00025,,-1,protein,Sta,carbonSource,lactate,glucose
24,YP_003043256.1,0.566441257842381,-0.976070934928068,1.01474160745684,-0.961891113713477,0.336104302808986,NA,elfG,ECB_00026,,-1,protein,Sta,carbonSource,lactate,glucose
25,YP_003043257.1,58.5889092133763,0.312398061489005,0.573691256581605,0.544540391552173,0.586069661130662,0.670666725287453,rpsT,ECB_00027,b0023,1,protein,Sta,carbonSource,lactate,glucose
26,YP_003043258.1,0.0590341309619599,-0.0936923157577925,0.775980516434193,-0.120740551822525,0.903896538232312,NA,yaaY,ECB_00028,b0024,-1,protein,Sta,carbonSource,lactate,glucose
27,YP_003043259.1,14.1610344535987,1.35669820737878,0.464622565286599,2.92000068171874,0.00350030620031725,0.0316925750429806,ribF,ECB_00029,b0025,1,protein,Sta,carbonSource,lactate,glucose
28,YP_003043260.1,178.486915887706,0.660046676173137,0.503362875309842,1.3112740500913,0.189765192287704,0.312696223319346,ileS,ECB_00030,b0026,1,protein,Sta,carbonSource,lactate,glucose
29,YP_003043261.1,0.140302622497222,-0.29440860958389,0.881626288452898,-0.333938102164043,0.738426267170293,NA,lspA,ECB_00031,b0027,-1,protein,Sta,carbonSource,lactate,glucose
30,YP_003043262.1,7.78527642020038,1.69328467859407,0.538873870920081,3.14226532398561,0.00167646043289224,0.0189865796645811,fkpB,ECB_00032,b0028,1,protein,Sta,carbonSource,lactate,glucose
31,YP_003043263.1,9.93146478575969,1.22547612268911,0.494700262541059,2.47720936389718,0.013241420287096,0.0742456060891393,ispH,ECB_00033,b0029,1,protein,Sta,carbonSource,lactate,glucose
32,YP_003043264.1,5.60159281294427,2.72734743208666,0.58678013905551,4.64798865973317,3.3518733638151e-06,0.00030452241096575,rihC,ECB_00034,b0030,1,protein,Sta,carbonSource,lactate,glucose
33,YP_003043265.1,39.9101760758008,0.0376028631935205,0.508030806621557,0.0740168956358816,0.94099694136344,0.954559795455637,dapB,ECB_00035,b0031,1,protein,Sta,carbonSource,lactate,glucose
34,YP_003043266.1,99.6422844946792,0.246715442659583,0.499835948636566,0.49359283447412,0.621593762334978,0.70147433677502,carA,ECB_00036,b0032,1,protein,Sta,carbonSource,lactate,glucose
35,YP_003043267.1,223.482428744855,0.412103080830017,0.449584280412654,0.91663142770865,0.359335809998368,0.476332745812979,carB,ECB_00037,b0033,1,protein,Sta,carbonSource,lactate,glucose
36,YP_003043268.1,0.685278853401796,-1.33995031301788,1.01471409190786,-1.32052005949628,0.186661443191595,NA,caiF,ECB_00038,b0034,-1,protein,Sta,carbonSource,lactate,glucose
37,YP_003043269.1,0.440163868323554,-0.964816995823535,1.01949819581073,-0.946364593667856,0.343962657823647,NA,caiE,ECB_00039,b0035,-1,protein,Sta,carbonSource,lactate,glucose
38,YP_003043270.1,1.06319284562038,0.0498576798905169,0.974349939845,0.0511701985617696,0.959189898825852,0.968693549628089,caiD,ECB_00040,b0036,1,protein,Sta,carbonSource,lactate,glucose
39,YP_003043271.1,1.11376685040989,-1.09522596359685,1.01034105326474,-1.08401609541434,0.278357662455299,0.394970386902108,caiC,ECB_00041,b0037,-1,protein,Sta,carbonSource,lactate,glucose
40,YP_003043272.1,1.44529468563074,-2.13459190301115,1.0094354346462,-2.11463936151529,0.0344606961943786,0.128710332561467,caiA,ECB_00043,b0039,-1,protein,Sta,carbonSource,lactate,glucose
41,YP_003043273.1,0.221026735395859,-0.278108467022906,1.00165579085571,-0.277648738780134,0.781282014359932,NA,caiT,ECB_00044,b0040,-1,protein,Sta,carbonSource,lactate,glucose
42,YP_003043274.1,0.792497628866226,-1.73074754041629,1.01604267152128,-1.7034201307952,0.0884894730584961,0.208806336847884,fixA,ECB_00045,b0041,-1,protein,Sta,carbonSource,lactate,glucose
43,YP_003043275.1,1.31487101877125,-0.51119906757407,0.953644555736729,-0.536047801561818,0.591925514175304,0.675582623641671,fixB,ECB_00046,b0042,-1,protein,Sta,carbonSource,lactate,glucose
44,YP_003043276.1,1.11568920648996,-1.12423740675567,0.977630023522749,-1.14996203032374,0.25015951028264,0.370308735656978,fixC,ECB_00047,b0043,-1,protein,Sta,carbonSource,lactate,glucose
45,YP_003043277.1,0.798336050856897,-1.44165123601472,1.01650995183742,-1.41823622425813,0.156121809313769,0.276752573777328,fixX,ECB_00048,b0044,-1,protein,Sta,carbonSource,lactate,glucose
46,YP_003043278.1,0.277476860374354,-0.719903119388893,0.994468372403169,-0.72390750612734,0.469122521453653,NA,yaaU,ECB_00049,b0045,-1,protein,Sta,carbonSource,lactate,glucose
47,YP_003043279.1,0.813201112220413,1.72513308513322,0.917137752843169,1.88099669846239,0.0599723679556772,0.171848532274601,yabF,ECB_00050,b0046,1,protein,Sta,carbonSource,lactate,glucose
