"","x"
"1","aas"
"2","abgB"
"3","accA"
"4","accB"
"5","accC"
"6","accD"
"7","aceE"
"8","aceF"
"9","aceK"
"10","ackA"
"11","acnA"
"12","acnB"
"13","acpD"
"14","acpP"
"15","acpS"
"16","acrA"
"17","acrB"
"18","acrD"
"19","acrE"
"20","acrF"
"21","ada"
"22","adhE"
"23","adiA"
"24","adk"
"25","adrA"
"26","aegA"
"27","aer"
"28","aes"
"29","agaD"
"30","ahpC"
"31","aidB"
"32","alaS"
"33","allB"
"34","allD"
"35","allR"
"36","alr"
"37","alsA"
"38","alsK"
"39","amiA"
"40","amiC"
"41","amn"
"42","ampC"
"43","ampE"
"44","ampH"
"45","anmK"
"46","ansA"
"47","ansB"
"48","ansP"
"49","apt"
"50","arcA"
"51","arcC"
"52","argB"
"53","argC"
"54","argD"
"55","argE"
"56","argG"
"57","argH"
"58","argI"
"59","argS"
"60","argT"
"61","arnT"
"62","aroA"
"63","aroB"
"64","aroC"
"65","aroD"
"66","aroE"
"67","aroF"
"68","aroG"
"69","aroH"
"70","aroK"
"71","aroL"
"72","artI"
"73","artJ"
"74","artP"
"75","artQ"
"76","ascB"
"77","asd"
"78","asmA"
"79","asnA"
"80","asnB"
"81","asnC"
"82","aspC"
"83","aspS"
"84","astA"
"85","astC"
"86","astD"
"87","atoA"
"88","atoB"
"89","atoS"
"90","atpA"
"91","atpB"
"92","atpC"
"93","atpD"
"94","atpE"
"95","atpF"
"96","atpG"
"97","atpH"
"98","avtA"
"99","baeR"
"100","basS"
"101","bax"
"102","bcp"
"103","bcsA"
"104","betT"
"105","bglA"
"106","bglF"
"107","bglX"
"108","bioB"
"109","bioD"
"110","bioF"
"111","bipA"
"112","bisC"
"113","btuB"
"114","btuE"
"115","cadA"
"116","caiA"
"117","caiC"
"118","carB"
"119","ccmH"
"120","cdaR"
"121","cdd"
"122","cdh"
"123","celF"
"124","cfa"
"125","cheA"
"126","cheY"
"127","cheZ"
"128","chiA"
"129","citA"
"130","citC"
"131","citE"
"132","citF"
"133","citG"
"134","clpA"
"135","clpB"
"136","clpP"
"137","clpX"
"138","cls"
"139","cmk"
"140","cmtA"
"141","coaA"
"142","codA"
"143","cof"
"144","cpxR"
"145","creA"
"146","creC"
"147","crp"
"148","crr"
"149","csdA"
"150","cspA"
"151","cspC"
"152","cspD"
"153","cspG"
"154","cueO"
"155","cusC"
"156","cusR"
"157","cutA"
"158","cydC"
"159","cydD"
"160","cyoA"
"161","cyoB"
"162","cysA"
"163","cysB"
"164","cysC"
"165","cysD"
"166","cysE"
"167","cysG"
"168","cysH"
"169","cysI"
"170","cysJ"
"171","cysK"
"172","cysM"
"173","cysN"
"174","cysP"
"175","cysS"
"176","cytR"
"177","dacA"
"178","dacB"
"179","dacC"
"180","dacD"
"181","damX"
"182","dapA"
"183","dapB"
"184","dapE"
"185","dapF"
"186","dcp"
"187","dcrB"
"188","dcuR"
"189","ddg"
"190","ddl"
"191","deaD"
"192","dedD"
"193","def"
"194","degP"
"195","degQ"
"196","degS"
"197","deoB"
"198","deoC"
"199","deoD"
"200","dfp"
"201","dgt"
"202","dhaL"
"203","dhaM"
"204","dhaR"
"205","dinB"
"206","dinG"
"207","dinI"
"208","dksA"
"209","dld"
"210","dmsA"
"211","dnaB"
"212","dnaC"
"213","dnaJ"
"214","dnaK"
"215","dos"
"216","dppA"
"217","dsbA"
"218","dsbC"
"219","dsdC"
"220","dut"
"221","eaeH"
"222","ebgA"
"223","eda"
"224","efp"
"225","elaC"
"226","emrK"
"227","emrR"
"228","endA"
"229","engA"
"230","engB"
"231","eno"
"232","envY"
"233","envZ"
"234","epd"
"235","era"
"236","eutB"
"237","eutC"
"238","eutL"
"239","eutT"
"240","evgA"
"241","evgS"
"242","exbB"
"243","exbD"
"244","exuR"
"245","fabA"
"246","fabB"
"247","fabD"
"248","fabF"
"249","fabG"
"250","fabH"
"251","fabI"
"252","fabZ"
"253","fadL"
"254","fadR"
"255","fbaA"
"256","fdhD"
"257","fdhF"
"258","fdnG"
"259","fdnH"
"260","fdx"
"261","fecA"
"262","fecB"
"263","fecE"
"264","fepA"
"265","fepE"
"266","ffh"
"267","fhlA"
"268","fhuA"
"269","fhuB"
"270","fic"
"271","fimD"
"272","fis"
"273","fixA"
"274","fixB"
"275","fixC"
"276","fklB"
"277","fkpA"
"278","fkpB"
"279","fldA"
"280","flgB"
"281","flgC"
"282","flgD"
"283","flgE"
"284","flgF"
"285","flgG"
"286","flgH"
"287","flgI"
"288","flgK"
"289","flgL"
"290","flgM"
"291","flgN"
"292","flhA"
"293","flhB"
"294","flhD"
"295","flhE"
"296","flu"
"297","fmt"
"298","fnr"
"299","folA"
"300","folC"
"301","folE"
"302","fpr"
"303","frdA"
"304","frdB"
"305","frlC"
"306","frmR"
"307","frr"
"308","fruB"
"309","frvR"
"310","frvX"
"311","fsa"
"312","ftn"
"313","ftsA"
"314","ftsE"
"315","ftsN"
"316","ftsQ"
"317","ftsW"
"318","ftsX"
"319","ftsY"
"320","ftsZ"
"321","fucO"
"322","fucU"
"323","fumC"
"324","fur"
"325","fusA"
"326","gadA"
"327","gadB"
"328","galF"
"329","galK"
"330","galM"
"331","galR"
"332","galU"
"333","gapA"
"334","garD"
"335","garK"
"336","garL"
"337","garP"
"338","gcl"
"339","gcvP"
"340","gcvT"
"341","gdhA"
"342","ggt"
"343","gidA"
"344","glcB"
"345","glcC"
"346","glcD"
"347","glcF"
"348","glcG"
"349","glgA"
"350","glk"
"351","glmM"
"352","glmS"
"353","glmU"
"354","glnA"
"355","glnB"
"356","glnE"
"357","glnH"
"358","glnL"
"359","glnQ"
"360","glnS"
"361","gloB"
"362","glpR"
"363","gltA"
"364","gltB"
"365","gltD"
"366","gltI"
"367","gltX"
"368","glvG"
"369","glxK"
"370","glxR"
"371","glyA"
"372","glyQ"
"373","glyS"
"374","gmhA"
"375","gmk"
"376","gnd"
"377","gnsA"
"378","gnsB"
"379","goaG"
"380","gph"
"381","gpmA"
"382","gpmB"
"383","gppA"
"384","gpt"
"385","greA"
"386","groEL"
"387","groES"
"388","grpE"
"389","grxC"
"390","gshA"
"391","gshB"
"392","gsk"
"393","gspA"
"394","gspD"
"395","gspF"
"396","gspL"
"397","guaA"
"398","guaB"
"399","guaC"
"400","guaD"
"401","gudX"
"402","gyrA"
"403","gyrB"
"404","hcaD"
"405","hcp"
"406","hcr"
"407","hda"
"408","hdhA"
"409","helD"
"410","hemB"
"411","hemC"
"412","hemE"
"413","hemH"
"414","hemL"
"415","hemN"
"416","hemX"
"417","hemY"
"418","hflB"
"419","hflC"
"420","hflK"
"421","hflX"
"422","hfq"
"423","hipA"
"424","hisA"
"425","hisB"
"426","hisC"
"427","hisD"
"428","hisF"
"429","hisG"
"430","hisH"
"431","hisI"
"432","hisJ"
"433","hisP"
"434","hisS"
"435","hlpA"
"436","hnr"
"437","hns"
"438","hofB"
"439","hpaB"
"440","hpaR"
"441","hpt"
"442","hrpA"
"443","hrsA"
"444","hscB"
"445","hscC"
"446","hsdM"
"447","hsdS"
"448","hslO"
"449","hslU"
"450","hslV"
"451","htpG"
"452","htpX"
"453","htrB"
"454","htrE"
"455","hupA"
"456","hupB"
"457","hyaB"
"458","hybA"
"459","hybD"
"460","hycE"
"461","hyfB"
"462","hyfG"
"463","hyfR"
"464","hyi"
"465","iadA"
"466","ibpA"
"467","icdA"
"468","iciA"
"469","iclR"
"470","idnD"
"471","idnK"
"472","idnR"
"473","ihfA"
"474","ihfB"
"475","ileS"
"476","ilvA"
"477","ilvB"
"478","ilvC"
"479","ilvD"
"480","ilvE"
"481","ilvG"
"482","ilvH"
"483","ilvI"
"484","ilvN"
"485","ilvY"
"486","imp"
"487","inaA"
"488","infA"
"489","infB"
"490","infC"
"491","insD"
"492","insG"
"493","insI"
"494","insL-1"
"495","intB"
"496","intD"
"497","intR"
"498","iscA"
"499","iscR"
"500","iscS"
"501","iscU"
"502","ispA"
"503","ispB"
"504","ispG"
"505","katE"
"506","katG"
"507","kdgR"
"508","kdpB"
"509","kdpD"
"510","kdpE"
"511","kdsA"
"512","kdsB"
"513","kduD"
"514","kefA"
"515","kefB"
"516","ksgA"
"517","lacZ"
"518","lamB"
"519","ldcC"
"520","ldhA"
"521","lepA"
"522","lepB"
"523","leuA"
"524","leuB"
"525","leuC"
"526","leuD"
"527","leuS"
"528","lexA"
"529","lgt"
"530","lhr"
"531","ligA"
"532","ligB"
"533","lipB"
"534","livF"
"535","livG"
"536","livJ"
"537","livK"
"538","lldD"
"539","lolA"
"540","lolB"
"541","lolD"
"542","lon"
"543","lpdA"
"544","lplA"
"545","lpp"
"546","lpxD"
"547","lrhA"
"548","lrp"
"549","ltaE"
"550","lysA"
"551","lysC"
"552","lysP"
"553","lysS"
"554","lysU"
"555","lyxK"
"556","macB"
"557","maeB"
"558","malE"
"559","malI"
"560","malK"
"561","malP"
"562","malQ"
"563","malS"
"564","malX"
"565","manA"
"566","manC"
"567","manX"
"568","manY"
"569","map"
"570","mcrC"
"571","mdaB"
"572","mdh"
"573","mdlA"
"574","mdlB"
"575","mdoD"
"576","mdoG"
"577","mdoH"
"578","melR"
"579","menA"
"580","menB"
"581","menD"
"582","menE"
"583","menF"
"584","mepA"
"585","metA"
"586","metB"
"587","metC"
"588","metE"
"589","metG"
"590","metH"
"591","metI"
"592","metJ"
"593","metK"
"594","metL"
"595","metN"
"596","metQ"
"597","mfd"
"598","mgsA"
"599","mgtA"
"600","mhpA"
"601","mhpB"
"602","mhpC"
"603","mhpD"
"604","mhpE"
"605","miaA"
"606","minD"
"607","minE"
"608","mltA"
"609","mltB"
"610","mltD"
"611","mltE"
"612","mnmA"
"613","mnmC"
"614","modE"
"615","modF"
"616","moeA"
"617","moeB"
"618","mogA"
"619","molR"
"620","motB"
"621","mpl"
"622","mqo"
"623","mraW"
"624","mrcA"
"625","mreB"
"626","mreC"
"627","msrA"
"628","mtgA"
"629","mtlA"
"630","mtlR"
"631","mukB"
"632","murA"
"633","murB"
"634","murC"
"635","murD"
"636","murF"
"637","murG"
"638","murI"
"639","mutS"
"640","nadA"
"641","nadC"
"642","nadE"
"643","nagB"
"644","nagD"
"645","nagE"
"646","nagZ"
"647","nanR"
"648","napA"
"649","narG"
"650","narJ"
"651","narL"
"652","narQ"
"653","narW"
"654","narY"
"655","ndk"
"656","nemA"
"657","nfi"
"658","nfnB"
"659","nfrA"
"660","nfsA"
"661","nhaR"
"662","nikA"
"663","nikD"
"664","nikE"
"665","nikR"
"666","nirB"
"667","nlpA"
"668","nlpB"
"669","norV"
"670","nrdA"
"671","nrdB"
"672","nrdR"
"673","nrfA"
"674","nrfE"
"675","nth"
"676","nudE"
"677","nuoB"
"678","nuoC"
"679","nuoE"
"680","nuoF"
"681","nuoK"
"682","nuoL"
"683","nusA"
"684","nusB"
"685","nusG"
"686","obgE"
"687","ompA"
"688","ompF"
"689","ompR"
"690","oppA"
"691","orn"
"692","otsB"
"693","oxyR"
"694","pabB"
"695","pal"
"696","panB"
"697","panC"
"698","panD"
"699","parC"
"700","pbpC"
"701","pckA"
"702","pcnB"
"703","pdxA"
"704","pdxB"
"705","pdxH"
"706","pdxJ"
"707","pdxY"
"708","pepA"
"709","pepD"
"710","pepN"
"711","pepP"
"712","pepQ"
"713","perM"
"714","pfkA"
"715","pfkB"
"716","pflA"
"717","pflB"
"718","pflC"
"719","pfs"
"720","pgaA"
"721","pgi"
"722","pgk"
"723","pgm"
"724","pheA"
"725","pheS"
"726","pheT"
"727","phnA"
"728","phnD"
"729","phnG"
"730","phnJ"
"731","phnM"
"732","phnP"
"733","phoA"
"734","phoH"
"735","phoP"
"736","phoR"
"737","phrB"
"738","pldA"
"739","pldB"
"740","plsB"
"741","plsC"
"742","plsX"
"743","pmbA"
"744","pncB"
"745","pnp"
"746","pntA"
"747","pntB"
"748","polA"
"749","polB"
"750","potD"
"751","potF"
"752","potG"
"753","poxB"
"754","ppa"
"755","ppc"
"756","ppiA"
"757","ppiB"
"758","ppiC"
"759","ppiD"
"760","ppk"
"761","ppsA"
"762","pqiA"
"763","prc"
"764","prfB"
"765","prfC"
"766","prfH"
"767","prlC"
"768","prmA"
"769","proA"
"770","proB"
"771","proC"
"772","proQ"
"773","proS"
"774","proV"
"775","proX"
"776","prpB"
"777","prpC"
"778","prpD"
"779","prpR"
"780","prsA"
"781","psd"
"782","psiF"
"783","pspA"
"784","pspF"
"785","pssA"
"786","pstS"
"787","pta"
"788","pth"
"789","ptrB"
"790","ptsA"
"791","ptsG"
"792","ptsI"
"793","ptsN"
"794","purA"
"795","purB"
"796","purC"
"797","purD"
"798","purE"
"799","purF"
"800","purH"
"801","purK"
"802","purL"
"803","purM"
"804","purN"
"805","purR"
"806","purT"
"807","purU"
"808","puuD"
"809","pykA"
"810","pykF"
"811","pyrB"
"812","pyrC"
"813","pyrF"
"814","pyrG"
"815","pyrI"
"816","queF"
"817","rbfA"
"818","rbsA"
"819","rbsB"
"820","rbsC"
"821","rbsK"
"822","rcsF"
"823","rdgC"
"824","recA"
"825","recB"
"826","recC"
"827","recD"
"828","recE"
"829","recG"
"830","recJ"
"831","recN"
"832","relA"
"833","rep"
"834","rfaD"
"835","rfaE"
"836","rfbA"
"837","rfbD"
"838","rhaA"
"839","rhaB"
"840","rhaD"
"841","rhlB"
"842","rho"
"843","rhsA"
"844","rhsB"
"845","rhsC"
"846","rhsD"
"847","rhsE"
"848","ribA"
"849","ribC"
"850","ribF"
"851","rihB"
"852","rimI"
"853","rimM"
"854","rimO"
"855","rlmL"
"856","rlpA"
"857","rlpB"
"858","rnb"
"859","rnc"
"860","rne"
"861","rnfB"
"862","rnfG"
