"","x"
"1","accA"
"2","accB"
"3","accC"
"4","accD"
"5","aceA"
"6","aceB"
"7","aceE"
"8","aceF"
"9","aceK"
"10","ackA"
"11","acnA"
"12","acnB"
"13","acpD"
"14","acpP"
"15","acrA"
"16","acrB"
"17","acs"
"18","ada"
"19","add"
"20","adhE"
"21","adhP"
"22","adiA"
"23","adiY"
"24","adk"
"25","aer"
"26","agaA"
"27","agaR"
"28","agp"
"29","ahpC"
"30","aidB"
"31","alaS"
"32","aldA"
"33","alkA"
"34","allB"
"35","allC"
"36","allD"
"37","alr"
"38","alsA"
"39","amiA"
"40","amiB"
"41","anmK"
"42","ansA"
"43","apaG"
"44","appC"
"45","apt"
"46","araB"
"47","araE"
"48","arcA"
"49","arcC"
"50","argA"
"51","argB"
"52","argC"
"53","argD"
"54","argE"
"55","argG"
"56","argH"
"57","argI"
"58","argK"
"59","argS"
"60","argT"
"61","aroA"
"62","aroB"
"63","aroC"
"64","aroD"
"65","aroE"
"66","aroF"
"67","aroG"
"68","aroH"
"69","aroK"
"70","aroL"
"71","artI"
"72","artJ"
"73","artP"
"74","asd"
"75","aslA"
"76","asmA"
"77","asnA"
"78","asnB"
"79","asnC"
"80","aspA"
"81","aspC"
"82","aspS"
"83","astC"
"84","astD"
"85","atoA"
"86","atoB"
"87","atoD"
"88","atpA"
"89","atpB"
"90","atpC"
"91","atpD"
"92","atpE"
"93","atpF"
"94","atpG"
"95","atpH"
"96","avtA"
"97","baeR"
"98","bax"
"99","bcp"
"100","bcsA"
"101","bcsC"
"102","betT"
"103","bfr"
"104","bglA"
"105","bglX"
"106","bioB"
"107","bioD"
"108","bioH"
"109","bipA"
"110","blc"
"111","bolA"
"112","btuB"
"113","btuD"
"114","btuE"
"115","cadA"
"116","caiA"
"117","caiC"
"118","carA"
"119","carB"
"120","ccmH"
"121","cdaR"
"122","cdd"
"123","cdh"
"124","celF"
"125","cheY"
"126","chiA"
"127","chpA"
"128","citA"
"129","citC"
"130","citE"
"131","citF"
"132","clpB"
"133","clpP"
"134","clpX"
"135","cls"
"136","cmk"
"137","coaD"
"138","codA"
"139","cpxR"
"140","creA"
"141","crr"
"142","cspC"
"143","cusR"
"144","cusS"
"145","cutA"
"146","cutC"
"147","cyaA"
"148","cyaY"
"149","cyoA"
"150","cysB"
"151","cysE"
"152","cysG"
"153","cysH"
"154","cysI"
"155","cysJ"
"156","cysK"
"157","cysM"
"158","cysP"
"159","cysQ"
"160","cysS"
"161","dacA"
"162","dacC"
"163","dacD"
"164","damX"
"165","dapA"
"166","dapB"
"167","dbpA"
"168","dcp"
"169","dcrB"
"170","ddg"
"171","ddl"
"172","dedD"
"173","def"
"174","degP"
"175","degS"
"176","deoA"
"177","deoB"
"178","deoC"
"179","deoD"
"180","deoR"
"181","dfp"
"182","dgt"
"183","dhaK"
"184","dhaL"
"185","dhaR"
"186","dinB"
"187","dinG"
"188","dkgB"
"189","dksA"
"190","dmsA"
"191","dnaB"
"192","dnaJ"
"193","dnaK"
"194","dnaN"
"195","dos"
"196","dppA"
"197","dppB"
"198","dppF"
"199","dps"
"200","dsbA"
"201","dsbC"
"202","dut"
"203","eaeH"
"204","ebgA"
"205","ecnB"
"206","eda"
"207","efp"
"208","emrK"
"209","emrR"
"210","engA"
"211","engB"
"212","eno"
"213","envY"
"214","epd"
"215","eutB"
"216","eutD"
"217","eutT"
"218","evgA"
"219","exoX"
"220","exuR"
"221","fabA"
"222","fabB"
"223","fabD"
"224","fabF"
"225","fabG"
"226","fabH"
"227","fabI"
"228","fabZ"
"229","fadA"
"230","fadB"
"231","fadD"
"232","fadE"
"233","fadJ"
"234","fadL"
"235","fadR"
"236","farR"
"237","fbaA"
"238","fbaB"
"239","fdhF"
"240","fdnG"
"241","fdnH"
"242","fdoH"
"243","fdrA"
"244","fdx"
"245","fecA"
"246","fecB"
"247","feoB"
"248","fepE"
"249","fhlA"
"250","fhuB"
"251","fic"
"252","fimD"
"253","fis"
"254","fixA"
"255","fklB"
"256","fkpA"
"257","fldA"
"258","flgD"
"259","flgE"
"260","flgG"
"261","flgH"
"262","flgJ"
"263","flgK"
"264","flgL"
"265","flgM"
"266","flgN"
"267","flu"
"268","fmt"
"269","folA"
"270","folD"
"271","folE"
"272","folP"
"273","fpr"
"274","frcK"
"275","frlB"
"276","frlC"
"277","frmR"
"278","frsA"
"279","frvR"
"280","ftn"
"281","ftsA"
"282","ftsI"
"283","ftsK"
"284","ftsN"
"285","ftsY"
"286","ftsZ"
"287","fucI"
"288","fucO"
"289","fucU"
"290","fur"
"291","fusA"
"292","gabD"
"293","gabT"
"294","gadA"
"295","gadB"
"296","galE"
"297","galF"
"298","galK"
"299","galM"
"300","galR"
"301","galU"
"302","gapA"
"303","garD"
"304","garP"
"305","gcd"
"306","gcl"
"307","gcvA"
"308","gcvP"
"309","gcvT"
"310","gdhA"
"311","glcB"
"312","glcF"
"313","glcG"
"314","glgA"
"315","glgC"
"316","glk"
"317","glmM"
"318","glmS"
"319","glmU"
"320","glnA"
"321","glnB"
"322","glnE"
"323","glnH"
"324","glnQ"
"325","glnS"
