"Category","pathway.Number","pathway.Name","Count","percentage","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR","FDR_umut"
"KEGG_PATHWAY","eco03010","Ribosome",25,3.63372093023256,3.04020670533183e-14,"RPLJ, RPLK, RPSD, RPMG, RPMH, RPLI, RPLC, RPLE, RPME, RPMF, RPSU, RPLA, RPLX, RPLV, RPST, RPSO, RPSI, RPLP, RPSK, RPLO, RPSL, RPLN, RPSE, RPLU, RPSF",324,79,7107,6.94151429910924,4.99498220563055e-11,5.55000490010116e-12,5.10924635932497e-11,2.43216536426546e-12
"KEGG_PATHWAY","eco00240","Pyrimidine metabolism",18,2.61627906976744,7.22393951535682e-11,"USHA, YFBR, UPP, RPOC, DNAE, RPOA, NDK, PNP, CARA, PYRF, PYRG, PYRH, PYRC, PYRD, TRXB, RPOZ, NRDB, DUT",324,53,7107,7.44968553459119,1.18617147992772e-07,9.12439646061358e-09,1.21341381387197e-07,2.88957580614273e-09
"KEGG_PATHWAY","eco00190","Oxidative phosphorylation",16,2.32558139534884,1.14556357218146e-10,"ATPB, ATPD, ATPC, FRDA, NUOL, NUOH, ATPF, NUOI, ATPH, ATPG, SDHA, NUOF, SDHB, NUOE, CYOA, CYOB",324,41,7107,8.56007226738934,1.88101532683227e-07,1.25401032891048e-08,1.92421600875292e-07,3.05483619248389e-09
"KEGG_PATHWAY","eco02010","ABC transporters",29,4.21511627906977,8.68967529907515e-09,"MODA, FEPB, METQ, MALE, METN, DPPA, GLTI, GLNP, FECB, RBSD, POTF, DPPF, YEJA, ARTI, ARTJ, OPPA, OPPB, TAUB, RBSB, LIVJ, ARGT, LIVK, MPPA, ARAF, PSTS, YHDW, HISJ, CYSP, POTD",324,181,7107,3.51447718436669,1.42683451315184e-05,4.19660115658083e-07,1.45961430053632e-05,1.73793505981503e-07
"KEGG_PATHWAY","eco00020","Citrate cycle (TCA cycle)",12,1.74418604651163,2.39444832336815e-08,"SDHA, SUCA, SDHB, ACEF, SUCD, ACNB, FRDA, ACNA, MDH, FUMC, FUMB, YBIC",324,29,7107,9.07662835249042,3.93160691277705e-05,9.8292056760485e-07,4.02198065407866e-05,3.83111731738904e-07
"KEGG_PATHWAY","eco00230","Purine metabolism",18,2.61627906976744,1.3086786301241e-07,"PURH, PURT, USHA, YFBR, PURE, PURL, RPOC, PURN, DNAE, PURM, RPOA, NDK, PURD, PNP, GUAB, APT, RPOZ, NRDB",324,83,7107,4.7570281124498,0.000214861958953927,3.97934476925599e-06,0.000219819973756863,1.74490484016546e-06
"KEGG_PATHWAY","eco00061","Fatty acid biosynthesis",8,1.16279069767442,2.44360765708289e-07,"FABZ, FABH, ACCB, ACCA, ACCC, FABD, FABF, FABB",324,12,7107,14.6234567901235,0.00040115994018286,6.4715988390418e-06,0.000410454696297968,2.79269446523759e-06
"KEGG_PATHWAY","eco00620","Pyruvate metabolism",13,1.88953488372093,3.59527132435715e-07,"TDCE, LDHA, ACEF, ACCB, ACCA, LEUA, ACCC, MGSA, MDH, PTA, LLDD, GLOA, YBIC",324,44,7107,6.48085016835017,0.000590169438988486,9.08216887252067e-06,0.000603899997042578,3.59527132435715e-06
"KEGG_PATHWAY","eco00670","One carbon pool by folate",8,1.16279069767442,5.08884152494809e-07,"PURH, PURT, FOLA, METH, PURN, FMT, GLYA, PURU",324,13,7107,13.4985754985755,0.000835238984556841,1.22879831930822e-05,0.000854774919456514,4.52341468884275e-06
"KEGG_PATHWAY","eco03018","RNA degradation",8,1.16279069767442,1.76307042006223e-06,"ENO, RHLE, RNR, RNE, DEAD, PCNB, DNAK, PNP",324,15,7107,11.6987654320988,0.00289077781378388,3.80909084942704e-05,0.00296140769971975,1.41045633604978e-05
