Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ecd02010:ABC transporters	106	5.0332383665717	4.546391976222705E-53	MALF, MALG, MALE, PSTC, PSTA, SAPA, ALSC, YJGQ, YJGP, ALSB, ALSA, MALK, GLTI, FECB, NIKE, FECC, OPPC, OPPF, OPPA, FECE, OPPB, FECD, RBSA, LIVF, LIVG, LIVH, LIVJ, ARGT, LIVK, LIVM, YOJI, YDDA, GLNQ, GLNP, DPPD, GLNH, BTUD, DPPF, BTUC, TAUC, TAUB, TAUA, SAPF, SBP, CCMB, SAPD, SAPB, SAPC, PSTS, FHUC, FHUD, MODA, MSBA, FEPB, FEPD, METQ, FEPC, YHBG, METN, FEPG, DPPB, PROW, DPPC, METI, MGLB, DPPA, YGIS, SSUA, SSUB, SSUC, FHUB, ARTI, ARTM, MDLB, ARTQ, UGPB, ARTP, CYDC, MPPA, CYDD, MODF, NLPA, FTSE, YADG, YADH, FTSX, YBHS, RBSD, MACB, POTG, POTH, POTI, YEJE, YEJF, CYSA, CYSW, CYSU, YHDZ, YHDY, HISP, POTB, YHDX, YHDW, POTA, CYSP, POTC	862	175	7107	4.993980775604905	9.651990165520803E-50	9.651990165520803E-50	7.871175678343904E-50
KEGG_PATHWAY	eco02010:ABC transporters	104	4.938271604938271	5.632563579471717E-49	MALF, MALG, MALE, PSTC, PSTA, SAPA, ALSC, ALSB, ALSA, MALK, GLTI, FECB, NIKE, FECC, OPPC, OPPF, OPPA, FECE, OPPB, FECD, RBSA, LIVF, LIVG, LIVH, LIVJ, ARGT, LIVK, LIVM, YOJI, YDDA, GLNQ, GLNP, DPPD, GLNH, BTUD, DPPF, BTUC, TAUC, TAUB, TAUA, SAPF, SBP, CCMB, SAPD, SAPB, SAPC, PSTS, FHUC, FHUD, MODA, MSBA, FEPB, FEPD, METQ, FEPC, METN, FEPG, DPPB, PROW, DPPC, METI, MGLB, DPPA, PROV, YGIS, SSUA, SSUB, SSUC, FHUB, ARTI, ARTM, MDLB, ARTQ, UGPB, ARTP, CYDC, MPPA, CYDD, MODF, NLPA, FTSE, YADG, YADH, FTSX, YBHS, RBSD, MACB, POTG, POTH, POTI, YEJE, YEJF, CYSA, CYSW, CYSU, YHDZ, YHDY, HISP, YHDX, POTB, POTA, YHDW, CYSP, POTC	862	181	7107	4.737331914729974	1.1957932479218455E-45	5.978966239609227E-46	9.751666307113797E-46
KEGG_PATHWAY	ecj02010:ABC transporters	103	4.8907882241215574	6.877117776935118E-49	MALF, MALG, MALE, PSTC, PSTA, SAPA, ALSC, ALSB, ALSA, MALK, GLTI, FECB, FECC, NIKE, OPPC, OPPF, OPPA, FECE, OPPB, FECD, RBSA, LIVF, LIVG, LIVH, LIVJ, ARGT, LIVK, LIVM, YOJI, YDDA, GLNQ, GLNP, DPPD, GLNH, BTUD, DPPF, BTUC, TAUC, TAUB, TAUA, SAPF, SBP, CCMB, SAPD, SAPB, SAPC, PSTS, FHUC, FHUD, MODA, MSBA, FEPB, FEPD, METQ, FEPC, METN, FEPG, DPPB, PROW, DPPC, METI, MGLB, DPPA, PROV, YGIS, SSUA, SSUB, SSUC, FHUB, ARTI, ARTM, MDLB, ARTQ, UGPB, ARTP, CYDC, MPPA, CYDD, MODF, NLPA, FTSE, YADG, YADH, FTSX, YBHS, RBSD, MACB, POTG, POTH, POTI, YEJE, YEJF, CYSA, CYSW, CYSU, YHDZ, YHDY, HISP, YHDX, POTB, POTA, CYSP, POTC	862	178	7107	4.770855601032352	1.4600121040433256E-45	4.866707013477751E-46	1.1906364973812058E-45
KEGG_PATHWAY	ecg03010:Ribosome	54	2.564102564102564	1.1880332650025228E-45	RPMI, RPMJ, RPMG, RPMH, RPMB, RPME, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPSV, RPLA, RPSU, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	862	56	7107	7.950323168710639	2.522194621600356E-42	6.30548655400089E-43	2.0568438861975692E-42
KEGG_PATHWAY	ecm03010:Ribosome	54	2.564102564102564	1.1880332650025228E-45	RPMI, RPMJ, RPMG, RPMH, RPMB, RPME, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPSV, RPLA, RPSU, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	862	56	7107	7.950323168710639	2.522194621600356E-42	6.30548655400089E-43	2.0568438861975692E-42
KEGG_PATHWAY	ecx03010:Ribosome	54	2.564102564102564	1.1880332650025228E-45	RPMI, RPMJ, RPMG, RPMH, RPMB, RPME, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPSV, RPLA, RPSU, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	862	56	7107	7.950323168710639	2.522194621600356E-42	6.30548655400089E-43	2.0568438861975692E-42
KEGG_PATHWAY	eck02010:ABC transporters	100	4.748338081671415	6.154727677757123E-45	MALF, MALG, MALE, PSTC, PSTA, SAPA, YJGQ, YJGP, MALK, GLTI, FECB, FECC, NIKE, OPPC, OPPF, OPPA, FECE, OPPB, FECD, RBSA, LIVF, LIVG, LIVH, LIVJ, ARGT, LIVK, LIVM, YOJI, YDDA, GLNQ, YLID, GLNP, YLIA, DPPD, GLNH, BTUD, DPPF, BTUC, TAUC, TAUB, TAUA, SAPF, SBP, CCMB, SAPD, SAPB, SAPC, PSTS, FHUC, FHUD, MODA, MSBA, FEPB, FEPD, METQ, FEPC, METN, FEPG, DPPB, PROW, DPPC, METI, MGLB, DPPA, PROV, SSUA, SSUB, SSUC, FHUB, ARTI, ARTM, MDLB, ARTQ, UGPB, ARTP, CYDC, MPPA, CYDD, MODF, NLPA, FTSE, YADG, YADH, FTSX, YBHS, RBSD, MACB, POTG, POTH, POTI, YEJE, YEJF, CYSA, CYSW, CYSU, HISP, POTB, POTA, CYSP, POTC	862	181	7107	4.555126841086514	1.3066486859878372E-41	2.6132973719756744E-42	1.065568984314494E-41
KEGG_PATHWAY	eci03010:Ribosome	53	2.51661918328585	9.80122198914748E-45	RPMI, RPMJ, RPMG, RPMH, RPMB, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPSV, RPLA, RPSU, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	862	55	7107	7.944969415735076	2.08079942829601E-41	3.4679990471600167E-42	1.6968871259341685E-41
KEGG_PATHWAY	ect03010:Ribosome	53	2.51661918328585	9.80122198914748E-45	RPMI, RPMJ, RPMG, RPMH, RPMB, RPME, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, RPSU, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	862	55	7107	7.944969415735076	2.08079942829601E-41	3.4679990471600167E-42	1.6968871259341685E-41
KEGG_PATHWAY	ecv02010:ABC transporters	104	4.938271604938271	1.3514836051648322E-44	MALF, MALG, MALE, PSTC, PSTA, SAPA, ALSC, YJGQ, ALSA, MALK, NIKE, OPPC, OPPF, OPPA, OPPB, RBSA, LIVF, LIVG, LIVH, LIVJ, ARGT, LIVK, LIVM, YOJI, YDDA, YDDR, YDDQ, GLNQ, YLID, GLNP, YDDO, YLIA, DPPD, GLNH, DPPF, BTUC, TAUC, TAUB, TAUA, SAPF, SBP, CCMB, SAPD, SAPB, SAPC, PSTS, FHUC, FHUD, MODA, YCFW, MSBA, YCFU, FEPB, FEPD, METQ, FEPC, YHBG, METN, FEPG, DPPB, PROW, DPPC, METI, MGLB, DPPA, PROV, YGIS, SSUA, SSUB, SSUC, FHUB, ARTI, ARTM, MDLB, ARTQ, UGPB, ARTP, CYDC, MPPA, CYDD, MODF, NLPA, FTSE, YADG, FTSX, YBHS, YADT, RBSD, POTG, POTH, POTI, YEJE, YEJF, CYSA, CYSW, YHDZ, YHDY, HISP, YHDX, POTB, YHDW, POTA, CYSP, POTC	862	196	7107	4.374781002888394	2.8691996937649386E-41	4.0988567053784836E-42	2.3398257207668605E-41
KEGG_PATHWAY	ecj03010:Ribosome	54	2.564102564102564	1.4989463387731565E-44	YKGM, RPMI, RPMJ, RPMG, RPMH, RPMB, RPME, RPMF, RPMC, RPMD, RPLY, RPLX, RPLW, RPLV, RPLQ, RPLP, RPLO, RPLN, RPLU, RPLT, RPLS, RPLR, RPLJ, RPLK, RPLL, RPLM, RPLF, RPLI, RPLB, RPLC, RPLD, RPLE, RPLA, RPSU, RPSB, RPSA, RPSD, RPSC, RPSQ, RPSR, RPSS, RPST, RPSM, RPSN, RPSO, RPSP, RPSI, RPSJ, RPSK, RPSL, RPSE, RPSF, RPSG, RPSH	862	57	7107	7.81084381487361	3.1822630772154114E-41	3.977828846519264E-42	2.5951281866145816E-41
