Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
KEGG_PATHWAY	ecd00620:Pyruvate metabolism	9	3.829787234042553	3.2768434307023713E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	41	7107	17.143661216831948	4.1647813382561516E-5	4.1647813382561516E-5	5.3354560358709335E-5
KEGG_PATHWAY	ece00620:Pyruvate metabolism	9	3.829787234042553	4.0063143172250306E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	42	7107	16.735478806907377	5.09189595320203E-5	2.5459803866811903E-5	6.523202328301281E-5
KEGG_PATHWAY	eum00620:Pyruvate metabolism	9	3.829787234042553	4.8715194357221804E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	43	7107	16.34628162535139	6.191509667385908E-5	2.063879151470438E-5	7.931954988382728E-5
KEGG_PATHWAY	eck00620:Pyruvate metabolism	9	3.829787234042553	4.8715194357221804E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	43	7107	16.34628162535139	6.191509667385908E-5	2.063879151470438E-5	7.931954988382728E-5
KEGG_PATHWAY	ect00620:Pyruvate metabolism	9	3.829787234042553	4.8715194357221804E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	43	7107	16.34628162535139	6.191509667385908E-5	2.063879151470438E-5	7.931954988382728E-5
KEGG_PATHWAY	eco00620:Pyruvate metabolism	9	3.829787234042553	5.8929625515236704E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	44	7107	15.974775224775223	7.489675133176554E-5	1.8724713748752286E-5	9.59509875886333E-5
KEGG_PATHWAY	ecj00620:Pyruvate metabolism	9	3.829787234042553	5.8929625515236704E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	44	7107	15.974775224775223	7.489675133176554E-5	1.8724713748752286E-5	9.59509875886333E-5
KEGG_PATHWAY	ecr00620:Pyruvate metabolism	9	3.829787234042553	5.8929625515236704E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	44	7107	15.974775224775223	7.489675133176554E-5	1.8724713748752286E-5	9.59509875886333E-5
KEGG_PATHWAY	eci00620:Pyruvate metabolism	9	3.829787234042553	8.498788402658731E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	46	7107	15.28021978021978	1.0801377132751977E-4	2.1603687684002004E-5	1.383797998633085E-4
KEGG_PATHWAY	ecg00620:Pyruvate metabolism	9	3.829787234042553	8.498788402658731E-8	ACEF, LDHA, PYKF, DLD, MGSA, ADHE, PFLB, PYKA, YBIC	91	46	7107	15.28021978021978	1.0801377132751977E-4	2.1603687684002004E-5	1.383797998633085E-4
