"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",24,22.8571428571429,6.07188491634753e-09,"949122, 948200, 944896, 947254, 945591, 947139, 945780, 944817, 945782, 949058, 947596, 947819, 946725, 947471, 945807, 944769, 947313, 946390, 948260, 945648, 946006, 948434, 945981, 947763",91,1395,21998,4.15890346212927,1.49975444618811e-06,1.49975444618811e-06,7.87297663729092e-06
"2","GOTERM_MF_ALL","GO:0003774~motor activity",5,4.76190476190476,1.93114377230946e-05,"946996, 945648, 945647, 947456, 945639",91,39,21998,30.9918286841364,0.00475861292941304,0.002382143769175,0.0250368610080764
"3","GOTERM_MF_ALL","GO:0005198~structural molecule activity",7,6.66666666666667,3.40298368418679e-05,"946349, 945646, 945648, 945647, 945639, 947534, 947819",91,149,21998,11.356737222509,0.00837028516879712,0.00279791608970303,0.044115061977712
"4","GOTERM_MF_ALL","GO:0016491~oxidoreductase activity",22,20.952380952381,0.00103177813030493,"947161, 948529, 947731, 946756, 947109, 945136, 947736, 947231, 945780, 945782, 946735, 946733, 948432, 945838, 945807, 947631, 946189, 944769, 945557, 945808, 945502, 945947",91,2513,21998,2.11627449351285,0.22506859452044,0.0617559575722284,1.3296048412996
"5","GOTERM_MF_ALL","GO:0008940~nitrate reductase activity",4,3.80952380952381,0.00126602780605833,"945807, 945808, 945780, 945782",91,52,21998,18.5950972104818,0.26868206661025,0.0606633993648665,1.62919008882222
"6","GOTERM_MF_ALL","GO:0016661~oxidoreductase activity, acting on other nitrogenous compounds as donors",4,3.80952380952381,0.00403735071699896,"945807, 945808, 945780, 945782",91,78,21998,12.3967314736546,0.631842387137973,0.153411630978378,5.11033478394086
"7","GOTERM_MF_ALL","GO:0005506~iron ion binding",10,9.52380952380952,0.0110177504620977,"948891, 945931, 947231, 945808, 947836, 945780, 945782, 945981, 946735, 947538",91,896,21998,2.69794937205651,0.935202429338174,0.323570289193449,13.3810937923345
"8","GOTERM_MF_ALL","GO:0051536~iron-sulfur cluster binding",9,8.57142857142857,0.013648462994843,"948891, 946189, 945931, 947231, 947836, 945780, 945782, 945981, 946735",91,771,21998,2.82182409030658,0.966438895976202,0.345771393652601,16.3215409025048
"9","GOTERM_MF_ALL","GO:0051540~metal cluster binding",9,8.57142857142857,0.013648462994843,"948891, 946189, 945931, 947231, 947836, 945780, 945782, 945981, 946735",91,771,21998,2.82182409030658,0.966438895976202,0.345771393652601,16.3215409025048
"10","GOTERM_MF_ALL","GO:0016614~oxidoreductase activity, acting on CH-OH group of donors",6,5.71428571428571,0.0230987317035819,"947109, 947631, 946189, 944769, 946735, 946733",91,395,21998,3.67194324662679,0.996887449975519,0.473428474125701,26.1414165896119
"11","GOTERM_MF_ALL","GO:0004368~glycerol-3-phosphate dehydrogenase activity",2,1.9047619047619,0.0322704447865263,"946735, 946733",91,8,21998,60.4340659340659,0.999697141880675,0.55524184280147,34.6444586483354
"12","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",15,14.2857142857143,0.042117895772628,"946106, 947736, 945931, 947231, 945780, 945782, 946735, 947538, 948891, 944769, 945389, 945808, 947836, 945981, 948423",91,2075,21998,1.74749106315371,0.999975785321209,0.619485866881672,42.7616769203513
"13","GOTERM_MF_ALL","GO:0017111~nucleoside-triphosphatase activity",11,10.4761904761905,0.0489044416289612,"949122, 946106, 944896, 948056, 946996, 945648, 947220, 945647, 947456, 945639, 947763",91,1350,21998,1.96970288970289,0.99999581817438,0.643728983206437,47.8026755543048
"14","GOTERM_MF_ALL","GO:0048038~quinone binding",3,2.85714285714286,0.0567872396351059,"947731, 946756, 945136",91,94,21998,7.71498714051906,0.999999464711541,0.67070610198597,53.1422102754073
"15","GOTERM_MF_ALL","GO:0015103~inorganic anion transmembrane transporter activity",3,2.85714285714286,0.0589361508220534,"945783, 948238, 948237",91,96,21998,7.55425824175824,0.999999695269921,0.657575066319146,54.5077206955373
"16","GOTERM_MF_ALL","GO:0016651~oxidoreductase activity, acting on NADH or NADPH",4,3.80952380952381,0.0589409886221662,"947731, 946756, 945136, 947231",91,216,21998,4.47659747659748,0.999999695656614,0.632245842473765,54.5107529707677
"17","GOTERM_MF_ALL","GO:0046872~metal ion binding",18,17.1428571428571,0.0593620182369657,"946106, 945931, 947736, 947231, 945780, 944817, 945782, 946735, 946725, 947538, 948422, 948891, 944769, 945389, 945808, 947836, 945981, 948423",91,2793,21998,1.55791362236045,0.999999727503943,0.61121454061581,54.7739359424213
"18","GOTERM_MF_ALL","GO:0016462~pyrophosphatase activity",11,10.4761904761905,0.0620503653964046,"949122, 946106, 944896, 948056, 946996, 945648, 947220, 945647, 947456, 945639, 947763",91,1410,21998,1.88588574546021,0.999999865618006,0.605738137222132,56.4215476014321
"19","GOTERM_MF_ALL","GO:0016817~hydrolase activity, acting on acid anhydrides",11,10.4761904761905,0.0738358147080576,"949122, 946106, 944896, 948056, 946996, 945648, 947220, 945647, 947456, 945639, 947763",91,1457,21998,1.82505072141311,0.999999994085313,0.650952044999312,63.0114757251216
