"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",23,9.34959349593496,9.1462279596296e-27,"947096, 947828, 947103, 947816, 947817, 947809, 947800, 947801, 947810, 947802, 947784, 947845, 947793, 948484, 947792, 949000, 946318, 948483, 947846, 948720, 948721, 948723, 947686",213,77,21998,30.8489726236205,3.69507609569036e-24,3.69507609569036e-24,1.27756843217605e-23
"2","GOTERM_MF_ALL","GO:0005515~protein binding",60,24.390243902439,7.30736057791226e-23,"949122, 946957, 949025, 947744, 947165, 948524, 944964, 948978, 947122, 948266, 947573, 946725, 948162, 945742, 947367, 948260, 948494, 947160, 945774, 946778, 947155, 946732, 949058, 945361, 946486, 948484, 948483, 946209, 947096, 948602, 947816, 946883, 947817, 948209, 948242, 946988, 946159, 947313, 945425, 949000, 946096, 945611, 945591, 945950, 944775, 947809, 946132, 945864, 947810, 944989, 945695, 948192, 944769, 948297, 947793, 946323, 947697, 947794, 945097, 947708",213,1395,21998,4.44202130344793,2.95217367347655e-20,1.47608683673828e-20,1.02071074961995e-19
"3","GOTERM_MF_ALL","GO:0019843~rRNA binding",17,6.91056910569106,1.63347524170283e-20,"947096, 947817, 947809, 947800, 947801, 947810, 947802, 947845, 947793, 948484, 947792, 948483, 947846, 948720, 948721, 947686, 948723",213,51,21998,34.4256651017214,6.59923997647945e-18,2.19974665882648e-18,2.28167984960786e-17
"4","GOTERM_MF_ALL","GO:0005198~structural molecule activity",23,9.34959349593496,5.39769300829315e-20,"947096, 947828, 947103, 947816, 947817, 947809, 947800, 947801, 947810, 947802, 947784, 947845, 947793, 948484, 947792, 949000, 946318, 948483, 947846, 948720, 948721, 948723, 947686",213,149,21998,15.942086523616,2.18066797535043e-17,5.45166993837608e-18,7.5396351637096e-17
"5","GOTERM_MF_ALL","GO:0003723~RNA binding",32,13.0081300813008,6.81141737143282e-19,"947744, 947096, 947099, 947816, 947817, 947800, 947801, 947802, 947318, 945425, 947845, 946318, 949000, 947036, 947846, 948720, 948721, 948723, 947686, 945500, 947153, 947809, 948215, 945864, 947810, 947674, 945054, 948297, 947793, 948484, 947792, 948483",213,414,21998,7.98276292213831,2.75181261805886e-16,5.50362523611772e-17,9.51436138540174e-16
"6","GOTERM_MF_ALL","GO:0000049~tRNA binding",8,3.2520325203252,9.115515771892e-09,"947800, 947845, 947816, 948483, 946318, 949000, 947846, 948215",213,29,21998,28.4902056014246,3.68266161354658e-06,6.13777877411792e-07,1.27327840271363e-05
"7","GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",47,19.1056910569106,1.4082916966446e-05,"949122, 947937, 946957, 949025, 2847718, 946741, 944965, 948209, 946723, 948504, 949064, 945153, 948162, 948242, 947761, 947318, 947967, 948260, 945425, 947032, 947153, 945611, 945774, 946891, 947155, 946401, 944775, 946713, 945529, 944797, 944989, 945535, 947674, 946368, 945387, 946189, 945248, 948297, 946705, 946323, 946487, 946209, 945097, 947353, 948423, 946975, 946066",213,2523,21998,1.92390756216517,0.00567338374518256,0.000812460991435837,0.019669581147419
"8","GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",47,19.1056910569106,1.4082916966446e-05,"949122, 947937, 946957, 949025, 2847718, 946741, 944965, 948209, 946723, 948504, 949064, 945153, 948162, 948242, 947761, 947318, 947967, 948260, 945425, 947032, 947153, 945611, 945774, 946891, 947155, 946401, 944775, 946713, 945529, 944797, 944989, 945535, 947674, 946368, 945387, 946189, 945248, 948297, 946705, 946323, 946487, 946209, 945097, 947353, 948423, 946975, 946066",213,2523,21998,1.92390756216517,0.00567338374518256,0.000812460991435837,0.019669581147419
"9","GOTERM_MF_ALL","GO:0001882~nucleoside binding",47,19.1056910569106,2.14598482380051e-05,"949122, 947937, 946957, 949025, 2847718, 946741, 944965, 948209, 946723, 948504, 949064, 945153, 948162, 948242, 947761, 947318, 947967, 948260, 945425, 947032, 947153, 945611, 945774, 946891, 947155, 946401, 944775, 946713, 945529, 944797, 944989, 945535, 947674, 946368, 945387, 946189, 945248, 948297, 946705, 946323, 946487, 946209, 945097, 947353, 948423, 946975, 946066",213,2565,21998,1.89240498219989,0.00863239675698968,0.00108314693686973,0.0299714922527006
"10","GOTERM_MF_ALL","GO:0017076~purine nucleotide binding",48,19.5121951219512,2.93751125785984e-05,"949122, 947937, 946957, 949025, 2847718, 946741, 944965, 948209, 946723, 948504, 949064, 945153, 948162, 948242, 947761, 947318, 947967, 948260, 945425, 947036, 947032, 947153, 945611, 945774, 946891, 947155, 946401, 946713, 944775, 945529, 944797, 944989, 945535, 947674, 946368, 945387, 946189, 945248, 948297, 946705, 946323, 946487, 946209, 945097, 947353, 948423, 946975, 946066",213,2677,21998,1.85181015115722,0.0117975761597596,0.00131776651444937,0.0410240914140769
"11","GOTERM_MF_ALL","GO:0005524~ATP binding",42,17.0731707317073,3.6068296204511e-05,"949122, 947937, 946957, 949025, 946741, 944965, 948209, 946723, 948504, 945153, 948162, 948242, 947761, 947318, 947967, 948260, 945425, 947032, 947153, 945611, 945774, 946891, 947155, 946401, 944775, 945529, 944797, 944989, 945535, 947674, 946368, 945387, 945248, 948297, 946705, 946323, 946487, 946209, 945097, 948423, 946975, 946066",213,2225,21998,1.94949833834467,0.0144661988101548,0.00145612426671382,0.0503693343944067
