"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003774~motor activity",8,7.01754385964912,9.84922541903388e-11,"946687, 945636, 946996, 945648, 945647, 947456, 945639, 945678",82,39,21998,55.0293933708568,2.10773336561942e-08,2.10773336561942e-08,1.24816557089957e-07
"2","GOTERM_MF_ALL","GO:0005515~protein binding",21,18.4210526315789,1.09194672071858e-07,"946871, 944887, 947165, 2847741, 947148, 945636, 946751, 948258, 944987, 948553, 945101, 946724, 946132, 945747, 945887, 946356, 946390, 945648, 948755, 946336, 947006",82,1395,21998,4.03844741673223,2.33673880797314e-05,1.16837622949895e-05,0.000138379411318557
"3","GOTERM_MF_ALL","GO:0005198~structural molecule activity",8,7.01754385964912,1.29838360080409e-06,"946687, 945636, 945646, 945648, 945647, 945639, 947534, 945678",82,149,21998,14.403666721231,0.000277815673040971,9.26138013984668e-05,0.00164539448614942
"4","GOTERM_MF_ALL","GO:0017111~nucleoside-triphosphatase activity",16,14.0350877192982,0.000107421380486276,"948065, 946687, 947148, 945636, 945647, 947456, 946884, 944987, 945678, 947953, 946996, 945364, 945648, 947478, 945639, 946659",82,1350,21998,3.17947606142728,0.0227271671804035,0.00573086812085322,0.13604693871796
"5","GOTERM_MF_ALL","GO:0016462~pyrophosphatase activity",16,14.0350877192982,0.00017356301501029,"948065, 946687, 947148, 945636, 945647, 947456, 946884, 944987, 945678, 947953, 946996, 945364, 945648, 947478, 945639, 946659",82,1410,21998,3.04417920774952,0.0364642705784392,0.0074016139111156,0.219729117369427
"6","GOTERM_MF_ALL","GO:0043169~cation binding",24,21.0526315789474,0.00020123524948694,"946871, 945931, 948234, 945134, 947839, 946256, 944975, 946735, 945101, 946405, 946234, 946724, 946132, 945865, 947493, 946356, 945364, 949072, 946626, 948755, 948763, 945343, 948757, 945394",82,2876,21998,2.23867838122053,0.0421543941579314,0.00715241171394088,0.254720769395478
"7","GOTERM_MF_ALL","GO:0043167~ion binding",24,21.0526315789474,0.000217488448225981,"946871, 945931, 948234, 945134, 947839, 946256, 944975, 946735, 945101, 946405, 946234, 946724, 946132, 945865, 947493, 946356, 945364, 949072, 946626, 948755, 948763, 945343, 948757, 945394",82,2891,21998,2.22706296243177,0.0454808659671534,0.00662759566176419,0.275267735412088
"8","GOTERM_MF_ALL","GO:0016817~hydrolase activity, acting on acid anhydrides",16,14.0350877192982,0.000247868870826674,"948065, 946687, 947148, 945636, 945647, 947456, 946884, 944987, 945678, 947953, 946996, 945364, 945648, 947478, 945639, 946659",82,1457,21998,2.94597987846728,0.0516678922199727,0.00660937553369212,0.313663599047165
"9","GOTERM_MF_ALL","GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",16,14.0350877192982,0.000247868870826674,"948065, 946687, 947148, 945636, 945647, 947456, 946884, 944987, 945678, 947953, 946996, 945364, 945648, 947478, 945639, 946659",82,1457,21998,2.94597987846728,0.0516678922199727,0.00660937553369212,0.313663599047165
"10","GOTERM_MF_ALL","GO:0046872~metal ion binding",23,20.1754385964912,0.000359352106552007,"946871, 945931, 945134, 947839, 946256, 944975, 946735, 946405, 945101, 946234, 946724, 946132, 945865, 947493, 946356, 945364, 949072, 946626, 948755, 948763, 945343, 948757, 945394",82,2793,21998,2.20915529241222,0.0740316011632056,0.00850971579792681,0.454443463462839
"11","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",18,15.7894736842105,0.00127709064160807,"946871, 945931, 945134, 947839, 946256, 944975, 945101, 946735, 946234, 946724, 947493, 946356, 945364, 949072, 948755, 948763, 945343, 948757",82,2075,21998,2.32714663532177,0.239266408131584,0.0269766565585807,1.6064145643843
