"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eco00030:Pentose phosphate pathway",5,13.5135135135135,0.000275101299457707,"946367, 947937, 948041, 946362, 946066",19,30,1571,13.780701754386,0.0052140034379965,0.0052140034379965,0.205988770619236
"2","KEGG_PATHWAY","eco01200:Carbon metabolism",5,13.5135135135135,0.0296053795817917,"946367, 947937, 948041, 946362, 946066",19,107,1571,3.86374815543532,0.435038016422041,0.24836046965453,20.1664399242432
"3","KEGG_PATHWAY","eco00564:Glycerophospholipid metabolism",3,8.10810810810811,0.0419373024541407,"946735, 946725, 946733",19,29,1571,8.5535390199637,0.556917404455835,0.23763743303939,27.4632582812366
"4","KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",5,13.5135135135135,0.285548031164017,"946367, 947937, 948041, 946362, 946066",19,238,1571,1.73706324635117,0.998319309636555,0.79752475763552,91.9534343766047
"5","KEGG_PATHWAY","eco02040:Flagellar assembly",2,5.40540540540541,0.342675180906349,"947280, 945442",19,36,1571,4.59356725146199,0.999654998819813,0.79696817605426,95.6911194524903
"6","KEGG_PATHWAY","eco00630:Glyoxylate and dicarboxylate metabolism",2,5.40540540540541,0.380370054211986,"946367, 947631",19,41,1571,4.03337612323492,0.99988766487587,0.780339182821591,97.2321027353286
"7","KEGG_PATHWAY","eco01100:Metabolic pathways",10,27.027027027027,0.383222046798503,"946367, 947937, 947631, 948041, 944996, 948564, 946362, 948423, 946066, 949131",19,689,1571,1.20006111068673,0.999897092272726,0.730629698478366,97.3261660037088
"8","KEGG_PATHWAY","eco02020:Two-component system",3,8.10810810810811,0.50968281772266,"947280, 945442, 948507",19,146,1571,1.69899062725306,0.999998684577885,0.815972323696478,99.5210379212687
"9","KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",4,10.8108108108108,0.688185117017113,"947937, 946735, 946066, 946733",19,296,1571,1.11735419630156,0.999999999757875,0.914579915600083,99.9838919398784
"10","KEGG_PATHWAY","eco02010:ABC transporters",2,5.40540540540541,0.869272867440359,"944893, 944894",19,167,1571,0.990230066183423,1,0.979054299132421,99.9999761405038
"11","KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",2,5.40540540540541,0.909235003455089,"947937, 946066",19,195,1571,0.84804318488529,1,0.984149576702184,99.9999984505123
"12","KEGG_PATHWAY","eco00052:Galactose metabolism",1,2.7027027027027,1,"949131",19,35,1571,2.36240601503759,1,1,100
"13","KEGG_PATHWAY","eco00330:Arginine and proline metabolism",1,2.7027027027027,1,"944996",19,25,1571,3.30736842105263,1,1,100
"14","KEGG_PATHWAY","eco01502:Vancomycin resistance",1,2.7027027027027,1,"948564",19,8,1571,10.3355263157895,1,1,100
"15","KEGG_PATHWAY","eco00473:D-Alanine metabolism",1,2.7027027027027,1,"948564",19,4,1571,20.6710526315789,1,1,100
"16","KEGG_PATHWAY","eco00500:Starch and sucrose metabolism",1,2.7027027027027,1,"949131",19,34,1571,2.43188854489164,1,1,100
"17","KEGG_PATHWAY","eco03010:Ribosome",1,2.7027027027027,1,"944960",19,78,1571,1.06005398110661,1,1,100
"18","KEGG_PATHWAY","eco00561:Glycerolipid metabolism",1,2.7027027027027,1,"948423",19,12,1571,6.89035087719298,1,1,100
"19","KEGG_PATHWAY","eco00240:Pyrimidine metabolism",1,2.7027027027027,1,"944996",19,63,1571,1.312447786132,1,1,100
