"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",47,11.6049382716049,1.41650741013787e-63,"947096, 947103, 948490, 947816, 947818, 947817, 944960, 947819, 947800, 947801, 947802, 947820, 947803, 944759, 947784, 949000, 947846, 948720, 948721, 946941, 945618, 948723, 947686, 947828, 947874, 947807, 947806, 945657, 947804, 949057, 948216, 947809, 947808, 947810, 945536, 948489, 947797, 947813, 947814, 947811, 947798, 948484, 947793, 947792, 948483, 947795, 947791",349,77,21998,38.4737840955606,7.69163523704864e-61,7.69163523704864e-61,2.06348173433088e-60
"2","GOTERM_MF_ALL","GO:0005198~structural molecule activity",47,11.6049382716049,1.13467793044745e-46,"947096, 947103, 948490, 947816, 947818, 947817, 944960, 947819, 947800, 947801, 947802, 947820, 947803, 944759, 947784, 949000, 947846, 948720, 948721, 946941, 945618, 948723, 947686, 947828, 947874, 947807, 947806, 945657, 947804, 949057, 948216, 947809, 947808, 947810, 945536, 948489, 947797, 947813, 947814, 947811, 947798, 948484, 947793, 947792, 948483, 947795, 947791",349,149,21998,19.8824253379743,6.16130116232966e-44,3.08065058116483e-44,1.65292971082925e-43
"3","GOTERM_MF_ALL","GO:0019843~rRNA binding",33,8.14814814814815,2.04770001897817e-45,"947096, 947818, 947817, 947819, 947800, 947801, 947820, 947802, 947803, 944759, 947846, 948720, 948721, 945618, 948723, 947686, 947807, 947806, 947804, 949057, 947809, 947808, 947810, 947813, 947814, 947811, 947798, 947793, 948484, 947792, 948483, 947795, 947791",349,51,21998,40.785100286533,1.11190111030515e-42,3.70633703435049e-43,2.98296468928404e-42
"4","GOTERM_MF_ALL","GO:0005515~protein binding",100,24.6913580246914,1.79222544333718e-38,"946957, 947165, 948490, 948162, 947334, 947803, 948313, 945440, 946006, 947874, 947155, 946879, 945527, 947357, 948489, 948484, 948483, 948872, 947934, 948486, 945030, 948548, 947816, 947818, 948246, 947817, 947819, 945566, 947820, 947313, 945425, 947386, 946370, 945618, 947219, 946941, 947178, 948195, 944817, 947809, 947810, 944821, 945695, 945807, 947813, 944769, 947814, 947793, 947697, 948427, 947795, 947794, 947911, 945097, 947708, 947372, 947262, 945780, 945081, 948323, 945782, 947121, 946725, 948819, 944753, 945087, 948124, 945250, 947847, 945870, 946731, 945887, 946643, 947776, 947083, 948904, 947096, 948907, 948602, 946223, 948286, 949000, 945993, 944872, 946906, 947763, 948913, 946233, 945657, 947239, 945651, 945864, 944989, 946998, 948157, 946323, 945057, 944866, 949133, 948897",349,1395,21998,4.51838843187397,9.7317841573209e-36,2.43294603933022e-36,2.61080488507249e-35
"5","GOTERM_MF_ALL","GO:0003723~RNA binding",54,13.3333333333333,1.55214765611658e-32,"946262, 948490, 947800, 947801, 947802, 947803, 945637, 947036, 947846, 948720, 948721, 947686, 948723, 945500, 947153, 949057, 945536, 947674, 948484, 946643, 948483, 947096, 947099, 947816, 947818, 947817, 947819, 947820, 947318, 944759, 945067, 945425, 949000, 945618, 947807, 947806, 947804, 947809, 948215, 947808, 946425, 947810, 945864, 947813, 947814, 948855, 947811, 948156, 947798, 947793, 947792, 947795, 947911, 947791",349,414,21998,8.22150242930111,8.42816177271304e-30,1.68563235454261e-30,2.26107418461674e-29
"6","GOTERM_MF_ALL","GO:0046872~metal ion binding",94,23.2098765432099,1.05282240709085e-12,"948690, 946106, 946201, 946765, 947262, 945184, 945780, 948323, 945782, 945181, 948826, 946725, 947538, 948819, 944753, 948313, 945180, 945250, 946178, 946816, 947031, 948076, 947736, 946879, 948963, 947446, 947447, 946735, 947502, 945364, 946643, 945368, 946015, 946162, 945984, 947919, 949104, 949042, 945031, 947149, 948246, 947285, 948504, 946223, 947510, 946979, 946985, 946812, 946838, 946839, 947093, 946906, 946375, 949041, 947719, 949040, 947868, 947178, 945003, 947715, 946233, 2847724, 946663, 947175, 946890, 947426, 944817, 945047, 945193, 948099, 945790, 945194, 947239, 948422, 946045, 946794, 946427, 944821, 946998, 948891, 945284, 948157, 944769, 945389, 945649, 945057, 945511, 948159, 946325, 948899, 947372, 948423, 949130, 948424",349,2793,21998,2.12136152907853,5.71683700378856e-10,9.52806722409605e-11,1.53369539290793e-09
"7","GOTERM_MF_ALL","GO:0043169~cation binding",95,23.4567901234568,2.23591174469271e-12,"948690, 946106, 946201, 946765, 947262, 945184, 945780, 948323, 945782, 945181, 948826, 946725, 947538, 948819, 944753, 948313, 945180, 945250, 946178, 948762, 946816, 947031, 948076, 947736, 946879, 948963, 947446, 947447, 946735, 947502, 945364, 946643, 945368, 946015, 946162, 945984, 947919, 949104, 949042, 945031, 947149, 948246, 947285, 948504, 946223, 947510, 946979, 946985, 946812, 946838, 946839, 947093, 946906, 946375, 949041, 947719, 949040, 947868, 947178, 945003, 947715, 946233, 2847724, 946663, 947175, 946890, 947426, 944817, 945047, 945193, 948099, 945790, 945194, 947239, 948422, 946045, 946794, 946427, 944821, 946998, 948891, 945284, 948157, 944769, 945389, 945649, 945057, 945511, 948159, 946325, 948899, 947372, 948423, 949130, 948424",349,2876,21998,2.0820564218849,1.21408183506588e-09,1.73440262152269e-10,3.25709459403356e-09
"8","GOTERM_MF_ALL","GO:0043167~ion binding",95,23.4567901234568,3.01909601595509e-12,"948690, 946106, 946201, 946765, 947262, 945184, 945780, 948323, 945782, 945181, 948826, 946725, 947538, 948819, 944753, 948313, 945180, 945250, 946178, 948762, 946816, 947031, 948076, 947736, 946879, 948963, 947446, 947447, 946735, 947502, 945364, 946643, 945368, 946015, 946162, 945984, 947919, 949104, 949042, 945031, 947149, 948246, 947285, 948504, 946223, 947510, 946979, 946985, 946812, 946838, 946839, 947093, 946906, 946375, 949041, 947719, 949040, 947868, 947178, 945003, 947715, 946233, 2847724, 946663, 947175, 946890, 947426, 944817, 945047, 945193, 948099, 945790, 945194, 947239, 948422, 946045, 946794, 946427, 944821, 946998, 948891, 945284, 948157, 944769, 945389, 945649, 945057, 945511, 948159, 946325, 948899, 947372, 948423, 949130, 948424",349,2891,21998,2.07125363865132,1.63939328778895e-09,2.04924188729194e-10,4.39810410313157e-09
"9","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",76,18.7654320987654,6.73929220964738e-12,"946106, 946201, 946765, 947262, 945184, 945780, 945782, 948323, 945181, 948826, 947538, 948819, 944753, 948313, 945180, 945250, 946178, 946816, 947031, 948076, 947736, 948963, 947446, 947447, 946735, 947502, 945364, 946643, 945368, 946015, 946162, 945984, 947919, 949104, 949042, 947149, 948246, 948504, 947510, 946812, 946838, 946839, 947093, 946906, 946375, 949040, 947868, 947178, 945003, 947715, 2847724, 946663, 947175, 946890, 947426, 945047, 945193, 948099, 945194, 947239, 946427, 944821, 946998, 948891, 945284, 944769, 945389, 945649, 945057, 945511, 948159, 946325, 948899, 949130, 948423, 948424",349,2075,21998,2.30862429661339,3.65942676161524e-09,4.06602973512804e-10,9.81736913985287e-09
"10","GOTERM_MF_ALL","GO:0000049~tRNA binding",11,2.71604938271605,1.32375971127489e-11,"947800, 947811, 948156, 947816, 946643, 948483, 949000, 947806, 947846, 947791, 948215",349,29,21998,23.9085070645193,7.18803483401587e-09,7.18803461197126e-10,1.92837745771612e-08
"11","GOTERM_MF_ALL","GO:0005488~binding",272,67.1604938271605,3.18576956367652e-11,"946201, 947165, 947881, 948368, 945153, 947369, 945440, 945637, 946006, 948720, 948721, 948722, 947686, 948723, 947153, 947874, 947155, 945527, 945536, 945226, 945535, 947674, 947357, 945364, 948370, 945368, 946015, 944889, 948872, 949104, 945030, 947109, 947104, 948548, 945031, 947101, 948246, 947285, 945566, 944759, 945425, 947386, 946812, 947387, 948101, 945618, 947178, 948555, 947175, 945047, 948253, 945803, 945807, 944769, 948855, 947696, 947798, 947793, 947792, 947697, 947795, 947794, 947372, 945240, 947791, 946106, 946262, 947267, 947262, 945780, 948323, 945782, 947121, 948028, 948124, 945250, 948762, 945258, 946659, 945500, 946116, 947394, 947501, 947502, 947393, 948774, 946643, 947776, 947083, 948904, 946288, 948907, 947096, 946628, 947099, 948602, 947149, 946223, 948504, 946385, 949000, 947093, 946906, 948911, 947763, 948913, 945526, 945003, 946233, 947234, 945657, 948217, 947130, 948215, 945651, 945790, 947239, 946792, 946794, 945284, 948891, 948157, 945389, 945649, 948156, 945511, 948159, 948899, 948897, 946957, 948690, 946765, 948490, 945184, 945181, 948162, 947538, 947800, 947334, 947801, 948318, 947802, 947803, 948313, 945180, 946495, 946178, 947036, 947032, 947031, 948076, 947736, 946879, 948489, 948300, 948484, 948483, 947934, 946162, 948486, 946975, 949042, 947919, 949043, 947816, 944827, 947818, 947817, 947510, 946888, 947819, 947318, 947820, 947313, 946370, 947217, 946375, 949041, 946941, 947219, 945893, 947058, 947719, 946373, 949040, 947715, 2847724, 945291, 947907, 946663, 946890, 946891, 947426, 947807, 944817, 948195, 947806, 947804, 945193, 947809, 945194, 945499, 947808, 948422, 947810, 946045, 944821, 947813, 945695, 947814, 947811, 948427, 947911, 945097, 947708, 948423, 948424, 944965, 945081, 948977, 948826, 946725, 949060, 948819, 945087, 944753, 947847, 947846, 946452, 945870, 946816, 946731, 946584, 948832, 949057, 948963, 947446, 947447, 946735, 945887, 945984, 947457, 948089, 944986, 946979, 945067, 948286, 946199, 946985, 946838, 945993, 946839, 944872, 947868, 946713, 948292, 948099, 946425, 945864, 944989, 946427, 948567, 946998, 946189, 947022, 945057, 946323, 946325, 944866, 948564, 949133, 949130",349,13515,21998,1.2685588654016,1.72987519864165e-08,1.57261381694696e-09,4.64084104478957e-08
"12","GOTERM_MF_ALL","GO:0005506~iron ion binding",44,10.8641975308642,9.71986122182582e-11,"949042, 949104, 947919, 947262, 947149, 945780, 945184, 945782, 945181, 948826, 947510, 947538, 948819, 945250, 945180, 946178, 946838, 946839, 947093, 946816, 947031, 947868, 2847724, 948076, 946890, 947426, 945047, 948963, 947446, 945193, 946735, 947447, 945194, 947239, 946427, 947502, 946998, 948891, 945284, 945649, 945511, 946015, 946325, 945984",349,896,21998,3.09529778960295,5.27788288628983e-08,4.3982358866046e-09,1.41592970681614e-07
"13","GOTERM_MF_ALL","GO:0032553~ribonucleotide binding",72,17.7777777777778,1.06344649302139e-07,"948690, 946957, 946106, 945184, 944965, 948162, 945153, 949060, 947334, 948318, 948819, 944753, 945250, 945440, 947847, 947036, 946006, 946452, 947032, 946659, 947153, 946116, 947155, 946731, 946584, 945535, 947674, 947501, 948370, 946643, 945368, 944889, 946162, 946975, 947919, 945031, 948089, 946223, 948504, 946385, 947318, 945566, 947386, 945425, 947387, 948101, 947217, 946906, 947763, 947219, 949040, 945526, 948555, 947234, 947175, 947426, 946891, 948195, 948292, 948217, 946425, 945803, 946045, 944989, 944821, 948855, 945389, 946323, 945097, 947372, 948897, 948423",349,2385,21998,1.9028382981024,5.77434804261978e-05,4.44192456883208e-06,0.000154916297301355
"14","GOTERM_MF_ALL","GO:0032555~purine ribonucleotide binding",72,17.7777777777778,1.06344649302139e-07,"948690, 946957, 946106, 945184, 944965, 948162, 945153, 949060, 947334, 948318, 948819, 944753, 945250, 945440, 947847, 947036, 946006, 946452, 947032, 946659, 947153, 946116, 947155, 946731, 946584, 945535, 947674, 947501, 948370, 946643, 945368, 944889, 946162, 946975, 947919, 945031, 948089, 946223, 948504, 946385, 947318, 945566, 947386, 945425, 947387, 948101, 947217, 946906, 947763, 947219, 949040, 945526, 948555, 947234, 947175, 947426, 946891, 948195, 948292, 948217, 946425, 945803, 946045, 944989, 944821, 948855, 945389, 946323, 945097, 947372, 948897, 948423",349,2385,21998,1.9028382981024,5.77434804261978e-05,4.44192456883208e-06,0.000154916297301355
"15","GOTERM_MF_ALL","GO:0005524~ATP binding",67,16.5432098765432,3.80569020437404e-07,"948690, 946957, 946106, 945184, 944965, 948162, 945153, 949060, 947334, 948318, 948819, 944753, 945250, 945440, 946006, 946452, 947032, 946659, 947153, 946116, 947155, 946731, 946584, 945535, 947674, 947501, 948370, 946643, 945368, 944889, 946162, 946975, 945031, 948089, 946223, 948504, 946385, 947318, 945566, 947386, 945425, 947387, 948101, 947217, 946906, 947763, 947219, 945526, 948555, 947234, 947175, 947426, 946891, 948195, 948292, 948217, 946425, 945803, 946045, 944989, 944821, 948855, 945389, 946323, 945097, 947372, 948423",349,2225,21998,1.89802775184315,0.00020662766696633,1.47605351624724e-05,0.000554388342255407
