"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",113,20.2872531418312,3.38759546185351e-39,"949122, 7157027, 949120, 947165, 7153893, 7149960, 7150260, 7155680, 948667, 7150665, 948266, 945742, 7153029, 947685, 947367, 947682, 945837, 7158244, 948260, 7151512, 914863, 7151231, 7872173, 7156553, 944878, 7159022, 947160, 7157017, 948670, 7157298, 7150103, 944893, 7152627, 7157518, 917039, 949116, 7149951, 7157014, 914214, 7150654, 7155575, 916021, 948874, 947357, 7151100, 946209, 948734, 7159674, 7150509, 7155055, 7155667, 7152355, 7151778, 948648, 915205, 945764, 7159520, 948242, 915983, 7158126, 7156812, 948104, 7159147, 945566, 7153355, 913327, 7154503, 7150651, 7150652, 7151638, 7157535, 7159665, 7157537, 7158950, 914742, 1238730, 945611, 915973, 7158671, 915871, 915974, 945950, 7154505, 945753, 948658, 7156158, 7152244, 7158279, 945747, 916048, 7157404, 7159135, 7156013, 947793, 7158132, 7153878, 7150782, 945413, 7149531, 947372, 945550, 7151565, 7159544, 946260, 912875, 947122, 947121, 7156123, 7158384, 7159128, 7158970, 7154421, 7149727, 7158971, 7151135, 7152327, 948121, 7157810, 7158975, 7153481, 7156444, 946255, 945774, 7154978, 7152909, 947087, 946259, 945675, 7155429, 7151948, 7150997, 7156037, 916936, 3654531, 7151753, 7158963, 948035, 947096, 946910, 7153492, 948602, 7156435, 946382, 4397526, 7158566, 7158165, 7153040, 7156537, 7159004, 947669, 914562, 7153046, 949000, 7156041, 914561, 7153184, 945524, 947763, 7152011, 7155564, 7152929, 7156118, 946135, 945795, 7152703, 7150296, 7150297, 948514, 7152411, 7156257, 916412, 7152922, 948218, 7151365, 7152924, 945101, 7158578, 916516, 7151361, 946132, 7153177, 945648, 946390, 914181, 7155556, 7158773, 916109, 7151528, 7159603, 7150853, 7153423, 7159601, 947744, 7157746, 7158740, 7159470, 913959, 948162, 7152048, 7011602, 7157198, 944811, 7150195, 7157887, 947942, 7153949, 7157098, 7154441, 7153410, 946778, 7152057, 7150963, 7158341, 7154056, 7154577, 7158449, 7151810, 7158343, 948484, 7157224, 7157729, 7155822, 7155823, 7152575, 7153404, 914128, 947043, 913857, 7156727, 7152572, 7155826, 917113, 7152538, 7156096, 7151409, 7157721, 7157071, 7153081, 7157623, 7150978, 7151973, 7157626, 7159453, 7153684, 7152822, 7154063, 947055, 7157333, 7158004, 7151567, 7155839, 7157488, 946946, 946751, 7151980, 7158009, 7158008, 944812, 947809, 947810, 7154125, 7157200, 7154919, 945695, 914950, 947812, 7154075, 947913, 7157084, 7157340, 947320, 7155981, 948426, 7158326, 947708, 915575, 7158115, 944964, 7157641, 917711, 7150810, 7150813, 7156787, 947572, 947573, 7156591, 7157459, 914819, 7153901, 7157986, 7156395, 945087, 7153900, 7153906, 7150517, 7152142, 7157989, 7152986, 7152286, 1238762, 7158506, 7152468, 7150827, 7152670, 7157829, 7152675, 7157632, 946732, 7151095, 947580, 917706, 7157067, 7156386, 7157365, 945077, 948443, 7153449, 945988, 7152473, 7156992, 945600, 1450233, 7154377, 7153216, 7155352, 944987, 7153444, 7155923, 947962, 7152168, 7152487, 7159494, 7150130, 946333, 946334, 7150734, 915896, 946096, 7152581, 7152698, 916826, 7153222, 945591, 7152692, 916098, 948987, 7153627, 7157757, 945716, 7158044, 944989, 7152493, 7157381, 945864, 7152490, 7159202, 7152279, 946323, 7152591, 914101, 7150211, 949133",433,1395,21998,4.11528139925667,2.00206891795542e-36,2.00206891795542e-36,4.99287311030886e-36
"2","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",20,3.59066427289048,4.21765906560258e-16,"7152718, 7157744, 7157746, 915536, 7157784, 915967, 7152895, 944960, 7152719, 945152, 917282, 914819, 7158970, 947801, 7153900, 7157986, 947784, 912729, 914816, 947845, 7152721, 946318, 7152720, 7157213, 7152286, 948720, 948721, 947686, 947828, 7152723, 7157773, 7152675, 7157777, 7157774, 7157775, 915954, 7152157, 7157972, 948484, 7157729, 7152730, 7157523, 915985, 947096, 7152637, 947103, 7157435, 915981, 915983, 7159146, 913982, 916113, 949000, 915976, 7152702, 915973, 7152703, 915974, 7152692, 7152690, 7157757, 947809, 916047, 947810, 916048, 913978, 947811, 914950, 7157695, 947793, 7154074, 7157340, 7150211, 947791",433,77,21998,13.195764974056,2.62456723021387e-13,1.31228361510694e-13,6.55031584528842e-13
"3","GOTERM_MF_ALL","GO:0005198~structural molecule activity",24,4.30879712746858,1.97631776427797e-14,"7152718, 7157744, 7157746, 915536, 7157784, 915967, 7152895, 947534, 944960, 7152719, 945152, 917282, 914819, 7158970, 947801, 7153900, 7157986, 912868, 947784, 912729, 914816, 947845, 7152721, 946318, 7152720, 7157213, 945639, 7152286, 948720, 914033, 948721, 947686, 949014, 947828, 7152723, 7157773, 7152675, 7157777, 7157774, 7157775, 915954, 7156957, 7156384, 7152157, 7156386, 7157972, 913952, 7156381, 948484, 7157729, 7152730, 7157523, 915985, 947096, 7152637, 947103, 7151355, 7151357, 7157435, 915981, 915983, 7159146, 913982, 7152779, 7156954, 916113, 949000, 7158003, 915976, 7152702, 915973, 7152703, 915974, 7152692, 7152690, 7157757, 947809, 7151361, 916047, 947810, 916048, 913978, 947811, 945648, 7151359, 914950, 7157695, 947793, 7154074, 7157340, 914101, 7150211, 947791",433,149,21998,8.18314552753538,1.16793241744517e-11,3.89310805815057e-12,2.91211499359179e-11
"4","GOTERM_MF_ALL","GO:0003723~RNA binding",35,6.28366247755835,2.24715381803385e-12,"7157744, 947744, 7157746, 915536, 7150364, 7155787, 945152, 947801, 915363, 947682, 912729, 914863, 945637, 947036, 7157213, 7154609, 948720, 947688, 948721, 7157686, 947686, 947296, 947672, 7155472, 7158250, 7157290, 7157729, 948484, 7157523, 7152736, 7151778, 7152972, 915981, 915983, 7150649, 7156812, 913982, 7159147, 947055, 915976, 915973, 7150779, 915974, 7157711, 7155644, 7150453, 947809, 947810, 916048, 7152238, 913978, 947811, 914950, 7153670, 7154075, 947793, 7157340, 947791, 7157790, 7151565, 7152718, 946262, 913250, 7155748, 7157645, 7157784, 915967, 917713, 7152895, 7156591, 7149514, 7152719, 914819, 7158970, 7153901, 7153900, 7157986, 7158971, 7153906, 7153278, 947845, 946318, 7152720, 7152286, 7158975, 945500, 7152981, 7157773, 7152723, 7152675, 947087, 7157777, 7157774, 915954, 7152157, 7157066, 7157972, 7153917, 7152730, 947096, 7153442, 7157435, 946225, 913455, 7150739, 945067, 7158765, 916113, 949000, 7152702, 7152703, 7152692, 7152690, 916098, 7157756, 7157757, 914806, 7152595, 945864, 914890, 945054, 7158987, 914571, 7150211",433,414,21998,4.29499838225614,1.32809663266897e-09,3.32024185922819e-10,3.31208394044324e-09
"5","GOTERM_MF_ALL","GO:0019843~rRNA binding",13,2.33393177737881,2.24566176513221e-10,"7152718, 7157744, 7157746, 7157784, 915967, 7152895, 945152, 7152719, 914819, 7158970, 947801, 7153900, 912729, 947845, 7152720, 7152286, 948720, 948721, 947686, 7157773, 7152723, 7152675, 7157777, 7157774, 915954, 7157972, 7157729, 948484, 7152730, 7157523, 947096, 7157435, 915981, 915983, 913982, 916113, 915976, 915973, 7152702, 915974, 7152703, 7152692, 7152690, 7157757, 947809, 947810, 913978, 947811, 914950, 947793, 7157340, 947791",433,51,21998,12.949961508853,1.32718582013247e-07,2.6543717779326e-08,3.30981153595644e-07
"6","GOTERM_MF_ALL","GO:0043169~cation binding",79,14.1831238779174,0.00181099740291071,"7157027, 7158546, 7151910, 7159502, 7153893, 7152370, 7150260, 946417, 7159229, 947367, 915050, 945837, 7151514, 7156553, 947160, 7156918, 7158556, 7157298, 7157299, 7150103, 7157518, 7156539, 948728, 7158552, 915062, 7149752, 7157424, 916022, 945824, 946209, 915713, 912498, 7156170, 7159347, 7156140, 7158949, 915205, 7151206, 7159520, 7153773, 948104, 7159148, 7156001, 7156572, 7156006, 946812, 7157539, 7158950, 7157131, 945611, 7158533, 7159338, 7151117, 945752, 7158676, 7152245, 7154312, 7152244, 7158903, 7149539, 7158088, 945808, 7149532, 7153878, 7153877, 945343, 947372, 916758, 7158133, 7156568, 945787, 7153470, 2847752, 7153479, 947122, 7154421, 7149727, 7149720, 7153274, 948763, 7153994, 7157810, 915608, 7151949, 947253, 946115, 7149991, 946256, 7155429, 7153286, 7151753, 948139, 946646, 7158963, 945769, 7158564, 7150688, 7159388, 7159562, 7156106, 7156432, 7151543, 7151541, 7152912, 948504, 7158160, 948507, 7159004, 7153047, 7150693, 7152015, 948910, 7159103, 7156046, 7154033, 946135, 7155692, 7150296, 7150297, 916412, 915049, 7152413, 945910, 7155699, 945101, 7152602, 946132, 946794, 948892, 914181, 947752, 7151528, 7155612, 7151429, 7154458, 946768, 7154359, 7159578, 7154253, 7154157, 7157885, 944919, 948413, 947941, 7155996, 947927, 948076, 7158857, 4364200, 7158027, 917763, 7158758, 915913, 7151810, 7152938, 7152191, 7154244, 914559, 7151081, 7150585, 7156096, 7151083, 7157479, 7150976, 7158019, 944824, 7151024, 7159450, 7154271, 7150840, 7153682, 946663, 7151980, 7157612, 915560, 7150985, 7153076, 946899, 7153576, 7154596, 7152818, 948422, 7154264, 946368, 7154919, 7158729, 7154076, 948426, 948423, 948424, 7159066, 7158802, 7152081, 7150811, 7156787, 947594, 7155854, 948453, 7157250, 7157638, 946732, 7151202, 947446, 946729, 7156998, 7156993, 7153449, 7155762, 945602, 948584, 7152473, 7159327, 913556, 7159693, 7153829, 7153440, 944980, 913457, 948088, 915692, 7157968, 946331, 7152588, 946333, 947868, 7153334, 7152698, 916826, 7150552, 944996, 7158044, 7157586, 945865, 7158424, 946326, 949130, 949131",433,2876,21998,1.39551179306645,0.657426755496748,0.163513556801284,2.63622205051485
"7","GOTERM_MF_ALL","GO:0043167~ion binding",79,14.1831238779174,0.00206671547645786,"7157027, 7158546, 7151910, 7159502, 7153893, 7152370, 7150260, 946417, 7159229, 947367, 915050, 945837, 7151514, 7156553, 947160, 7156918, 7158556, 7157298, 7157299, 7150103, 7157518, 7156539, 948728, 7158552, 915062, 7149752, 7157424, 916022, 945824, 946209, 915713, 912498, 7156170, 7159347, 7156140, 7158949, 915205, 7151206, 7159520, 7153773, 948104, 7159148, 7156001, 7156572, 7156006, 946812, 7157539, 7158950, 7157131, 945611, 7158533, 7159338, 7151117, 945752, 7158676, 7152245, 7154312, 7152244, 7158903, 7149539, 7158088, 945808, 7149532, 7153878, 7153877, 945343, 947372, 916758, 7158133, 7156568, 945787, 7153470, 2847752, 7153479, 947122, 7154421, 7149727, 7149720, 7153274, 948763, 7153994, 7157810, 915608, 7151949, 947253, 946115, 7149991, 946256, 7155429, 7153286, 7151753, 948139, 946646, 7158963, 945769, 7158564, 7150688, 7159388, 7159562, 7156106, 7156432, 7151543, 7151541, 7152912, 948504, 7158160, 948507, 7159004, 7153047, 7150693, 7152015, 948910, 7159103, 7156046, 7154033, 946135, 7155692, 7150296, 7150297, 916412, 915049, 7152413, 945910, 7155699, 945101, 7152602, 946132, 946794, 948892, 914181, 947752, 7151528, 7155612, 7151429, 7154458, 946768, 7154359, 7159578, 7154253, 7154157, 7157885, 944919, 948413, 947941, 7155996, 947927, 948076, 7158857, 4364200, 7158027, 917763, 7158758, 915913, 7151810, 7152938, 7152191, 7154244, 914559, 7151081, 7150585, 7156096, 7151083, 7157479, 7150976, 7158019, 944824, 7151024, 7159450, 7154271, 7150840, 7153682, 946663, 7151980, 7157612, 915560, 7150985, 7153076, 946899, 7153576, 7154596, 7152818, 948422, 7154264, 946368, 7154919, 7158729, 7154076, 948426, 948423, 948424, 7159066, 7158802, 7152081, 7150811, 7156787, 947594, 7155854, 948453, 7157250, 7157638, 946732, 7151202, 947446, 946729, 7156998, 7156993, 7153449, 7155762, 945602, 948584, 7152473, 7159327, 913556, 7159693, 7153829, 7153440, 944980, 913457, 948088, 915692, 7157968, 946331, 7152588, 946333, 947868, 7153334, 7152698, 916826, 7150552, 944996, 7158044, 7157586, 945865, 7158424, 946326, 949130, 949131",433,2891,21998,1.38827115768216,0.705563748044304,0.16026624394814,3.00320081415736
"8","GOTERM_MF_ALL","GO:0005488~binding",295,52.9622980251346,0.00229854984564712,"949122, 949120, 7153893, 7149960, 7155680, 948667, 948266, 948865, 915363, 7158244, 945837, 948260, 7151613, 7156918, 948670, 7157518, 949116, 7149951, 7157116, 947296, 7155472, 7149752, 945226, 7158250, 948874, 915356, 945824, 7156920, 7157523, 7151607, 7155665, 7155055, 7155667, 948648, 945038, 948245, 947286, 7153600, 948242, 7156001, 947280, 7156006, 7157535, 7151638, 7157537, 7157539, 914742, 7157131, 915871, 948658, 7158279, 7158903, 7158901, 945248, 7156013, 945808, 7153878, 7153877, 7158483, 7157805, 7157804, 947263, 912875, 915128, 7149727, 7158284, 7149720, 7154997, 7154190, 7157810, 7158492, 915608, 947253, 948638, 7154978, 948637, 7149991, 7155042, 7155429, 7156037, 948035, 915843, 948602, 7156242, 946382, 7156041, 7154976, 7156046, 7155692, 7156257, 948218, 7155699, 7156941, 948892, 7155413, 946390, 948010, 948898, 7150853, 7153423, 7156720, 7154359, 946867, 913959, 7152048, 7159578, 7154157, 914033, 7156718, 948076, 7153410, 7152057, 7152938, 7154141, 7154142, 7153404, 948070, 948071, 7156727, 914559, 917113, 7153679, 7151188, 7156702, 948041, 7152027, 946884, 7152972, 913982, 7153684, 7150840, 7153682, 946151, 7157333, 7154130, 7157330, 913187, 7152961, 946899, 7156214, 7154125, 7154919, 913978, 7153670, 914950, 7157340, 7152081, 7150811, 7150810, 7150813, 7149514, 7152988, 7152986, 7152286, 7152981, 7150827, 7153450, 917706, 7153105, 7153654, 7157365, 7153449, 7153650, 945602, 945600, 7153860, 7154377, 7153829, 7152066, 7153827, 7153442, 7153440, 948088, 946192, 7153444, 7157376, 916826, 7153627, 7157586, 7152070, 7157381, 946189, 7159202, 914300, 7152279, 949133, 7152276, 949130, 949131, 7159502, 7158649, 7150260, 7152370, 7150665, 946417, 7159229, 7153029, 7153027, 7151231, 945442, 945637, 7159022, 7152367, 946401, 7159219, 7159218, 914214, 7150654, 7153388, 7152771, 946209, 7152355, 7152736, 7151206, 7159520, 7150649, 7153355, 7150651, 7149546, 7150652, 945427, 946812, 945421, 7159049, 1238730, 7158671, 945611, 7158676, 7158679, 7151216, 7149539, 7152751, 947793, 7149532, 7149531, 945413, 916758, 947791, 7157790, 7152718, 7159544, 7152713, 7159263, 7152719, 7154421, 7152327, 947782, 7152720, 7151276, 7156444, 7156639, 946255, 7152723, 7152909, 7152322, 945675, 946259, 7158696, 946256, 7152730, 946646, 7150688, 945661, 7159562, 7150689, 7156432, 7156435, 7151455, 7152912, 4397526, 7152913, 946225, 7152112, 7153040, 916113, 7159004, 7150691, 7153046, 7153047, 7153044, 7150693, 947763, 7156633, 7152929, 7152702, 7152703, 916511, 7152920, 7150296, 7150297, 7152922, 7152923, 7152924, 916516, 945648, 947752, 916109, 7151429, 7157744, 947744, 7157746, 915536, 7158844, 7156880, 7151045, 7157198, 947941, 947942, 7151809, 7155996, 947927, 7158856, 7158857, 7156067, 7158449, 7151810, 7151811, 948300, 7157729, 7152575, 7152572, 7152538, 7156096, 7151409, 7157721, 7153081, 7151024, 947921, 7152546, 947907, 945495, 946663, 7157711, 7157710, 915560, 7153076, 7150453, 7155700, 7155702, 945695, 947913, 947320, 7155981, 947708, 915575, 7155748, 7159066, 7157784, 7158802, 7155946, 947572, 947573, 7157986, 945871, 7155954, 7157989, 1238762, 7157773, 7157777, 7157774, 7151202, 947580, 7157972, 2847698, 7155762, 7157162, 948584, 7152579, 913457, 7155923, 913455, 7157968, 7152779, 947967, 947962, 7152588, 7158434, 7158438, 7152581, 7152794, 7149784, 7157756, 7157757, 945865, 7152595, 945864, 7158424, 948564, 7152591, 7150211, 7152590, 7157027, 947165, 7151522, 7155787, 945152, 945153, 947367, 915050, 912729, 7151514, 914863, 7151512, 7158932, 948720, 7154609, 948721, 947160, 945938, 7157017, 7150103, 7156177, 948728, 7153762, 7152380, 7157014, 7155575, 915062, 7157424, 947357, 7155577, 7151507, 915713, 948734, 7156170, 7150509, 7156140, 945135, 7158949, 7151778, 915205, 947101, 915981, 7153772, 7153773, 915983, 7158126, 7156812, 948104, 948381, 947384, 7158950, 915976, 915973, 7156156, 915974, 945950, 7156158, 7157404, 7155593, 7158132, 947372, 945343, 7158133, 7151565, 946262, 946260, 915967, 947122, 7156123, 947121, 7158384, 7158189, 7158970, 7158971, 7154853, 948121, 948763, 7153994, 7158975, 948336, 7155147, 915954, 7156133, 7151753, 948139, 7158963, 948138, 7156106, 7151543, 7151541, 948504, 7158160, 7154673, 948507, 7158165, 949007, 945376, 949000, 948910, 7155564, 7156118, 7154033, 948514, 945910, 7156112, 915049, 7158377, 945101, 7154859, 945906, 914890, 946794, 948158, 7158981, 7154862, 7158177, 7158980, 914181, 7155556, 7158987, 7151528, 949024, 7154458, 946768, 7159470, 915916, 948162, 946761, 7011602, 944811, 7154253, 7150195, 7157213, 7153949, 7154441, 946775, 949014, 949011, 946778, 948179, 4364200, 915905, 7150963, 7154056, 915913, 7153552, 7153555, 7157222, 7152191, 7154244, 7157224, 914128, 913857, 946975, 949043, 7151081, 7151083, 7157479, 7151089, 7150976, 7150978, 7151973, 944824, 7159450, 7159451, 7159453, 7154271, 7152822, 7154063, 7151567, 7157488, 946751, 946946, 7151980, 7150985, 944812, 7153576, 7152818, 7154264, 7157200, 7153573, 948193, 7154075, 7154076, 7153977, 913250, 945314, 7152895, 946723, 947594, 7157459, 914819, 7153901, 7153900, 7153906, 7152142, 914817, 7157250, 944855, 946078, 7157464, 7151095, 946732, 7153911, 7152157, 949052, 946729, 7154202, 7153917, 7159327, 7150720, 7159693, 7153345, 7153216, 7153341, 7159697, 7155352, 7157435, 7152166, 7150739, 7152168, 7152169, 7154233, 7159494, 946099, 7150130, 7150734, 946096, 945305, 7153334, 7153222, 7153525, 916098, 948987, 945716, 914806, 7159305, 946088, 914101, 7158546, 7151910, 7152230, 947881, 7152237, 7150364, 945742, 947685, 912482, 947682, 7872173, 7156553, 947688, 944878, 947686, 7157686, 7158556, 7157298, 7157299, 944893, 7152627, 917039, 917038, 7156539, 945529, 7158552, 947672, 916021, 945535, 916022, 947673, 7157290, 7151100, 7156547, 912498, 7159674, 7157282, 7159347, 945764, 945566, 7159147, 7159148, 913327, 7154503, 7156572, 7159665, 7151110, 7159660, 7150779, 7159338, 7158533, 914334, 7151117, 7154505, 945752, 945753, 7152245, 7154312, 7152244, 945749, 945748, 945747, 7159135, 916048, 7152238, 7158088, 7159655, 7150782, 7153269, 945550, 7156568, 945787, 7153470, 2847752, 7153479, 7151956, 7159128, 7151133, 7151135, 7153278, 7153274, 7153272, 945504, 945500, 7153481, 7151949, 946115, 945774, 947087, 7151948, 7156302, 7150997, 7153286, 7151147, 916936, 3654531, 945769, 7158564, 7159388, 947096, 946128, 946910, 7153492, 7158566, 7156532, 7151940, 7153298, 7159105, 7151154, 7158765, 7156537, 947669, 914562, 914561, 7152015, 7153184, 7159103, 945524, 7152011, 946135, 945795, 7152609, 7151368, 7152411, 7151366, 916412, 7152413, 7151923, 7151365, 7152602, 7158578, 7151361, 946132, 7153177, 7158773, 914571, 7154558, 7152001, 7159603, 7155612, 7159601, 7158740, 2716486, 7158745, 7152418, 947801, 7157885, 7154563, 944919, 7157887, 948413, 947036, 947032, 7157098, 7150559, 917760, 7158027, 917763, 7158758, 7158341, 7154577, 7158343, 7157874, 948484, 7155822, 7155823, 947204, 947043, 7155826, 7150585, 7157071, 7157623, 7158019, 7157626, 947051, 947055, 946373, 7158004, 915529, 7158003, 7158000, 7155839, 7155644, 7157612, 7158009, 7158008, 947809, 7158005, 7154596, 948422, 947810, 946368, 947220, 7158729, 947811, 947812, 947227, 7157084, 948426, 7158326, 948423, 948424, 7157645, 7158113, 7158115, 917713, 944964, 7157640, 7157641, 917711, 7158077, 7156787, 7156591, 945087, 7156395, 7155854, 7156984, 7156393, 7150517, 948453, 7158073, 947845, 946318, 946315, 7158506, 7152468, 7157638, 7152670, 7157829, 7152675, 7157632, 7158107, 947446, 7156998, 7157067, 7156386, 947000, 7157066, 945077, 948443, 7156993, 945988, 7158511, 7152473, 7156992, 1450233, 913556, 947451, 944980, 944987, 917734, 915692, 7157663, 945067, 946331, 7152487, 946333, 946334, 915896, 947868, 7152698, 945591, 7152692, 7150552, 7152690, 947466, 7158043, 944996, 7158044, 944989, 7152493, 7152490, 7157047, 945054, 946323, 7156184, 946326, 7157857, 946327",433,13515,21998,1.10892268363182,0.743340911792833,0.156335877286429,3.33478954620737
"9","GOTERM_MF_ALL","GO:0000049~tRNA binding",5,0.897666068222621,0.00236110856657477,"7157744, 7152723, 7157773, 915536, 915967, 7157777, 7152690, 915954, 915981, 7152719, 7152157, 7157986, 916048, 947811, 947845, 949000, 946318, 7157213, 7150211, 947791",433,29,21998,8.75925778450267,0.752678241442476,0.143781311463585,3.42408500878393
"10","GOTERM_MF_ALL","GO:0004364~glutathione transferase activity",5,0.897666068222621,0.00236110856657477,"7153833, 946763, 7154377, 7154537, 7158525, 7158667, 7159470, 7152360, 947615, 7158907, 7152035, 7159633, 946926",433,29,21998,8.75925778450267,0.752678241442476,0.143781311463585,3.42408500878393
