"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",13,19.4029850746269,0.000114714837429506,"7156860, 7151640, 947887, 948698, 916502, 7157623, 915205, 7157100, 7156787, 917482, 948266, 7157626, 948260, 7157880, 944877, 7156041, 7152659, 7152515, 7155755, 7158950, 7157714, 945611, 913906, 945591, 7151567, 7152050, 945300, 945105, 916412, 7157563, 948512, 7152791, 7151849, 947294, 7156666, 914181, 7157854, 7153283, 7150429, 7153878, 7152813, 7151753, 7152575, 947372, 7152572, 947004",55,1395,21998,3.72725969371131,0.0220101184163894,0.0220101184163894,0.142971717736451
"2","GOTERM_MF_ALL","GO:0005524~ATP binding",16,23.8805970149254,0.000214117552276578,"7158845, 914533, 949027, 947887, 7153479, 7157640, 7156787, 7152147, 948260, 946007, 915721, 7152515, 7155755, 7149665, 7153190, 7159211, 7157563, 7157117, 947294, 7158617, 7158340, 7158257, 945530, 7153283, 7150429, 7151753, 7158490, 7152572, 7158564, 7152067, 913558, 7159346, 948089, 915205, 7157623, 916502, 947286, 7151970, 7154134, 948572, 7158950, 948056, 945611, 916511, 949036, 945105, 916412, 7152791, 7150395, 914181, 7157854, 7149533, 7153878, 947372, 7157203, 7152590",55,2225,21998,2.87614300306435,0.0406921583734465,0.0205573821675139,0.266707513604303
"3","GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",16,23.8805970149254,0.000220578263074555,"7158845, 914533, 949027, 947887, 7153479, 7157640, 7156787, 7152147, 948260, 946007, 915721, 7152515, 7155755, 7149665, 7153190, 7159211, 7157563, 7157117, 947294, 7158617, 7158340, 7158257, 945530, 7153283, 7150429, 7151753, 7158490, 7152572, 7158564, 7152067, 913558, 7159346, 948089, 915205, 7157623, 916502, 947286, 7151970, 7154134, 948572, 7158950, 948056, 945611, 916511, 949036, 945105, 916412, 7152791, 7150395, 914181, 7157854, 7149533, 7153878, 947372, 7157203, 7152590",55,2231,21998,2.86840797033536,0.0418940414789915,0.0141643623936294,0.274744877558841
"4","GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",17,25.3731343283582,0.000251640411746635,"7158845, 914533, 949027, 947887, 7153479, 7157640, 7156787, 7152147, 948260, 946007, 915721, 7152515, 7155755, 7149665, 7153190, 7159211, 7157563, 7157117, 947294, 7158617, 7158340, 7158257, 945530, 7153283, 7150429, 7151753, 7158490, 7152572, 7158564, 7152067, 913558, 7159346, 916502, 948089, 915205, 7157623, 7156807, 947286, 7151970, 7154134, 948182, 948572, 7158950, 948056, 945611, 916511, 949036, 945105, 916412, 7152791, 7150395, 7151773, 914181, 7157854, 7149533, 7153878, 947372, 7157203, 7152590",55,2523,21998,2.69495910352034,0.0476516366434033,0.0121319035927464,0.313379025594263
"5","GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",17,25.3731343283582,0.000251640411746635,"7158845, 914533, 949027, 947887, 7153479, 7157640, 7156787, 7152147, 948260, 946007, 915721, 7152515, 7155755, 7149665, 7153190, 7159211, 7157563, 7157117, 947294, 7158617, 7158340, 7158257, 945530, 7153283, 7150429, 7151753, 7158490, 7152572, 7158564, 7152067, 913558, 7159346, 916502, 948089, 915205, 7157623, 7156807, 947286, 7151970, 7154134, 948182, 948572, 7158950, 948056, 945611, 916511, 949036, 945105, 916412, 7152791, 7150395, 7151773, 914181, 7157854, 7149533, 7153878, 947372, 7157203, 7152590",55,2523,21998,2.69495910352034,0.0476516366434033,0.0121319035927464,0.313379025594263
"6","GOTERM_MF_ALL","GO:0001882~nucleoside binding",17,25.3731343283582,0.000304275421264889,"7158845, 914533, 949027, 947887, 7153479, 7157640, 7156787, 7152147, 948260, 946007, 915721, 7152515, 7155755, 7149665, 7153190, 7159211, 7157563, 7157117, 947294, 7158617, 7158340, 7158257, 945530, 7153283, 7150429, 7151753, 7158490, 7152572, 7158564, 7152067, 913558, 7159346, 916502, 948089, 915205, 7157623, 7156807, 947286, 7151970, 7154134, 948182, 948572, 7158950, 948056, 945611, 916511, 949036, 945105, 916412, 7152791, 7150395, 7151773, 914181, 7157854, 7149533, 7153878, 947372, 7157203, 7152590",55,2565,21998,2.65083111819954,0.0573294434267098,0.0117382457089898,0.378813408784384
"7","GOTERM_MF_ALL","GO:0032553~ribonucleotide binding",16,23.8805970149254,0.00045611360715059,"7158845, 914533, 949027, 947887, 7153479, 7157640, 7156787, 7152147, 948260, 946007, 915721, 7152515, 7155755, 7149665, 7153190, 7159211, 7157563, 7157117, 947294, 7158617, 7158340, 7158257, 945530, 7153283, 7150429, 7151753, 7158490, 7152572, 7158564, 7152067, 913558, 7159346, 948089, 915205, 7157623, 916502, 947286, 7151970, 7154134, 948572, 7158950, 948056, 945611, 916511, 949036, 945105, 916412, 7152791, 7150395, 914181, 7157854, 7149533, 7153878, 947372, 7157203, 7152590",55,2385,21998,2.68319420621307,0.0847025877119134,0.0146427740596504,0.567353125109482
"8","GOTERM_MF_ALL","GO:0032555~purine ribonucleotide binding",16,23.8805970149254,0.00045611360715059,"7158845, 914533, 949027, 947887, 7153479, 7157640, 7156787, 7152147, 948260, 946007, 915721, 7152515, 7155755, 7149665, 7153190, 7159211, 7157563, 7157117, 947294, 7158617, 7158340, 7158257, 945530, 7153283, 7150429, 7151753, 7158490, 7152572, 7158564, 7152067, 913558, 7159346, 948089, 915205, 7157623, 916502, 947286, 7151970, 7154134, 948572, 7158950, 948056, 945611, 916511, 949036, 945105, 916412, 7152791, 7150395, 914181, 7157854, 7149533, 7153878, 947372, 7157203, 7152590",55,2385,21998,2.68319420621307,0.0847025877119134,0.0146427740596504,0.567353125109482
"9","GOTERM_MF_ALL","GO:0017076~purine nucleotide binding",17,25.3731343283582,0.000494309197593101,"7158845, 914533, 949027, 947887, 7153479, 7157640, 7156787, 7152147, 948260, 946007, 915721, 7152515, 7155755, 7149665, 7153190, 7159211, 7157563, 7157117, 947294, 7158617, 7158340, 7158257, 945530, 7153283, 7150429, 7151753, 7158490, 7152572, 7158564, 7152067, 913558, 7159346, 916502, 948089, 915205, 7157623, 7156807, 947286, 7151970, 7154134, 948182, 948572, 7158950, 948056, 945611, 916511, 949036, 945105, 916412, 7152791, 7150395, 7151773, 914181, 7157854, 7149533, 7153878, 947372, 7157203, 7152590",55,2677,21998,2.53992596868951,0.0914630252363796,0.013609357137088,0.614729458830976
"10","GOTERM_MF_ALL","GO:0016740~transferase activity",21,31.3432835820896,0.000823293651286947,"7158845, 949027, 947887, 7152711, 7153479, 913535, 7155902, 948260, 7150713, 914487, 7152659, 7155755, 7153859, 7151439, 7149665, 913906, 7152050, 7150227, 7151849, 944799, 947672, 946600, 7152938, 7157290, 947931, 7153283, 7150429, 7152572, 947004, 7157008, 7158564, 7156860, 7157623, 915205, 7156807, 7157100, 7157765, 7158019, 7151964, 7158162, 948182, 944877, 7150889, 7158950, 947714, 7157714, 945611, 944990, 7155161, 945105, 948512, 7152791, 945865, 7156462, 948857, 7152238, 7151773, 6276104, 7157854, 948159, 7153878, 7157544, 7155842, 7152494",55,4000,21998,2.09980909090909,0.147672769271134,0.0197749531453824,1.02193030223579
