"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",6,2.66666666666667,8.35681706669702e-06,"945284, 947426, 945184, 945511, 946178, 946712",110,6,1571,14.2818181818182,0.000559752363160082,0.000559752363160082,0.00857067584899562
"2","KEGG_PATHWAY","eco02020:Two-component system",21,9.33333333333333,0.00164024734029778,"946399, 947255, 947450, 946844, 945464, 948666, 945046, 946267, 948667, 947444, 948884, 948922, 946182, 949081, 946199, 946035, 947324, 945443, 945995, 945999, 948870",110,146,1571,2.05423412204234,0.10415403894906,0.0535086048722156,1.66957457045203
"3","KEGG_PATHWAY","eco00620:Pyruvate metabolism",11,4.88888888888889,0.00194711241451043,"948104, 948642, 948857, 945672, 948454, 947324, 948121, 948666, 948667, 948572, 946132",110,51,1571,3.08039215686275,0.12241696702335,0.0425941590675597,1.9791179813417
"4","KEGG_PATHWAY","eco00071:Fatty acid degradation",5,2.22222222222222,0.0164833218603367,"948324, 948336, 947324, 947315, 946327",110,15,1571,4.76060606060606,0.671620650165936,0.243003346375614,15.6728926978102
"5","KEGG_PATHWAY","eco00380:Tryptophan metabolism",4,1.77777777777778,0.020059420612911,"948221, 948336, 947324, 946234",110,9,1571,6.34747474747475,0.742733802728665,0.237786659917446,18.7652473013672
"6","KEGG_PATHWAY","eco00650:Butanoate metabolism",7,3.11111111111111,0.0301249157982456,"948336, 948454, 947324, 948067, 948666, 948667, 948060",110,35,1571,2.85636363636364,0.871187273467476,0.289343397193218,26.9276279125016
"7","KEGG_PATHWAY","eco00280:Valine, leucine and isoleucine degradation",4,1.77777777777778,0.035587069449114,"948324, 948336, 947324, 948067",110,11,1571,5.19338842975207,0.91176870566909,0.293072845152558,31.0400775529839
"8","KEGG_PATHWAY","eco02030:Bacterial chemotaxis",5,2.22222222222222,0.0447550229643187,"946399, 948884, 945995, 946402, 949041",110,20,1571,3.57045454545455,0.953474708593907,0.318507410444083,37.4754001965368
"9","KEGG_PATHWAY","eco00310:Lysine degradation",4,1.77777777777778,0.0451059113632375,"948336, 947324, 948643, 948060",110,12,1571,4.76060606060606,0.954605971906088,0.290785451741977,37.7105572096871
"10","KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",24,10.6666666666667,0.0528407177059267,"947116, 948642, 945672, 948324, 945773, 2847765, 945134, 948336, 948602, 948666, 948667, 946724, 944984, 945865, 948104, 946195, 948857, 947324, 948571, 948572, 945999, 947093, 946066, 948060",110,238,1571,1.4401833460657,0.973676579313909,0.304920896264206,42.6956916385476
