"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",53,23.5555555555556,4.2141368181642e-19,"949122, 948691, 948221, 948666, 948978, 948520, 948667, 948266, 946725, 945742, 946724, 944779, 948121, 946006, 946924, 944878, 946215, 946272, 949058, 947444, 948778, 945988, 945600, 947082, 947934, 948904, 946844, 948992, 948602, 945764, 948643, 948104, 946195, 948884, 947962, 945999, 947763, 945493, 945950, 945046, 945753, 948658, 946898, 946132, 946182, 944769, 946141, 948755, 948427, 944865, 946623, 948426, 946328",199,1395,21998,4.1998306946921,1.68144059044752e-16,1.68144059044752e-16,5.8757617057151e-16
"2","GOTERM_MF_ALL","GO:0005506~iron ion binding",30,13.3333333333333,2.31261852324437e-09,"948642, 947839, 947603, 948666, 945184, 949068, 944980, 945181, 947594, 946724, 947538, 948453, 946035, 948571, 946178, 945999, 947093, 948076, 945931, 947426, 945201, 948963, 945193, 946735, 946234, 948891, 945284, 945511, 946623, 945268",199,896,21998,3.70120692749462,9.22734373243195e-07,4.61367293036474e-07,3.22447890610533e-06
"3","GOTERM_MF_ALL","GO:0046872~metal ion binding",56,24.8888888888889,9.91500335390034e-09,"947839, 945184, 947603, 948666, 949068, 946267, 945181, 946725, 947594, 947538, 946724, 948453, 946035, 946178, 946924, 945939, 947116, 948076, 945931, 948963, 946405, 946735, 947258, 948778, 945268, 948642, 947450, 945620, 945134, 944980, 948104, 948141, 946195, 948571, 945999, 947093, 945957, 949041, 2847765, 944858, 947426, 945142, 945201, 945193, 946234, 946132, 945865, 948857, 948891, 945284, 944769, 948755, 945511, 946623, 948426, 948423",199,2793,21998,2.21639525950555,3.95607854053459e-06,1.31869458575018e-06,1.38244665270904e-05
"4","GOTERM_MF_ALL","GO:0043169~cation binding",57,25.3333333333333,1.03287180643427e-08,"947839, 945184, 947603, 948666, 949068, 946267, 945181, 946725, 947594, 947538, 946724, 948453, 946035, 946178, 946924, 945939, 947116, 948076, 948234, 945931, 948963, 946405, 946735, 947258, 948778, 945268, 948642, 947450, 945620, 945134, 944980, 948104, 948141, 946195, 948571, 945999, 947093, 945957, 949041, 2847765, 944858, 947426, 945142, 945201, 945193, 946234, 946132, 945865, 948857, 948891, 945284, 944769, 948755, 945511, 946623, 948426, 948423",199,2876,21998,2.19086741076733,4.12115005243852e-06,1.03028910536374e-06,1.44013079905747e-05
"5","GOTERM_MF_ALL","GO:0043167~ion binding",57,25.3333333333333,1.24367939237204e-08,"947839, 945184, 947603, 948666, 949068, 946267, 945181, 946725, 947594, 947538, 946724, 948453, 946035, 946178, 946924, 945939, 947116, 948076, 948234, 945931, 948963, 946405, 946735, 947258, 948778, 945268, 948642, 947450, 945620, 945134, 944980, 948104, 948141, 946195, 948571, 945999, 947093, 945957, 949041, 2847765, 944858, 947426, 945142, 945201, 945193, 946234, 946132, 945865, 948857, 948891, 945284, 944769, 948755, 945511, 946623, 948426, 948423",199,2891,21998,2.17950005996777,4.96226849600045e-06,9.92455669091008e-07,1.73405930503634e-05
"6","GOTERM_MF_ALL","GO:0046914~transition metal ion binding",42,18.6666666666667,1.14775236552057e-06,"948642, 945134, 947839, 945620, 945184, 948666, 947603, 949068, 946267, 945181, 944980, 947594, 946724, 947538, 946195, 948453, 946035, 946178, 948571, 945999, 947093, 946924, 945939, 947116, 948076, 945931, 944858, 947426, 945201, 948963, 945193, 946735, 946234, 948891, 945284, 944769, 948755, 945511, 946623, 948426, 945268, 948423",199,2075,21998,2.23749106980687,0.00045784861195719,7.63226633833103e-05,0.00160029671469886
"7","GOTERM_MF_ALL","GO:0005509~calcium ion binding",6,2.66666666666667,2.86090329097062e-05,"945865, 948571, 945939, 946725, 949041, 945957",199,40,21998,16.5814070351759,0.0113502616015956,0.00162940927181943,0.0398821272979855
"8","GOTERM_MF_ALL","GO:0005524~ATP binding",39,17.3333333333333,8.09725792290694e-05,"949122, 948691, 947450, 949027, 946203, 946844, 946128, 945184, 947246, 946867, 945764, 949081, 945085, 947315, 948572, 946006, 947763, 946156, 2847707, 947255, 949036, 947426, 945142, 945751, 945201, 945529, 945498, 947444, 948778, 948878, 946141, 948755, 944865, 944889, 948426, 946327, 948870, 948423, 946066",199,2225,21998,1.93760261984078,0.0317929957640638,0.00403052643868962,0.112840747334653
"9","GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",39,17.3333333333333,8.57056295847659e-05,"949122, 948691, 947450, 949027, 946203, 946844, 946128, 945184, 947246, 946867, 945764, 949081, 945085, 947315, 948572, 946006, 947763, 946156, 2847707, 947255, 949036, 947426, 945142, 945751, 945201, 945529, 945498, 947444, 948778, 948878, 946141, 948755, 944865, 944889, 948426, 946327, 948870, 948423, 946066",199,2231,21998,1.9323916759954,0.0336198688876799,0.00379256905301595,0.119432914231721
"10","GOTERM_MF_ALL","GO:0005488~binding",148,65.7777777777778,9.26089352972662e-05,"949122, 949024, 948691, 949027, 946203, 944780, 948067, 946769, 948666, 945184, 947603, 946867, 948520, 948667, 945181, 948266, 945152, 947538, 945742, 944779, 946035, 945937, 946178, 946006, 945939, 944878, 947946, 946215, 2847707, 948076, 945931, 945529, 946405, 948922, 947673, 948878, 947934, 944889, 948870, 947203, 949043, 948047, 948642, 947109, 945134, 945620, 944827, 945764, 946576, 948643, 948104, 947210, 947315, 949041, 946156, 945957, 946373, 945493, 945950, 949036, 947426, 945046, 945142, 945753, 948658, 945751, 945193, 945498, 946898, 948857, 944769, 948755, 946141, 948756, 948427, 945240, 948426, 948423, 948221, 947263, 947839, 949068, 946267, 948978, 947594, 946590, 946725, 946724, 945085, 948453, 948121, 946924, 947116, 947255, 946272, 948234, 948336, 949058, 948963, 946735, 947258, 947444, 948778, 945988, 945600, 947082, 946647, 945268, 946066, 948904, 947450, 946844, 946128, 948992, 948602, 947246, 944980, 948141, 946195, 948884, 949081, 947962, 946199, 946905, 948571, 948572, 945999, 947093, 947763, 946857, 2847765, 944858, 945201, 946234, 945001, 946132, 945865, 946185, 945906, 946182, 945284, 948891, 948808, 945511, 944865, 946623, 946327, 946328",199,13515,21998,1.21053064062451,0.0362782588361193,0.00368844852903172,0.129047076955524
