"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",52,3.601108033241,4.51160969479915e-09,"947577, 948490, 945484, 945152, 947800, 947801, 947802, 947803, 947845, 946318, 947846, 948720, 948721, 948723, 947686, 947874, 949057, 946349, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 945618, 946941, 947807, 945657, 947806, 947804, 948216, 947809, 947808, 947810, 945190, 947813, 947797, 947814, 947811, 947798, 947793, 947792, 947795, 948425, 947791",72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-06
"2","GOTERM_MF_ALL","GO:0005198~structural molecule activity",52,3.601108033241,4.51160969479915e-09,"947577, 948490, 945484, 945152, 947800, 947801, 947802, 947803, 947845, 946318, 947846, 948720, 948721, 948723, 947686, 947874, 949057, 946349, 945536, 948489, 948484, 948483, 947096, 947103, 947816, 947818, 947817, 947819, 947820, 944759, 949000, 945618, 946941, 947807, 945657, 947806, 947804, 948216, 947809, 947808, 947810, 945190, 947813, 947797, 947814, 947811, 947798, 947793, 947792, 947795, 948425, 947791",72,56,108,1.39285714285714,2.25580457091645e-07,2.25580457091645e-07,4.34531959303541e-06
"3","GOTERM_MF_ALL","GO:0008233~peptidase activity",6,0.415512465373961,0.728337957799054,"948430, 945085, 945082, 948429, 947170, 947865",72,8,108,1.125,1,0.999999999999993,99.9996460869779
"4","GOTERM_MF_ALL","GO:0015079~potassium ion transmembrane transporter activity",2,0.138504155124654,0.884735202492196,"947858, 944773",72,2,108,1.5,1,1,99.9999999082071
"5","GOTERM_MF_ALL","GO:0015386~potassium:proton antiporter activity",2,0.138504155124654,0.884735202492196,"947858, 944773",72,2,108,1.5,1,1,99.9999999082071
"6","GOTERM_MF_ALL","GO:0005451~monovalent cation:proton antiporter activity",2,0.138504155124654,0.884735202492196,"947858, 944773",72,2,108,1.5,1,1,99.9999999082071
"7","GOTERM_MF_ALL","GO:0015299~solute:proton antiporter activity",2,0.138504155124654,0.884735202492196,"947858, 944773",72,2,108,1.5,1,1,99.9999999082071
"8","GOTERM_MF_ALL","GO:0022821~potassium ion antiporter activity",2,0.138504155124654,0.884735202492196,"947858, 944773",72,2,108,1.5,1,1,99.9999999082071
"9","GOTERM_MF_ALL","GO:0015078~hydrogen ion transmembrane transporter activity",2,0.138504155124654,0.884735202492196,"947858, 944773",72,2,108,1.5,1,1,99.9999999082071
"10","GOTERM_MF_ALL","GO:0016787~hydrolase activity",9,0.623268698060942,0.914761543583867,"948430, 947450, 945085, 948778, 945082, 948429, 947170, 947865, 946889",72,15,108,0.9,1,0.999999999999957,99.9999999949823
"11","GOTERM_MF_ALL","GO:0003824~catalytic activity",9,0.623268698060942,0.955111178834108,"948430, 947450, 945085, 948778, 945082, 948429, 947170, 947865, 946889",72,16,108,0.84375,1,0.999999999999967,99.9999999999896
"12","GOTERM_MF_ALL","GO:0015405~P-P-bond-hydrolysis-driven transmembrane transporter activity",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"13","GOTERM_MF_ALL","GO:0017111~nucleoside-triphosphatase activity",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"14","GOTERM_MF_ALL","GO:0043492~ATPase activity, coupled to movement of substances",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"15","GOTERM_MF_ALL","GO:0016462~pyrophosphatase activity",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"16","GOTERM_MF_ALL","GO:0042625~ATPase activity, coupled to transmembrane movement of ions",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"17","GOTERM_MF_ALL","GO:0042623~ATPase activity, coupled",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"18","GOTERM_MF_ALL","GO:0016887~ATPase activity",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"19","GOTERM_MF_ALL","GO:0015399~primary active transmembrane transporter activity",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"20","GOTERM_MF_ALL","GO:0042626~ATPase activity, coupled to transmembrane movement of substances",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"21","GOTERM_MF_ALL","GO:0016818~hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"22","GOTERM_MF_ALL","GO:0016817~hydrolase activity, acting on acid anhydrides",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"23","GOTERM_MF_ALL","GO:0016820~hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances",3,0.207756232686981,0.993711086900245,"947450, 948778, 946889",72,7,108,0.642857142857143,1,1,100
"24","GOTERM_MF_ALL","GO:0046873~metal ion transmembrane transporter activity",2,0.138504155124654,0.996089528821851,"947858, 944773",72,5,108,0.6,1,1,100
"25","GOTERM_MF_ALL","GO:0015298~solute:cation antiporter activity",2,0.138504155124654,0.996089528821851,"947858, 944773",72,5,108,0.6,1,1,100
"26","GOTERM_MF_ALL","GO:0015297~antiporter activity",2,0.138504155124654,0.996089528821851,"947858, 944773",72,5,108,0.6,1,1,100
"27","GOTERM_MF_ALL","GO:0015491~cation:cation antiporter activity",2,0.138504155124654,0.996089528821851,"947858, 944773",72,5,108,0.6,1,1,100
"28","GOTERM_MF_ALL","GO:0015077~monovalent inorganic cation transmembrane transporter activity",2,0.138504155124654,0.998785096333003,"947858, 944773",72,6,108,0.5,1,1,100
"29","GOTERM_MF_ALL","GO:0015291~secondary active transmembrane transporter activity",2,0.138504155124654,0.998785096333003,"947858, 944773",72,6,108,0.5,1,1,100
"30","GOTERM_MF_ALL","GO:0015662~ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism",2,0.138504155124654,0.998785096333003,"947450, 948778",72,6,108,0.5,1,1,100
"31","GOTERM_MF_ALL","GO:0022804~active transmembrane transporter activity",5,0.346260387811634,0.998923488628473,"947450, 948778, 947858, 946889, 944773",72,13,108,0.576923076923077,1,1,100
"32","GOTERM_MF_ALL","GO:0022890~inorganic cation transmembrane transporter activity",2,0.138504155124654,0.999630764571795,"947858, 944773",72,7,108,0.428571428571429,1,1,100
"33","GOTERM_MF_ALL","GO:0008324~cation transmembrane transporter activity",2,0.138504155124654,0.999630764571795,"947858, 944773",72,7,108,0.428571428571429,1,1,100
"34","GOTERM_MF_ALL","GO:0005215~transporter activity",5,0.346260387811634,0.999956882387787,"947450, 948778, 947858, 946889, 944773",72,16,108,0.46875,1,1,100
"35","GOTERM_MF_ALL","GO:0022891~substrate-specific transmembrane transporter activity",5,0.346260387811634,0.999956882387787,"947450, 948778, 947858, 946889, 944773",72,16,108,0.46875,1,1,100
"36","GOTERM_MF_ALL","GO:0022857~transmembrane transporter activity",5,0.346260387811634,0.999956882387787,"947450, 948778, 947858, 946889, 944773",72,16,108,0.46875,1,1,100
"37","GOTERM_MF_ALL","GO:0015075~ion transmembrane transporter activity",5,0.346260387811634,0.999956882387787,"947450, 948778, 947858, 946889, 944773",72,16,108,0.46875,1,1,100
"38","GOTERM_MF_ALL","GO:0022892~substrate-specific transporter activity",5,0.346260387811634,0.999956882387787,"947450, 948778, 947858, 946889, 944773",72,16,108,0.46875,1,1,100
"39","GOTERM_MF_ALL","GO:0009055~electron carrier activity",8,0.554016620498615,0.999998728914558,"945563, 946212, 947240, 946490, 946252, 946114, 948979, 947160",72,25,108,0.48,1,1,100
"40","GOTERM_MF_ALL","GO:0015116~sulfate transmembrane transporter activity",1,0.0692520775623269,1,"946889",72,1,108,1.5,1,1,100
"41","GOTERM_MF_ALL","GO:0008509~anion transmembrane transporter activity",1,0.0692520775623269,1,"946889",72,4,108,0.375,1,1,100
"42","GOTERM_MF_ALL","GO:0015419~sulfate transmembrane-transporting ATPase activity",1,0.0692520775623269,1,"946889",72,1,108,1.5,1,1,100
"43","GOTERM_MF_ALL","GO:0015103~inorganic anion transmembrane transporter activity",1,0.0692520775623269,1,"946889",72,1,108,1.5,1,1,100
"44","GOTERM_MF_ALL","GO:0043167~ion binding",1,0.0692520775623269,1,"945154",72,1,108,1.5,1,1,100
"45","GOTERM_MF_ALL","GO:0005488~binding",1,0.0692520775623269,1,"945154",72,2,108,0.75,1,1,100
"46","GOTERM_MF_ALL","GO:0000287~magnesium ion binding",1,0.0692520775623269,1,"945154",72,1,108,1.5,1,1,100
"47","GOTERM_MF_ALL","GO:0043169~cation binding",1,0.0692520775623269,1,"945154",72,1,108,1.5,1,1,100
"48","GOTERM_MF_ALL","GO:0043225~anion transmembrane-transporting ATPase activity",1,0.0692520775623269,1,"946889",72,1,108,1.5,1,1,100
"49","GOTERM_MF_ALL","GO:1901682~sulfur compound transmembrane transporter activity",1,0.0692520775623269,1,"946889",72,1,108,1.5,1,1,100
"50","GOTERM_MF_ALL","GO:0046872~metal ion binding",1,0.0692520775623269,1,"945154",72,1,108,1.5,1,1,100
