"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0005515~protein binding",103,26.8229166666667,3.72967124428961e-42,"949122, 948409, 949025, 946697, 947165, 948361, 947745, 948363, 945150, 948666, 945743, 947882, 948520, 948266, 947334, 944811, 948867, 948313, 946175, 946006, 947364, 944878, 944896, 946219, 946879, 948489, 945362, 945827, 948483, 947727, 947934, 948545, 945030, 948246, 946886, 944761, 946055, 946159, 944830, 947313, 944757, 945425, 947386, 947219, 946948, 946665, 946946, 945753, 947526, 948658, 945198, 947278, 946898, 945747, 947474, 947793, 948755, 947795, 945788, 948221, 945580, 948323, 946725, 948819, 945250, 948457, 947786, 945397, 945256, 946639, 945479, 947119, 946277, 947087, 947445, 947395, 945887, 948443, 947859, 947148, 948502, 948800, 946195, 946781, 946988, 947962, 946789, 946333, 946334, 945999, 948913, 946080, 948981, 945656, 945451, 945716, 945651, 948299, 945864, 946323, 944866, 948469, 946328",339,1395,21998,4.79122445311426,2.12964228048937e-39,2.12964228048937e-39,5.47108766157161e-39
"2","GOTERM_MF_ALL","GO:0043169~cation binding",83,21.6145833333333,1.38951959718635e-08,"2847756, 946697, 945580, 947882, 945150, 948666, 945184, 945080, 944963, 948323, 945181, 948166, 947594, 946725, 948819, 948313, 945250, 945351, 948315, 946178, 948762, 947786, 946076, 949015, 945630, 944839, 948729, 946277, 946879, 946771, 946735, 947583, 947258, 947445, 947972, 945362, 2847699, 947493, 945364, 946015, 946162, 946826, 947859, 949042, 946389, 946574, 948502, 948246, 947510, 944761, 948188, 946055, 946195, 946985, 945279, 946333, 946812, 946838, 945999, 945370, 945615, 949041, 945957, 947719, 946669, 947426, 947526, 945201, 945193, 949079, 948299, 948422, 946427, 945341, 945389, 945649, 947378, 948755, 945511, 946361, 948423, 948424, 948793",339,2876,21998,1.87271940297283,7.93412549227046e-06,3.96707061489643e-06,2.03829836897818e-05
"3","GOTERM_MF_ALL","GO:0043167~ion binding",83,21.6145833333333,1.75830641347355e-08,"2847756, 946697, 945580, 947882, 945150, 948666, 945184, 945080, 944963, 948323, 945181, 948166, 947594, 946725, 948819, 948313, 945250, 945351, 948315, 946178, 948762, 947786, 946076, 949015, 945630, 944839, 948729, 946277, 946879, 946771, 946735, 947583, 947258, 947445, 947972, 945362, 2847699, 947493, 945364, 946015, 946162, 946826, 947859, 949042, 946389, 946574, 948502, 948246, 947510, 944761, 948188, 946055, 946195, 946985, 945279, 946333, 946812, 946838, 945999, 945370, 945615, 949041, 945957, 947719, 946669, 947426, 947526, 945201, 945193, 949079, 948299, 948422, 946427, 945341, 945389, 945649, 947378, 948755, 945511, 946361, 948423, 948424, 948793",339,2891,21998,1.86300276822894,1.00398792984846e-05,3.34663763279508e-06,2.57927488145349e-05
"4","GOTERM_MF_ALL","GO:0030554~adenyl nucleotide binding",75,19.53125,2.74106266865216e-08,"949122, 945788, 945489, 949025, 2847718, 946203, 948361, 945184, 945743, 947594, 947334, 948318, 948819, 946515, 945250, 946459, 946006, 946007, 946659, 946775, 944896, 947255, 947153, 949011, 946584, 947445, 947498, 947674, 947501, 947972, 945362, 2847699, 947727, 946162, 946975, 947412, 947148, 946128, 948993, 946889, 944761, 949007, 948433, 949081, 947386, 945425, 946789, 948572, 947217, 945231, 946153, 947219, 947234, 946948, 946946, 945595, 947426, 949036, 946713, 945451, 944778, 945201, 945716, 946792, 945281, 945248, 947474, 945389, 947221, 948755, 946323, 948469, 948423, 947755, 948793",339,2523,21998,1.92897905639795,1.56513455522589e-05,3.91285935374963e-06,4.02088826012559e-05
"5","GOTERM_MF_ALL","GO:0001883~purine nucleoside binding",75,19.53125,2.74106266865216e-08,"949122, 945788, 945489, 949025, 2847718, 946203, 948361, 945184, 945743, 947594, 947334, 948318, 948819, 946515, 945250, 946459, 946006, 946007, 946659, 946775, 944896, 947255, 947153, 949011, 946584, 947445, 947498, 947674, 947501, 947972, 945362, 2847699, 947727, 946162, 946975, 947412, 947148, 946128, 948993, 946889, 944761, 949007, 948433, 949081, 947386, 945425, 946789, 948572, 947217, 945231, 946153, 947219, 947234, 946948, 946946, 945595, 947426, 949036, 946713, 945451, 944778, 945201, 945716, 946792, 945281, 945248, 947474, 945389, 947221, 948755, 946323, 948469, 948423, 947755, 948793",339,2523,21998,1.92897905639795,1.56513455522589e-05,3.91285935374963e-06,4.02088826012559e-05
"6","GOTERM_MF_ALL","GO:0046872~metal ion binding",80,20.8333333333333,3.96001281454309e-08,"2847756, 946697, 945580, 947882, 945150, 948666, 945184, 945080, 944963, 948323, 945181, 948166, 947594, 946725, 948819, 948313, 945250, 945351, 948315, 946178, 947786, 946076, 949015, 945630, 944839, 948729, 946277, 946879, 946771, 946735, 947258, 947445, 947972, 945362, 2847699, 947493, 945364, 946015, 946162, 946826, 947859, 949042, 946389, 946574, 948502, 948246, 947510, 944761, 948188, 946055, 946195, 946985, 945279, 946333, 946812, 946838, 945999, 945370, 945615, 949041, 945957, 947719, 946669, 947426, 947526, 945201, 945193, 949079, 948299, 948422, 946427, 945341, 945389, 945649, 948755, 945511, 946361, 948423, 948424, 948793",339,2793,21998,1.85867111943365,2.26114179946446e-05,4.52232450154355e-06,5.80897617563636e-05
"7","GOTERM_MF_ALL","GO:0042280~cell surface antigen activity, host-interacting",11,2.86458333333333,4.66272178432794e-08,"948299, 947742, 948993, 946574, 949048, 944882, 948296, 947386, 948246, 948977, 944789",339,64,21998,11.1531157817109,2.6623787601987e-05,4.43734715849242e-06,6.8397855557123e-05
"8","GOTERM_MF_ALL","GO:0001882~nucleoside binding",75,19.53125,5.47966537395585e-08,"949122, 945788, 945489, 949025, 2847718, 946203, 948361, 945184, 945743, 947594, 947334, 948318, 948819, 946515, 945250, 946459, 946006, 946007, 946659, 946775, 944896, 947255, 947153, 949011, 946584, 947445, 947498, 947674, 947501, 947972, 945362, 2847699, 947727, 946162, 946975, 947412, 947148, 946128, 948993, 946889, 944761, 949007, 948433, 949081, 947386, 945425, 946789, 948572, 947217, 945231, 946153, 947219, 947234, 946948, 946946, 945595, 947426, 949036, 946713, 945451, 944778, 945201, 945716, 946792, 945281, 945248, 947474, 945389, 947221, 948755, 946323, 948469, 948423, 947755, 948793",339,2565,21998,1.89739343442185,3.12884006677949e-05,4.46983146173974e-06,8.03816648797806e-05
"9","GOTERM_MF_ALL","GO:0005524~ATP binding",67,17.4479166666667,1.24885185347399e-07,"949122, 945788, 945489, 949025, 946203, 948361, 945184, 945743, 947334, 948318, 948819, 946515, 945250, 946459, 946006, 946007, 946659, 946775, 944896, 947255, 947153, 949011, 946584, 947445, 947498, 947674, 947501, 947972, 945362, 947727, 946162, 946975, 947412, 947148, 946128, 948993, 946889, 944761, 948433, 949081, 947386, 945425, 946789, 948572, 947217, 945231, 946153, 947219, 947234, 946948, 946946, 945595, 947426, 949036, 945451, 944778, 945201, 945281, 945248, 947474, 945389, 947221, 948755, 946323, 948469, 948423, 947755",339,2225,21998,1.95401677107156,7.13069028033253e-05,8.91364093091873e-06,0.000183195024039406
"10","GOTERM_MF_ALL","GO:0032559~adenyl ribonucleotide binding",67,17.4479166666667,1.40253773253646e-07,"949122, 945788, 945489, 949025, 946203, 948361, 945184, 945743, 947334, 948318, 948819, 946515, 945250, 946459, 946006, 946007, 946659, 946775, 944896, 947255, 947153, 949011, 946584, 947445, 947498, 947674, 947501, 947972, 945362, 947727, 946162, 946975, 947412, 947148, 946128, 948993, 946889, 944761, 948433, 949081, 947386, 945425, 946789, 948572, 947217, 945231, 946153, 947219, 947234, 946948, 946946, 945595, 947426, 949036, 945451, 944778, 945201, 945281, 945248, 947474, 945389, 947221, 948755, 946323, 948469, 948423, 947755",339,2231,21998,1.94876168338602,8.00817034378731e-05,8.8982837599394e-06,0.000205739300485064
