"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","KEGG_PATHWAY","eco00020:Citrate cycle (TCA cycle)",10,2.84900284900285,0.00173319501721687,"945312, 948642, 945314, 945402, 945300, 948666, 945307, 948667, 946826, 946724",184,26,1571,3.28386287625418,0.12655184253197,0.12655184253197,1.8181981079384
"2","KEGG_PATHWAY","eco00620:Pyruvate metabolism",14,3.98860398860399,0.00409619759601556,"948642, 945672, 946947, 946778, 948666, 948667, 948857, 948454, 948121, 947324, 946653, 946209, 948572, 946826",184,51,1571,2.34377664109122,0.273966832193597,0.147924200668507,4.24887064613388
"3","KEGG_PATHWAY","eco01200:Carbon metabolism",23,6.55270655270655,0.00414081521194786,"945312, 948642, 949045, 945314, 946947, 948602, 945300, 946778, 948666, 948667, 948517, 946724, 948857, 945402, 947324, 947862, 945307, 946209, 948753, 948572, 947006, 946362, 946826",184,107,1571,1.83528037383178,0.276499575337287,0.102268914892552,4.29423714324607
"4","KEGG_PATHWAY","eco01053:Biosynthesis of siderophore group nonribosomal peptides",4,1.13960113960114,0.0238203566311746,"947426, 945184, 945511, 946178",184,6,1571,5.69202898550725,0.8474822958431,0.3750718833437,22.5096349288002
"5","KEGG_PATHWAY","eco02010:ABC transporters",28,7.97720797720798,0.0400528297247956,"948065, 948604, 948063, 947148, 945621, 948261, 945480, 948264, 948240, 948267, 946409, 947962, 945818, 948411, 945335, 949041, 948538, 948537, 945951, 949036, 948532, 948237, 949039, 947969, 945802, 948090, 949030, 945435",184,167,1571,1.43152824785212,0.95876253560462,0.471483694199309,35.1043253728599
"6","KEGG_PATHWAY","eco01120:Microbial metabolism in diverse environments",37,10.5413105413105,0.0471090846243186,"945312, 948642, 2847718, 949045, 945314, 946677, 944943, 948602, 948666, 946672, 948320, 948667, 946724, 946195, 945402, 946653, 947862, 945307, 948572, 945999, 948060, 945672, 945773, 946947, 946778, 945300, 948517, 946505, 948857, 946993, 947324, 946209, 948753, 947006, 946362, 946826, 948900",184,238,1571,1.32734289367921,0.976806379439986,0.465975201697089,39.9762785140229
"7","KEGG_PATHWAY","eco01110:Biosynthesis of secondary metabolites",44,12.5356125356125,0.0558659792570279,"2847718, 945312, 948642, 945314, 944943, 947263, 945620, 948362, 948326, 948602, 948666, 948320, 949129, 948667, 946724, 947289, 944830, 945060, 948125, 945402, 945937, 945307, 947941, 946178, 948572, 947942, 945777, 945300, 944817, 947526, 944777, 948517, 946735, 946734, 945553, 948857, 947324, 948587, 945511, 948753, 945600, 947934, 947006, 946826",184,296,1571,1.26916862514689,0.988711805562497,0.473008637183955,45.5609178661488
"8","KEGG_PATHWAY","eco00190:Oxidative phosphorylation",9,2.56410256410256,0.0949597073754546,"946757, 946792, 946762, 945341, 945402, 945300, 948666, 946759, 948667",184,41,1571,1.8742046659597,0.999583037177504,0.62198227270381,65.194998275214
"9","KEGG_PATHWAY","eco00640:Propanoate metabolism",8,2.27920227920228,0.103276210122459,"945312, 945314, 947493, 948454, 947324, 948067, 946778, 948572",184,35,1571,1.95155279503106,0.999797055190492,0.611215751812131,68.4330310858345
"10","KEGG_PATHWAY","eco00650:Butanoate metabolism",8,2.27920227920228,0.103276210122459,"945402, 948454, 945300, 947324, 948067, 948666, 948667, 948060",184,35,1571,1.95155279503106,0.999797055190492,0.611215751812131,68.4330310858345
"11","KEGG_PATHWAY","eco00051:Fructose and mannose metabolism",8,2.27920227920228,0.175676325805898,"948118, 948971, 946195, 946676, 946677, 948602, 946672, 948753",184,40,1571,1.70760869565217,0.999999714486745,0.778403637325427,87.0431741860449
"12","KEGG_PATHWAY","eco00740:Riboflavin metabolism",3,0.854700854700855,0.236918665241542,"945620, 949129, 947526",184,8,1571,3.20176630434783,0.999999999307333,0.852998950360023,94.273923148887
"13","KEGG_PATHWAY","eco01130:Biosynthesis of antibiotics",27,7.69230769230769,0.249191069311375,"2847718, 948642, 945312, 945314, 944943, 948602, 948666, 948320, 948667, 947289, 946724, 944830, 945060, 945402, 945307, 946178, 948572, 945300, 944777, 945553, 947324, 945511, 945289, 948753, 945600, 947006, 946826",184,195,1571,1.18219063545151,0.999999999804433,0.844782282156053,95.1763631011693
"14","KEGG_PATHWAY","eco00520:Amino sugar and nucleotide sugar metabolism",8,2.27920227920228,0.264331690228156,"947742, 947745, 945357, 945289, 947942, 945354, 945358, 945290",184,45,1571,1.51787439613527,0.999999999960079,0.841476997090372,96.1114406149511
"15","KEGG_PATHWAY","eco00030:Pentose phosphate pathway",6,1.70940170940171,0.265973699674859,"944830, 948260, 948602, 948753, 947006, 946362",184,30,1571,1.70760869565217,0.999999999966464,0.821424494251029,96.2022729801254
