"","Category","Term","Count","X.","PValue","Genes","List.Total","Pop.Hits","Pop.Total","Fold.Enrichment","Bonferroni","Benjamini","FDR"
"1","GOTERM_MF_ALL","GO:0003735~structural constituent of ribosome",7,1.99430199430199,0.16059440078842,"947813, 947828, 947784, 949057, 947817, 946941, 945152",9,56,108,1.5,0.949005698072279,0.949005698072279,71.8474852963069
"2","GOTERM_MF_ALL","GO:0005198~structural molecule activity",7,1.99430199430199,0.16059440078842,"947813, 947828, 947784, 949057, 947817, 946941, 945152",9,56,108,1.5,0.949005698072279,0.949005698072279,71.8474852963069
"3","GOTERM_MF_ALL","GO:0008233~peptidase activity",1,0.284900284900285,1,"948429",9,8,108,1.5,1,1,100
"4","GOTERM_MF_ALL","GO:0022891~substrate-specific transmembrane transporter activity",1,0.284900284900285,1,"945841",9,16,108,0.75,1,1,100
"5","GOTERM_MF_ALL","GO:0015075~ion transmembrane transporter activity",1,0.284900284900285,1,"945841",9,16,108,0.75,1,1,100
"6","GOTERM_MF_ALL","GO:0015267~channel activity",1,0.284900284900285,1,"945841",9,2,108,6,1,1,100
"7","GOTERM_MF_ALL","GO:0022838~substrate-specific channel activity",1,0.284900284900285,1,"945841",9,2,108,6,1,1,100
"8","GOTERM_MF_ALL","GO:0022836~gated channel activity",1,0.284900284900285,1,"945841",9,2,108,6,1,1,100
"9","GOTERM_MF_ALL","GO:0003824~catalytic activity",1,0.284900284900285,1,"948429",9,16,108,0.75,1,1,100
"10","GOTERM_MF_ALL","GO:0005215~transporter activity",1,0.284900284900285,1,"945841",9,16,108,0.75,1,1,100
"11","GOTERM_MF_ALL","GO:0016787~hydrolase activity",1,0.284900284900285,1,"948429",9,15,108,0.8,1,1,100
"12","GOTERM_MF_ALL","GO:0005244~voltage-gated ion channel activity",1,0.284900284900285,1,"945841",9,2,108,6,1,1,100
"13","GOTERM_MF_ALL","GO:0005216~ion channel activity",1,0.284900284900285,1,"945841",9,2,108,6,1,1,100
"14","GOTERM_MF_ALL","GO:0022832~voltage-gated channel activity",1,0.284900284900285,1,"945841",9,2,108,6,1,1,100
"15","GOTERM_MF_ALL","GO:0022803~passive transmembrane transporter activity",1,0.284900284900285,1,"945841",9,2,108,6,1,1,100
"16","GOTERM_MF_ALL","GO:0022892~substrate-specific transporter activity",1,0.284900284900285,1,"945841",9,16,108,0.75,1,1,100
"17","GOTERM_MF_ALL","GO:0022857~transmembrane transporter activity",1,0.284900284900285,1,"945841",9,16,108,0.75,1,1,100
